iter	RMSE
0	109954.9049
1	107665.3739
2	105426.1538
3	103421.0256
4	101414.6603
5	99639.252
6	97738.9654
7	96149.51063
8	94382.39548
9	92814.8216
10	91231.12831
11	89563.90789
12	88311.10131
13	86929.72387
14	85849.92898
15	84583.00052
16	83519.53567
17	82563.03118
18	81598.91186
19	80461.40004
20	79651.30587
21	78799.41163
22	78041.04174
23	77089.88379
24	76349.42028
25	75730.68732
26	75016.52392
27	74238.0758
28	73549.38332
29	72981.09701
30	72404.8788
31	71903.64053
32	71411.67998
33	70783.80018
34	70277.49404
35	69855.34776
36	69230.19972
37	68859.4271
38	68274.46472
39	67914.30268
40	67545.28626
41	66997.16345
42	66606.94923
43	66097.59895
44	65799.44516
45	65479.35327
46	65169.28902
47	64890.79653
48	64544.52848
49	64222.58033
50	63832.98297
51	63470.38498
52	63204.70557
53	62951.85081
54	62695.49962
55	62353.99699
56	62041.00707
57	61716.19716
58	61469.74273
59	61103.20827
60	60745.9796
61	60442.27505
62	60072.34182
63	59870.59047
64	59566.96678
65	59340.96464
66	59084.05607
67	58884.92764
68	58728.41258
69	58555.67693
70	58312.57912
71	57937.14791
72	57744.90999
73	57534.93142
74	57250.50363
75	57069.12636
76	56909.77975
77	56677.74537
78	56456.41878
79	56293.87167
80	56109.97179
81	55942.87824
82	55785.79189
83	55623.22941
84	55399.37343
85	55231.44552
86	55050.12246
87	54803.81899
88	54635.03352
89	54500.31537
90	54357.94895
91	54207.14403
92	54000.54545
93	53884.33653
94	53763.32755
95	53538.98439
96	53364.15533
97	53111.48726
98	52996.22003
99	52855.74572
100	52743.60746
101	52590.62766
102	52426.63466
103	52238.17842
104	52162.93289
105	52047.60024
106	51907.70476
107	51824.04404
108	51660.65692
109	51492.7789
110	51328.10667
111	51174.05155
112	51042.86895
113	50936.7762
114	50796.60315
115	50618.07998
116	50479.50532
117	50361.14865
118	50196.86287
119	50049.62231
120	49935.08083
121	49816.61593
122	49640.44141
123	49569.34672
124	49449.03468
125	49375.84361
126	49241.5366
127	49066.62727
128	48907.14857
129	48784.34709
130	48648.79602
131	48543.58749
132	48434.89109
133	48341.3326
134	48187.29398
135	48069.31964
136	47950.54444
137	47799.89006
138	47706.66648
139	47579.24537
140	47495.69272
141	47403.21061
142	47293.68348
143	47185.99163
144	47105.30499
145	46967.24538
146	46872.09692
147	46770.50646
148	46677.63216
149	46577.92572
150	46496.30831
151	46377.2922
152	46266.89225
153	46192.78581
154	46079.61812
155	45978.96334
156	45866.87623
157	45798.29701
158	45694.48879
159	45633.8997
160	45495.47489
161	45372.44209
162	45242.89409
163	45114.72462
164	45024.49869
165	44928.54525
166	44787.32987
167	44715.75013
168	44576.80159
169	44465.1077
170	44375.99201
171	44330.30458
172	44231.14478
173	44123.97265
174	44042.23297
175	43920.51107
176	43829.03433
177	43748.63629
178	43646.05246
179	43528.48853
180	43432.29822
181	43326.60052
182	43247.57158
183	43200.39978
184	43129.00581
185	43050.24568
186	42981.22072
187	42907.34204
188	42860.70111
189	42720.08151
190	42578.4819
191	42541.45144
192	42446.2579
193	42359.38396
194	42250.2454
195	42106.5631
196	42041.07742
197	41973.25195
198	41859.73219
199	41827.20316
200	41734.46207
201	41715.22346
202	41610.86426
203	41502.20431
204	41408.99752
205	41331.92333
206	41255.73387
207	41196.13525
208	41112.25419
209	41008.12279
210	40942.726
211	40848.27335
212	40774.5669
213	40679.28663
214	40615.13085
215	40527.4091
216	40437.12402
217	40371.63879
218	40280.33636
219	40213.86119
220	40146.18124
221	40079.13768
222	40011.95341
223	39983.70237
224	39889.17625
225	39810.90394
226	39756.25675
227	39679.05853
228	39655.34432
229	39578.04728
230	39496.20022
231	39414.63912
232	39345.45893
233	39252.1729
234	39139.13913
235	39125.41436
236	39099.48303
237	39042.58792
238	38943.03651
239	38881.8989
240	38801.45952
241	38776.00009
242	38690.10605
243	38622.23714
244	38533.13344
245	38443.22052
246	38362.30476
247	38296.91133
248	38198.82817
249	38123.36237
250	38049.93508
251	37977.88302
252	37874.83619
253	37863.15668
254	37797.11376
255	37728.04829
256	37683.25492
257	37604.53272
258	37548.94749
259	37525.27127
260	37447.2187
261	37383.38486
262	37303.47463
263	37214.85006
264	37151.9446
265	37091.44202
266	37033.32243
267	36966.86911
268	36950.31857
269	36886.53965
270	36835.53648
271	36741.16631
272	36661.0121
273	36579.92405
274	36492.0759
275	36419.80093
276	36359.82469
277	36282.80726
278	36224.65904
279	36204.16564
280	36145.33583
281	36131.02938
282	36058.16051
283	35978.6219
284	35921.91349
285	35913.97672
286	35817.64328
287	35746.57933
288	35675.69081
289	35581.26147
290	35546.43565
291	35489.35551
292	35405.82968
293	35348.19587
294	35283.52193
295	35213.03906
296	35197.29187
297	35142.33192
298	35082.29319
299	35022.05211
300	34959.30953
301	34904.37653
302	34838.56082
303	34761.51221
304	34685.4252
305	34638.05031
306	34588.089
307	34540.29462
308	34456.6402
309	34416.3252
310	34338.69414
311	34266.98355
312	34222.90733
313	34157.71127
314	34067.5495
315	33998.06297
316	33931.53672
317	33857.76148
318	33796.15735
319	33741.75804
320	33670.47013
321	33616.29889
322	33562.37028
323	33501.2914
324	33442.68344
325	33407.34682
326	33341.0827
327	33298.51391
328	33245.25187
329	33185.57118
330	33144.14977
331	33107.605
332	33042.98456
333	32972.40199
334	32933.78995
335	32890.698
336	32830.31508
337	32754.21751
338	32692.81046
339	32659.10605
340	32605.03038
341	32548.33752
342	32489.45235
343	32435.17071
344	32363.75747
345	32315.51228
346	32253.52103
347	32187.11529
348	32140.25781
349	32075.46688
350	32006.66904
351	31970.67163
352	31918.42624
353	31876.7272
354	31837.48332
355	31794.1559
356	31734.66422
357	31690.91634
358	31635.21156
359	31592.19172
360	31512.46453
361	31476.70504
362	31433.38186
363	31397.11986
364	31354.72272
365	31307.38783
366	31260.3724
367	31194.62081
368	31138.71438
369	31090.03112
370	31031.04545
371	30998.74361
372	30967.68915
373	30921.45116
374	30882.7401
375	30838.55293
376	30789.1484
377	30754.58266
378	30718.26611
379	30684.30138
380	30651.02002
381	30603.0668
382	30575.80743
383	30552.65684
384	30477.87189
385	30425.65032
386	30395.52527
387	30339.1087
388	30317.82006
389	30292.18403
390	30248.82501
391	30202.28017
392	30173.28686
393	30144.34822
394	30100.16352
395	30065.44452
396	29997.7961
397	29971.33613
398	29944.21964
399	29913.20582
400	29855.89734
401	29818.5247
402	29754.63861
403	29715.81084
404	29671.27727
405	29608.01516
406	29551.90695
407	29523.6187
408	29487.87245
409	29454.79329
410	29431.16683
411	29371.52596
412	29348.70098
413	29286.84875
414	29235.02917
415	29190.36979
416	29160.42735
417	29135.29829
418	29110.17797
419	29072.36283
420	29031.86116
421	28981.29463
422	28925.97756
423	28886.24535
424	28835.85238
425	28802.80914
426	28749.61254
427	28708.57178
428	28669.34822
429	28632.0697
430	28610.99057
431	28565.59762
432	28499.46984
433	28485.50125
434	28449.81072
435	28437.21403
436	28403.97454
437	28361.32846
438	28332.01539
439	28290.39104
440	28236.14307
441	28188.36787
442	28136.10187
443	28085.36491
444	28050.53864
445	28012.29788
446	27971.80518
447	27925.14614
448	27914.3123
449	27873.32752
450	27806.67546
451	27778.65442
452	27747.05482
453	27736.00616
454	27723.91871
455	27685.00538
456	27646.14673
457	27608.7926
458	27558.34085
459	27505.72154
460	27499.2645
461	27466.13557
462	27432.06155
463	27400.96178
464	27349.64974
465	27324.83483
466	27320.3345
467	27279.74767
468	27238.78841
469	27229.25719
470	27176.87024
471	27162.15341
472	27118.27588
473	27054.11512
474	27029.85022
475	27005.80288
476	26951.6172
477	26924.98248
478	26879.29797
479	26851.95148
480	26806.10321
481	26772.043
482	26738.07642
483	26709.1185
484	26669.44037
485	26635.94097
486	26598.37639
487	26587.13685
488	26548.49233
489	26510.25513
490	26472.665
491	26454.2123
492	26440.2379
493	26398.94742
494	26350.16784
495	26320.19489
496	26284.07693
497	26239.26806
498	26184.62175
499	26144.70531
500	26120.36047
501	26079.81544
502	26045.54981
503	26018.57939
504	25974.36346
505	25948.02773
506	25913.81787
507	25879.13103
508	25853.91042
509	25825.42019
510	25790.52144
511	25753.24863
512	25714.52503
513	25698.00735
514	25662.73559
515	25633.03271
516	25598.82862
517	25581.20529
518	25557.30237
519	25537.91429
520	25486.53324
521	25447.89389
522	25400.55049
523	25365.58583
524	25340.07004
525	25326.67201
526	25294.26038
527	25253.83965
528	25213.29526
529	25197.14908
530	25179.05148
531	25138.3351
532	25091.49303
533	25071.67969
534	25046.25453
535	25028.06794
536	24996.05441
537	24943.46875
538	24925.5409
539	24902.46678
540	24854.00175
541	24831.12531
542	24790.07578
543	24765.25364
544	24738.71958
545	24709.91026
546	24680.99317
547	24632.15201
548	24614.94621
549	24574.47747
550	24537.91863
551	24501.73256
552	24480.98456
553	24455.68108
554	24432.27999
555	24424.61239
556	24395.73052
557	24390.35738
558	24359.17309
559	24320.19578
560	24304.11965
561	24282.3206
562	24248.64805
563	24212.79602
564	24197.47855
565	24157.25915
566	24126.55581
567	24094.09611
568	24065.62618
569	24020.72639
570	23985.42757
571	23940.99067
572	23909.37151
573	23886.27099
574	23855.06185
575	23831.81113
576	23813.31468
577	23786.37116
578	23755.88743
579	23726.98157
580	23706.74384
581	23664.3674
582	23641.15949
583	23623.97365
584	23600.87162
585	23579.88459
586	23550.65342
587	23510.13889
588	23471.39412
589	23436.18808
590	23414.15078
591	23370.35329
592	23343.9158
593	23317.83831
594	23303.87793
595	23257.31885
596	23226.6421
597	23198.21243
598	23178.45289
599	23167.03369
600	23105.38437
601	23080.94061
602	23058.37751
603	23018.20694
604	22990.94566
605	22965.94211
606	22919.5826
607	22872.522
608	22837.45227
609	22802.90422
610	22774.57339
611	22752.51241
612	22726.09681
613	22702.17061
614	22686.20861
615	22664.69312
616	22628.68305
617	22611.45666
618	22574.00589
619	22558.45732
620	22525.0457
621	22509.78247
622	22476.98649
623	22449.06556
624	22421.90986
625	22360.98334
626	22327.08639
627	22305.52638
628	22277.71448
629	22242.62066
630	22202.46364
631	22159.67635
632	22126.88684
633	22101.07233
634	22080.11613
635	22053.60298
636	22021.10895
637	21985.89802
638	21957.01863
639	21939.74692
640	21907.82691
641	21886.87197
642	21858.88766
643	21844.94965
644	21820.63423
645	21805.70216
646	21776.26137
647	21734.62545
648	21708.21841
649	21679.21193
650	21640.3863
651	21622.47447
652	21591.35283
653	21579.8412
654	21557.98691
655	21535.9023
656	21506.99129
657	21480.23873
658	21465.33999
659	21443.58578
660	21418.78743
661	21397.12326
662	21366.50999
663	21343.34817
664	21303.59672
665	21281.66344
666	21258.64823
667	21236.57802
668	21212.65508
669	21187.53986
670	21159.68703
671	21147.61134
672	21132.30247
673	21112.58992
674	21085.47979
675	21048.77686
676	21030.35488
677	21006.85657
678	20990.79716
679	20972.28114
680	20949.36508
681	20931.5546
682	20907.83266
683	20884.33833
684	20869.00916
685	20855.23927
686	20839.05547
687	20823.14332
688	20805.46691
689	20787.01479
690	20751.5471
691	20727.55178
692	20709.09314
693	20688.99927
694	20672.26888
695	20651.60465
696	20630.92645
697	20604.83271
698	20577.78814
699	20540.94551
700	20520.72008
701	20509.02888
702	20484.56017
703	20458.49482
704	20449.81121
705	20429.22731
706	20404.04997
707	20393.87349
708	20364.99154
709	20350.05302
710	20325.00207
711	20293.06364
712	20267.81939
713	20251.13855
714	20226.92765
715	20203.69644
716	20154.91222
717	20128.16782
718	20093.38045
719	20064.80704
720	20038.86188
721	20015.74105
722	19988.63767
723	19960.56197
724	19930.2631
725	19908.56986
726	19905.04864
727	19884.58884
728	19868.41068
729	19849.17962
730	19840.3141
731	19825.10118
732	19817.95274
733	19791.24005
734	19766.14006
735	19759.90157
736	19735.28706
737	19705.37263
738	19694.38643
739	19678.09847
740	19657.72766
741	19630.59366
742	19613.799
743	19571.90801
744	19567.32205
745	19550.40072
746	19532.67469
747	19514.50052
748	19504.65436
749	19479.67308
750	19459.66569
751	19434.05771
752	19422.07789
753	19400.89381
754	19373.96894
755	19356.80325
756	19352.15489
757	19327.03447
758	19289.81129
759	19286.68486
760	19278.5519
761	19255.68142
762	19231.51244
763	19208.26051
764	19190.58685
765	19177.56268
766	19161.37564
767	19129.99069
768	19118.60106
769	19101.31739
770	19076.25876
771	19045.86502
772	19023.50946
773	19001.71261
774	18982.33568
775	18942.79192
776	18914.48881
777	18896.66477
778	18872.28207
779	18847.91231
780	18822.52074
781	18794.65953
782	18783.89297
783	18772.29705
784	18756.81551
785	18741.18641
786	18736.88322
787	18706.53426
788	18687.07538
789	18672.79404
790	18655.27698
791	18634.29478
792	18615.32655
793	18600.9663
794	18575.87751
795	18557.23596
796	18530.38524
797	18509.18929
798	18483.6679
799	18449.3291
800	18431.38782
801	18401.44458
802	18372.17308
