iter	Passed	Remaining
0	7	35388
1	12	32237
2	18	30846
3	24	30607
4	30	30015
5	35	29696
6	42	30113
7	47	29685
8	53	29757
9	59	29708
10	65	29615
11	71	29750
12	77	29847
13	89	32049
14	108	36099
15	127	39730
16	134	39350
17	139	38668
18	146	38380
19	154	38358
20	165	39132
21	170	38672
22	176	38280
23	182	37887
24	188	37554
25	194	37195
26	200	36888
27	208	37027
28	215	36857
29	221	36635
30	227	36457
31	232	36050
32	237	35675
33	241	35254
34	246	34900
35	250	34500
36	254	34188
37	258	33818
38	263	33520
39	268	33262
40	272	32958
41	277	32715
42	281	32440
43	286	32244
44	290	31987
45	294	31739
46	300	31639
47	305	31499
48	309	31259
49	313	31034
50	318	30879
51	322	30681
52	326	30487
53	331	30327
54	335	30185
55	340	30023
56	344	29860
57	348	29732
58	353	29614
59	357	29465
60	362	29361
61	366	29229
62	371	29120
63	376	29026
64	380	28887
65	384	28767
66	388	28612
67	393	28546
68	398	28453
69	402	28332
70	408	28370
71	412	28259
72	417	28175
73	422	28104
74	426	28005
75	430	27914
76	435	27846
77	439	27754
78	444	27664
79	448	27605
80	452	27503
81	457	27419
82	461	27325
83	465	27242
84	469	27168
85	474	27090
86	480	27117
87	484	27038
88	488	26976
89	493	26914
90	497	26835
91	501	26768
92	506	26732
93	511	26674
94	515	26615
95	519	26554
96	524	26489
97	528	26426
98	532	26365
99	537	26330
100	541	26286
101	547	26300
102	555	26389
103	559	26340
104	565	26357
105	569	26291
106	573	26228
107	577	26178
108	582	26155
109	587	26095
110	591	26049
111	595	26007
112	600	25952
113	604	25902
114	608	25857
115	616	25959
116	624	26084
117	629	26037
118	633	25978
119	637	25921
120	641	25881
121	645	25824
122	650	25776
123	654	25731
124	659	25702
125	663	25658
126	667	25604
127	671	25565
128	675	25514
129	680	25477
130	684	25435
131	689	25421
132	693	25381
133	697	25346
134	704	25371
135	709	25374
136	714	25365
137	719	25352
138	724	25333
139	728	25303
140	733	25278
141	738	25256
142	743	25243
143	747	25217
144	752	25184
145	756	25156
146	761	25142
147	766	25116
148	770	25090
149	775	25063
150	779	25033
151	784	25009
152	788	24985
153	793	24966
154	798	24958
155	803	24937
156	807	24912
157	812	24890
158	816	24862
159	821	24847
160	826	24827
161	830	24807
162	835	24785
163	840	24784
164	844	24755
165	849	24733
166	854	24731
167	858	24705
168	863	24675
169	867	24651
170	872	24634
171	876	24611
172	881	24589
173	885	24569
174	890	24543
