iter	Passed	Remaining
0	52	104681
1	57	57798
2	66	44010
3	68	34418
4	74	29673
5	80	26605
6	89	25371
7	94	23559
8	102	22687
9	109	21697
10	115	20934
11	121	20101
12	127	19499
13	133	18942
14	140	18595
15	146	18200
16	150	17515
17	155	17155
18	161	16818
19	167	16578
20	171	16135
21	175	15762
22	180	15535
23	185	15287
24	188	14917
25	193	14659
26	197	14446
27	201	14211
28	206	14025
29	212	13934
30	217	13820
31	221	13631
32	226	13524
33	232	13452
34	237	13350
35	243	13287
36	246	13077
37	249	12876
38	252	12697
39	255	12526
40	261	12483
41	264	12351
42	268	12204
43	272	12115
44	276	12016
45	279	11871
46	282	11719
47	285	11592
48	289	11528
49	293	11456
50	299	11437
51	303	11366
52	306	11267
53	309	11157
54	313	11079
55	319	11075
56	321	10971
57	324	10870
58	327	10771
59	330	10692
60	334	10632
61	337	10545
62	340	10462
63	343	10383
64	346	10303
65	349	10253
66	352	10172
67	355	10095
68	358	10030
69	361	9956
70	364	9915
71	367	9843
72	371	9809
73	374	9746
74	377	9682
75	380	9638
76	383	9577
77	387	9537
78	390	9486
79	392	9431
80	395	9379
81	398	9325
82	403	9321
83	410	9359
84	414	9329
85	417	9292
86	420	9244
87	423	9197
88	426	9164
89	429	9114
90	433	9088
91	436	9043
92	439	9008
93	442	8968
94	445	8928
95	452	8971
96	456	8949
97	462	8985
98	466	8955
99	469	8915
100	472	8886
101	475	8848
102	479	8822
103	482	8787
104	485	8764
105	488	8727
106	491	8698
107	494	8663
108	497	8628
109	500	8603
110	503	8572
111	506	8537
112	509	8503
113	512	8471
114	514	8438
115	518	8420
116	521	8388
117	524	8358
118	526	8323
119	529	8291
120	532	8268
121	535	8238
122	537	8209
123	540	8182
124	543	8153
125	547	8135
126	549	8106
127	552	8079
128	555	8050
129	557	8026
130	561	8004
131	564	7984
132	566	7959
133	569	7937
134	572	7913
135	575	7889
136	578	7871
137	581	7846
138	584	7821
139	586	7797
140	589	7775
141	593	7769
142	596	7748
143	599	7726
144	602	7702
145	605	7691
146	609	7684
147	612	7664
148	615	7640
149	618	7625
150	621	7604
151	624	7589
152	627	7569
153	630	7556
154	633	7541
155	636	7521
156	639	7504
157	642	7485
158	644	7465
159	648	7456
160	651	7437
161	654	7420
162	656	7400
163	659	7381
164	662	7370
165	665	7355
166	669	7345
167	672	7332
168	675	7322
169	678	7304
170	681	7285
171	684	7274
172	687	7256
173	689	7238
174	692	7219
175	695	7203
176	699	7202
177	704	7212
178	707	7201
179	712	7204
180	715	7189
181	718	7173
182	720	7157
183	723	7141
184	726	7131
185	730	7126
186	733	7110
187	736	7096
188	739	7081
189	742	7074
190	746	7068
191	749	7054
192	751	7038
193	754	7022
194	757	7011
195	760	7000
196	763	6984
197	765	6970
198	768	6957
199	771	6947
200	774	6935
201	777	6921
202	780	6908
203	783	6901
204	786	6888
205	792	6897
206	795	6893
207	798	6879
208	801	6867
209	806	6873
210	809	6861
211	812	6849
212	814	6836
213	818	6828
214	821	6818
215	823	6805
216	826	6793
217	830	6786
218	834	6790
219	837	6778
220	840	6767
221	843	6755
222	846	6746
223	850	6741
224	853	6731
225	856	6719
226	858	6707
227	863	6714
228	867	6707
229	870	6696
230	877	6718
231	883	6736
232	888	6735
233	891	6724
234	894	6716
235	898	6716
236	901	6704
237	904	6695
238	907	6684
239	910	6679
240	914	6677
241	917	6666
242	920	6655
243	923	6643
244	927	6642
245	930	6633
246	932	6621
247	935	6609
248	938	6599
249	943	6602
250	946	6591
251	948	6580
252	951	6568
253	954	6558
254	957	6551
255	960	6542
256	963	6531
257	965	6520
258	968	6512
259	972	6508
260	975	6498
261	977	6487
262	980	6476
263	984	6471
264	987	6466
265	990	6457
266	993	6447
267	996	6437
268	1001	6447
269	1004	6439
270	1007	6428
271	1010	6417
272	1012	6407
273	1015	6397
274	1019	6395
275	1022	6384
276	1024	6374
277	1029	6375
278	1032	6371
279	1035	6362
280	1038	6352
281	1041	6342
282	1044	6334
283	1048	6337
284	1051	6329
285	1054	6320
286	1057	6310
287	1061	6311
288	1065	6305
289	1067	6297
290	1070	6287
291	1073	6279
292	1076	6270
293	1079	6261
294	1082	6254
295	1084	6244
296	1087	6236
297	1091	6234
298	1095	6231
299	1098	6224
300	1101	6215
301	1104	6207
302	1106	6199
303	1111	6201
304	1114	6192
305	1117	6184
306	1119	6175
307	1122	6166
308	1126	6166
309	1129	6157
310	1132	6149
311	1134	6139
312	1137	6131
313	1141	6127
314	1143	6119
315	1146	6109
316	1149	6100
317	1151	6091
318	1155	6091
319	1158	6082
320	1161	6074
321	1164	6067
322	1166	6058
323	1170	6055
324	1173	6046
325	1175	6038
326	1178	6029
327	1181	6022
328	1185	6020
329	1188	6013
330	1191	6006
331	1193	5997
332	1196	5990
333	1200	5990
334	1204	5985
335	1207	5978
336	1210	5972
337	1213	5967
338	1216	5961
339	1219	5954
340	1222	5948
341	1225	5940
342	1229	5938
343	1233	5938
344	1236	5930
345	1239	5922
346	1243	5921
347	1246	5917
348	1249	5911
349	1252	5906
350	1256	5901
351	1259	5895
352	1263	5896
353	1266	5889
354	1270	5886
355	1273	5880
356	1279	5887
357	1285	5895
358	1291	5905
359	1295	5902
360	1299	5897
361	1302	5892
362	1305	5885
363	1308	5881
364	1312	5878
365	1317	5883
366	1321	5882
367	1329	5897
368	1333	5896
369	1336	5889
370	1339	5883
371	1342	5877
372	1346	5872
373	1350	5870
374	1356	5877
375	1361	5880
376	1364	5876
377	1369	5875
378	1372	5870
379	1375	5865
380	1378	5858
381	1381	5851
382	1385	5847
383	1387	5840
384	1391	5835
385	1393	5827
386	1396	5820
387	1399	5815
388	1402	5808
389	1405	5802
390	1408	5794
391	1410	5786
392	1413	5779
393	1416	5772
394	1420	5771
395	1423	5764
396	1425	5757
397	1428	5750
398	1431	5744
399	1435	5741
400	1438	5734
401	1440	5727
402	1443	5721
403	1447	5717
404	1450	5710
405	1452	5703
406	1455	5696
407	1458	5689
408	1461	5685
409	1464	5679
410	1467	5672
411	1469	5665
412	1472	5658
413	1476	5655
414	1479	5649
415	1482	5644
416	1485	5637
417	1488	5631
418	1491	5626
419	1494	5620
420	1496	5614
421	1499	5608
422	1502	5601
423	1507	5601
424	1509	5595
425	1512	5590
426	1515	5583
427	1518	5578
428	1522	5575
429	1525	5569
430	1528	5563
431	1530	5556
432	1534	5552
433	1537	5547
434	1540	5541
435	1543	5535
436	1545	5528
437	1549	5524
438	1552	5520
439	1555	5514
440	1559	5511
441	1562	5506
442	1564	5500
443	1568	5496
444	1570	5489
445	1573	5482
446	1576	5477
447	1579	5471
448	1582	5467
449	1585	5462
450	1588	5456
451	1592	5452
452	1595	5447
453	1598	5444
454	1602	5440
455	1606	5438
456	1608	5432
457	1612	5428
458	1615	5422
459	1618	5416
460	1621	5412
461	1624	5406
462	1626	5400
463	1629	5394
464	1632	5388
465	1635	5383
466	1638	5379
467	1641	5373
468	1644	5367
469	1647	5362
470	1649	5356
471	1652	5350
472	1655	5344
473	1658	5340
474	1661	5333
475	1664	5328
476	1667	5323
477	1669	5316
478	1672	5310
479	1675	5305
480	1678	5301
481	1682	5297
482	1685	5292
483	1688	5288
484	1691	5283
485	1694	5279
486	1697	5273
487	1700	5268
488	1703	5263
489	1706	5258
490	1708	5251
491	1711	5247
492	1714	5241
493	1717	5236
494	1720	5231
495	1723	5225
496	1727	5223
497	1729	5217
498	1732	5212
499	1736	5209
500	1739	5204
501	1742	5198
502	1744	5193
503	1747	5187
504	1750	5182
505	1753	5177
506	1756	5171
507	1759	5166
508	1761	5161
509	1765	5156
510	1768	5152
511	1770	5146
512	1773	5141
513	1776	5136
514	1780	5133
515	1784	5131
516	1787	5126
517	1793	5130
518	1797	5130
519	1802	5129
520	1805	5125
521	1809	5123
522	1812	5118
523	1815	5113
524	1818	5108
525	1820	5102
526	1823	5097
527	1827	5095
528	1830	5089
529	1833	5085
530	1839	5090
531	1844	5088
532	1847	5084
533	1850	5078
534	1852	5073
535	1856	5069
536	1858	5064
537	1862	5061
538	1865	5055
539	1868	5050
540	1871	5047
541	1874	5042
542	1877	5037
543	1880	5032
544	1883	5028
545	1886	5025
546	1890	5022
547	1893	5017
548	1897	5014
549	1900	5009
550	1903	5004
551	1906	5001
552	1909	4996
553	1914	4996
554	1918	4994
555	1921	4989
556	1923	4983
557	1926	4978
558	1929	4973
559	1932	4970
560	1935	4964
561	1938	4959
562	1940	4954
563	1943	4948
564	1947	4947
565	1950	4942
566	1953	4936
567	1955	4931
568	1958	4926
569	1961	4920
570	1964	4915
571	1967	4910
572	1969	4905
573	1972	4900
574	1975	4897
575	1979	4892
576	1981	4887
577	1984	4881
578	1987	4876
579	1989	4871
580	1992	4866
581	1996	4864
582	1999	4860
583	2002	4855
584	2005	4850
585	2009	4848
586	2012	4843
587	2014	4838
588	2017	4833
589	2020	4827
590	2023	4823
591	2026	4818
592	2029	4814
593	2032	4809
594	2034	4804
595	2037	4799
596	2040	4795
597	2044	4792
598	2046	4787
599	2049	4781
600	2052	4776
601	2054	4772
602	2058	4768
603	2061	4763
604	2064	4759
605	2066	4754
606	2070	4751
607	2073	4747
608	2076	4742
609	2079	4737
610	2082	4733
611	2086	4731
612	2089	4728
613	2092	4723
614	2095	4718
615	2097	4713
616	2101	4710
617	2104	4706
618	2107	4701
619	2110	4696
620	2114	4694
621	2117	4691
622	2120	4686
623	2123	4681
624	2125	4677
625	2128	4672
626	2132	4670
627	2135	4665
628	2138	4660
629	2140	4655
630	2144	4652
631	2147	4649
632	2150	4644
633	2154	4642
634	2157	4638
635	2161	4635
636	2164	4631
637	2167	4626
638	2170	4622
639	2173	4618
640	2176	4615
641	2179	4610
642	2182	4606
643	2185	4602
644	2188	4598
645	2191	4594
646	2194	4589
647	2197	4585
648	2200	4581
649	2203	4576
650	2207	4574
651	2211	4571
652	2214	4567
653	2216	4562
654	2219	4557
655	2223	4555
656	2227	4553
657	2230	4548
658	2233	4544
659	2236	4540
660	2239	4536
661	2243	4533
662	2245	4529
663	2248	4524
664	2251	4520
665	2254	4515
666	2257	4511
667	2260	4506
668	2263	4502
669	2266	4498
670	2271	4499
671	2274	4495
672	2277	4490
673	2280	4487
674	2284	4484
675	2287	4480
676	2290	4475
677	2292	4470
678	2295	4466
679	2299	4463
680	2302	4458
681	2304	4454
682	2307	4449
683	2313	4450
684	2318	4450
685	2321	4447
686	2326	4445
687	2330	4443
688	2332	4439
689	2335	4434
690	2338	4430
691	2341	4425
692	2344	4421
693	2347	4416
694	2349	4412
695	2353	4408
696	2355	4404
697	2359	4400
698	2362	4396
699	2364	4391
700	2368	4388
701	2371	4384
702	2374	4380
703	2377	4375
704	2379	4371
705	2383	4368
706	2386	4363
707	2389	4361
708	2392	4357
709	2395	4353
710	2398	4348
711	2401	4344
712	2405	4341
713	2407	4336
714	2410	4332
715	2413	4327
716	2416	4323
717	2419	4320
718	2422	4315
719	2424	4310
720	2427	4306
721	2430	4302
722	2433	4298
723	2436	4294
724	2439	4290
725	2442	4285
726	2444	4281
727	2448	4277
728	2452	4275
729	2454	4270
730	2457	4266
731	2460	4261
732	2463	4257
733	2465	4253
734	2469	4249
735	2471	4245
736	2474	4240
737	2477	4236
738	2480	4232
739	2482	4227
740	2486	4224
741	2488	4219
742	2491	4215
743	2494	4211
744	2497	4207
745	2500	4202
746	2502	4198
747	2505	4193
748	2509	4191
749	2513	4189
750	2517	4186
751	2520	4182
752	2523	4178
753	2527	4176
754	2530	4172
755	2532	4167
756	2537	4166
757	2540	4162
758	2543	4159
759	2546	4154
760	2548	4149
761	2553	4148
762	2557	4146
763	2560	4141
764	2563	4137
765	2566	4133
766	2568	4129
767	2572	4126
768	2575	4122
769	2578	4118
770	2581	4114
771	2584	4111
772	2587	4107
773	2590	4103
774	2593	4099
775	2596	4095
776	2599	4091
777	2603	4088
778	2606	4084
779	2609	4080
780	2611	4076
781	2614	4072
782	2618	4070
783	2621	4065
784	2623	4061
785	2626	4056
786	2629	4053
787	2634	4051
788	2636	4047
789	2639	4043
790	2643	4039
791	2646	4036
792	2649	4032
793	2652	4028
794	2654	4023
795	2657	4020
796	2660	4015
797	2663	4012
798	2666	4008
799	2670	4005
800	2672	4001
801	2675	3996
802	2678	3993
803	2681	3989
804	2684	3985
805	2687	3981
806	2690	3977
807	2693	3973
808	2696	3969
809	2699	3965
810	2701	3961
811	2707	3961
812	2710	3957
813	2714	3955
814	2718	3953
815	2723	3951
816	2726	3947
817	2729	3943
