iter	RMSE
0	110898.3028
1	109451.6759
2	108085.4072
3	106792.0316
4	105539.481
5	104352.4698
6	103040.1732
7	101791.1397
8	100593.0444
9	99485.59557
10	98201.53719
11	96984.88851
12	95974.11235
13	95005.70273
14	94113.30483
15	93183.77068
16	92157.2904
17	91337.25933
18	90327.58074
19	89475.86121
20	88743.48631
21	87969.28931
22	87215.28745
23	86518.95656
24	85838.48711
25	85170.34557
26	84518.91587
27	83821.21249
28	83133.91208
29	82592.18208
30	81999.95429
31	81461.90588
32	80908.55381
33	80402.03798
34	79891.02916
35	79311.50003
36	78865.94733
37	78415.08305
38	77907.26521
39	77468.63959
40	77030.631
41	76618.67708
42	76173.8268
43	75561.92869
44	75184.44463
45	74815.99355
46	74428.36629
47	74076.03933
48	73694.76049
49	73363.24343
50	73041.7415
51	72630.16242
52	72309.20609
53	71855.90532
54	71595.96161
55	71222.6315
56	70846.76936
57	70476.31774
58	70207.55606
59	69858.07137
60	69480.37594
61	69251.40032
62	68794.96418
63	68471.255
64	68240.42007
65	68010.84699
66	67786.23956
67	67522.30477
68	67290.97958
69	67041.73419
70	66833.4269
71	66546.81233
72	66253.93235
73	66075.0506
74	65767.08053
75	65571.76522
76	65369.61444
77	65091.792
78	64903.712
79	64736.10235
80	64489.12657
81	64333.00102
82	64143.52059
83	63853.51671
84	63664.49995
85	63464.79695
86	63251.84325
87	63043.74891
88	62807.10377
89	62569.60221
90	62391.70011
91	62224.87785
92	62083.10267
93	61912.45254
94	61719.59527
95	61604.43972
96	61371.95912
97	61136.63875
98	61002.92374
99	60848.17529
100	60707.84035
101	60590.47765
102	60431.46128
103	60250.02175
104	60159.97236
105	60012.89827
106	59871.97494
107	59775.16991
108	59602.72538
109	59424.4087
110	59277.24118
111	59136.36468
112	58984.83871
113	58864.7064
114	58740.71036
115	58630.51519
116	58505.08341
117	58385.79604
118	58235.11163
119	58106.10226
120	57996.6715
121	57885.805
122	57765.50132
123	57663.11996
124	57552.6525
125	57460.33595
126	57352.31942
127	57200.44978
128	57037.95086
129	56944.32935
130	56870.16527
131	56708.08743
132	56553.84408
133	56481.0582
134	56337.1438
135	56241.42017
136	56149.89243
137	56017.89866
138	55867.0151
139	55697.95732
140	55592.12411
141	55489.12268
142	55379.8711
143	55266.31959
144	55150.42447
145	55005.50049
146	54902.93636
147	54818.66046
148	54703.97802
149	54623.19899
150	54550.22955
151	54420.17253
152	54305.19954
153	54211.35639
154	54122.04328
155	54039.97196
156	53918.25272
157	53822.2359
158	53729.03036
159	53655.82466
160	53562.67263
161	53474.30942
162	53341.13842
163	53211.69945
164	53154.32891
165	53095.46142
166	52992.40054
167	52887.55969
168	52779.3387
169	52686.74398
170	52577.85712
171	52488.17707
172	52420.04049
173	52335.29869
174	52254.68716
175	52166.5519
176	52057.02667
177	51955.88586
178	51888.1991
179	51772.21377
180	51700.88417
181	51596.55539
182	51528.83874
183	51456.1062
184	51400.63458
185	51335.18851
186	51276.5354
187	51186.96431
188	51092.36944
189	50991.85052
190	50920.79641
191	50839.02617
192	50731.09176
193	50622.83149
194	50545.502
195	50465.19945
196	50393.1133
197	50338.05051
198	50232.248
199	50147.89123
200	50085.57057
201	50027.13821
202	49931.22088
203	49859.35435
204	49783.4003
205	49685.19374
206	49607.33882
207	49542.21863
208	49490.42352
209	49407.09762
210	49334.71273
211	49238.72162
212	49158.48343
213	49132.80382
214	49068.76737
215	49003.60569
216	48939.59126
217	48853.73928
218	48816.76692
219	48736.98115
220	48658.30532
221	48580.99497
222	48508.31738
223	48462.98747
224	48403.56508
225	48338.53705
226	48262.00069
227	48191.93152
228	48113.68856
229	48058.03174
230	47961.82766
231	47893.14641
232	47826.16177
233	47754.56087
234	47714.28893
235	47649.50005
236	47596.89499
237	47527.58771
238	47478.05345
239	47414.27962
240	47369.3175
241	47323.48816
242	47241.76974
243	47185.03717
244	47118.11884
245	47028.73284
246	46956.16664
247	46919.78151
248	46890.44101
249	46844.76983
250	46776.07909
251	46711.31919
252	46665.29306
253	46589.85716
254	46540.53384
255	46470.42184
256	46430.38743
257	46346.97022
258	46268.66563
259	46203.12156
260	46149.75566
261	46079.752
262	46010.56054
263	45961.09117
264	45925.3401
265	45879.1672
266	45806.92004
267	45754.45984
268	45684.05991
269	45613.97189
270	45551.25792
271	45448.22327
272	45361.70075
273	45312.15271
274	45233.76539
275	45164.02836
276	45123.72878
277	45063.98239
278	44992.73548
279	44895.72331
280	44796.72172
281	44765.29977
282	44688.71474
283	44614.41078
284	44565.14942
285	44518.15421
286	44442.23926
287	44426.37058
288	44383.65657
289	44329.51595
290	44281.51225
291	44234.58901
292	44162.42793
293	44122.87276
294	44073.739
295	44013.85898
296	43946.16349
297	43864.80298
298	43815.8997
299	43802.13726
300	43762.44954
301	43721.12036
302	43675.42496
303	43659.75015
304	43648.5697
305	43606.39388
306	43537.9736
307	43486.22681
308	43459.29499
309	43371.16313
310	43314.33989
311	43266.20408
312	43236.1644
313	43176.38092
314	43114.33067
315	43042.73121
316	42959.85041
317	42926.7388
318	42891.37418
319	42851.76745
