iter	Passed	Remaining
0	8	17565
1	24	24946
2	31	20712
3	46	23010
4	60	24113
5	66	22139
6	74	21136
7	80	19968
8	88	19668
9	95	18961
10	103	18682
11	109	18132
12	117	18034
13	124	17637
14	134	17736
15	139	17351
16	146	17138
17	154	17026
18	162	16993
19	170	16856
20	177	16765
21	183	16532
22	192	16512
23	198	16348
24	207	16405
25	214	16270
26	219	16062
27	224	15807
28	228	15546
29	233	15317
30	237	15073
31	242	14887
32	247	14749
33	251	14559
34	255	14366
35	260	14189
36	265	14069
37	269	13901
38	274	13807
39	280	13726
40	285	13633
41	291	13608
42	297	13536
43	304	13528
44	308	13408
45	313	13308
46	317	13183
47	322	13123
48	326	13009
49	330	12893
50	335	12833
51	339	12735
52	344	12638
53	348	12555
54	352	12478
55	357	12394
56	360	12303
57	366	12274
58	370	12196
59	374	12110
60	380	12103
61	384	12033
62	389	11964
63	394	11921
64	399	11900
65	404	11866
66	410	11852
67	419	11912
68	423	11846
69	427	11788
70	432	11748
71	436	11690
72	443	11719
73	449	11703
74	457	11749
75	462	11699
76	474	11855
77	481	11853
78	485	11809
79	492	11822
80	497	11787
81	502	11762
82	509	11769
83	514	11739
84	520	11728
85	526	11715
86	531	11684
87	537	11682
88	542	11641
89	546	11605
90	551	11561
91	555	11525
92	561	11511
93	566	11483
94	570	11448
95	577	11445
96	581	11411
97	586	11378
98	591	11350
99	596	11328
100	601	11301
101	606	11277
102	612	11275
103	618	11268
104	626	11314
105	634	11334
106	641	11349
107	648	11367
108	655	11366
109	667	11462
110	673	11458
111	679	11457
112	684	11428
113	689	11412
114	694	11388
115	699	11361
116	706	11366
117	711	11342
118	715	11317
119	725	11361
120	732	11370
121	737	11352
122	742	11335
123	748	11325
124	753	11305
125	758	11282
126	767	11314
127	775	11340
128	783	11358
129	788	11337
130	794	11334
131	799	11308
132	803	11282
133	810	11281
134	815	11263
135	822	11275
136	829	11278
137	834	11254
138	841	11265
139	845	11239
140	852	11244
141	858	11230
142	863	11217
143	869	11202
144	874	11184
145	880	11179
146	889	11210
147	894	11193
148	901	11194
149	906	11181
150	911	11160
151	920	11193
152	930	11228
153	939	11265
154	950	11319
155	968	11450
156	981	11518
157	986	11495
158	990	11473
159	996	11456
160	1004	11471
161	1011	11479
162	1019	11485
163	1024	11473
164	1032	11480
165	1041	11508
166	1048	11510
167	1054	11503
168	1060	11485
169	1064	11460
170	1069	11438
171	1078	11457
172	1083	11444
173	1090	11444
174	1095	11424
175	1100	11402
176	1105	11383
177	1110	11362
178	1116	11355
179	1121	11338
180	1125	11315
181	1132	11313
182	1137	11289
183	1141	11271
184	1147	11255
185	1151	11233
186	1156	11213
187	1163	11215
188	1168	11196
189	1174	11188
190	1179	11169
191	1184	11150
192	1189	11139
193	1194	11120
194	1199	11098
195	1206	11109
196	1211	11089
197	1216	11072
198	1226	11101
199	1237	11134
200	1245	11150
201	1253	11154
202	1258	11136
203	1263	11121
204	1269	11112
205	1273	11094
206	1280	11087
207	1285	11072
208	1291	11063
209	1296	11047
210	1301	11033
211	1306	11019
212	1311	11001
213	1318	11000
214	1322	10982
215	1328	10974
216	1336	10978
217	1341	10966
218	1346	10952
219	1351	10934
220	1356	10916
