iter	Logloss
0	0.6691407305
1	0.6483620262
2	0.6341526173
3	0.6192139298
4	0.605145898
5	0.5902850094
6	0.5822156017
7	0.5722369476
8	0.5603142632
9	0.5504149332
10	0.5412833237
11	0.5347625834
12	0.5273332757
13	0.5217610558
14	0.5169124703
15	0.5118719272
16	0.5079445926
17	0.5029769245
18	0.4973010213
19	0.4932751271
20	0.4892712939
21	0.4858191069
22	0.4822102887
23	0.4789399382
24	0.4762086755
25	0.472192482
26	0.4691025074
27	0.4655609985
28	0.463262183
29	0.4616260802
30	0.4598622037
31	0.4575912545
32	0.4560758275
33	0.4534830727
34	0.4517719649
35	0.4504824509
36	0.4487173119
37	0.4474068803
38	0.4456784379
39	0.444422208
40	0.4436207306
41	0.4419355322
42	0.4409615809
43	0.4392238746
44	0.4381389149
45	0.4364934229
46	0.4352268484
47	0.4343808471
48	0.4332420503
49	0.4318354387
50	0.4309167473
51	0.4301410112
52	0.4289812639
53	0.4278465993
54	0.4268690492
55	0.4259218402
56	0.4251125001
57	0.4243267378
58	0.4234231536
59	0.422506439
60	0.4218697707
61	0.4213207298
62	0.4201044196
63	0.4193692974
64	0.4185598008
65	0.4180231107
66	0.4171293272
67	0.4165234271
68	0.4153269442
69	0.4144429441
70	0.4134867343
71	0.4128731786
72	0.4122544556
73	0.4113798089
74	0.4106481115
75	0.4098737559
76	0.4091447994
77	0.4085085411
78	0.4077211402
79	0.4068563953
80	0.4060270137
81	0.4053335212
82	0.4045924413
83	0.4039040146
84	0.4030371452
85	0.4024815123
86	0.4012491313
87	0.4006417756
88	0.4001384676
89	0.3996310236
90	0.3989239226
91	0.3984895379
92	0.3979300419
93	0.3974885243
94	0.3970008434
95	0.3963604869
96	0.3957987919
97	0.3951270585
98	0.3947018079
99	0.3941012309
100	0.3935839173
101	0.3931152567
102	0.3926633296
103	0.3921350352
104	0.3915655859
105	0.3911111474
106	0.3905449319
107	0.3900848111
108	0.3893882519
109	0.3887712509
110	0.3883865819
111	0.3870837342
112	0.3859924403
113	0.3854040976
114	0.3849598505
115	0.3843771745
116	0.3838054901
117	0.3832551714
118	0.3826436577
119	0.3822147909
120	0.3814603136
121	0.3809813678
122	0.3801832119
123	0.3795486617
124	0.3791063067
125	0.3787150778
126	0.378125791
127	0.3773536072
128	0.3767214926
129	0.3761072868
130	0.375596538
131	0.375148216
132	0.3745317661
133	0.373910457
134	0.3734603061
135	0.372907293
136	0.3725204981
137	0.3720952073
138	0.3716824734
139	0.3711172183
140	0.3706990919
141	0.3704014878
142	0.3698480516
143	0.3693309316
144	0.3687299149
145	0.3682679221
146	0.3678755383
147	0.3668629823
148	0.3664402044
149	0.3659142107
150	0.3654976009
151	0.3648823015
152	0.3643536742
153	0.3639346455
154	0.3632885238
155	0.3627939432
156	0.3622363889
157	0.3616952741
158	0.3611450771
159	0.3606482378
160	0.3602126675
161	0.3598004866
162	0.359277019
163	0.3587550686
164	0.35824774
165	0.3578549217
166	0.3572908562
167	0.3568893113
168	0.3565688498
169	0.3561675107
170	0.3556580036
171	0.355146266
172	0.3545216165
173	0.3541163103
174	0.353587108
175	0.3529162402
176	0.3524318214
177	0.3518222875
178	0.351228728
179	0.3506705207
180	0.3502131161
181	0.3498809826
182	0.3493865261
183	0.3489515147
184	0.3483949787
185	0.3479875915
186	0.3475265483
187	0.3471223283
188	0.3466649117
189	0.3461086966
190	0.3455884259
191	0.345096905
192	0.3445895449
193	0.3440766108
194	0.3435560055
195	0.34303515
196	0.3425866866
197	0.3419527389
198	0.3415557705
199	0.3408845505
200	0.3402893938
201	0.3396004531
202	0.3390585206
203	0.3384831666
204	0.3380091993
205	0.3374264227
206	0.3367129835
207	0.3361922135
208	0.3353439348
209	0.3348263994
210	0.3344487744
211	0.3339088825
212	0.3333226204
213	0.3327117281
214	0.3323405152
215	0.3318200568
216	0.3314420976
217	0.330918097
218	0.3303101018
219	0.3296502527
220	0.3291093094
221	0.3285718485
222	0.3280524768
223	0.327638605
224	0.3271212605
225	0.3266821431
226	0.3259354563
227	0.3254482877
228	0.3248061819
229	0.3243693257
230	0.3239479575
231	0.3234076986
232	0.3227904534
233	0.3223380884
234	0.3216817302
235	0.3212219191
236	0.320608065
237	0.3200685785
238	0.3196098348
239	0.3192023942
240	0.3188233911
241	0.3183492728
242	0.317977776
243	0.3175930145
244	0.3170466404
245	0.3164832911
246	0.3159999466
247	0.3154575717
248	0.3149745092
249	0.314524679
250	0.3138789198
251	0.3133800268
252	0.3129926608
253	0.3124628292
254	0.3118262786
255	0.3112134683
256	0.3105432269
257	0.3101326736
258	0.3096829213
259	0.3090907057
260	0.3085690511
261	0.3081039003
262	0.3074976425
263	0.3069917453
264	0.3065278492
265	0.3060008276
266	0.3055480115
267	0.3049892238
268	0.3044869835
269	0.3038715944
270	0.3034644616
271	0.3027346678
272	0.3023247429
273	0.3015564603
274	0.3012154198
275	0.3006961801
276	0.3000651936
277	0.2995355911
278	0.2991503895
279	0.2985231196
280	0.2980620237
281	0.2975165841
282	0.2971741503
283	0.2967773302
284	0.2960940117
285	0.2956087581
286	0.2951439218
287	0.2945476305
288	0.2941028371
289	0.2934214178
290	0.2928348936
291	0.2924848552
292	0.2918399804
293	0.291406965
294	0.2909687363
295	0.2905485573
296	0.2901410056
297	0.2896387826
298	0.289225487
299	0.2886422591
