iter	Passed	Remaining
0	19	5916
1	34	5118
2	48	4773
3	60	4485
4	77	4600
5	92	4533
6	107	4481
7	121	4428
8	137	4432
9	152	4414
10	167	4412
11	183	4410
12	199	4407
13	215	4393
14	229	4354
15	243	4325
16	258	4303
17	274	4304
18	291	4306
19	308	4322
20	323	4302
21	338	4281
22	354	4264
23	371	4270
24	389	4280
25	404	4267
26	420	4255
27	440	4278
28	458	4285
29	475	4276
30	491	4263
31	506	4244
32	522	4224
33	539	4220
34	556	4210
35	574	4214
36	590	4196
37	607	4185
38	625	4188
39	642	4174
40	666	4211
41	682	4194
42	699	4182
43	717	4174
44	733	4154
45	749	4137
46	765	4118
47	781	4103
48	797	4085
49	813	4066
50	829	4049
51	845	4034
52	862	4021
53	879	4004
54	895	3990
55	911	3969
56	926	3951
57	944	3939
58	964	3938
59	980	3921
60	998	3912
61	1014	3894
62	1031	3881
63	1054	3886
64	1070	3870
65	1086	3853
66	1103	3836
67	1118	3816
68	1133	3795
69	1148	3775
70	1166	3761
71	1183	3746
72	1198	3727
73	1215	3712
74	1231	3695
75	1247	3677
76	1264	3662
77	1280	3644
78	1298	3632
79	1315	3618
80	1331	3600
81	1347	3582
82	1364	3568
83	1383	3557
84	1401	3545
85	1420	3535
86	1437	3518
87	1461	3521
88	1482	3514
89	1499	3497
90	1514	3479
91	1531	3462
92	1552	3455
93	1569	3438
94	1585	3422
95	1602	3405
96	1618	3387
97	1635	3370
98	1651	3352
99	1672	3344
100	1689	3328
101	1705	3310
102	1722	3293
103	1737	3274
104	1752	3254
105	1771	3241
106	1788	3226
107	1806	3210
108	1823	3195
109	1839	3177
110	1855	3158
111	1871	3141
112	1887	3124
113	1906	3109
114	1922	3092
115	1939	3076
116	1960	3066
117	1984	3060
118	2001	3043
119	2017	3026
120	2033	3008
121	2053	2996
122	2069	2977
123	2085	2959
124	2100	2941
125	2115	2921
126	2133	2905
127	2150	2889
128	2166	2871
129	2182	2854
130	2198	2836
131	2214	2818
132	2232	2803
133	2248	2785
134	2265	2768
135	2281	2751
136	2298	2734
137	2314	2717
138	2330	2698
139	2345	2680
140	2363	2665
141	2381	2649
142	2398	2633
143	2414	2616
144	2431	2599
145	2450	2585
146	2476	2577
147	2497	2565
148	2514	2548
149	2533	2533
150	2549	2515
151	2563	2496
152	2584	2482
153	2599	2464
154	2615	2446
155	2630	2428
156	2645	2409
157	2663	2393
158	2679	2376
159	2693	2356
160	2709	2339
161	2727	2323
162	2743	2305
163	2758	2287
164	2774	2269
165	2792	2254
166	2809	2237
167	2823	2218
168	2838	2199
169	2854	2182
170	2871	2166
171	2888	2149
172	2903	2131
173	2923	2116
174	2941	2100
175	2957	2083
176	2974	2066
177	2991	2050
178	3011	2036
179	3033	2022
180	3049	2005
181	3065	1987
182	3081	1970
183	3113	1962
184	3155	1961
185	3181	1949
186	3208	1938
187	3229	1924
188	3252	1909
189	3275	1896
190	3304	1885
191	3324	1870
192	3358	1862
193	3387	1851
194	3415	1838
195	3440	1825
196	3466	1812
197	3489	1797
198	3523	1788
199	3552	1776
200	3584	1765
201	3605	1749
202	3629	1734
203	3649	1717
204	3674	1702
205	3695	1686
206	3718	1670
207	3738	1653
208	3759	1637
209	3783	1621
210	3815	1609
211	3841	1594
212	3859	1576
213	3879	1558
214	3894	1539
215	3909	1520
216	3923	1500
217	3939	1481
218	3954	1462
219	3970	1443
220	3988	1425
221	4003	1406
222	4030	1391
223	4050	1374
224	4070	1356
225	4086	1338
226	4107	1320
227	4132	1304
228	4153	1287
229	4176	1271
230	4209	1257
231	4224	1238
232	4241	1219
233	4258	1200
234	4275	1182
235	4291	1163
236	4308	1145
237	4327	1127
238	4349	1110
239	4371	1092
240	4388	1074
241	4406	1056
242	4423	1037
243	4439	1018
244	4457	1000
245	4474	982
246	4491	963
247	4508	945
248	4528	927
249	4546	909
250	4562	890
251	4582	872
252	4599	854
253	4615	835
254	4632	817
255	4649	799
256	4664	780
257	4681	762
258	4697	743
259	4712	724
260	4730	706
261	4747	688
262	4763	670
263	4779	651
264	4797	633
265	4813	615
266	4828	596
267	4844	578
268	4861	560
269	4877	541
270	4893	523
271	4910	505
272	4927	487
273	4944	469
274	4959	450
275	4975	432
276	4991	414
277	5011	396
278	5031	378
279	5048	360
280	5065	342
281	5085	324
282	5101	306
283	5119	288
284	5135	270
285	5151	252
286	5169	234
287	5185	216
288	5201	197
289	5219	179
290	5240	162
291	5256	144
292	5273	125
293	5288	107
294	5305	89
295	5320	71
296	5339	53
297	5360	35
298	5379	17
299	5395	0
