iter	Accuracy	Logloss
0	0.7541700219	0.6718968405
1	0.7626826182	0.6499935443
2	0.7659036006	0.6307332304
3	0.7782123548	0.61613107
4	0.7733808812	0.6037354327
5	0.7718854251	0.5904930043
6	0.7751064075	0.5787928771
7	0.7728057057	0.5699009607
8	0.7797078109	0.5599977295
9	0.7820085126	0.5514896624
10	0.7886805476	0.5447565675
11	0.7879903371	0.5352222379
12	0.7869550213	0.5272471059
13	0.7897158633	0.5222759138
14	0.7876452318	0.5177272542
15	0.7924767054	0.5107888349
16	0.7913263545	0.5045113588
17	0.7914413896	0.4988653029
18	0.7922466352	0.4937788061
19	0.7929368457	0.4900498942
20	0.7914413896	0.4867415171
21	0.7923616703	0.4839579841
22	0.793281951	0.4800451144
23	0.7938571264	0.4780564887
24	0.7958127229	0.4762652109
25	0.797308179	0.4714992316
26	0.7982284597	0.469339524
27	0.7985735649	0.467022659
28	0.7994938456	0.4631449048
29	0.7993788105	0.4615670621
30	0.7990337053	0.4591814724
31	0.7990337053	0.4575229433
32	0.8004141263	0.4552540645
33	0.8012193719	0.4527492771
34	0.8017945473	0.4499813307
35	0.8017945473	0.4485688273
36	0.8023697228	0.4467789074
37	0.8036351087	0.4452047803
38	0.8029448982	0.4435047582
39	0.803980214	0.4418561487
40	0.8043253192	0.4405248883
41	0.8049004947	0.4384458621
42	0.8054756701	0.4377784568
43	0.8068560911	0.4360945922
44	0.8060508455	0.4349489881
45	0.8060508455	0.432799903
46	0.8076613367	0.4311918695
47	0.8078914069	0.4303470509
48	0.8085816174	0.429261555
49	0.8090417577	0.427819805
50	0.8101921086	0.4265373392
51	0.8113424595	0.4256464478
52	0.8112274244	0.4235304849
53	0.8113424595	0.4227496874
54	0.8112274244	0.4219335587
55	0.8124928103	0.4208829916
56	0.8123777752	0.4200651756
57	0.8124928103	0.419422188
58	0.8126078454	0.4186641763
59	0.8135281261	0.4179692555
60	0.8135281261	0.4172590704
61	0.8139882664	0.416253285
62	0.8145634418	0.4154172461
63	0.8152536524	0.4142566106
64	0.816058898	0.4131640271
65	0.8167491085	0.4124432759
66	0.8168641436	0.4111812561
67	0.8168641436	0.4105637905
68	0.8166340734	0.4096944124
69	0.8169791786	0.409009689
70	0.8172092488	0.4079731819
71	0.8173242839	0.4068701245
72	0.8182445646	0.4062065516
73	0.8189347751	0.4057093339
74	0.81881974	0.4050392367
75	0.8181295295	0.4041573541
76	0.8182445646	0.4036767677
77	0.8184746348	0.4030025779
78	0.8192798804	0.4024941826
79	0.8199700909	0.4018941598
80	0.8195099505	0.4010773627
81	0.8197400207	0.4004724331
82	0.8198550558	0.3998100964
83	0.8204302312	0.3990816568
84	0.8204302312	0.3985055051
85	0.8207753365	0.3979539391
86	0.8205452663	0.3976016673
87	0.8216956172	0.3968628462
88	0.8219256873	0.3961910461
89	0.8220407224	0.3949100721
90	0.8218106522	0.3942878506
91	0.8219256873	0.3937743734
92	0.822845968	0.3931366147
93	0.8223858277	0.3925877914
94	0.8223858277	0.3916552136
95	0.8221557575	0.3911803972
96	0.8219256873	0.3904473363
97	0.8239963189	0.3900348935
98	0.8238812838	0.389497953
99	0.8236512136	0.3890948635
100	0.8233061084	0.3886320604
101	0.8237662487	0.3882168037
102	0.8245714943	0.3875792713
103	0.8249165996	0.3871489361
104	0.8252617048	0.3867036964
105	0.8253767399	0.3862712595
106	0.8265270908	0.385819844
107	0.8264120557	0.3853848031
108	0.8271022662	0.3847356413
109	0.8276774416	0.3841370237
110	0.8273323364	0.3832403516
111	0.8273323364	0.3826020612
112	0.8280225469	0.3820941398
113	0.8277924767	0.3817426945
114	0.8287127574	0.3812607156
115	0.8285977223	0.3807919876
116	0.8280225469	0.3803658886
117	0.8294029679	0.3797151822
118	0.829518003	0.3791395147
119	0.8292879328	0.3786128872
120	0.829518003	0.3781433714
121	0.8294029679	0.3776189623
122	0.8292879328	0.3771727281
123	0.8299781433	0.3768059552
124	0.8300931784	0.3764338214
125	0.8300931784	0.3757833818
126	0.8304382837	0.3753689569
127	0.8311284942	0.3750079223
128	0.8312435293	0.3746467873
129	0.8312435293	0.3741525881
130	0.832278845	0.3737048627
131	0.8325089152	0.3730005236
132	0.8325089152	0.3725308332
133	0.8326239503	0.3721815776
134	0.8327389854	0.371440092
135	0.8340043713	0.3710254622
136	0.8341194064	0.3705846378
137	0.834924652	0.3700908421
138	0.8353847924	0.3696440596
139	0.8354998274	0.369157008
140	0.8352697573	0.3687142077
141	0.8350396871	0.3680971239
142	0.8357298976	0.3676374722
143	0.8360750029	0.3672362817
144	0.8358449327	0.366889201
145	0.8353847924	0.3663928782
146	0.8359599678	0.3658943916
147	0.8373403888	0.3652844355
148	0.8373403888	0.3650765435
149	0.837570459	0.3645764851
150	0.8379155642	0.3641541911
151	0.8381456344	0.3638421586
152	0.8380305993	0.3633620456
153	0.8381456344	0.3628980238
154	0.8386057748	0.3624414441
155	0.83895088	0.3619190068
156	0.8383757046	0.3614990388
157	0.83895088	0.3610931198
158	0.8397561256	0.3602036666
159	0.8396410905	0.3597728178
160	0.8401012309	0.3592319088
161	0.8407914414	0.3588980937
162	0.8413666168	0.3582638895
163	0.8412515817	0.3578800212
164	0.8413666168	0.3575120235
165	0.8421718624	0.3571211637
166	0.8419417922	0.3566046111
167	0.8420568273	0.3563069262
168	0.8424019326	0.3559042
169	0.8434372484	0.3554046263
170	0.8434372484	0.3550354496
171	0.844242494	0.3545447781
172	0.8447026343	0.3542090152
173	0.8444725641	0.3536783758
174	0.8452778097	0.3533650091
175	0.8457379501	0.3528827098
176	0.8468883009	0.3523235854
177	0.8473484413	0.3519119757
178	0.8480386518	0.3515037843
179	0.8486138272	0.3509964627
180	0.8493040377	0.3504771677
181	0.8494190728	0.350157242
182	0.8502243184	0.3492500414
183	0.8499942482	0.3489441696
184	0.8503393535	0.3484981825
185	0.851029564	0.3480528884
186	0.8509145289	0.3470293578
187	0.851029564	0.3465479051
188	0.8520648798	0.3460249452
189	0.8519498447	0.345504814
190	0.8529851605	0.3450191179
191	0.8540204762	0.3445360264
192	0.8543655815	0.3440868415
193	0.8549407569	0.343652235
194	0.8547106868	0.343203126
195	0.855055792	0.3428275049
196	0.8544806166	0.3423320147
197	0.8551708271	0.3419823275
198	0.8551708271	0.3415824064
199	0.8555159324	0.3411842895
200	0.8556309674	0.3407896936
201	0.8556309674	0.3404801462
202	0.8560911078	0.3400162438
203	0.8557460025	0.3396201062
204	0.8571264236	0.339209004
205	0.8573564937	0.3387882122
206	0.8573564937	0.3382575428
207	0.8578166341	0.3378065335
208	0.8588519498	0.3373097173
209	0.85908202	0.3369031922
210	0.8589669849	0.3365931301
211	0.8593120902	0.3360430067
212	0.8610376165	0.3353388193
213	0.8612676866	0.3350103328
214	0.8618428621	0.3344539055
215	0.8618428621	0.3341596429
216	0.8632232831	0.3336040963
217	0.8636834234	0.3331349385
218	0.8639134936	0.332733726
219	0.8640285287	0.3323161541
220	0.8640285287	0.3319325871
221	0.8647187392	0.3315459761
222	0.8651788796	0.3310120512
223	0.8649488094	0.3305458797
224	0.8656390199	0.3301353025
225	0.8663292304	0.329585826
226	0.8664442655	0.3290993207
227	0.8669044058	0.3284568769
228	0.8670194409	0.3279627447
229	0.8679397216	0.327581029
230	0.868514897	0.3270445207
231	0.8688600023	0.3266393599
232	0.8689750374	0.3261297191
233	0.8693201426	0.325558449
234	0.869780283	0.3250430948
235	0.8707005637	0.3244649656
236	0.8715058093	0.3240282866
237	0.8726561601	0.3236193037
238	0.8726561601	0.3231256806
239	0.873806511	0.3225145563
240	0.8747267917	0.3219052141
241	0.8756470724	0.3214539476
242	0.8754170022	0.3210878182
243	0.8748418268	0.3206351617
244	0.8754170022	0.3200438993
245	0.8761072127	0.319582831
246	0.8769124583	0.3190664943
247	0.8771425285	0.318692548
248	0.8773725986	0.3183115861
249	0.8777177039	0.3177770078
250	0.8781778442	0.3173766538
251	0.8795582653	0.3168438647
252	0.8796733004	0.3164650339
253	0.8801334407	0.3161304043
254	0.8795582653	0.3157330146
255	0.8808236512	0.3152669968
256	0.8816288968	0.3147394327
257	0.8816288968	0.3143573687
258	0.8816288968	0.3139572165
259	0.881858967	0.3135538725
260	0.8823191073	0.3130565608
261	0.8825491775	0.312645793
262	0.8827792477	0.3120334079
263	0.8826642126	0.3116882529
264	0.8828942828	0.3111865257
265	0.883239388	0.3108045673
266	0.8834694582	0.3102437049
267	0.8841596687	0.3098274105
268	0.8847348441	0.3094605268
269	0.8857701599	0.3088072296
270	0.8862303002	0.3083827365
271	0.8866904406	0.3079232668
272	0.8870355458	0.3074635464
273	0.8870355458	0.307149104
274	0.8879558265	0.3066490339
275	0.8880708616	0.3062751794
276	0.8876107213	0.3057634851
277	0.8879558265	0.3053765697
278	0.8900264581	0.3047592071
279	0.8903715633	0.304224427
280	0.8903715633	0.3038651025
281	0.8911768089	0.3034181594
282	0.8918670194	0.3029856993
283	0.8922121247	0.3026009776
284	0.8933624756	0.3020707705
285	0.8940526861	0.3015180553
286	0.8943977913	0.3010436982
287	0.8945128264	0.3007192448
288	0.8949729668	0.3003073725
289	0.8955481422	0.29984044
290	0.8968135281	0.2994697472
291	0.8969285632	0.2991041422
292	0.8969285632	0.2986833217
293	0.8970435983	0.2983714384
294	0.897963879	0.2975788882
295	0.8983089842	0.2971256383
296	0.8984240193	0.2966730228
297	0.8988841597	0.296279298
298	0.8992292649	0.2958713492
299	0.8988841597	0.2953823947
