iter	Passed	Remaining
0	20	10363
1	36	8970
2	53	8894
3	71	8839
4	94	9343
5	111	9204
6	127	8985
7	144	8885
8	160	8769
9	178	8751
10	200	8909
11	219	8908
12	235	8831
13	254	8839
14	279	9039
15	299	9052
16	318	9062
17	348	9329
18	365	9254
19	384	9220
20	403	9199
21	421	9151
22	439	9114
23	456	9049
24	472	8983
25	490	8950
26	509	8925
27	528	8912
28	546	8880
29	566	8876
30	592	8966
31	617	9033
32	639	9045
33	662	9079
34	686	9115
35	704	9076
36	722	9037
37	741	9010
38	759	8982
39	779	8962
40	804	9010
41	823	8979
42	844	8970
43	864	8962
44	883	8928
45	902	8902
46	923	8898
47	942	8875
48	961	8849
49	979	8818
50	999	8801
51	1020	8788
52	1038	8756
53	1058	8744
54	1077	8717
55	1101	8733
56	1122	8722
57	1141	8700
58	1163	8694
59	1182	8673
60	1209	8703
61	1231	8698
62	1252	8686
63	1271	8664
64	1295	8670
65	1321	8688
66	1338	8653
67	1360	8645
68	1380	8624
69	1401	8609
70	1420	8580
71	1438	8550
72	1455	8515
73	1474	8489
74	1493	8464
75	1515	8456
76	1536	8441
77	1556	8422
78	1576	8400
79	1601	8410
80	1620	8384
81	1640	8362
82	1660	8343
83	1678	8314
84	1699	8295
85	1722	8291
86	1741	8268
87	1761	8245
88	1779	8218
89	1798	8192
90	1824	8200
91	1853	8219
92	1874	8202
93	1895	8185
94	1920	8188
95	1940	8167
96	1959	8141
97	1980	8123
98	2000	8103
99	2019	8076
100	2045	8082
101	2069	8075
102	2094	8072
103	2114	8051
104	2133	8027
105	2154	8009
106	2174	7986
107	2195	7970
108	2214	7944
109	2235	7926
110	2270	7956
111	2305	7986
112	2336	8002
113	2373	8036
114	2395	8018
115	2418	8005
116	2442	7994
117	2460	7966
118	2479	7938
119	2499	7916
120	2523	7904
121	2544	7883
122	2566	7866
123	2588	7847
124	2616	7850
125	2645	7851
126	2669	7839
127	2689	7817
128	2709	7791
129	2727	7762
130	2749	7744
131	2767	7716
132	2785	7685
133	2803	7656
134	2823	7632
135	2844	7612
136	2868	7599
137	2889	7579
138	2910	7558
139	2930	7535
140	2948	7507
141	2968	7484
142	2988	7460
143	3007	7434
144	3026	7410
145	3045	7385
146	3068	7368
147	3087	7342
148	3107	7320
149	3125	7293
150	3143	7265
151	3162	7241
152	3182	7216
153	3202	7195
154	3222	7173
155	3242	7149
156	3262	7128
157	3283	7106
158	3304	7086
159	3323	7063
160	3348	7050
161	3374	7039
162	3402	7034
163	3421	7010
164	3441	6986
165	3463	6968
166	3484	6947
167	3504	6925
168	3523	6901
169	3543	6878
170	3583	6894
171	3655	6970
172	3729	7048
173	3797	7114
174	3868	7184
175	3927	7229
176	3992	7285
177	4056	7337
178	4086	7329
179	4118	7322
180	4149	7312
181	4173	7292
182	4233	7332
183	4291	7371
184	4317	7352
185	4353	7348
186	4376	7325
187	4394	7293
188	4414	7264
189	4439	7243
190	4458	7213
191	4477	7182
192	4496	7152
193	4515	7121
194	4533	7090
195	4552	7061
196	4577	7040
197	4606	7026
198	4626	6997
199	4645	6967
200	4665	6940
201	4687	6915
202	4707	6887
203	4725	6857
204	4745	6828
205	4766	6802
206	4785	6773
207	4804	6744
208	4824	6717
209	4849	6696
210	4869	6669
211	4889	6642
212	4908	6613
213	4932	6592
214	4960	6576
215	4978	6546
216	4998	6518
217	5017	6490
218	5037	6463
219	5056	6435
220	5074	6406
221	5094	6380
222	5116	6355
223	5135	6327
224	5154	6299
225	5176	6275
226	5195	6248
227	5215	6221
228	5233	6193
229	5253	6167
230	5273	6141
231	5296	6118
232	5317	6093
233	5335	6065
234	5364	6049
235	5385	6023
236	5404	5997
237	5422	5968
238	5439	5940
239	5461	5916
240	5483	5892
241	5502	5866
242	5520	5838
243	5540	5812
244	5561	5788
245	5579	5760
246	5597	5733
247	5619	5709
248	5655	5701
249	5673	5673
250	5690	5645
251	5709	5618
252	5727	5591
253	5747	5566
254	5767	5541
255	5787	5515
256	5805	5489
257	5829	5468
258	5853	5447
259	5875	5423
260	5897	5400
261	5917	5375
262	5935	5348
263	5955	5324
264	5978	5301
265	6000	5278
266	6019	5253
267	6039	5228
268	6064	5207
269	6082	5181
270	6101	5156
271	6120	5130
272	6142	5107
273	6161	5082
274	6181	5057
275	6201	5032
276	6220	5007
277	6239	4982
278	6258	4957
279	6277	4932
280	6297	4907
281	6316	4883
282	6337	4859
283	6358	4836
284	6379	4812
285	6397	4786
286	6416	4762
287	6437	4738
288	6457	4714
289	6481	4693
290	6509	4675
291	6527	4649
292	6550	4627
293	6568	4602
294	6587	4577
295	6607	4553
296	6626	4529
297	6644	4504
298	6667	4482
299	6687	4458
300	6708	4434
301	6733	4414
302	6759	4394
303	6780	4371
304	6801	4348
305	6823	4325
306	6845	4303
307	6868	4281
308	6888	4258
309	6910	4235
310	6931	4212
311	6950	4188
312	6970	4164
313	6993	4142
314	7018	4121
315	7041	4099
316	7060	4076
317	7080	4052
318	7099	4028
319	7124	4007
320	7146	3984
321	7167	3962
322	7185	3937
323	7205	3913
324	7225	3890
325	7246	3867
326	7301	3862
327	7384	3872
328	7425	3859
329	7450	3838
330	7477	3817
331	7499	3794
332	7519	3771
333	7545	3750
334	7579	3733
335	7603	3711
336	7623	3687
337	7643	3663
338	7666	3640
339	7687	3617
340	7706	3593
341	7726	3569
342	7745	3545
343	7769	3523
344	7791	3500
345	7810	3476
346	7832	3453
347	7850	3428
348	7868	3404
349	7888	3380
350	7907	3356
351	7925	3332
352	7947	3309
353	7968	3286
354	7987	3262
355	8006	3238
356	8026	3215
357	8045	3191
358	8068	3168
359	8087	3144
360	8105	3120
361	8128	3098
362	8146	3074
363	8165	3050
364	8184	3026
365	8204	3003
366	8222	2979
367	8246	2958
368	8266	2934
369	8287	2911
370	8308	2888
371	8326	2864
372	8344	2841
373	8365	2818
374	8388	2796
375	8408	2773
376	8427	2749
377	8446	2725
378	8468	2703
379	8492	2681
380	8517	2660
381	8535	2636
382	8554	2613
383	8576	2590
384	8599	2568
385	8618	2545
386	8643	2523
387	8670	2502
388	8702	2483
389	8726	2461
390	8746	2438
391	8770	2416
392	8787	2392
393	8805	2368
394	8824	2345
395	8850	2324
396	8878	2303
397	8896	2279
398	8913	2256
399	8933	2233
400	8953	2210
401	8978	2188
402	8997	2165
403	9016	2142
404	9036	2119
405	9053	2096
406	9074	2073
407	9103	2052
408	9124	2030
409	9143	2007
410	9162	1984
411	9180	1960
412	9200	1938
413	9223	1916
414	9245	1893
415	9264	1870
416	9284	1848
417	9303	1825
418	9322	1802
419	9344	1779
420	9364	1757
421	9383	1734
422	9403	1711
423	9422	1688
424	9442	1666
425	9470	1645
426	9494	1623
427	9516	1600
428	9534	1578
429	9552	1555
430	9572	1532
431	9591	1509
432	9617	1488
433	9637	1465
434	9656	1442
435	9674	1420
436	9693	1397
437	9712	1374
438	9730	1352
439	9753	1330
440	9773	1307
441	9794	1285
442	9816	1263
443	9834	1240
444	9855	1218
445	9873	1195
446	9893	1173
447	9912	1150
448	9932	1128
449	9954	1106
450	9977	1083
451	9997	1061
452	10016	1039
453	10036	1016
454	10056	994
455	10074	972
456	10093	949
457	10116	927
458	10141	905
459	10162	883
460	10181	861
461	10201	839
462	10223	816
463	10243	794
464	10261	772
465	10280	750
466	10299	727
467	10329	706
468	10354	684
469	10375	662
470	10396	640
471	10416	617
472	10435	595
473	10458	573
474	10481	551
475	10502	529
476	10524	507
477	10543	485
478	10564	463
479	10586	441
480	10607	419
481	10626	396
482	10649	374
483	10668	352
484	10686	330
485	10704	308
486	10733	286
487	10752	264
488	10770	242
489	10789	220
490	10810	198
491	10829	176
492	10850	154
493	10868	132
494	10890	110
495	10910	87
496	10927	65
497	10949	43
498	10972	21
499	10993	0
