iter	Passed	Remaining
0	22	6871
1	52	7767
2	70	6953
3	90	6663
4	109	6452
5	132	6478
6	157	6593
7	181	6629
8	199	6447
9	223	6476
10	241	6355
11	256	6150
12	272	6012
13	291	5953
14	307	5837
15	322	5725
16	345	5757
17	370	5805
18	389	5764
19	406	5697
20	423	5631
21	445	5631
22	469	5658
23	492	5662
24	524	5771
25	554	5847
26	574	5806
27	592	5757
28	610	5703
29	627	5646
30	643	5587
31	660	5529
32	676	5476
33	693	5426
34	711	5386
35	729	5351
36	745	5298
37	762	5257
38	779	5215
39	795	5169
40	815	5149
41	832	5116
42	848	5074
43	870	5061
44	885	5020
45	912	5040
46	934	5030
47	950	4992
48	967	4958
49	987	4936
50	1004	4906
51	1022	4875
52	1039	4843
53	1057	4815
54	1077	4799
55	1094	4769
56	1112	4743
57	1129	4713
58	1145	4677
59	1161	4646
60	1178	4618
61	1196	4593
62	1220	4592
63	1245	4594
64	1272	4598
65	1291	4579
66	1320	4592
67	1342	4581
68	1365	4573
69	1396	4589
70	1418	4575
71	1449	4590
72	1467	4563
73	1485	4536
74	1506	4518
75	1523	4490
76	1539	4458
77	1556	4428
78	1578	4414
79	1595	4387
80	1613	4363
81	1635	4346
82	1654	4325
83	1671	4297
84	1687	4268
85	1704	4240
86	1719	4210
87	1735	4181
88	1751	4153
89	1767	4124
90	1786	4103
91	1804	4079
92	1823	4058
93	1843	4040
94	1859	4013
95	1875	3985
96	1907	3991
97	1924	3966
98	1945	3949
99	1960	3921
100	1976	3894
101	1993	3869
102	2010	3844
103	2028	3823
104	2046	3799
105	2066	3782
106	2088	3766
107	2104	3741
108	2124	3723
109	2143	3702
110	2161	3681
111	2179	3658
112	2196	3634
113	2213	3611
114	2230	3588
115	2247	3565
116	2266	3545
117	2282	3521
118	2297	3495
119	2313	3470
120	2330	3448
121	2350	3429
122	2374	3417
123	2403	3411
124	2432	3404
125	2461	3399
126	2486	3387
127	2516	3381
128	2536	3362
129	2560	3348
130	2585	3335
131	2605	3316
132	2622	3292
133	2639	3269
134	2656	3246
135	2677	3228
136	2694	3206
137	2713	3185
138	2730	3162
139	2746	3139
140	2763	3116
141	2783	3097
142	2801	3075
143	2817	3052
144	2839	3035
145	2856	3013
146	2875	2993
147	2903	2981
148	2925	2964
149	2946	2946
150	2963	2924
151	2982	2903
152	3000	2882
153	3018	2861
154	3037	2841
155	3060	2825
156	3079	2804
157	3095	2782
158	3112	2760
159	3127	2736
160	3144	2714
161	3160	2692
162	3177	2670
163	3197	2651
164	3213	2629
165	3229	2607
166	3246	2585
167	3263	2563
168	3287	2548
169	3311	2532
170	3337	2517
171	3360	2500
172	3381	2482
173	3407	2467
174	3437	2455
175	3456	2435
176	3473	2413
177	3496	2396
178	3522	2380
179	3543	2362
180	3570	2347
181	3594	2330
182	3616	2311
183	3643	2297
184	3674	2283
185	3697	2266
186	3717	2246
187	3734	2224
188	3759	2208
189	3784	2190
190	3813	2176
191	3843	2162
192	3867	2144
193	3898	2129
194	3928	2115
195	3968	2105
196	3994	2088
197	4016	2068
198	4035	2047
199	4057	2028
200	4078	2008
201	4096	1987
202	4113	1965
203	4130	1943
204	4147	1921
205	4164	1900
206	4179	1877
207	4195	1855
208	4211	1833
209	4226	1811
210	4242	1789
211	4258	1767
212	4274	1746
213	4290	1724
214	4307	1702
215	4322	1680
216	4338	1659
217	4353	1637
218	4372	1617
219	4390	1596
220	4407	1575
221	4425	1555
222	4443	1534
223	4463	1514
224	4483	1494
225	4500	1473
226	4515	1452
227	4531	1431
228	4551	1411
229	4569	1390
230	4597	1373
231	4632	1357
232	4666	1341
233	4694	1324
234	4723	1306
235	4753	1288
236	4796	1274
237	4824	1256
238	4858	1240
239	4891	1222
240	4922	1205
241	4959	1188
242	4999	1172
243	5029	1154
244	5062	1136
245	5085	1116
246	5106	1095
247	5129	1075
248	5151	1055
249	5177	1035
250	5199	1015
251	5221	994
252	5248	975
253	5273	955
254	5295	934
255	5318	914
256	5347	894
257	5379	875
258	5401	855
259	5424	834
260	5449	814
261	5476	794
262	5504	774
263	5534	754
264	5563	734
265	5592	714
266	5620	694
267	5652	674
268	5676	654
269	5708	634
270	5732	613
271	5757	592
272	5780	571
273	5804	550
274	5830	530
275	5858	509
276	5884	488
277	5906	467
278	5927	446
279	5951	425
280	5974	403
281	6000	382
282	6024	361
283	6054	341
284	6077	319
285	6099	298
286	6138	278
287	6162	256
288	6194	235
289	6215	214
290	6233	192
291	6256	171
292	6281	150
293	6302	128
294	6324	107
295	6347	85
296	6379	64
297	6405	42
298	6432	21
299	6456	0
