iter	RMSE
0	3.041548073
1	2.927474214
2	2.821910272
3	2.729069476
4	2.647841116
5	2.572543624
6	2.508210484
7	2.451907575
8	2.402780152
9	2.354929328
10	2.313519949
11	2.275776595
12	2.24301792
13	2.214392692
14	2.185254818
15	2.160137783
16	2.139365871
17	2.119511028
18	2.103131755
19	2.087834204
20	2.07323907
21	2.060891079
22	2.04912777
23	2.038482398
24	2.028227384
25	2.018958719
26	2.010658883
27	2.004274756
28	1.997398809
29	1.990582502
30	1.984661796
31	1.978883692
32	1.973044496
33	1.968059532
34	1.964844356
35	1.961471886
36	1.957834465
37	1.95439051
38	1.950465969
39	1.946587439
40	1.942520578
41	1.939088129
42	1.936763985
43	1.934539457
44	1.931591429
45	1.929404473
46	1.927618011
47	1.925436862
48	1.923280228
49	1.921645449
50	1.919451053
51	1.917246196
52	1.915441515
53	1.913465023
54	1.911842869
55	1.910430537
56	1.908666435
57	1.907627994
58	1.906348196
59	1.904455699
60	1.902765387
61	1.901487205
62	1.899995246
63	1.8994392
64	1.898336074
65	1.897180838
66	1.896556949
67	1.895235041
68	1.894419042
69	1.89316277
70	1.892380976
71	1.891071607
72	1.89030934
73	1.889364682
74	1.888822863
75	1.887490853
76	1.886554888
77	1.885816918
78	1.8853673
79	1.884431096
80	1.883789706
81	1.882652277
82	1.881911262
83	1.881051724
84	1.880084244
85	1.879262751
86	1.878537471
87	1.878085069
88	1.877535883
89	1.876677824
90	1.875585106
91	1.875048531
92	1.874559374
93	1.873925924
94	1.873382672
95	1.872828984
96	1.872320023
97	1.87154557
98	1.870599003
99	1.870153001
100	1.869539722
101	1.869080038
102	1.868443833
103	1.867824039
104	1.867061401
105	1.866352661
106	1.865559891
107	1.86485647
108	1.864128826
109	1.863675246
110	1.86355316
111	1.863073208
112	1.86260507
113	1.862272954
114	1.861794452
115	1.861283578
116	1.860893014
117	1.86029538
118	1.859804866
119	1.85938325
120	1.859097402
121	1.858499303
122	1.858101773
123	1.857968577
124	1.857341547
125	1.856721323
126	1.856424932
127	1.85580685
128	1.855617862
129	1.855310118
130	1.8546899
131	1.854429226
132	1.853939588
133	1.853287676
134	1.852790958
135	1.852355226
136	1.852045625
137	1.851418485
138	1.85107283
139	1.850774985
140	1.850251393
141	1.850025896
142	1.849735621
143	1.849125812
144	1.848587556
145	1.848419401
146	1.848042238
147	1.847728146
148	1.847125066
149	1.846679127
150	1.846439417
151	1.845968741
152	1.845524803
153	1.845310722
154	1.844861693
155	1.844488219
156	1.844116294
157	1.843738685
158	1.843375709
159	1.843101283
160	1.842864117
161	1.842486204
162	1.842094693
163	1.841841739
164	1.841394787
165	1.841076624
166	1.84054211
167	1.839967664
168	1.839670058
169	1.839168905
170	1.838830652
171	1.838227159
172	1.837604867
173	1.837127706
174	1.836774123
175	1.836630067
176	1.83613478
177	1.83589519
178	1.83537229
179	1.835050021
180	1.834798873
181	1.834518682
182	1.834275963
183	1.833979003
184	1.833716083
185	1.833166072
186	1.83280973
187	1.83230422
188	1.831943937
189	1.831421241
190	1.831199954
191	1.830751025
192	1.83026866
193	1.830020148
194	1.829683867
195	1.829358901
196	1.828749725
197	1.82833622
198	1.828035998
199	1.827762298
200	1.827508848
201	1.827071136
202	1.826543544
203	1.826236104
204	1.825966667
205	1.825724533
206	1.825423745
207	1.825124584
208	1.824896984
209	1.824654505
210	1.824257753
211	1.82372651
212	1.823507427
213	1.823155791
214	1.822746036
215	1.822271433
216	1.82194132
217	1.821593929
218	1.821134237
219	1.82061507
220	1.820187791
221	1.820086045
222	1.819901841
223	1.819671969
224	1.819473018
225	1.81927673
226	1.818882255
227	1.81850297
228	1.81815507
229	1.817798841
230	1.817497436
231	1.81721624
232	1.817020235
233	1.81677339
234	1.816543994
235	1.816292286
236	1.815958498
237	1.815653595
238	1.815475012
239	1.815108707
240	1.814997457
241	1.814682813
