iter	RMSE
0	3.09175308
1	3.012401569
2	2.938936409
3	2.869304096
4	2.804315473
5	2.743744815
6	2.689284737
7	2.638219189
8	2.588474987
9	2.542967398
10	2.500839734
11	2.461301698
12	2.424475907
13	2.389500018
14	2.356944566
15	2.326745858
16	2.299889206
17	2.274328966
18	2.250387791
19	2.229295415
20	2.208130562
21	2.188799966
22	2.171178584
23	2.155282016
24	2.139698199
25	2.125280868
26	2.111250952
27	2.099505147
28	2.087572301
29	2.076641767
30	2.06663998
31	2.056940734
32	2.048274493
33	2.040229373
34	2.032777631
35	2.025621338
36	2.018814654
37	2.012269036
38	2.005833054
39	2.000444521
40	1.995287932
41	1.990585463
42	1.985965959
43	1.981977477
44	1.977448896
45	1.973301182
46	1.969325183
47	1.96592563
48	1.962966106
49	1.959806493
50	1.956973204
51	1.954086101
52	1.951468702
53	1.948518802
54	1.945934232
55	1.943346152
56	1.940961963
57	1.938570294
58	1.936539478
59	1.934478504
60	1.932599394
61	1.93076098
62	1.92895416
63	1.927096992
64	1.925648718
65	1.924033902
66	1.922385216
67	1.920792169
68	1.919365629
69	1.918170634
70	1.916893653
71	1.915498457
72	1.914028366
73	1.912761005
74	1.911452655
75	1.910262953
76	1.908946124
77	1.907809869
78	1.906611603
79	1.905700814
80	1.904805506
81	1.90368941
82	1.902748603
83	1.901939499
84	1.901239441
85	1.900274673
86	1.899673293
87	1.898747471
88	1.897954718
89	1.896932963
90	1.895936772
91	1.89501992
92	1.894198801
93	1.893087023
94	1.892208848
95	1.891249718
96	1.890362372
97	1.889507204
98	1.888718068
99	1.888055647
100	1.887526084
101	1.886567777
102	1.885762954
103	1.885097657
104	1.884545329
105	1.883986523
106	1.883130903
107	1.882393642
108	1.881882088
109	1.881161607
110	1.88045372
111	1.879761773
112	1.879128823
113	1.878589245
114	1.878077855
115	1.877449471
116	1.876729705
117	1.876299372
118	1.875779465
119	1.875243574
120	1.874679272
121	1.874070092
122	1.873717523
123	1.873126383
124	1.872678842
125	1.871987332
126	1.871367981
127	1.871089254
128	1.870580277
129	1.87002042
130	1.869435194
131	1.868928382
132	1.868346702
133	1.868058391
134	1.867376338
135	1.86695751
136	1.866625909
137	1.866189845
138	1.865499295
139	1.865069821
140	1.864646999
141	1.864183637
142	1.863686895
143	1.863326401
144	1.862968034
145	1.862507455
146	1.861997254
147	1.861281307
148	1.860875941
149	1.860382174
150	1.860080287
151	1.859543422
152	1.859169745
153	1.859026123
