iter	Passed	Remaining
0	24	72415
1	42	63166
2	60	60512
3	80	60421
4	102	61381
5	129	64569
6	151	64930
7	170	63878
8	196	65227
9	231	69295
10	251	68223
11	281	70085
12	299	68715
13	320	68371
14	346	68856
15	363	67766
16	386	67838
17	410	68052
18	432	67927
19	455	67941
20	485	68877
21	515	69790
22	534	69186
23	555	68936
24	576	68575
25	608	69633
26	632	69631
27	657	69798
28	682	69889
29	705	69860
30	731	70026
31	755	70092
32	771	69407
33	790	69002
34	811	68718
35	829	68278
36	845	67689
37	862	67198
38	879	66738
39	893	66086
40	908	65577
41	924	65095
42	939	64614
43	956	64241
44	978	64240
45	997	64038
46	1018	64013
47	1040	64014
48	1064	64091
49	1085	64072
50	1124	65017
51	1156	65581
52	1181	65712
53	1202	65612
54	1222	65476
55	1249	65666
56	1270	65576
57	1290	65476
58	1328	66227
59	1350	66188
60	1371	66071
61	1391	65930
62	1414	65938
63	1436	65908
64	1456	65768
65	1476	65633
66	1506	65937
67	1538	66332
68	1556	66101
69	1581	66188
70	1604	66196
71	1632	66394
72	1658	66514
73	1679	66403
74	1703	66427
75	1728	66511
76	1748	66372
77	1767	66216
78	1784	65992
79	1801	65747
80	1816	65478
81	1834	65292
82	1853	65139
83	1872	64993
84	1887	64727
85	1904	64543
86	1927	64534
87	1945	64362
88	1969	64403
89	1996	64540
90	2020	64603
91	2043	64580
92	2065	64564
93	2091	64670
94	2120	64839
95	2152	65107
96	2174	65070
97	2201	65184
98	2223	65145
99	2247	65184
100	2265	65033
101	2288	65010
102	2313	65072
103	2339	65146
104	2372	65424
105	2398	65490
106	2420	65439
107	2445	65495
108	2463	65345
109	2486	65326
110	2505	65218
111	2529	65219
112	2554	65260
113	2573	65142
114	2599	65204
115	2631	65412
116	2664	65653
117	2688	65670
118	2712	65660
119	2731	65545
120	2755	65560
121	2779	65564
122	2798	65447
123	2812	65229
124	2827	65022
125	2839	64762
126	2857	64641
127	2879	64606
128	2900	64557
129	2917	64420
130	2939	64384
131	2958	64289
132	2972	64086
133	2986	63873
134	3007	63831
135	3021	63621
136	3035	63429
137	3057	63406
138	3083	63459
139	3111	63553
140	3126	63389
141	3143	63274
142	3162	63191
143	3179	63057
144	3197	62949
145	3212	62798
146	3229	62678
147	3247	62584
148	3263	62438
149	3278	62299
150	3297	62221
151	3312	62057
152	3326	61890
153	3343	61785
154	3357	61634
155	3372	61488
156	3398	61536
157	3412	61381
158	3427	61249
159	3441	61094
160	3456	60942
161	3469	60772
162	3481	60595
163	3495	60448
164	3512	60351
165	3527	60220
166	3543	60111
167	3558	59984
168	3575	59892
169	3591	59782
170	3607	59678
171	3624	59594
172	3643	59539
173	3664	59511
174	3678	59373
175	3695	59301
176	3710	59183
177	3726	59073
178	3742	58983
179	3758	58876
180	3774	58778
181	3789	58670
182	3805	58576
183	3823	58516
184	3838	58404
185	3856	58347
186	3871	58240
187	3887	58143
188	3907	58119
189	3925	58058
190	3939	57932
191	3955	57845
192	3971	57765
193	3988	57683
194	4002	57570
195	4016	57454
196	4028	57318
197	4042	57207
198	4057	57104
199	4074	57045
200	4091	56971
