iter	MAE
0	1051.703364
1	1009.9406
2	972.7647961
3	938.0748583
4	904.4166538
5	873.5219036
6	844.8571303
7	819.5344826
8	792.7136432
9	770.5398564
10	749.4633576
11	726.8504051
12	705.0223488
13	685.2694752
14	667.0569227
15	648.7823215
16	632.3632449
17	616.9449232
18	601.0165587
19	586.7314554
20	573.526021
21	560.6136225
22	548.7371203
23	537.1684494
24	526.4201015
25	516.2636059
26	507.1607445
27	498.4072257
28	490.5620051
29	482.5847992
30	475.1756307
31	469.4008079
32	463.7551929
33	457.8002343
34	451.9057171
35	446.6303451
36	441.412491
37	436.7003903
38	432.5084004
39	428.0773509
40	423.9626964
41	419.7655934
42	416.5081523
43	413.4579716
44	409.7225401
45	406.7836551
46	404.186514
47	401.3042375
48	398.9142573
49	396.1632848
50	394.2185902
51	391.5960035
52	389.5572073
53	387.3810661
54	385.2748481
55	383.3401724
56	381.5329838
57	379.6944169
58	378.1372882
59	376.7945975
60	375.2218462
61	373.7493865
62	372.2008805
63	370.913801
64	369.5841439
65	368.4465761
66	367.4585746
67	366.292
68	365.3873432
69	364.4951846
70	363.8307639
71	362.97167
72	362.3192958
73	361.50135
74	360.7761579
75	360.143062
76	359.5790322
77	359.1079255
78	358.643849
79	358.1723792
80	357.6039092
81	357.1855663
82	356.841962
83	356.3874134
84	355.9088504
85	355.3884801
86	354.9979102
87	354.6926356
88	354.3153134
89	353.9963769
90	353.7039048
91	353.364294
92	353.1182597
93	352.7675177
94	352.5132286
95	352.1887172
96	351.9899004
97	351.6808566
98	351.4025454
99	351.2387986
100	350.9964532
101	350.7792177
102	350.4770293
103	350.153877
104	349.9213762
105	349.7235549
106	349.4621545
107	349.2755679
108	349.1286878
109	348.9917646
110	348.8174167
111	348.6334692
112	348.4611397
113	348.1921565
114	348.064626
115	347.9608042
116	347.8137402
117	347.6724039
118	347.5451174
119	347.4376244
120	347.2722318
121	347.1760141
122	347.005672
123	346.8780994
124	346.7543595
125	346.6812254
126	346.5536339
127	346.4553739
128	346.348737
129	346.2527803
130	346.1867308
131	346.1538876
132	346.0771451
133	345.9788361
134	345.8937148
135	345.7427238
136	345.5885725
137	345.4949679
138	345.3818939
139	345.3034974
140	345.2101499
141	345.1547139
142	345.0791808
143	345.0159377
144	344.9562126
145	344.8335364
146	344.7722168
147	344.7450724
148	344.6739611
149	344.6233637
150	344.5223703
151	344.4891174
152	344.3831761
153	344.2583146
154	344.027847
155	343.8973913
156	343.8443399
157	343.8023638
158	343.7545982
159	343.6702589
160	343.5636615
161	343.5011888
162	343.4313457
163	343.3925043
164	343.3176259
165	343.2688903
166	343.1802536
167	343.1350785
168	343.0163038
169	342.9365404
170	342.8616458
171	342.7532539
172	342.6672293
173	342.6220537
174	342.5434889
175	342.5092943
176	342.3652976
177	342.2999357
178	342.2372546
179	342.1998137
180	342.1462127
181	342.0270627
182	341.9105618
183	341.7322985
184	341.5901894
185	341.4869932
186	341.4233369
187	341.3916004
188	341.3329149
189	341.2479747
190	341.2076001
191	341.0796608
192	341.0232757
193	340.905804
194	340.8149253
195	340.722738
196	340.6054702
197	340.5263269
198	340.4507277
199	340.4006599
200	340.2749174
201	340.1775645
202	340.0443377
203	339.9670243
204	339.9292331
205	339.8035091
206	339.769446
207	339.5974484
208	339.5066482
209	339.4307766
210	339.2775821
211	339.1813062
212	339.1347761
213	339.0404523
214	338.9836692
215	338.9141216
216	338.8048247
217	338.7639255
218	338.6403033
219	338.5082128
220	338.4807268
221	338.4477183
222	338.3862298
223	338.2657007
224	338.2255577
225	338.171807
226	338.0949844
227	338.036256
228	337.961302
229	337.8727027
230	337.7978123
231	337.7468221
232	337.7054053
233	337.6693984
234	337.6292668
235	337.556697
236	337.4941359
237	337.398252
238	337.2552222
239	337.182508
240	337.1595107
241	337.0998346
242	336.9247218
243	336.8734762
244	336.819151
245	336.7625491
246	336.631104
247	336.4642447
248	336.3548573
249	336.2090995
250	336.1583128
251	335.9948034
252	335.9591747
253	335.8869906
254	335.7787002
255	335.6373575
256	335.5508483
257	335.4348257
258	335.3431032
259	335.2190897
260	335.086983
261	335.0044809
262	334.9275616
263	334.8835547
264	334.7498091
265	334.7149645
266	334.6175142
267	334.5839965
268	334.4519286
269	334.3892014
270	334.3509238
271	334.2440238
272	334.1635739
273	334.1144122
274	333.9317747
275	333.9005246
276	333.8815502
277	333.8030772
278	333.7642903
279	333.6304955
280	333.5534915
281	333.4578854
282	333.3458696
283	333.2413564
284	333.1941718
285	333.1584061
286	333.0797638
287	333.0248626
288	332.9071576
289	332.7718148
290	332.690159
291	332.558475
292	332.4273063
293	332.4060838
294	332.3365283
295	332.27315
296	332.1849688
297	332.1446429
298	332.1159026
299	332.0397382
300	331.8985542
301	331.8705057
302	331.8409673
303	331.775062
304	331.7469347
305	331.6751226
306	331.5880634
307	331.5152522
308	331.4655693
309	331.3380689
310	331.2604844
311	331.2294219
312	331.1267052
313	331.0977948
314	331.0235884
315	330.9577623
316	330.863279
317	330.775451
318	330.7238971
319	330.6340471
320	330.5947636
321	330.5129698
322	330.4680189
323	330.4252998
324	330.3653817
