iter	Passed	Remaining
0	14	7308
1	22	5600
2	33	5492
3	40	5000
4	45	4494
5	52	4353
6	59	4170
7	66	4089
8	72	3961
9	79	3887
10	95	4234
11	108	4432
12	120	4521
13	131	4558
14	136	4429
15	148	4482
16	153	4368
17	162	4355
18	172	4359
19	181	4356
20	187	4270
21	197	4291
22	202	4195
23	219	4362
24	227	4326
25	235	4287
26	246	4320
27	250	4227
28	260	4228
29	264	4147
30	268	4064
31	277	4063
32	282	4003
33	287	3940
34	294	3909
35	300	3872
36	305	3822
37	311	3789
38	317	3753
39	324	3727
40	328	3680
41	336	3672
42	342	3638
43	347	3597
44	355	3593
45	361	3565
46	370	3568
47	374	3526
48	378	3487
49	389	3502
50	394	3477
51	401	3457
52	405	3422
53	410	3389
54	419	3396
55	423	3361
56	432	3359
57	436	3329
58	446	3333
59	452	3314
60	461	3321
61	494	3490
62	502	3483
63	513	3496
64	524	3509
65	530	3487
66	544	3521
67	550	3494
68	557	3482
69	563	3463
70	574	3473
71	581	3455
72	595	3480
73	599	3453
74	623	3533
75	633	3532
76	640	3519
77	650	3519
78	655	3495
79	662	3478
80	671	3475
81	683	3485
82	688	3459
83	701	3476
84	706	3447
85	712	3427
86	717	3408
87	723	3385
88	737	3406
89	743	3385
90	748	3366
91	753	3342
92	760	3327
93	767	3315
94	772	3292
95	786	3308
96	796	3310
97	802	3292
98	810	3282
99	817	3270
100	822	3250
101	832	3250
102	842	3246
103	851	3242
104	865	3256
105	871	3238
106	881	3238
107	887	3220
108	894	3207
109	904	3207
110	911	3193
111	919	3184
112	930	3187
113	937	3175
114	950	3180
115	958	3172
116	963	3153
117	968	3136
118	975	3123
119	981	3106
120	986	3090
121	992	3074
122	997	3057
123	1002	3038
124	1010	3030
125	1016	3016
126	1023	3005
127	1028	2988
128	1039	2988
129	1045	2977
130	1050	2959
131	1056	2946
132	1068	2948
133	1076	2940
134	1084	2931
135	1089	2915
136	1099	2913
137	1104	2897
138	1121	2913
139	1139	2929
140	1147	2921
141	1153	2907
142	1164	2905
143	1173	2901
144	1182	2894
145	1199	2909
146	1210	2906
147	1217	2896
148	1233	2906
149	1250	2917
150	1266	2928
151	1272	2914
152	1281	2906
153	1288	2894
154	1301	2897
155	1321	2913
156	1340	2928
157	1359	2941
158	1370	2938
159	1390	2955
160	1411	2972
161	1416	2955
162	1422	2942
163	1431	2931
164	1447	2939
165	1460	2938
166	1467	2927
167	1472	2910
168	1479	2897
169	1488	2888
170	1493	2873
171	1501	2863
172	1507	2849
173	1512	2833
174	1517	2818
175	1524	2805
176	1530	2793
177	1536	2778
178	1542	2765
179	1548	2752
180	1554	2739
181	1566	2737
182	1579	2736
183	1589	2729
184	1595	2717
185	1601	2702
186	1622	2716
187	1632	2709
188	1643	2703
189	1652	2696
190	1662	2689
191	1667	2675
192	1676	2666
193	1680	2650
194	1688	2640
195	1694	2627
196	1700	2615
197	1708	2605
198	1719	2600
199	1728	2592
200	1734	2579
201	1746	2576
202	1752	2564
203	1758	2551
204	1767	2542
205	1771	2528
206	1776	2514
207	1781	2500
208	1786	2487
209	1795	2480
210	1803	2469
211	1807	2454
212	1814	2444
213	1819	2431
214	1824	2418
215	1829	2406
216	1834	2392
217	1840	2380
218	1846	2368
219	1850	2355
220	1855	2342
221	1860	2329
222	1864	2316
223	1869	2303
224	1875	2291
225	1880	2279
226	1884	2266
227	1891	2256
228	1895	2243
229	1907	2239
230	1912	2226
231	1927	2226
232	1938	2221
233	1944	2209
234	1953	2202
235	1957	2190
236	1963	2178
237	1973	2172
238	1979	2161
239	1985	2151
240	1991	2140
241	2006	2138
242	2014	2130
243	2025	2124
244	2035	2119
245	2041	2107
246	2050	2100
247	2060	2093
248	2066	2083
249	2077	2077
250	2082	2065
251	2090	2057
252	2094	2045
253	2098	2032
254	2107	2024
255	2114	2014
256	2124	2008
257	2131	1999
258	2140	1991
259	2145	1980
260	2149	1968
261	2155	1958
262	2164	1950
263	2171	1941
264	2185	1938
265	2189	1926
266	2200	1919
267	2206	1909
268	2215	1902
269	2220	1891
270	2230	1885
271	2237	1875
272	2244	1866
273	2250	1856
274	2255	1845
275	2263	1837
276	2268	1826
277	2275	1816
278	2280	1806
279	2286	1796
280	2291	1785
281	2295	1774
282	2300	1763
283	2306	1754
284	2311	1743
285	2316	1733
286	2320	1722
287	2328	1714
288	2337	1706
289	2369	1715
290	2378	1707
291	2397	1708
292	2408	1701
293	2421	1696
294	2431	1689
295	2449	1688
296	2457	1679
297	2466	1671
298	2476	1664
299	2488	1659
300	2499	1652
301	2507	1643
302	2516	1636
303	2528	1629
304	2536	1621
305	2544	1613
306	2556	1607
307	2568	1600
308	2580	1595
309	2588	1586
310	2601	1581
311	2627	1583
312	2637	1575
313	2643	1565
314	2647	1554
315	2651	1543
316	2656	1533
317	2659	1522
318	2664	1511
319	2668	1501
320	2672	1490
321	2677	1480
322	2681	1469
323	2687	1459
324	2694	1451
325	2702	1442
326	2706	1432
327	2710	1421
328	2714	1410
329	2719	1401
330	2723	1390
331	2728	1380
332	2732	1370
333	2736	1360
334	2740	1350
335	2744	1339
336	2749	1330
337	2754	1320
338	2757	1309
339	2762	1299
340	2766	1289
