iter	Passed	Remaining
0	4	5401
1	10	6586
2	14	5873
3	18	5582
4	25	6100
5	29	5913
6	33	5663
7	36	5459
8	41	5484
9	47	5650
10	52	5712
11	58	5747
12	63	5759
13	67	5746
14	76	6033
15	81	6017
16	85	5926
17	92	6046
18	98	6099
19	105	6234
20	111	6275
21	115	6190
22	121	6237
23	127	6235
24	131	6180
25	136	6183
26	142	6197
27	146	6131
28	151	6118
29	155	6054
30	160	6039
31	163	5985
32	167	5931
33	175	6009
34	179	5961
35	184	5973
36	191	6016
37	196	6022
38	201	6004
39	205	5953
40	209	5922
41	213	5898
42	219	5902
43	223	5871
44	228	5855
45	235	5910
46	241	5918
47	250	6009
48	255	5999
49	259	5973
50	263	5938
51	270	5971
52	274	5936
53	278	5910
54	283	5901
55	289	5904
56	292	5869
57	300	5921
58	304	5886
59	310	5905
60	321	6008
61	325	5978
62	332	5994
63	337	5988
64	343	6001
65	349	6006
66	354	5988
67	358	5967
68	366	6006
69	372	6016
70	380	6046
71	385	6043
72	391	6050
73	400	6086
74	409	6144
75	414	6125
76	421	6143
77	425	6125
78	432	6131
79	437	6127
80	442	6107
81	447	6097
82	455	6132
83	460	6115
84	464	6098
85	471	6104
86	476	6097
87	481	6081
88	486	6070
89	492	6074
90	496	6055
91	502	6047
92	507	6042
93	511	6019
94	515	5992
95	519	5976
96	524	5963
97	529	5952
98	534	5947
99	538	5926
100	542	5904
101	547	5891
102	552	5888
103	557	5877
104	564	5887
105	569	5881
106	574	5864
107	581	5875
108	585	5861
109	595	5897
110	600	5889
111	605	5877
112	611	5883
113	616	5872
114	622	5869
115	629	5879
116	635	5882
117	643	5898
118	647	5878
119	653	5880
120	657	5862
121	663	5863
122	667	5844
123	673	5840
124	679	5846
125	683	5829
126	689	5824
127	694	5812
128	700	5819
129	705	5805
130	710	5796
131	719	5821
132	724	5815
133	728	5798
134	733	5788
135	737	5771
136	741	5753
137	745	5735
138	750	5726
139	754	5714
140	758	5695
141	761	5676
142	766	5668
143	770	5646
144	773	5628
145	778	5620
146	782	5606
147	786	5589
148	790	5572
149	795	5570
150	800	5563
151	805	5554
152	814	5571
153	821	5582
154	827	5576
155	832	5571
156	837	5564
157	842	5556
158	849	5562
159	856	5569
160	864	5581
161	871	5587
162	880	5603
163	884	5586
164	891	5593
165	895	5577
166	899	5562
167	903	5547
168	908	5541
169	912	5525
170	915	5510
171	919	5496
172	923	5482
173	929	5480
174	933	5464
175	937	5456
176	941	5441
177	945	5426
178	948	5411
179	952	5397
180	956	5385
181	960	5371
182	963	5357
183	969	5356
184	973	5340
185	976	5325
186	980	5312
187	985	5306
188	989	5292
189	993	5283
190	997	5269
191	1001	5257
192	1005	5245
193	1010	5239
194	1013	5224
195	1019	5222
196	1023	5209
197	1027	5197
198	1032	5191
199	1035	5179
200	1039	5167
201	1043	5153
202	1046	5142
203	1052	5139
204	1056	5127
205	1061	5122
206	1071	5138
207	1075	5127
208	1079	5118
209	1083	5109
210	1087	5096
211	1091	5086
212	1095	5075
213	1099	5067
214	1103	5056
215	1107	5045
216	1111	5034
217	1116	5028
218	1119	5016
219	1123	5004
220	1128	4997
221	1132	4990
222	1136	4978
223	1139	4966
224	1143	4954
225	1148	4948
226	1151	4936
227	1155	4925
228	1159	4914
229	1163	4906
230	1167	4897
231	1172	4894
232	1178	4889
233	1182	4880
234	1190	4890
235	1209	4939
236	1217	4946
237	1222	4940
238	1226	4933
239	1241	4965
240	1250	4974
241	1256	4975
242	1261	4967
243	1265	4960
244	1274	4967
245	1278	4958
246	1282	4947
247	1287	4942
248	1291	4932
249	1295	4922
250	1299	4913
251	1305	4910
252	1310	4906
253	1318	4911
254	1323	4904
255	1327	4896
256	1333	4891
257	1337	4881
258	1340	4870
259	1344	4860
260	1351	4860
261	1354	4849
262	1358	4840
263	1362	4830
264	1366	4822
