iter	RMSE
0	1.862277516
1	1.830949835
2	1.801126548
3	1.772281697
4	1.745202972
5	1.720715939
6	1.695679962
7	1.672558134
8	1.650406815
9	1.630199337
10	1.611428208
11	1.592644685
12	1.576655606
13	1.560027475
14	1.54435192
15	1.528781176
16	1.513962177
17	1.500276256
18	1.487076039
19	1.474197329
20	1.462385121
21	1.451273482
22	1.441413176
23	1.431438892
24	1.421998585
25	1.41402994
26	1.405689109
27	1.399257447
28	1.39187367
29	1.383777067
30	1.376701049
31	1.370156102
32	1.364164518
33	1.358019665
34	1.350992538
35	1.344196245
36	1.338858097
37	1.332582318
38	1.326535113
39	1.321578162
40	1.31710072
41	1.313585863
42	1.307114056
43	1.303045521
44	1.299943972
45	1.29627751
46	1.292837047
47	1.286756073
48	1.283497799
49	1.278265639
50	1.273732671
51	1.268731368
52	1.266664221
53	1.262979544
54	1.259447686
55	1.256853541
56	1.253624862
57	1.249327891
58	1.247696994
59	1.24453117
60	1.241210432
61	1.237651409
62	1.234521202
63	1.230682005
64	1.227772809
65	1.225104911
66	1.221688398
67	1.2204684
68	1.217577506
69	1.215031064
70	1.213147333
71	1.211790448
72	1.209354385
73	1.205714235
74	1.204178239
75	1.202766861
76	1.200665742
77	1.198336712
78	1.196640777
79	1.193780439
80	1.191678642
81	1.189575823
82	1.186495125
83	1.185420889
84	1.18230136
85	1.179379556
86	1.176535461
87	1.17478291
88	1.172326539
89	1.170584862
90	1.168587169
91	1.166925368
92	1.165260086
93	1.16380375
94	1.163108758
95	1.161467353
96	1.160132676
97	1.158450072
98	1.156706111
99	1.155750813
100	1.154735924
101	1.151863878
102	1.150719629
103	1.150092366
104	1.14845884
105	1.145688412
106	1.14312353
107	1.14200858
108	1.139559886
109	1.137969749
110	1.137207408
111	1.134606449
112	1.13195501
113	1.130523338
114	1.130115091
115	1.129283633
116	1.128267641
117	1.125727676
118	1.124542479
119	1.123488714
120	1.122731999
121	1.121390531
122	1.119993106
123	1.119131069
124	1.116517648
125	1.115965296
126	1.113405556
127	1.112678282
128	1.110259767
129	1.108905885
130	1.10695371
131	1.105829355
132	1.104283878
133	1.102453777
134	1.101882502
135	1.100466752
136	1.099472191
137	1.096997958
138	1.094905815
139	1.093650278
140	1.092930311
141	1.091105383
142	1.090244623
143	1.089250947
144	1.087916109
145	1.085859776
146	1.085418784
147	1.084177959
148	1.083603955
149	1.081329099
150	1.07984812
151	1.07869882
152	1.076708827
153	1.075828444
154	1.073472005
155	1.072144145
156	1.071120105
157	1.069578922
158	1.066870725
159	1.065078442
160	1.063181979
161	1.060441628
162	1.059799835
163	1.058770092
164	1.056842827
165	1.055552575
166	1.05321766
167	1.052625396
168	1.051814732
169	1.051359944
170	1.050054394
171	1.048529727
172	1.047630802
173	1.046195258
174	1.045182093
175	1.044686094
176	1.043155545
177	1.042560308
178	1.041550365
179	1.040609125
180	1.038749548
181	1.03711692
182	1.035584055
183	1.034674076
184	1.033948597
185	1.031741444
186	1.029743379
187	1.028725845
188	1.027397271
189	1.025953694
190	1.024212935
191	1.023755429
192	1.022325396
193	1.021111428
194	1.019750725
195	1.018358583
196	1.016934764
197	1.015314269
198	1.013878624
199	1.011814709
200	1.010252676
201	1.009683336
202	1.009208619
203	1.007796404
204	1.007136025
205	1.00559016
206	1.004638543
207	1.003594138
208	1.001471998
209	0.9999464231
210	0.9990888633
211	0.9979159446
212	0.9976360111
213	0.9959716206
214	0.9943476975
215	0.993003189
216	0.992622608
217	0.9919442234
218	0.9905521842
219	0.9896957671
220	0.98860409
221	0.9875236045
222	0.9860808657
223	0.9846395392
224	0.9837772584
225	0.9820546923
226	0.981621784
227	0.980302915
228	0.9791362389
229	0.9781040582
230	0.9757880264
231	0.9746096487
232	0.9732652224
233	0.9728525226
234	0.9720581813
235	0.9708506133
236	0.9689072813
237	0.9684622606
238	0.9673694559
239	0.9658244529
240	0.9643931735
241	0.9628482039
242	0.9622410504
243	0.9611836486
244	0.9596291207
245	0.9581016303
246	0.9557157713
247	0.9551696231
248	0.9535538379
249	0.9532743037
250	0.9524688885
251	0.9515471406
252	0.9511874023
253	0.9506881496
254	0.9500508589
255	0.9494646998
256	0.9481180192
257	0.9471176187
258	0.9462200941
259	0.9447631645
260	0.9440214786
261	0.9425816891
262	0.9419712295
263	0.9408727417
