iter	Passed	Remaining
0	2	816
1	4	733
2	7	697
3	10	772
4	15	934
5	17	881
6	20	843
7	23	845
8	25	826
9	27	803
10	29	785
11	33	800
12	36	816
13	40	822
14	42	808
15	44	794
16	47	784
17	49	772
18	51	761
19	53	755
20	58	775
21	60	770
22	63	762
23	65	755
24	67	746
25	73	770
26	76	775
27	80	784
28	83	781
29	87	784
30	89	775
31	91	767
32	93	758
33	96	751
34	98	745
35	101	742
36	103	738
37	106	732
38	108	726
39	110	719
40	115	727
41	117	723
42	121	725
43	123	719
44	125	713
45	128	707
46	130	701
47	133	702
48	136	698
49	138	692
50	140	687
51	143	682
52	145	677
53	147	673
54	151	676
55	154	672
56	156	668
57	159	664
58	161	659
59	163	655
60	168	660
61	170	656
62	173	652
63	175	648
64	178	643
65	180	640
66	183	639
67	186	635
68	188	631
69	191	627
70	193	623
71	195	619
72	198	617
73	201	614
74	203	610
75	205	606
76	208	603
77	210	599
78	214	599
79	216	596
80	219	592
81	220	586
82	222	582
83	225	578
84	228	578
85	231	575
86	234	573
87	237	572
88	240	570
89	243	568
90	247	568
91	249	565
92	252	561
93	255	559
94	258	558
95	262	557
96	265	555
97	268	552
98	270	549
99	273	547
100	278	548
101	281	546
102	284	543
103	286	540
104	291	540
105	297	543
106	303	548
107	312	555
108	315	552
109	320	553
110	323	550
111	326	547
112	331	548
113	334	545
114	339	546
115	342	543
116	347	544
117	350	540
118	353	537
119	357	536
120	362	536
121	365	533
122	370	532
123	372	529
124	375	525
125	379	524
126	382	521
127	385	517
128	388	514
129	391	511
130	393	508
131	396	504
132	399	501
133	402	498
134	405	495
135	409	494
136	412	491
137	416	489
138	421	487
139	427	488
140	433	488
141	438	487
142	443	487
143	446	483
144	450	481
145	454	479
146	458	476
147	461	474
148	465	472
149	477	477
150	481	475
151	488	475
152	493	473
153	496	470
154	500	467
155	504	466
156	510	464
157	512	460
158	524	465
159	531	464
160	534	461
161	538	458
162	543	456
163	546	452
164	549	449
165	560	452
166	566	450
167	574	451
168	585	453
169	593	453
170	601	453
171	604	449
172	607	446
173	611	442
174	617	441
175	620	437
176	623	433
177	637	437
178	640	433
179	654	436
180	656	431
181	659	427
182	666	425
183	673	424
184	676	420
185	683	418
186	693	419
187	698	416
188	707	415
189	715	413
190	725	414
191	729	410
192	736	408
193	739	404
194	743	400
195	746	396
196	750	392
197	758	390
198	761	386
199	769	384
200	777	382
201	782	379
202	794	379
203	798	375
204	808	374
205	812	370
206	818	367
207	828	366
208	836	364
209	841	360
210	846	357
211	858	356
212	862	352
213	869	349
214	875	345
215	880	342
216	887	339
217	893	336
218	909	336
219	920	334
220	923	330
221	927	325
222	930	321
223	933	316
224	945	315
225	951	311
226	964	310
227	967	305
228	978	303
229	983	299
230	989	295
231	997	292
232	1000	287
233	1008	284
234	1014	280
235	1018	276
236	1023	272
237	1027	267
238	1032	263
239	1036	259
240	1047	256
241	1052	252
242	1058	248
243	1067	244
244	1070	240
245	1077	236
246	1084	232
247	1089	228
248	1094	224
249	1098	219
250	1103	215
251	1107	210
252	1111	206
253	1116	202
254	1120	197
255	1123	193
256	1131	189
257	1140	185
258	1151	182
259	1154	177
260	1157	173
261	1161	168
262	1165	163
263	1168	159
264	1171	154
265	1174	150
266	1177	145
267	1183	141
268	1189	137
269	1192	132
270	1198	128
271	1203	123
272	1208	119
273	1215	115
274	1220	110
275	1224	106
276	1228	102
277	1236	97
278	1239	93
279	1245	88
280	1249	84
281	1253	80
282	1259	75
283	1263	71
284	1268	66
285	1271	62
286	1274	57
287	1281	53
288	1286	48
289	1291	44
290	1304	40
291	1308	35
292	1315	31
293	1325	27
294	1332	22
295	1339	18
296	1351	13
297	1356	9
298	1361	4
299	1364	0
