iter	Passed	Remaining
0	5	1573
1	9	1380
2	12	1283
3	16	1255
4	20	1205
5	23	1139
6	28	1202
7	35	1303
8	40	1302
9	44	1289
10	49	1310
11	53	1285
12	57	1258
13	61	1264
14	65	1252
15	70	1247
16	74	1245
17	79	1242
18	83	1239
19	87	1224
20	91	1210
21	95	1201
22	99	1201
23	103	1188
24	107	1179
25	111	1180
26	115	1168
27	119	1162
28	123	1150
29	128	1154
30	132	1145
31	135	1137
32	139	1131
33	144	1130
34	148	1121
35	151	1110
36	155	1102
37	159	1099
38	163	1092
39	166	1082
40	170	1075
41	173	1067
42	181	1084
43	187	1090
44	194	1104
45	199	1102
46	205	1106
47	214	1125
48	218	1118
49	226	1132
50	231	1131
51	235	1124
52	239	1117
53	244	1114
54	249	1112
55	253	1105
56	258	1102
57	270	1126
58	275	1124
59	279	1117
60	284	1115
61	289	1110
62	293	1103
63	297	1096
64	302	1094
65	308	1092
66	314	1094
67	323	1103
68	329	1102
69	336	1106
70	343	1108
71	352	1115
72	358	1114
73	362	1106
74	366	1099
75	372	1097
76	376	1090
77	380	1082
78	386	1080
79	391	1076
80	395	1068
81	401	1067
82	407	1064
83	411	1057
84	422	1068
85	427	1064
86	432	1059
87	439	1057
88	445	1056
89	450	1051
90	459	1055
91	466	1053
92	473	1054
93	478	1048
94	482	1041
95	486	1034
96	493	1032
97	499	1029
98	503	1022
99	509	1019
100	515	1015
101	522	1013
102	528	1010
103	536	1010
104	539	1002
105	546	1000
106	550	992
107	555	986
108	561	983
109	570	984
110	576	981
111	581	976
112	589	974
113	594	969
114	602	968
115	607	963
116	611	956
117	616	951
118	622	946
119	627	940
120	633	937
121	638	931
122	643	925
123	647	918
124	654	915
125	659	911
126	666	908
127	673	904
128	678	898
129	683	894
130	692	893
131	696	886
132	703	883
133	709	878
134	715	873
135	720	868
136	723	861
137	727	854
138	735	852
139	740	846
140	745	840
141	756	841
142	760	834
143	765	829
144	770	823
145	774	817
146	778	809
147	781	802
148	787	798
149	792	792
150	800	789
151	804	783
152	807	776
153	811	769
154	815	762
155	818	755
156	822	748
157	825	742
158	829	735
159	833	729
160	837	722
161	843	718
162	850	715
163	854	708
164	858	702
165	864	697
166	870	693
167	873	686
168	877	679
169	880	673
170	884	667
171	887	660
172	891	654
173	896	649
174	900	643
175	904	637
176	907	630
177	912	625
178	916	619
179	920	613
180	924	607
181	931	603
182	934	597
183	938	591
184	941	585
185	947	580
186	952	575
187	956	569
188	963	566
189	972	562
190	978	558
191	983	553
192	991	549
193	996	544
194	1000	538
195	1004	533
196	1011	528
197	1015	523
198	1019	517
199	1025	512
200	1031	508
201	1037	503
202	1048	501
203	1053	495
204	1059	490
205	1064	485
206	1069	480
207	1074	475
208	1079	470
209	1085	465
210	1091	460
211	1096	455
212	1105	451
213	1110	446
214	1116	441
215	1120	435
216	1126	430
217	1131	425
218	1136	420
219	1143	415
220	1150	411
221	1157	406
222	1161	401
223	1168	396
224	1173	391
225	1177	385
226	1185	381
227	1194	377
228	1200	372
229	1208	367
230	1214	362
231	1220	357
232	1228	353
233	1234	348
234	1241	343
235	1246	338
236	1251	332
237	1257	327
238	1263	322
239	1269	317
240	1274	311
241	1280	306
242	1289	302
243	1298	297
244	1305	293
245	1314	288
246	1322	283
247	1326	278
248	1333	273
249	1342	268
250	1349	263
251	1356	258
252	1366	253
253	1374	248
254	1379	243
255	1386	238
256	1400	234
257	1407	229
258	1413	223
259	1424	219
260	1432	213
261	1439	208
262	1447	203
263	1457	198
264	1465	193
265	1471	188
266	1477	182
267	1486	177
268	1493	172
269	1501	166
270	1511	161
271	1520	156
272	1526	150
273	1534	145
274	1540	140
275	1546	134
276	1554	129
277	1566	123
278	1576	118
279	1584	113
280	1589	107
281	1595	101
282	1601	96
283	1608	90
284	1614	84
285	1620	79
286	1625	73
287	1632	68
288	1637	62
289	1642	56
290	1649	51
291	1654	45
292	1659	39
293	1666	34
294	1671	28
295	1676	22
296	1686	17
297	1694	11
298	1701	5
299	1712	0
