iter	Passed	Remaining
0	4	4843
1	9	4758
2	16	5397
3	21	5249
4	25	5101
5	31	5158
6	35	5073
7	39	4839
8	46	5105
9	51	5087
10	56	5060
11	62	5172
12	68	5217
13	73	5210
14	81	5367
15	86	5348
16	92	5344
17	99	5420
18	104	5391
19	109	5364
20	115	5383
21	121	5381
22	131	5577
23	137	5583
24	142	5576
25	148	5564
26	153	5545
27	160	5585
28	167	5605
29	172	5589
30	179	5598
31	184	5584
32	189	5562
33	196	5593
34	202	5585
35	208	5592
36	214	5580
37	221	5605
38	227	5616
39	234	5637
40	246	5765
41	258	5904
42	265	5918
43	275	5976
44	280	5955
45	286	5945
46	293	5944
47	300	5962
48	310	6024
49	315	5998
50	322	6003
51	327	5962
52	332	5944
53	337	5916
54	344	5915
55	351	5921
56	359	5943
57	367	5973
58	374	5969
59	381	5980
60	389	5990
61	395	5984
62	402	5993
63	409	5984
64	416	5991
65	422	5979
66	429	5986
67	435	5975
68	442	5963
69	449	5967
70	456	5971
71	476	6139
72	495	6292
73	525	6577
74	560	6912
75	580	7058
76	598	7169
77	606	7164
78	620	7235
79	638	7343
80	647	7349
81	654	7332
82	663	7327
83	669	7304
84	676	7286
85	684	7271
86	692	7272
87	699	7244
88	706	7232
89	713	7219
90	721	7202
91	727	7184
92	734	7161
93	742	7153
94	748	7135
95	756	7124
96	762	7097
97	772	7107
98	779	7090
99	786	7081
100	794	7070
101	802	7067
102	809	7050
103	815	7025
104	823	7016
105	830	7008
106	838	6997
107	845	6979
108	853	6974
109	859	6951
110	865	6935
111	873	6926
112	879	6907
113	888	6906
114	894	6887
115	901	6867
116	908	6854
117	914	6837
118	921	6819
119	927	6802
120	935	6796
121	942	6785
122	950	6773
123	957	6765
124	965	6759
125	971	6741
126	978	6723
127	984	6707
128	990	6688
129	1000	6698
130	1009	6694
131	1018	6698
132	1026	6688
133	1032	6672
134	1038	6655
135	1046	6648
136	1052	6631
137	1060	6626
138	1067	6610
139	1073	6597
140	1079	6579
141	1086	6566
142	1093	6555
143	1100	6539
144	1108	6534
145	1114	6519
146	1125	6528
147	1134	6530
148	1143	6533
149	1150	6518
150	1157	6505
151	1163	6489
152	1170	6481
153	1177	6468
154	1185	6465
155	1194	6461
156	1205	6472
157	1212	6463
158	1223	6472
159	1230	6458
160	1238	6452
161	1245	6441
162	1252	6429
163	1259	6418
164	1266	6411
165	1275	6409
166	1283	6399
167	1291	6396
168	1299	6390
169	1305	6375
170	1313	6366
171	1319	6354
172	1327	6348
173	1334	6336
174	1342	6327
175	1348	6315
176	1357	6311
177	1363	6296
178	1370	6285
179	1378	6279
180	1384	6266
181	1393	6261
182	1400	6251
183	1409	6250
184	1416	6240
185	1424	6236
186	1431	6221
187	1438	6214
188	1445	6201
189	1454	6198
190	1460	6187
191	1467	6175
192	1473	6162
193	1481	6154
194	1488	6142
195	1501	6160
196	1510	6157
197	1517	6148
198	1524	6136
199	1531	6127
200	1538	6114
201	1546	6110
202	1553	6097
203	1559	6084
204	1566	6076
205	1574	6068
206	1581	6059
207	1591	6061
208	1600	6059
209	1608	6051
210	1616	6043
211	1622	6029
212	1628	6017
213	1634	6004
214	1642	5996
215	1649	5985
216	1657	5981
217	1664	5969
218	1670	5957
219	1677	5945
220	1683	5934
221	1691	5926
222	1697	5913
223	1705	5907
224	1711	5896
225	1720	5891
226	1726	5878
227	1736	5878
228	1744	5874
229	1754	5873
230	1761	5863
231	1770	5860
232	1777	5851
233	1785	5843
234	1791	5833
235	1800	5827
236	1806	5816
237	1814	5808
238	1821	5799
239	1830	5796
240	1838	5789
241	1846	5784
242	1853	5774
243	1862	5771
244	1869	5759
245	1876	5753
246	1883	5741
247	1889	5730
248	1896	5720
249	1903	5709
250	1910	5701
251	1917	5690
252	1925	5686
253	1932	5674
254	1941	5671
255	1947	5661
256	1956	5656
257	1963	5646
258	1971	5641
259	1977	5629
260	1987	5628
261	1996	5623
262	2004	5617
263	2011	5607
264	2019	5600
265	2025	5588
266	2031	5578
267	2038	5567
268	2045	5557
269	2052	5550
270	2058	5538
271	2067	5533
272	2075	5527
273	2084	5521
274	2090	5512
275	2099	5507
276	2105	5495
277	2112	5486
278	2118	5474
279	2124	5463
280	2132	5455
281	2138	5443
282	2146	5437
283	2153	5430
284	2161	5423
285	2168	5412
286	2175	5404
287	2181	5394
288	2188	5383
289	2194	5372
290	2200	5361
291	2207	5352
292	2213	5341
293	2222	5336
294	2228	5325
295	2234	5315
296	2241	5305
297	2247	5294
298	2255	5288
299	2262	5279
300	2273	5280
301	2281	5272
302	2288	5264
303	2297	5259
304	2304	5251
305	2310	5240
306	2317	5232
307	2325	5223
308	2333	5217
309	2340	5208
310	2349	5204
311	2356	5196
312	2365	5191
313	2371	5181
314	2379	5173
315	2385	5164
316	2392	5153
317	2400	5147
318	2406	5137
319	2414	5131
320	2421	5121
321	2429	5115
322	2436	5107
323	2444	5100
324	2451	5091
325	2459	5085
326	2466	5076
327	2473	5068
328	2480	5058
329	2489	5055
330	2498	5049
331	2506	5043
332	2513	5033
333	2519	5023
334	2525	5013
335	2532	5004
336	2540	4998
337	2546	4987
338	2555	4982
339	2562	4974
340	2570	4967
341	2576	4957
342	2584	4949
343	2589	4938
344	2596	4929
345	2602	4919
346	2608	4909
347	2616	4902
348	2622	4891
349	2629	4884
350	2636	4874
351	2642	4864
352	2650	4857
353	2656	4848
354	2663	4838
355	2669	4829
356	2678	4824
357	2692	4829
358	2701	4823
359	2711	4821
360	2723	4820
361	2729	4810
362	2735	4800
363	2742	4792
364	2749	4783
365	2756	4774
366	2762	4764
367	2771	4759
368	2777	4749
369	2784	4740
370	2791	4733
371	2800	4727
372	2807	4720
373	2814	4711
374	2822	4703
375	2829	4695
376	2837	4689
377	2843	4679
378	2851	4672
379	2858	4663
380	2867	4658
381	2873	4649
382	2882	4643
383	2888	4634
384	2896	4627
385	2903	4617
386	2910	4610
387	2917	4601
388	2924	4593
389	2931	4585
390	2937	4575
391	2944	4567
392	2952	4560
393	2958	4550
394	2964	4540
395	2971	4531
396	2980	4526
397	2991	4525
398	3000	4519
399	3008	4512
400	3015	4504
401	3022	4495
402	3031	4491
403	3042	4489
404	3051	4483
405	3059	4476
406	3066	4468
407	3074	4460
408	3081	4452
409	3093	4451
410	3099	4441
411	3106	4434
412	3113	4425
413	3122	4419
414	3128	4410
415	3137	4404
416	3144	4395
417	3153	4391
418	3160	4382
419	3167	4374
420	3174	4365
421	3182	4359
422	3189	4350
423	3197	4343
424	3204	4334
425	3212	4328
426	3218	4319
427	3225	4310
428	3232	4302
429	3239	4294
430	3247	4287
431	3254	4279
432	3263	4273
433	3269	4263
434	3276	4256
435	3282	4246
436	3289	4237
437	3295	4229
438	3302	4220
439	3309	4211
440	3315	4203
441	3324	4197
442	3330	4187
443	3339	4182
444	3345	4173
445	3352	4164
446	3358	4155
447	3365	4146
448	3372	4139
449	3378	4129
450	3385	4121
451	3393	4114
452	3401	4107
453	3407	4098
454	3416	4091
455	3422	4082
456	3431	4077
457	3437	4068
458	3444	4059
459	3451	4051
460	3457	4042
461	3465	4035
462	3472	4027
463	3480	4021
464	3490	4016
465	3498	4009
466	3505	4001
467	3517	3998
468	3526	3992
469	3533	3984
470	3540	3976
471	3547	3967
472	3553	3958
473	3561	3952
474	3569	3944
475	3575	3936
476	3582	3927
477	3589	3919
478	3595	3910
479	3605	3906
480	3621	3907
481	3628	3899
482	3637	3893
483	3645	3886
484	3652	3878
485	3661	3871
486	3670	3866
487	3677	3858
488	3687	3853
489	3695	3845
490	3703	3839
491	3709	3830
492	3717	3823
493	3724	3814
494	3731	3807
495	3738	3798
496	3745	3791
497	3751	3782
498	3758	3773
499	3765	3765
500	3772	3757
501	3780	3750
502	3787	3742
503	3794	3734
504	3800	3725
505	3809	3718
506	3816	3711
