iter	Accuracy	Logloss
0	0.9623191535	0.6449007199
1	0.9652342906	0.602037275
2	0.9663139711	0.5612332378
3	0.9663679551	0.523976913
4	0.9669617793	0.4898413899
5	0.9670697474	0.4599605392
6	0.9669077953	0.43216399
7	0.9668538113	0.407379437
8	0.9669617793	0.3849843256
9	0.9671237314	0.3638214753
10	0.9672316994	0.3443194307
11	0.9670697474	0.3270816009
12	0.9673936515	0.3110416095
13	0.9677175556	0.2963451615
14	0.9672856834	0.2850698296
15	0.9675016195	0.2730874584
16	0.9677175556	0.26152888
17	0.9679334917	0.2509850602
18	0.9679334917	0.2416287584
19	0.9678795077	0.2329852874
20	0.9679334917	0.2251341458
21	0.9680954437	0.2176273038
22	0.9682573958	0.2108634953
23	0.9682034118	0.2045459654
24	0.9682573958	0.1988043767
25	0.9683113798	0.193701843
26	0.9683113798	0.1889578511
27	0.9683113798	0.1846996612
28	0.9684193479	0.1804878463
29	0.9683653639	0.1768602496
30	0.9683653639	0.1734527969
31	0.9683653639	0.17050546
32	0.9684193479	0.1675385262
33	0.9684193479	0.1648059981
34	0.9684193479	0.1623749785
35	0.9684733319	0.1599584277
36	0.9684193479	0.1578347803
37	0.9685273159	0.1556951303
38	0.9685273159	0.1539737531
39	0.9684733319	0.1522221341
40	0.968635284	0.1505922057
41	0.968635284	0.1490411336
42	0.9685812999	0.1476625823
43	0.968743252	0.1463258966
44	0.968689268	0.1451352127
45	0.968797236	0.1439211903
46	0.96885122	0.1427759444
47	0.9690131721	0.1417373117
48	0.9690671561	0.140821519
49	0.9691211401	0.1399817559
50	0.9691211401	0.1391895301
51	0.9691751242	0.1384185398
52	0.9691211401	0.1377204985
53	0.9691751242	0.1370780223
54	0.9691751242	0.1364088914
55	0.9691751242	0.1358607749
56	0.9691751242	0.135295907
57	0.9691751242	0.1348058399
58	0.9691751242	0.1343959755
59	0.9691211401	0.1339806666
60	0.9691211401	0.1336229152
61	0.9691211401	0.1332039904
62	0.9691211401	0.1328263094
63	0.9691211401	0.1324386894
64	0.9691751242	0.1320701463
65	0.9692291082	0.1317301417
66	0.9692291082	0.1314252492
67	0.9692291082	0.1311584046
68	0.9692291082	0.1309240888
69	0.9692291082	0.1306815858
70	0.9692830922	0.1304406307
71	0.9693910602	0.1301907209
72	0.9693910602	0.1299933857
73	0.9693370762	0.1297873155
74	0.9693910602	0.1295702358
75	0.9693910602	0.1293595131
76	0.9693910602	0.1291392105
77	0.9693910602	0.1289521046
78	0.9693910602	0.1287931274
79	0.9693910602	0.1286342263
80	0.9693910602	0.1285633772
81	0.9693910602	0.1284301407
82	0.9693910602	0.1282630344
83	0.9693910602	0.12809469
84	0.9694450443	0.1279744588
85	0.9693910602	0.1278144671
86	0.9694450443	0.1276913906
87	0.9694450443	0.1275990607
88	0.9694450443	0.1274597641
