iter	Passed	Remaining
0	40	61324
1	66	50071
2	105	52759
3	141	52852
4	180	53893
5	220	54921
6	243	52017
7	275	51400
8	313	51877
9	348	51928
10	383	51880
11	423	52514
12	458	52494
13	504	53500
14	528	52305
15	566	52512
16	598	52209
17	618	50921
18	652	50837
19	700	51853
20	736	51850
21	773	51977
22	798	51271
23	831	51159
24	869	51314
25	894	50711
26	925	50507
27	951	50009
28	976	49528
29	1006	49320
30	1041	49356
31	1065	48858
32	1089	48428
33	1117	48175
34	1142	47823
35	1174	47757
36	1202	47547
37	1229	47318
38	1261	47239
39	1284	46868
40	1311	46653
41	1338	46460
42	1368	46366
43	1396	46208
44	1426	46121
45	1451	45886
46	1479	45733
47	1506	45586
48	1531	45351
49	1550	44977
50	1565	44468
51	1583	44096
52	1602	43749
53	1620	43390
54	1639	43081
55	1659	42779
56	1687	42725
57	1706	42422
58	1720	42029
59	1737	41698
60	1750	41300
61	1777	41233
62	1810	41301
63	1846	41434
64	1876	41437
65	1910	41511
66	1943	41565
67	1967	41433
68	1992	41320
69	2020	41275
70	2042	41109
71	2081	41274
72	2106	41173
73	2136	41178
74	2169	41220
75	2194	41121
76	2224	41108
77	2249	41009
78	2276	40953
79	2310	41006
80	2324	40724
81	2355	40731
82	2384	40710
83	2416	40731
84	2453	40835
85	2483	40826
86	2515	40853
87	2547	40878
88	2578	40886
89	2603	40781
90	2628	40699
91	2660	40714
92	2687	40654
93	2707	40501
94	2730	40384
95	2753	40264
96	2770	40076
97	2788	39892
98	2812	39803
99	2831	39646
100	2854	39532
101	2873	39381
102	2892	39234
103	2921	39209
104	2949	39186
105	2987	39287
106	3015	39263
107	3037	39148
108	3074	39234
109	3112	39331
110	3137	39259
111	3167	39248
112	3199	39271
113	3232	39297
114	3265	39322
115	3289	39251
116	3320	39252
117	3349	39232
118	3375	39168
119	3407	39186
120	3447	39289
121	3479	39300
122	3513	39335
123	3554	39439
124	3580	39380
125	3604	39302
126	3632	39272
127	3673	39377
128	3702	39352
129	3715	39152
130	3742	39108
131	3767	39042
132	3787	38928
133	3816	38902
134	3842	38853
135	3864	38760
136	3890	38703
137	3912	38614
138	3929	38478
139	3949	38364
140	3972	38283
141	3991	38168
142	4022	38172
143	4047	38114
144	4079	38118
145	4109	38114
146	4138	38090
147	4161	38017
148	4191	38003
149	4219	37975
150	4243	37907
151	4270	37869
152	4299	37850
153	4333	37875
154	4365	37885
155	4393	37852
156	4430	37895
157	4468	37952
158	4504	37988
159	4526	37910
160	4557	37900
161	4586	37878
162	4608	37801
163	4649	37879
164	4675	37827
165	4703	37801
166	4731	37763
167	4762	37756
168	4797	37786
169	4826	37762
170	4864	37803
171	4899	37825
172	4924	37770
173	4957	37778
174	4984	37740
175	5007	37668
176	5024	37555
177	5046	37483
178	5070	37422
179	5093	37349
180	5109	37234
181	5131	37159
182	5149	37056
183	5169	36972
184	5188	36877
185	5207	36790
186	5225	36693
187	5246	36616
188	5264	36519
189	5283	36431
190	5303	36349
191	5318	36234
192	5335	36132
193	5355	36052
194	5378	35994
195	5398	35919
196	5417	35834
197	5436	35747
198	5453	35653
199	5477	35605
200	5496	35525
201	5516	35448
202	5536	35372
203	5554	35288
204	5584	35277
205	5604	35207
206	5624	35133
207	5649	35090
208	5713	35293
209	5788	35559
210	5842	35692
211	5895	35815
212	5972	36087
213	6040	36296
214	6078	36330
