iter	Passed	Remaining
0	69	207714
1	129	194537
2	194	194016
3	261	196155
4	330	197974
5	406	202806
6	521	222938
7	635	237667
8	753	250452
9	872	260922
10	974	264767
11	1074	267581
12	1205	277091
13	1323	282222
14	1426	283971
15	1516	282799
16	1625	285144
17	1760	291733
18	1861	292020
19	1928	287345
20	2030	288002
21	2139	289548
22	2246	290817
23	2363	293112
24	2472	294182
25	2571	294184
26	2666	293605
27	2799	297198
28	2918	298965
29	3034	300384
30	3146	301324
31	3250	301440
32	3377	303626
33	3497	305111
34	3610	305870
35	3710	305492
36	3802	304525
37	3889	303205
38	3974	301788
39	4053	299938
40	4139	298751
41	4222	297379
42	4301	295778
43	4406	296036
44	4553	299004
45	4714	302776
46	4882	306762
47	5060	311223
48	5271	317455
49	5544	327129
50	5784	334500
51	6048	342905
52	6204	345000
53	6398	349088
54	6560	351307
55	6739	354292
56	6882	355343
57	7056	357944
58	7174	357637
59	7279	356715
60	7401	356612
61	7520	356364
62	7663	357247
63	7789	357353
64	7905	356956
65	8035	357234
66	8158	357144
67	8266	356427
68	8367	355427
69	8462	354221
70	8514	351245
71	8610	350146
72	8704	349022
73	8791	347600
74	8880	346340
75	8972	345195
76	9055	343758
77	9150	342786
78	9235	341479
79	9355	341467
80	9475	341481
81	9620	342337
82	9673	339970
83	9781	339546
84	9894	339335
85	10008	339127
86	10121	338909
87	10220	338216
88	10304	337039
89	10406	336485
90	10522	336383
91	10629	335981
92	10757	336252
93	10857	335651
94	10961	335194
95	11088	335440
96	11177	334523
97	11274	333858
98	11363	332975
99	11480	332942
100	11599	332952
101	11704	332531
102	11826	332644
103	11911	331682
104	12024	331543
105	12130	331187
106	12240	330954
107	12377	331451
108	12470	330741
109	12551	329765
110	12650	329262
111	12736	328432
112	12833	327872
113	12934	327459
114	13033	326975
115	13129	326415
116	13216	325672
117	13291	324633
118	13376	323855
119	13435	322457
120	13519	321666
121	13625	321426
122	13735	321287
123	13868	321656
124	13971	321339
125	14027	319970
126	14133	319726
127	14259	319941
128	14369	319804
129	14492	319953
130	14601	319783
131	14746	320405
132	14903	321263
133	15073	322389
134	15218	322969
135	15313	322477
136	15510	324129
137	15672	325031
138	15762	324436
139	15843	323667
140	15909	322591
141	16029	322630
142	16150	322671
143	16293	323152
144	16472	324334
145	16604	324583
146	16717	324457
147	16822	324172
148	16877	322942
149	16970	322433
150	17053	321761
151	17140	321166
152	17225	320528
153	17289	319515
154	17368	318797
155	17431	317791
156	17516	317196
157	17602	316614
158	17693	316140
159	17776	315539
160	17860	314936
161	17885	313332
162	17992	313158
163	18100	313000
164	18209	312875
165	18320	312771
166	18429	312632
167	18551	312727
168	18686	313029
169	18730	311813
170	18836	311633
171	18950	311581
172	19036	311072
173	19139	310848
174	19248	310732
175	19403	311341
176	19500	311012
177	19627	311176
178	19743	311158
179	19866	311249
180	19987	311302
181	20074	310818
182	20111	309583
183	20198	309128
184	20310	309042
185	20429	309071
186	20539	308965
187	20656	308970
188	20777	309017
189	20877	308760
190	20971	308418
191	21083	308340
192	21192	308217
193	21294	308002
194	21384	307601
195	21463	307062
196	21545	306558
197	21637	306209
198	21721	305744
199	21820	305490
200	21906	305050
201	21985	304536
202	22064	304014
203	22148	303568
204	22249	303358
205	22380	303547
206	22486	303399
207	22608	303472
208	22732	303565
209	22869	303836
210	22988	303865
211	23106	303877
212	23210	303696
213	23305	303407
214	23401	303137
215	23444	302169
216	23560	302156
217	23695	302393
218	23809	302354
219	23944	302572
220	24062	302578
221	24128	301932
222	24238	301837
223	24350	301766
224	24455	301611
225	24507	300812
226	24589	300379
227	24726	300626
228	24832	300485
229	24973	300762
230	25093	300796
231	25211	300802
232	25332	300839
233	25444	300768
234	25535	300452
235	25625	300128
236	25708	299720
237	25800	299417
238	25889	299086
239	25970	298663
240	26058	298324
241	26087	297310
242	26159	296797
243	26263	296649
244	26371	296546
245	26458	296208
246	26554	295975
247	26643	295656
248	26760	295650
249	26867	295538
250	26985	295548
251	27098	295505
252	27207	295407
253	27318	295341
254	27427	295245
255	27535	295148
256	27601	294590
257	27636	293719
258	27754	293727
259	27909	294119
260	28045	294318
261	28188	294582
262	28298	294494
263	28449	294843
264	28566	294830
265	28694	294931
266	28735	294137
267	28845	294048
268	28972	294140
269	29092	294162
270	29243	294480
271	29359	294462
272	29485	294528
273	29596	294451
274	29659	293894
275	29793	294050
276	29895	293879
277	30016	293903
278	30105	293605
279	30201	293383
280	30314	293332
281	30421	293209
282	30531	293124
283	30640	293029
284	30766	293093
285	30881	293054
286	31013	293167
287	31122	293069
288	31215	292821
289	31282	292325
290	31381	292142
291	31485	291991
292	31595	291907
293	31697	291750
294	31790	291498
295	31873	291164
296	31965	290919
297	32062	290715
298	32143	290370
299	32221	289994
300	32319	289797
301	32407	289518
302	32452	288861
303	32546	288636
304	32684	288803
305	32737	288220
306	32846	288132
307	32977	288236
308	33043	287765
309	33089	287133
310	33211	287154
311	33369	287489
312	33463	287268
313	33573	287194
314	33659	286909
315	33776	286885
316	33896	286886
317	34020	286929
318	34117	286740
319	34352	287701
320	34607	288822
321	34868	289989
322	35056	290542
323	35168	290465
324	35283	290408
325	35393	290312
326	35561	290690
327	35750	291232
328	35894	291408
329	36033	291544
330	36161	291584
331	36277	291527
332	36426	291740
333	36529	291581
334	36645	291525
335	36771	291549
336	36905	291628
337	36979	291242
338	37105	291264
339	37157	290706
340	37339	291161
341	37546	291806
342	37714	292146
343	37812	291946
344	37972	292223
345	38133	292506
346	38295	292785
347	38444	292976
348	38557	292884
349	38697	292994
350	38829	293046
351	38935	292900
352	39043	292768
353	39158	292689
354	39268	292574
355	39387	292526
356	39509	292501
357	39629	292461
358	39756	292470
359	39884	292486
360	40001	292418
361	40150	292587
362	40283	292637
363	40419	292709
364	40557	292793
365	40685	292803
366	40805	292752
367	40921	292675
368	41031	292555
369	41168	292630
370	41320	292807
371	41584	293776
372	41731	293908
373	41861	293929
374	42011	294083
375	42122	293963
376	42229	293812
377	42352	293775
378	42489	293839
379	42605	293752
380	42724	293690
381	42843	293621
382	43007	293865
383	43159	294024
384	43274	293928
385	43383	293792
386	43505	293749
387	43612	293600
388	43717	293433
389	43823	293277
390	43934	293161
391	44048	293054
392	44160	292941
393	44298	293002
394	44421	292959
395	44561	293024
396	44698	293074
397	44863	293303
398	44999	293339
399	45123	293300
400	45237	293195
401	45366	293186
402	45515	293312
403	45686	293566
404	45869	293906
405	46071	294361
