iter	Passed	Remaining
0	1	1743
1	2	1257
2	4	1336
3	5	1250
4	5	1134
5	6	1152
6	7	1105
7	9	1229
8	11	1212
9	13	1342
10	14	1300
11	15	1267
12	16	1227
13	18	1297
14	19	1270
15	20	1244
16	21	1224
17	22	1205
18	24	1280
19	25	1272
20	29	1364
21	34	1554
22	35	1523
23	36	1492
24	37	1465
25	38	1443
26	39	1419
27	40	1395
28	43	1471
29	45	1455
30	48	1520
31	49	1502
32	50	1479
33	51	1458
34	52	1439
35	53	1419
36	53	1402
37	54	1386
38	55	1369
39	56	1353
40	57	1338
41	60	1376
42	61	1362
43	61	1346
44	62	1333
45	64	1337
46	66	1355
47	67	1344
48	68	1333
49	70	1341
50	72	1358
51	75	1377
52	76	1365
53	78	1378
54	79	1366
55	80	1356
56	82	1360
57	84	1375
58	85	1365
59	86	1354
60	87	1342
61	88	1331
62	90	1343
63	91	1334
64	92	1324
65	92	1314
66	93	1305
67	94	1297
68	95	1287
69	96	1278
70	97	1269
71	97	1260
72	101	1287
73	102	1279
74	102	1269
75	103	1260
76	105	1270
77	109	1295
78	110	1289
79	113	1299
80	114	1293
81	116	1303
82	118	1311
83	119	1305
84	120	1295
85	121	1291
86	122	1284
87	123	1279
88	125	1279
89	126	1275
90	127	1272
91	129	1274
92	130	1272
93	133	1288
94	134	1285
95	135	1280
96	137	1275
97	137	1270
98	139	1266
99	140	1262
100	142	1271
101	143	1265
102	145	1266
103	147	1271
104	148	1268
105	150	1268
106	151	1263
107	153	1263
108	153	1258
109	154	1252
110	158	1271
111	161	1279
112	162	1275
113	164	1278
114	166	1280
115	168	1282
116	169	1278
117	172	1286
118	173	1281
119	178	1308
120	179	1305
121	180	1299
122	181	1294
123	182	1288
124	185	1300
125	187	1301
126	188	1296
127	193	1320
128	194	1315
129	195	1309
130	197	1312
131	198	1308
132	199	1302
133	201	1299
134	201	1294
135	205	1303
136	209	1322
137	211	1323
138	212	1318
139	214	1315
140	216	1317
141	218	1320
142	222	1332
143	223	1328
144	224	1322
145	225	1318
146	226	1312
147	227	1308
148	230	1317
149	236	1339
150	237	1335
151	241	1346
152	242	1343
153	243	1338
154	244	1333
155	248	1345
156	250	1345
157	253	1348
158	256	1359
159	257	1354
160	259	1350
161	260	1345
162	260	1339
163	264	1347
164	268	1358
165	269	1354
166	272	1356
167	273	1352
168	273	1347
169	274	1342
170	276	1338
171	277	1333
172	280	1341
173	282	1341
174	285	1345
175	286	1343
176	287	1338
177	291	1348
178	292	1343
179	293	1338
180	294	1333
181	297	1336
182	298	1333
183	303	1345
184	306	1352
185	309	1352
186	311	1354
187	312	1349
188	313	1344
189	313	1337
190	317	1344
191	330	1392
192	331	1387
193	332	1383
194	345	1427
195	347	1424
196	348	1419
197	354	1436
198	355	1432
199	366	1465
200	367	1460
201	381	1506
202	382	1501
203	383	1495
204	396	1537
205	397	1532
206	398	1527
207	399	1522
208	415	1570
209	416	1564
210	416	1558
211	417	1552
212	431	1593
213	432	1587
214	433	1581
215	446	1621
216	447	1615
217	448	1609
218	459	1637
219	463	1643
220	464	1638
221	465	1632
222	466	1626
223	474	1642
224	478	1647
225	482	1651
226	484	1648
227	484	1641
228	487	1641
229	488	1635
230	489	1630
231	490	1625
232	491	1619
233	496	1624
234	498	1623
235	511	1655
236	512	1650
237	513	1645
238	514	1639
239	521	1652
240	525	1655
241	527	1651
242	528	1647
243	531	1645
244	533	1643
245	534	1637
246	535	1631
247	536	1625
248	536	1619
249	539	1618
250	540	1612
251	541	1606
252	542	1601
253	546	1604
254	547	1599
255	548	1594
256	549	1590
257	553	1591
258	555	1589
259	556	1583
260	557	1578
261	559	1574
262	560	1569
263	561	1564
264	562	1559
265	563	1554
266	564	1548
267	565	1545
268	566	1540
269	567	1535
270	569	1531
271	570	1527
272	572	1525
273	575	1524
274	576	1519
275	577	1514
276	578	1509
277	579	1504
278	580	1500
279	581	1495
280	582	1490
281	583	1485
282	584	1480
283	585	1475
284	586	1470
285	586	1465
286	587	1459
287	588	1455
288	589	1450
289	590	1446
290	591	1441
291	592	1436
292	593	1431
293	594	1426
294	595	1422
295	595	1417
296	596	1412
297	597	1408
298	598	1403
299	599	1399
300	600	1394
301	601	1391
302	604	1390
303	605	1386
304	606	1382
305	607	1377
306	608	1372
307	609	1368
308	609	1363
309	610	1359
310	611	1355
311	612	1351
312	613	1347
313	614	1343
314	617	1342
315	619	1341
316	621	1339
317	623	1336
318	625	1334
319	626	1331
320	629	1332
321	630	1327
322	631	1323
323	632	1319
324	633	1315
325	634	1312
326	635	1308
327	636	1304
328	637	1300
