iter	RMSE
0	2552141.073
1	2534420.515
2	2520505.885
3	2505472.938
4	2483553.686
5	2468904.739
6	2459410.971
7	2447400.389
8	2436826.534
9	2423925.446
10	2406039.024
11	2394300.058
12	2382663.833
13	2364323.459
14	2349489.27
15	2335240.465
16	2326729.183
17	2317840.915
18	2305431.046
19	2293999.784
20	2285628.533
21	2276822.076
22	2268775.445
23	2253969.439
24	2244828.557
25	2237275.731
26	2229534.177
27	2216114.179
28	2199464.538
29	2192411.659
30	2183547.385
31	2173045.986
32	2162280.813
33	2157020.887
34	2147213.379
35	2135124.017
36	2124926.086
37	2111884.744
38	2099233.423
39	2089086.149
40	2080932.822
41	2071860.345
42	2063247.935
43	2050606.74
44	2038729.452
45	2030175.458
46	2020704.489
47	2015733.186
48	2013248.387
49	2007158.275
50	2000246.218
51	1987812.553
52	1978533.601
53	1970679.074
54	1962773.18
55	1956609.727
56	1946612.049
57	1938726.725
58	1927984.872
59	1918047.321
60	1908726.069
61	1902271.88
62	1895861.706
63	1889929.021
64	1881219.898
65	1868743.175
66	1859161.501
67	1846344.104
68	1839154.503
69	1833313.134
70	1821957.883
71	1817162.498
72	1810823.593
73	1801710.132
74	1795052.278
75	1790227.65
76	1785019.055
77	1775463.212
78	1770985.106
79	1763990.811
80	1756031.365
81	1746940.545
82	1742351.681
83	1736412.234
84	1729121.278
85	1716740.414
86	1713241.505
87	1709930.533
88	1702340.437
89	1694802.71
90	1688871.91
91	1682027.584
92	1673403.397
93	1666867.032
94	1662919.792
95	1657714.138
96	1654642.999
97	1648366.501
98	1642878.268
99	1636856.803
100	1631783.737
101	1629083.582
102	1623759.937
103	1617724.652
104	1611600.422
105	1604776.301
106	1600406.988
107	1589176.036
108	1585506.214
109	1579174.981
110	1574326.116
111	1567070.764
112	1564655.544
113	1560631.176
114	1556376.976
115	1549435.984
116	1539475.95
117	1530409.65
118	1524464.498
119	1517633.27
120	1511665.487
121	1506818.229
122	1498025.558
123	1495321.203
124	1488278.508
125	1480133.223
126	1474496.001
127	1464081.458
128	1456476.155
129	1450737.402
130	1444805.625
131	1438528.259
132	1432335.167
133	1424423.925
134	1419575.15
135	1414531.429
136	1407557.523
137	1402543.756
138	1393494.58
139	1385804.987
140	1383460.974
141	1381656.669
142	1378642.364
143	1375875.16
144	1371361.884
145	1365376.781
146	1361790.774
147	1356046.542
148	1350421.389
149	1348488.463
150	1343484.878
151	1336113.467
152	1330735.595
153	1328237.67
154	1324815.734
155	1317820.399
156	1312197.066
157	1310791.051
158	1307711.869
159	1304560.259
160	1297450.841
161	1293709.301
162	1288367.161
163	1283136.983
164	1278487.769
165	1272601.144
166	1265172.663
167	1262741.191
168	1258157.249
169	1252492.394
170	1245472.051
171	1239356.792
172	1234403.138
173	1229877.986
174	1225207.885
175	1218017.697
176	1213714.166
177	1206526.064
178	1200652.315
179	1195800.542
180	1191453.379
181	1185710.422
182	1182230.906
183	1179060.929
184	1177138.298
185	1172706.701
186	1166678.056
187	1162998.592
188	1160061.505
189	1154433.047
190	1149703.599
191	1146553.096
192	1144893.059
193	1138610.203
194	1132302.908
195	1128928.269
196	1123610.896
197	1114514.768
198	1111334.426
199	1103605.098
200	1100748.157
201	1097157.992
202	1091614.39
203	1083842.141
204	1080136.912
205	1077659.907
206	1072486.969
207	1068841.081
208	1064692.898
209	1060938.201
210	1053862.586
211	1052523.691
212	1047344.139
213	1043430.422
214	1041043.738
215	1039037.365
216	1036126.795
217	1030562.972
218	1023680.835
219	1019729.458
220	1015907.356
221	1013376.622
222	1011414.273
223	1004007.259
224	1001118.955
225	998930.5857
226	992278.6936
227	988952.638
228	982408.2477
229	976662.874
230	970204.7183
231	966305.8521
232	963247.0746
233	959802.3623
234	953437.6104
235	950370.8343
236	944240.7887
237	941375.4467
238	939105.6134
239	935219.004
240	933012.7325
241	928638.9263
242	924915.3863
243	918811.6469
244	913921.1747
245	909343.7043
246	904525.147
247	902118.7901
248	898693.37
249	895049.6878
250	892272.9735
251	890579.724
252	887889.2733
253	884438.2057
254	881016.8671
255	876733.6665
256	873820.3047
257	871214.6217
258	864647.5118
259	862169.4475
260	858953.6217
261	854189.6529
262	849169.2134
263	845845.8448
264	842483.7595
265	838286.1903
266	833812.8013
267	830961.1367
268	828409.0855
269	825883.0846
270	823551.3224
271	819311.9802
272	815888.0859
273	810833.5044
274	807507.9117
275	805039.826
276	800472.7357
277	798990.7388
278	797180.042
279	793321.4523
280	789724.8896
281	787993.9774
282	785316.36
283	783523.5329
284	778838.7213
285	777148.2507
286	775152.3162
287	772292.6647
288	767489.9825
289	763405.1141
290	758595.7965
291	756855.7006
292	752906.1503
293	748575.9407
294	745361.4255
295	741773.2544
296	738709.6685
297	734663.8518
298	733599.0201
299	729319.4944
300	725820.3513
301	722160.09
302	717349.4122
303	713722.4131
304	710931.9035
305	708308.401
306	706142.445
307	703877.3674
308	700811.4972
309	699391.2455
310	696771.1663
311	694437.8573
312	691051.775
313	689926.4008
314	688299.2162
315	686212.7853
316	684685.2391
317	682971.4212
318	680268.4172
319	678325.9946
320	674941.9462
321	673869.2237
322	669645.2279
323	666443.7774
324	662612.2472
325	661118.6027
326	657246.5563
327	656225.1525
328	654439.5896
329	653191.4612
330	650923.8724
331	649683.8933
332	648904.6006
333	648393.2266
334	644820.344
335	643673.1739
336	641913.5308
337	638598.6074
338	636191.5184
339	632810.1071
340	632411.4046
341	631728.0511
342	630504.7042
343	627793.8291
344	624054.5607
345	623431.328
346	621238.2158
347	618663.8333
348	616288.0099
349	615839.7186
