iter	Passed	Remaining
0	1	1281
1	5	2564
2	10	3605
3	12	3018
4	13	2629
5	14	2391
6	16	2369
7	18	2243
8	20	2244
9	22	2268
10	24	2169
11	26	2204
12	27	2109
13	28	2042
14	30	2025
15	33	2066
16	34	2010
17	36	1995
18	41	2119
19	42	2083
20	44	2073
21	47	2096
22	50	2125
23	51	2099
24	53	2072
25	55	2063
26	56	2026
27	57	2006
28	61	2056
29	64	2074
30	65	2049
31	70	2122
32	71	2087
33	72	2053
34	76	2107
35	77	2077
36	80	2107
37	83	2104
38	87	2156
39	88	2131
40	89	2100
41	92	2103
42	93	2072
43	94	2043
44	98	2088
45	102	2118
46	104	2128
47	107	2125
48	108	2113
49	116	2216
50	120	2251
51	123	2244
52	124	2218
53	125	2194
54	126	2172
55	127	2155
56	130	2156
57	133	2174
58	135	2153
59	136	2134
60	137	2112
61	139	2108
62	140	2095
63	142	2078
64	144	2079
65	147	2088
66	151	2102
67	152	2092
68	154	2090
69	158	2099
70	159	2086
71	162	2090
72	167	2121
73	174	2178
74	175	2166
75	178	2169
76	182	2188
77	186	2207
78	190	2216
79	191	2206
80	193	2197
81	196	2198
82	197	2186
83	203	2223
84	207	2232
85	211	2243
86	212	2227
87	213	2211
88	214	2196
89	221	2239
90	222	2224
91	225	2223
92	230	2245
93	232	2242
94	236	2256
95	242	2281
96	245	2287
97	247	2279
98	252	2298
99	256	2305
100	258	2303
101	260	2297
102	262	2286
103	263	2271
104	264	2256
105	267	2257
106	268	2244
107	270	2230
108	272	2230
109	275	2227
110	276	2214
111	277	2200
112	278	2186
113	279	2172
114	281	2169
115	283	2158
116	285	2156
117	287	2150
118	289	2140
119	290	2129
120	293	2130
121	294	2121
122	297	2121
123	300	2123
124	305	2136
125	306	2125
126	307	2113
127	309	2105
128	311	2104
129	314	2105
130	315	2094
131	316	2083
132	317	2072
133	319	2064
134	321	2062
135	322	2051
136	324	2044
137	327	2043
138	329	2042
139	331	2033
140	333	2030
141	334	2020
142	335	2009
143	337	2006
144	338	1996
145	339	1987
146	344	1996
147	345	1987
148	346	1978
149	350	1984
150	351	1978
151	353	1970
152	354	1962
153	358	1966
154	359	1959
155	360	1951
156	361	1943
157	363	1935
158	364	1926
159	365	1918
160	367	1912
161	368	1906
162	370	1900
163	373	1901
164	374	1895
165	376	1890
166	379	1892
167	384	1905
168	389	1913
169	390	1907
170	392	1901
171	393	1894
172	395	1889
173	398	1890
174	404	1908
175	406	1904
176	408	1897
177	409	1891
178	411	1886
179	412	1879
180	414	1876
181	417	1876
182	418	1869
183	420	1863
184	421	1857
185	425	1861
186	429	1865
187	433	1872
188	435	1867
189	436	1862
190	438	1856
191	439	1849
192	440	1842
193	443	1842
194	448	1850
195	450	1846
196	451	1839
197	452	1832
198	457	1840
199	462	1848
200	465	1849
201	466	1843
202	468	1837
203	469	1831
204	470	1824
205	472	1820
206	473	1814
207	475	1808
208	478	1810
209	479	1804
210	481	1800
211	486	1806
212	487	1801
213	490	1801
214	494	1806
215	496	1800
216	498	1798
217	500	1795
218	501	1789
219	506	1795
220	508	1794
221	510	1788
222	511	1782
223	512	1776
224	515	1774
225	518	1774
226	521	1777
227	523	1771
228	524	1765
229	527	1767
230	533	1776
231	535	1771
232	537	1769
233	538	1763
234	542	1764
235	544	1764
236	547	1761
237	552	1769
238	554	1765
239	555	1760
240	560	1764
241	563	1763
242	566	1765
243	568	1759
244	569	1755
245	572	1754
246	573	1749
247	575	1744
248	578	1743
249	581	1745
250	583	1740
251	586	1741
252	588	1737
253	589	1731
254	591	1728
255	595	1731
256	597	1727
257	600	1726
258	601	1721
259	602	1715
260	603	1709
261	605	1704
262	606	1698
263	607	1692
264	608	1687
265	611	1687
266	614	1687
267	615	1681
268	616	1676
269	619	1674
270	621	1672
271	622	1667
272	624	1662
273	627	1661
274	628	1656
275	635	1666
276	636	1662
277	637	1656
278	643	1662
279	648	1667
280	652	1668
281	655	1668
282	660	1674
283	662	1669
284	663	1664
285	664	1659
286	665	1654
287	667	1650
288	670	1649
289	671	1644
290	673	1640
291	676	1641
292	678	1636
293	681	1635
294	684	1634
295	685	1630
296	688	1629
297	691	1628
298	694	1628
299	696	1624
300	699	1625
301	701	1621
302	704	1620
303	706	1616
304	708	1615
305	712	1614
306	714	1612
307	716	1609
308	719	1608
309	720	1604
310	723	1603
311	726	1601
312	728	1598
313	730	1596
314	731	1591
315	734	1590
316	736	1585
317	737	1581
318	738	1576
319	741	1574
320	742	1570
321	743	1565
322	746	1564
323	748	1562
324	753	1564
325	754	1560
326	759	1563
327	762	1562
328	765	1561
329	767	1557
330	769	1555
331	770	1551
332	773	1549
333	775	1545
334	776	1540
335	777	1536
336	778	1531
337	780	1528
338	781	1524
339	782	1519
340	785	1518
341	788	1516
342	789	1511
343	790	1507
344	791	1503
345	796	1505
346	798	1501
347	800	1500
348	802	1496
349	804	1493
350	806	1491
351	807	1487
352	809	1483
353	813	1484
354	814	1480
355	816	1476
356	817	1471
357	818	1467
358	819	1463
359	821	1460
360	822	1456
361	823	1451
362	824	1447
363	827	1445
364	833	1449
365	834	1445
366	837	1443
367	838	1440
368	839	1435
369	845	1440
370	849	1440
371	851	1436
372	854	1436
373	855	1432
374	864	1440
375	866	1438
376	868	1434
377	872	1435
378	874	1432
379	884	1442
380	888	1443
381	893	1444
382	894	1441
383	899	1442
384	901	1440
385	902	1435
386	903	1431
387	910	1436
388	913	1434
389	915	1432
390	917	1428
391	918	1425
392	920	1421
393	923	1419
394	925	1417
395	927	1415
396	928	1410
397	930	1407
398	931	1403
399	932	1399
400	934	1396
401	936	1392
402	937	1388
403	938	1384
404	940	1381
405	941	1377
406	943	1373
407	944	1370
408	946	1367
409	948	1364
410	951	1363
411	952	1359
412	953	1355
413	956	1353
414	959	1352
415	960	1348
416	961	1344
417	963	1341
418	966	1340
419	967	1336
420	969	1333
421	970	1329
422	971	1325
423	973	1322
424	974	1318
425	975	1314
426	978	1312
427	979	1309
428	984	1310
429	985	1306
430	986	1302
431	987	1298
432	988	1294
433	989	1290
434	990	1286
435	992	1283
436	993	1279
437	994	1275
438	995	1271
439	996	1268
440	997	1264
441	998	1261
442	1000	1257
443	1001	1253
444	1002	1249
445	1003	1246
446	1006	1245
447	1007	1241
448	1009	1238
449	1010	1234
450	1013	1233
451	1014	1229
452	1015	1225
453	1016	1222
454	1017	1218
455	1018	1214
456	1019	1211
457	1020	1207
458	1021	1203
459	1022	1200
460	1024	1197
461	1025	1193
462	1027	1191
463	1028	1188
464	1030	1185
465	1031	1181
466	1031	1177
467	1032	1174
468	1034	1170
469	1035	1167
470	1036	1163
471	1037	1160
472	1038	1157
473	1039	1153
474	1040	1150
475	1043	1148
476	1044	1145
477	1047	1143
478	1048	1140
479	1050	1137
480	1051	1135
481	1052	1131
482	1053	1128
483	1054	1124
484	1056	1121
485	1057	1118
486	1058	1115
487	1061	1113
488	1062	1110
489	1063	1107
490	1064	1103
491	1065	1100
492	1069	1099
493	1071	1097
494	1072	1094
495	1073	1090
496	1075	1088
497	1077	1085
498	1078	1082
499	1079	1079
500	1080	1076
501	1081	1072
502	1082	1069
503	1083	1066
504	1084	1063
505	1088	1062
506	1089	1059
507	1090	1056
508	1092	1054
509	1094	1051
510	1096	1049
511	1097	1046
512	1100	1044
513	1103	1042
514	1104	1040
515	1106	1037
516	1107	1034
517	1108	1031
518	1109	1028
