iter	RMSE
0	2557270.597
1	2551422.138
2	2543844.978
3	2534588.941
4	2528291.748
5	2520952.579
6	2512403.845
7	2503714.099
8	2496775.458
9	2486222.754
10	2476227.652
11	2467317.123
12	2456171.376
13	2449028.004
14	2441607.565
15	2431524.607
16	2426363.806
17	2418417.475
18	2412427.989
19	2410281.595
20	2404850.297
21	2401444.72
22	2391790.018
23	2387070.32
24	2382423.588
25	2375243.993
26	2367917.723
27	2357875.545
28	2350056.798
29	2343281.632
30	2337964.541
31	2331958.319
32	2322396.53
33	2319133.897
34	2312526.619
35	2305718.703
36	2298457.902
37	2293073.034
38	2287344.163
39	2280199.035
40	2273570.911
41	2266771.545
42	2261146.974
43	2256239.011
44	2249540.037
45	2242057.874
46	2235662.872
47	2232672.889
48	2227315.933
49	2222562.535
50	2218355.978
51	2214513.751
52	2209047.648
53	2201465.197
54	2193403.333
55	2190998.207
56	2184195.834
57	2180012.942
58	2174046.53
59	2167973.64
60	2159643.328
61	2152279.896
62	2147752.382
63	2143723.275
64	2139615.163
65	2131571.657
66	2130588.398
67	2126019.157
68	2121205.336
69	2118751.687
70	2113775.107
71	2109130.848
72	2104841.589
73	2101209.112
74	2097054.056
75	2094110.824
76	2090132.697
77	2084361.262
78	2080744.338
79	2080115.127
80	2074313.605
81	2071770.609
82	2068993.05
83	2063821.375
84	2059847.075
85	2056940.866
86	2053644.336
87	2049579.46
88	2044206.533
89	2039440.529
90	2032142.324
91	2027155.049
92	2023184.714
93	2019451.423
94	2017332.16
95	2013343.935
96	2011061.075
97	2008777.638
98	2003594.067
99	2002409.096
100	1999205.237
101	1996209.185
102	1994057.685
103	1993263.777
104	1991531.187
105	1988299.739
106	1983663.967
107	1980533.303
108	1976592.169
109	1971512.047
110	1967651.547
111	1963527.886
112	1960654.662
113	1957792.337
114	1956667.183
115	1955140.564
116	1952270.52
117	1950375.649
118	1948535.495
119	1942506.591
120	1940034.9
121	1934751.443
122	1932514.708
123	1930811.953
124	1929951.443
125	1927558.768
126	1925723.741
127	1924352.65
128	1921215.768
129	1920347.162
130	1917120.617
131	1914920.668
132	1913493.003
133	1907118.374
134	1904744.286
135	1901346.447
136	1898039.891
137	1894246.574
138	1887896.967
139	1884281.923
140	1882461.114
141	1878812.967
