iter	Passed	Remaining
0	2	8044
1	5	10411
2	11	15798
3	15	15392
4	18	14605
5	20	13361
6	22	12954
7	26	13234
8	28	12571
9	30	12037
10	32	11654
11	35	11838
12	37	11484
13	41	11714
14	46	12319
15	48	12011
16	51	11983
17	53	11761
18	56	11771
19	58	11558
20	60	11442
21	65	11767
22	67	11591
23	70	11698
24	76	12217
25	78	12049
26	80	11906
27	84	11930
28	88	12122
29	96	12749
30	100	12871
31	103	12875
32	105	12687
33	108	12640
34	116	13176
35	118	13019
36	119	12842
37	122	12817
38	127	12983
39	129	12814
40	131	12722
41	133	12581
42	135	12478
43	137	12348
44	139	12299
45	142	12284
46	145	12202
47	149	12318
48	151	12225
49	157	12436
50	163	12681
51	167	12695
52	170	12687
53	172	12584
54	173	12479
55	176	12444
56	181	12532
57	184	12529
58	190	12696
59	195	12836
60	197	12736
61	200	12746
62	202	12652
63	206	12730
64	210	12761
65	212	12658
66	219	12886
67	223	12925
68	225	12846
69	228	12828
70	231	12810
71	240	13108
72	245	13221
73	249	13259
74	253	13242
75	256	13244
76	258	13150
77	259	13055
78	262	13021
79	264	12970
80	269	13020
81	274	13102
82	275	13017
83	277	12926
84	281	12958
85	286	13021
86	290	13052
87	294	13081
88	295	13000
89	299	13000
90	303	13038
91	305	12957
92	306	12880
93	307	12793
94	309	12715
95	310	12641
96	314	12654
97	317	12621
98	318	12563
99	319	12468
100	322	12464
101	325	12444
102	329	12481
103	330	12397
104	334	12407
105	337	12385
106	338	12333
107	340	12276
108	342	12215
109	347	12274
110	349	12232
111	351	12214
112	353	12165
113	356	12161
114	358	12126
115	360	12068
116	363	12054
117	367	12086
118	369	12041
119	371	12022
120	373	11980
121	380	12095
122	383	12099
123	385	12051
124	387	11997
125	390	11993
126	391	11946
127	393	11899
128	396	11898
129	398	11849
130	400	11817
131	401	11777
132	403	11734
133	404	11682
134	406	11632
135	407	11590
136	409	11547
137	412	11551
138	416	11557
139	419	11578
140	421	11536
141	423	11493
142	426	11496
143	428	11472
144	429	11431
145	431	11394
146	435	11415
147	437	11385
148	440	11379
149	444	11402
150	446	11368
151	448	11349
152	449	11311
153	451	11274
154	461	11439
155	464	11442
156	465	11401
157	467	11358
158	469	11352
159	471	11323
160	473	11284
161	478	11339
162	480	11301
163	482	11289
164	484	11266
165	486	11228
166	489	11241
167	492	11238
168	494	11204
169	496	11192
170	501	11227
171	503	11197
172	504	11167
173	508	11191
174	511	11169
175	512	11139
176	513	11099
177	517	11102
178	519	11087
179	526	11177
180	529	11167
181	533	11187
182	536	11189
183	539	11181
184	544	11232
185	546	11201
186	547	11173
187	549	11142
188	553	11167
189	560	11248
190	564	11247
191	566	11240
192	568	11214
193	570	11199
194	571	11159
195	573	11131
196	575	11114
197	579	11119
198	581	11116
199	583	11084
200	586	11080
201	588	11063
202	590	11050
203	593	11035
204	596	11047
205	599	11039
206	604	11073
207	606	11051
208	607	11027
209	609	11003
210	611	10983
211	613	10960
212	615	10950
213	617	10928
214	619	10911
215	623	10925
216	625	10899
217	629	10921
218	631	10905
219	633	10887
220	635	10866
221	636	10838
222	638	10810
223	639	10784
224	641	10758
225	642	10732
226	644	10707
227	645	10680
228	647	10659
229	650	10666
230	653	10662
231	655	10649
232	656	10621
233	659	10611
234	660	10585
235	662	10562
236	663	10539
237	666	10531
238	667	10509
239	670	10501
240	671	10480
241	673	10457
242	674	10433
243	676	10410
244	677	10389
245	679	10365
246	682	10365
247	684	10351
248	685	10329
249	686	10304
250	688	10282
251	690	10265
252	691	10242
253	692	10218
254	695	10208
255	698	10218
256	701	10222
257	705	10233
258	707	10216
259	708	10197
260	710	10174
261	711	10155
262	714	10157
263	716	10136
264	717	10114
265	719	10094
266	720	10073
267	721	10053
268	723	10036
269	724	10014
270	726	9995
271	729	9997
272	731	9984
273	733	9971
274	735	9961
275	736	9941
276	738	9922
277	739	9905
278	741	9890
279	742	9870
280	745	9864
281	747	9851
282	748	9833
283	750	9816
284	751	9797
285	753	9779
286	754	9763
287	756	9744
288	757	9727
289	759	9711
290	760	9695
291	762	9678
292	763	9661
293	765	9649
294	767	9633
295	769	9625
296	770	9609
297	772	9593
298	773	9576
299	776	9582
300	779	9576
301	780	9561
302	782	9544
303	783	9525
304	785	9516
305	787	9508
306	790	9512
307	792	9504
308	794	9488
309	795	9473
310	797	9458
311	798	9442
312	800	9425
313	802	9416
314	803	9400
315	809	9431
316	810	9418
317	812	9402
318	813	9385
319	814	9369
320	818	9377
321	820	9372
322	822	9366
323	825	9363
324	826	9349
325	828	9334
326	829	9319
327	831	9306
328	832	9291
329	834	9278
330	835	9264
331	837	9248
332	840	9257
333	842	9249
334	844	9235
335	846	9230
336	847	9217
337	849	9201
338	850	9186
339	852	9179
340	856	9191
341	858	9180
342	859	9167
343	861	9153
344	862	9138
345	864	9125
346	865	9111
347	867	9099
348	868	9085
349	870	9076
350	871	9063
351	873	9057
352	875	9043
353	876	9032
354	878	9020
355	880	9010
356	881	8999
357	883	8986
358	884	8972
359	886	8962
360	888	8953
361	889	8942
362	891	8936
363	894	8934
364	897	8939
365	899	8930
366	900	8918
367	904	8924
368	905	8910
369	907	8899
370	909	8901
371	912	8903
372	914	8891
373	915	8878
374	918	8877
375	920	8872
376	921	8860
377	923	8849
378	925	8837
379	926	8825
380	927	8812
381	929	8800
382	930	8790
383	934	8800
384	936	8790
385	937	8776
386	938	8764
387	940	8753
388	941	8740
389	943	8730
390	944	8718
391	946	8707
392	947	8696
393	950	8700
394	952	8688
395	953	8677
396	954	8666
397	956	8654
398	957	8643
399	960	8642
400	961	8631
401	963	8619
402	965	8616
403	967	8615
404	969	8608
405	971	8597
406	972	8585
407	973	8573
408	975	8563
409	976	8552
410	978	8542
411	979	8531
412	982	8533
413	984	8524
414	985	8513
415	986	8503
416	988	8495
417	989	8483
418	991	8472
419	993	8464
420	994	8452
421	996	8451
422	998	8441
423	999	8429
424	1000	8417
425	1002	8413
426	1004	8403
427	1005	8395
428	1008	8391
429	1009	8380
430	1010	8371
431	1012	8364
432	1015	8367
433	1017	8357
434	1018	8348
435	1020	8339
436	1022	8335
437	1023	8325
438	1024	8313
439	1026	8303
440	1029	8306
441	1030	8296
442	1031	8285
443	1033	8274
444	1034	8263
445	1035	8252
446	1036	8242
447	1038	8232
448	1039	8221
449	1040	8210
450	1042	8201
451	1043	8193
452	1045	8186
453	1046	8177
454	1048	8167
455	1050	8162
456	1051	8152
457	1053	8146
458	1054	8136
459	1056	8126
460	1057	8117
461	1060	8123
462	1062	8116
463	1063	8106
464	1065	8096
465	1066	8087
466	1067	8078
467	1069	8069
468	1070	8059
469	1071	8049
470	1073	8040
471	1074	8033
472	1076	8026
473	1077	8017
474	1079	8008
475	1080	7999
476	1082	7993
477	1083	7986
478	1085	7977
479	1086	7967
480	1088	7960
481	1089	7951
482	1092	7955
483	1095	7958
484	1096	7949
485	1099	7950
486	1100	7941
487	1102	7932
488	1108	7957
489	1110	7954
490	1111	7946
491	1113	7940
492	1114	7931
493	1116	7924
494	1118	7918
495	1121	7919
496	1124	7922
497	1125	7918
498	1127	7910
499	1129	7906
500	1131	7899
501	1132	7890
502	1133	7882
503	1135	7875
504	1136	7866
505	1139	7867
506	1141	7866
507	1143	7859
508	1144	7851
509	1146	7842
510	1147	7838
