iter	Logloss
0	0.6702965324
1	0.6485730953
2	0.6293672104
3	0.6132955385
4	0.5997564039
5	0.586142733
6	0.5698631935
7	0.5624863774
8	0.5549118021
9	0.5459063873
10	0.5372344547
11	0.5302540736
12	0.5230173409
13	0.5181414503
14	0.5115880466
15	0.5058500297
16	0.5016099133
17	0.4973777662
18	0.4916767004
19	0.4870191899
20	0.4841656006
21	0.4808020809
22	0.4771410705
23	0.4732843081
24	0.4701875231
25	0.4667070327
26	0.4632088601
27	0.4606966383
28	0.4581279266
29	0.4549023758
30	0.4524826053
31	0.4498766568
32	0.4478185637
33	0.4451657535
34	0.4440402557
35	0.4428938405
36	0.4399019672
37	0.4369065087
38	0.43517577
39	0.4338542019
40	0.4330404113
41	0.4322358535
42	0.4312935705
43	0.4295444615
44	0.4285185887
45	0.4270216044
46	0.4261137031
47	0.4250505574
48	0.4243202739
49	0.422864248
50	0.4217732435
51	0.4211025829
52	0.4196331644
53	0.4184473492
54	0.4171813841
55	0.4163735928
56	0.4149618414
57	0.4139520839
58	0.4127192443
59	0.4119330485
60	0.4113796587
61	0.4108782633
62	0.4104394516
63	0.4094293917
64	0.40857165
65	0.4073571674
66	0.4069068201
67	0.4063492194
68	0.4057104544
69	0.4044588596
70	0.4037890927
71	0.4032009089
72	0.4019335137
73	0.4014006351
74	0.4011266023
75	0.4005789902
76	0.3999262154
77	0.399438435
78	0.398903992
79	0.3980154321
80	0.39750948
81	0.3969474785
82	0.3963833776
83	0.3956614443
84	0.3952068868
85	0.3947473692
86	0.3941060673
87	0.3937482636
88	0.3929723026
89	0.3925330445
90	0.3920617178
91	0.3916728777
92	0.3912500303
93	0.390846541
94	0.3905985071
95	0.389982686
96	0.3896205313
97	0.389254689
98	0.3888662824
99	0.3884935287
100	0.3879276466
101	0.3873903751
102	0.3870153968
103	0.3866387088
104	0.3862465447
105	0.3859114978
106	0.3855057995
107	0.3850227712
108	0.3846072186
109	0.3842916272
110	0.3839522512
111	0.3835562336
112	0.3831406882
113	0.3827534058
114	0.3818573679
115	0.3811729623
116	0.3807390934
117	0.3803101702
118	0.3798912795
119	0.3795181653
120	0.3791017121
121	0.3786064823
122	0.3782527294
123	0.3777659042
124	0.3769798245
125	0.3764879145
126	0.3759679188
127	0.3756773817
128	0.3751659253
129	0.3746220109
130	0.3741554275
131	0.3737652591
132	0.3727739385
133	0.3724765586
134	0.3721103322
135	0.3717202424
136	0.3712846456
137	0.3708598195
138	0.3704217831
139	0.3700401028
140	0.3697170857
141	0.3693056775
142	0.3689502473
143	0.3685520656
144	0.3680400037
145	0.3674938579
146	0.3672220584
147	0.3665628369
148	0.3659820503
149	0.3654293103
150	0.3649370176
151	0.3644042129
152	0.3638057561
153	0.3632904065
154	0.3623720714
155	0.3619912414
156	0.3616444705
157	0.3613536898
158	0.3610147284
159	0.3606980119
160	0.3602186128
161	0.359769891
162	0.3590895341
163	0.3585071052
164	0.3580369008
165	0.3576659352
166	0.3573349182
167	0.3569819968
168	0.3566057698
169	0.3562282839
170	0.3559916844
171	0.3555957168
172	0.3552184579
173	0.3548244845
174	0.3543340738
175	0.3540598199
176	0.3536857021
177	0.353344317
178	0.3528862647
179	0.3525578856
180	0.3520005337
181	0.3515181506
182	0.3511287629
183	0.3507931026
184	0.3503732823
185	0.3500887432
186	0.3496198239
187	0.3492356772
188	0.3488267453
189	0.3483660191
190	0.3478741804
191	0.3475125829
192	0.3470849561
193	0.3466093769
194	0.3462333396
195	0.3459708526
196	0.3456762302
197	0.3451553743
198	0.3446090109
199	0.3442108198
200	0.3437797507
201	0.3434202916
202	0.3429552119
203	0.342472881
204	0.3420986095
205	0.3416682646
206	0.3411631333
207	0.3407269457
208	0.3404191519
209	0.3400257827
