iter	Passed	Remaining
0	12	6317
1	24	6032
2	36	5973
3	48	6043
4	61	6061
5	72	5938
6	88	6216
7	100	6176
8	113	6200
9	124	6104
10	136	6065
11	150	6130
12	168	6320
13	185	6424
14	197	6375
15	210	6362
16	224	6384
17	246	6587
18	262	6633
19	286	6876
20	302	6901
21	316	6887
22	333	6910
23	346	6879
24	360	6845
25	373	6804
26	385	6744
27	397	6706
28	410	6669
29	423	6638
30	436	6610
31	450	6588
32	467	6619
33	486	6670
34	501	6668
35	517	6674
36	531	6651
37	543	6604
38	555	6567
39	570	6557
40	585	6549
41	598	6521
42	609	6479
43	621	6445
44	635	6424
45	648	6402
46	664	6400
47	679	6399
48	695	6399
49	710	6398
50	724	6377
51	743	6401
52	761	6420
53	775	6408
54	792	6409
55	805	6389
56	818	6361
57	832	6341
58	845	6317
59	859	6305
60	874	6293
61	888	6274
62	901	6255
63	914	6230
64	927	6204
65	940	6185
66	953	6165
67	968	6153
68	982	6136
69	994	6110
70	1006	6083
71	1021	6071
72	1034	6053
73	1053	6062
74	1071	6070
75	1084	6050
76	1097	6027
77	1109	6000
78	1121	5977
79	1137	5974
80	1152	5961
81	1166	5945
82	1179	5926
83	1195	5920
84	1213	5923
85	1226	5906
86	1239	5886
87	1260	5902
88	1274	5885
89	1293	5891
90	1310	5888
91	1324	5875
92	1337	5851
93	1350	5835
94	1365	5820
95	1379	5805
96	1392	5786
97	1405	5765
98	1418	5743
99	1431	5727
100	1447	5718
101	1461	5704
102	1475	5686
103	1488	5668
104	1500	5644
105	1513	5627
106	1527	5608
107	1541	5594
108	1559	5592
109	1571	5572
110	1585	5555
111	1597	5534
112	1611	5518
113	1624	5501
114	1638	5486
115	1654	5475
116	1665	5453
117	1679	5437
118	1692	5417
119	1705	5400
120	1717	5381
121	1732	5368
122	1756	5384
123	1772	5375
124	1789	5369
125	1807	5365
126	1819	5345
127	1832	5325
128	1847	5312
129	1862	5300
130	1877	5289
131	1895	5283
132	1909	5270
133	1926	5262
134	1940	5247
135	1962	5251
136	1980	5247
137	2002	5253
138	2022	5252
139	2043	5253
140	2064	5256
141	2084	5254
142	2109	5265
143	2129	5264
144	2146	5256
145	2163	5246
146	2188	5255
147	2209	5255
148	2229	5251
149	2247	5245
150	2266	5239
151	2286	5235
152	2312	5243
153	2330	5235
154	2350	5231
155	2367	5221
156	2385	5211
157	2403	5203
158	2424	5199
159	2442	5190
160	2461	5182
161	2479	5174
162	2498	5166
163	2518	5160
164	2536	5150
165	2560	5151
166	2576	5138
167	2601	5141
168	2618	5129
169	2635	5116
170	2653	5105
171	2674	5100
172	2696	5097
173	2716	5090
174	2736	5082
175	2753	5069
176	2773	5061
177	2789	5046
178	2812	5042
179	2832	5035
180	2847	5017
181	2858	4995
182	2874	4978
183	2887	4958
184	2900	4938
185	2913	4918
186	2925	4896
187	2938	4876
188	2956	4864
189	2970	4846
190	2986	4830
191	2999	4811
192	3019	4803
193	3039	4794
194	3067	4797
195	3085	4785
196	3106	4778
197	3129	4773
198	3152	4768
199	3172	4758
200	3192	4749
201	3216	4744
202	3247	4750
203	3270	4745
204	3291	4736
205	3308	4721
206	3333	4718
207	3356	4711
208	3377	4702
209	3400	4695
210	3418	4682
211	3436	4668
212	3458	4659
213	3476	4646
214	3493	4630
215	3514	4620
216	3534	4609
217	3555	4599
218	3579	4592
219	3600	4582
220	3620	4570
221	3644	4564
222	3667	4555
223	3688	4544
224	3708	4533
225	3732	4524
226	3752	4512
227	3777	4506
228	3798	4494
229	3817	4481
230	3838	4470
231	3863	4462
232	3885	4452
233	3899	4432
234	3913	4412
235	3926	4391
236	3939	4371
237	3951	4350
238	3963	4328
239	3976	4307
240	3988	4286
241	4001	4266
242	4015	4246
243	4028	4226
244	4048	4213
245	4062	4194
246	4076	4175
247	4089	4155
248	4103	4136
249	4117	4117
250	4131	4098
251	4150	4085
252	4173	4074
253	4196	4064
254	4222	4056
255	4238	4039
256	4259	4027
257	4278	4013
258	4296	3998
259	4318	3986
260	4336	3970
261	4354	3955
262	4373	3941
263	4395	3929
264	4417	3917
265	4441	3907
266	4463	3895
267	4483	3881
268	4499	3864
269	4518	3848
270	4533	3830
271	4553	3817
272	4573	3802
273	4590	3786
274	4606	3768
275	4622	3751
276	4642	3737
277	4661	3722
278	4681	3708
279	4702	3694
280	4718	3677
281	4738	3663
282	4758	3649
283	4780	3636
284	4799	3621
285	4819	3606
286	4835	3588
287	4850	3570
288	4870	3556
289	4891	3542
290	4914	3529
291	4931	3512
292	4948	3495
293	4965	3479
294	4989	3467
295	5003	3448
296	5017	3429
297	5029	3409
298	5043	3390
299	5060	3373
300	5074	3355
301	5089	3336
302	5105	3319
303	5131	3308
304	5153	3295
305	5172	3279
306	5193	3264
307	5209	3247
308	5226	3230
309	5247	3216
310	5264	3199
311	5282	3183
312	5301	3167
313	5317	3149
314	5338	3135
315	5359	3121
316	5381	3106
317	5405	3093
318	5425	3078
319	5443	3062
320	5461	3045
321	5481	3030
322	5501	3014
323	5516	2996
324	5532	2979
325	5550	2962
326	5571	2947
327	5587	2930
328	5602	2911
329	5614	2892
330	5626	2872
331	5640	2854
332	5654	2835
333	5670	2818
334	5683	2799
335	5695	2779
336	5711	2762
337	5723	2743
338	5736	2724
339	5750	2706
340	5764	2687
341	5777	2669
342	5790	2650
343	5806	2633
344	5822	2615
345	5836	2597
346	5849	2579
347	5862	2560
348	5875	2542
349	5887	2523
350	5900	2504
351	5919	2488
352	5932	2470
353	5945	2452
354	5958	2433
355	5971	2415
356	5983	2396
357	5995	2377
358	6009	2360
359	6022	2342
360	6036	2324
361	6058	2309
362	6074	2292
363	6086	2274
364	6101	2256
365	6118	2240
366	6141	2225
367	6164	2211
368	6182	2194
369	6198	2177
370	6213	2160
371	6229	2143
372	6246	2126
373	6268	2111
374	6290	2096
375	6305	2079
376	6325	2063
377	6347	2048
378	6366	2032
379	6386	2016
380	6405	2000
381	6428	1985
382	6449	1970
383	6469	1954
384	6488	1938
385	6505	1921
386	6521	1904
387	6542	1888
388	6562	1872
389	6581	1856
390	6602	1840
391	6621	1824
392	6640	1808
393	6659	1791
394	6676	1774
395	6695	1758
396	6715	1742
397	6730	1724
398	6751	1709
399	6773	1693
400	6793	1677
401	6809	1659
402	6831	1644
403	6847	1627
404	6865	1610
405	6885	1594
406	6902	1577
407	6918	1560
408	6939	1544
409	6961	1528
410	6980	1511
411	6999	1495
412	7025	1479
413	7046	1463
414	7064	1446
415	7084	1430
416	7108	1414
417	7126	1398
418	7142	1380
419	7157	1363
420	7172	1345
421	7184	1327
422	7196	1309
423	7209	1292
424	7221	1274
425	7233	1256
426	7247	1239
427	7268	1222
428	7288	1206
429	7305	1189
430	7332	1173
431	7356	1157
432	7374	1141
433	7394	1124
434	7409	1107
435	7432	1090
436	7462	1075
437	7482	1059
438	7502	1042
439	7526	1026
440	7546	1009
441	7570	993
442	7592	976
443	7610	959
444	7634	943
445	7652	926
446	7673	909
447	7690	892
448	7709	875
449	7725	858
450	7744	841
451	7763	824
452	7788	808
453	7807	791
454	7827	774
455	7847	757
456	7868	740
457	7890	723
458	7909	706
459	7927	689
460	7944	672
461	7966	655
462	7987	638
463	8007	621
464	8027	604
465	8047	587
466	8070	570
467	8088	553
468	8102	535
469	8115	518
470	8130	500
471	8146	483
472	8158	465
473	8170	448
474	8184	430
475	8197	413
476	8211	395
477	8222	378
478	8237	361
479	8251	343
480	8268	326
481	8294	309
482	8312	292
483	8332	275
484	8351	258
485	8370	241
486	8391	224
487	8412	206
488	8431	189
489	8453	172
490	8472	155
491	8496	138
492	8519	120
493	8540	103
494	8562	86
495	8580	69
496	8598	51
497	8616	34
498	8637	17
499	8660	0
