iter	Accuracy	Logloss
0	0.7598067411	0.6764863645
1	0.7507189693	0.6643255157
2	0.767744162	0.651437434
3	0.7685494076	0.6393762521
4	0.7732658461	0.6264159618
5	0.7843092143	0.6147902401
6	0.7851144599	0.6032763397
7	0.7835039687	0.5952188118
8	0.7833889336	0.5854298434
9	0.7868399862	0.5762464559
10	0.7881053721	0.5677039469
11	0.7902910388	0.5601903505
12	0.7907511791	0.5530386741
13	0.7910962844	0.546644464
14	0.7916714598	0.5396645739
15	0.7916714598	0.5343413579
16	0.7913263545	0.5284578547
17	0.7921316001	0.5231594192
18	0.793281951	0.5170812333
19	0.7952375475	0.51180325
20	0.795927758	0.5060761911
21	0.7960427931	0.5021186961
22	0.7963878983	0.4983149008
23	0.7963878983	0.4941675873
24	0.7963878983	0.4904272396
25	0.7968480387	0.4870200098
26	0.7974232141	0.4831031748
27	0.7977683193	0.4807219366
28	0.797308179	0.4781033529
29	0.7978833544	0.4758657368
30	0.7979983895	0.4727328247
31	0.7979983895	0.4699683549
32	0.7984585299	0.4668003526
33	0.7984585299	0.4647280615
34	0.7988036351	0.4622404624
35	0.7989186702	0.4601325019
36	0.7994938456	0.4583149637
37	0.7988036351	0.4560620197
38	0.7992637755	0.4542906486
39	0.7991487404	0.4527547701
40	0.7991487404	0.4508611564
41	0.7985735649	0.4489905012
42	0.7990337053	0.4471957484
43	0.7991487404	0.4456541129
44	0.7997239158	0.4438396501
45	0.7998389509	0.4425299559
46	0.7994938456	0.4407039347
47	0.8005291614	0.4393185455
48	0.8012193719	0.4384321125
49	0.8014494421	0.4369758042
50	0.8015644772	0.435455592
51	0.8014494421	0.4344406468
52	0.8014494421	0.4330775407
53	0.8019095824	0.4322642087
54	0.8015644772	0.4311719413
55	0.8017945473	0.4300772517
56	0.8022546877	0.429218361
57	0.8021396526	0.4281500482
58	0.8022546877	0.4269789381
59	0.8023697228	0.4260771652
60	0.8028298631	0.4252975964
61	0.8025997929	0.4246623775
62	0.8032900035	0.423169777
63	0.8029448982	0.4222579895
64	0.8036351087	0.4215165117
65	0.8032900035	0.4205804231
66	0.8038651789	0.419469091
67	0.8043253192	0.4186430408
68	0.8045553894	0.4178150261
69	0.8040952491	0.4172074068
70	0.8047854596	0.4161913371
71	0.8043253192	0.4154999579
72	0.8044403543	0.4149180072
73	0.8049004947	0.4141053295
74	0.8045553894	0.413620476
75	0.8054756701	0.4126538759
76	0.8059358104	0.4119382042
77	0.8057057403	0.4115317639
78	0.806741056	0.410830632
79	0.8065109859	0.4101386649
80	0.8072011964	0.4093677174
81	0.8072011964	0.4087133189
82	0.8069711262	0.4083795128
83	0.8070861613	0.407413848
84	0.8070861613	0.4068223417
85	0.8084665823	0.4062224765
86	0.8085816174	0.405745317
87	0.8086966525	0.4049715123
88	0.8082365121	0.4045557532
89	0.8078914069	0.4041713773
90	0.8081214771	0.403688413
91	0.8081214771	0.403235762
92	0.8090417577	0.402746461
93	0.8090417577	0.4021953786
94	0.8091567928	0.401656897
95	0.8097319683	0.4011269695
96	0.8091567928	0.4007006978
97	0.8099620384	0.4003779198
98	0.8097319683	0.4000407882
99	0.8098470033	0.3993352112
100	0.8098470033	0.3986587434
101	0.8098470033	0.3983592026
102	0.8098470033	0.3980452043
103	0.8099620384	0.3975112267
104	0.8105372139	0.3971463018
105	0.8104221788	0.3965414473
106	0.8103071437	0.3963345866
107	0.8103071437	0.396063799
108	0.8112274244	0.3956451064
109	0.8104221788	0.3953514735
110	0.810767284	0.3950734017
111	0.8114574945	0.3947271999
112	0.8116875647	0.3943925472
113	0.8118025998	0.3940913861
114	0.8114574945	0.3939415956
115	0.81203267	0.393466673
116	0.8118025998	0.3931303766
117	0.8121477051	0.3927612329
118	0.8119176349	0.3923804586
119	0.8121477051	0.3920886587
120	0.8121477051	0.3915940041
121	0.81203267	0.3912765421
122	0.8128379156	0.3909662042
123	0.8126078454	0.3907722854
124	0.813413091	0.3902229597
125	0.8143333717	0.3899918515
126	0.8144484068	0.3896742679
127	0.8146784769	0.3892314537
128	0.8143333717	0.3889675717
129	0.8143333717	0.3885994322
130	0.8145634418	0.3883408171
131	0.8151386173	0.3881923832
132	0.8152536524	0.387923258
133	0.8149085471	0.3878312466
134	0.8152536524	0.3875207835
135	0.8149085471	0.3874311756
136	0.8153686874	0.3871630055
137	0.8151386173	0.386997894
138	0.8151386173	0.3867006554
139	0.8150235822	0.3866767599
140	0.8151386173	0.3864868832
141	0.814793512	0.3862745637
142	0.8152536524	0.3860315393
143	0.8153686874	0.3856690742
144	0.8159438629	0.3852855502
145	0.8158288278	0.3849883561
146	0.8164040032	0.384629803
147	0.8166340734	0.3843007756
148	0.8162889681	0.3841198085
149	0.816058898	0.3839355525
150	0.8167491085	0.3835704299
151	0.8167491085	0.3833713285
152	0.8167491085	0.3832119596
153	0.8168641436	0.3829861856
154	0.8177844242	0.3828095602
