iter	Passed	Remaining
0	12	12293
1	18	9345
2	32	10684
3	38	9542
4	48	9568
5	54	9057
6	66	9499
7	78	9782
8	85	9377
9	92	9125
10	100	9067
11	109	9052
12	117	8883
13	130	9210
14	141	9274
15	150	9232
16	156	9073
17	168	9166
18	182	9417
19	189	9273
20	198	9241
21	204	9103
22	216	9184
23	228	9301
24	237	9278
25	251	9403
26	263	9506
27	273	9494
28	288	9649
29	302	9786
30	319	9984
31	338	10229
32	352	10332
33	366	10422
34	380	10502
35	391	10482
36	406	10570
37	418	10599
38	432	10653
39	445	10683
40	457	10706
41	472	10785
42	484	10788
43	495	10767
44	504	10711
45	521	10812
46	533	10815
47	546	10832
48	557	10820
49	572	10882
50	587	10938
51	599	10921
52	610	10913
53	622	10899
54	634	10894
55	649	10955
56	661	10938
57	671	10901
58	686	10942
59	700	10970
60	714	10990
61	723	10948
62	734	10924
63	748	10939
64	764	11002
65	778	11014
66	786	10956
67	804	11022
68	815	11008
69	826	10978
70	836	10949
71	853	11000
72	873	11088
73	884	11069
74	894	11031
75	907	11029
76	920	11032
77	933	11030
78	946	11032
79	956	11004
80	970	11009
81	981	10990
82	991	10951
83	1010	11013
84	1026	11054
85	1047	11130
86	1063	11164
87	1071	11105
88	1082	11081
89	1090	11026
90	1100	10990
91	1107	10930
92	1116	10888
93	1123	10832
94	1133	10799
95	1143	10765
96	1150	10714
97	1161	10692
98	1170	10655
99	1183	10652
100	1191	10603
101	1200	10571
102	1212	10563
103	1219	10509
104	1230	10488
105	1237	10439
106	1248	10418
107	1256	10375
108	1266	10353
109	1275	10323
110	1284	10289
111	1295	10274
112	1303	10233
113	1313	10206
114	1327	10216
115	1334	10172
116	1344	10143
117	1351	10103
118	1361	10081
119	1376	10095
120	1385	10066
121	1395	10042
122	1406	10028
123	1412	9981
124	1422	9956
125	1430	9924
126	1440	9902
127	1450	9881
128	1459	9851
129	1466	9813
130	1474	9781
131	1484	9763
132	1492	9730
133	1502	9707
134	1509	9669
135	1516	9633
136	1523	9596
137	1533	9581
138	1540	9540
139	1546	9500
140	1557	9488
141	1566	9463
142	1574	9437
143	1584	9418
144	1592	9388
145	1600	9363
146	1608	9335
147	1619	9323
148	1627	9294
149	1642	9307
150	1652	9290
151	1661	9268
152	1671	9250
153	1676	9212
154	1684	9185
155	1692	9158
156	1700	9132
157	1707	9101
158	1716	9080
159	1723	9049
160	1732	9029
161	1739	8997
162	1749	8984
163	1758	8964
164	1770	8960
165	1781	8948
166	1788	8921
167	1799	8912
168	1811	8905
169	1822	8896
170	1833	8889
171	1842	8869
172	1850	8845
173	1861	8835
174	1871	8822
175	1881	8809
176	1894	8807
177	1903	8788
178	1913	8778
179	1920	8749
180	1929	8730
181	1936	8703
182	1946	8689
183	1952	8660
184	1959	8633
185	1969	8620
186	1979	8605
187	1988	8587
188	1997	8572
189	2005	8551
190	2021	8561
191	2043	8599
192	2059	8610
193	2066	8584
194	2076	8570
195	2082	8543
196	2093	8533
197	2113	8559
198	2128	8567
199	2138	8554
200	2152	8554
201	2167	8561
202	2175	8541
203	2183	8519
204	2193	8505
205	2200	8479
206	2211	8471
207	2220	8453
208	2228	8434
209	2235	8410
210	2245	8395
211	2254	8379
212	2265	8369
213	2275	8355
214	2282	8334
215	2293	8323
216	2301	8305
217	2312	8293
218	2320	8273
219	2330	8262
220	2337	8239
221	2347	8228
222	2354	8205
223	2362	8182
224	2369	8160
225	2376	8140
226	2384	8121
227	2393	8105
228	2400	8081
229	2412	8077
230	2425	8073
231	2432	8052
232	2440	8035
233	2454	8034
234	2464	8022
235	2477	8020
236	2487	8009
237	2500	8004
238	2509	7989
239	2526	8001
240	2541	8005
241	2550	7989
242	2564	7990
243	2582	8000
244	2595	7999
245	2605	7986
246	2621	7991
247	2628	7970
248	2650	7995
249	2672	8016
250	2689	8026
251	2710	8046
252	2725	8048
253	2743	8057
254	2760	8066
255	2780	8080
256	2801	8099
257	2824	8124
258	2834	8108
259	2847	8103
260	2860	8100
261	2877	8105
262	2886	8088
263	2901	8090
264	2918	8093
265	2932	8092
266	2952	8105
267	2970	8113
268	2984	8109
269	2994	8097
270	3009	8096
271	3019	8080
272	3043	8104
273	3059	8107
274	3076	8109
275	3086	8096
276	3102	8098
277	3115	8091
278	3126	8079
279	3140	8076
280	3155	8075
281	3170	8071
282	3184	8069
283	3208	8088
284	3218	8074
285	3230	8065
286	3242	8054
287	3252	8040
288	3266	8036
289	3283	8039
290	3296	8031
291	3305	8014
292	3316	8002
293	3326	7987
294	3343	7990
295	3352	7973
296	3367	7970
297	3378	7958
298	3396	7963
299	3413	7965
300	3428	7961
301	3441	7954
302	3455	7947
303	3469	7944
304	3483	7938
305	3498	7935
306	3510	7924
307	3523	7917
308	3535	7907
309	3550	7903
310	3564	7896
311	3575	7884
312	3586	7872
313	3598	7860
314	3614	7861
315	3626	7848
316	3634	7831
317	3644	7817
318	3651	7795
319	3661	7780
320	3670	7764
321	3682	7753
322	3692	7739
323	3700	7721
324	3709	7705
325	3717	7686
326	3728	7672
327	3735	7652
328	3744	7637
329	3753	7620
330	3765	7611
331	3776	7597
332	3791	7595
333	3806	7589
334	3815	7574
335	3829	7568
336	3841	7557
337	3855	7551
338	3865	7537
339	3883	7538
340	3896	7530
341	3909	7521
342	3919	7507
343	3932	7498
344	3950	7499
345	3963	7492
346	3980	7491
347	3993	7482
348	4007	7475
349	4025	7476
350	4045	7480
351	4062	7478
352	4074	7468
353	4094	7471
354	4107	7463
355	4122	7456
356	4131	7441
357	4145	7434
358	4162	7431
359	4176	7425
360	4187	7411
361	4196	7396
362	4207	7383
363	4222	7377
364	4240	7377
365	4251	7365
366	4265	7356
367	4277	7346
368	4285	7327
369	4295	7314
370	4309	7306
371	4317	7288
372	4330	7278
373	4344	7272
374	4359	7265
375	4379	7268
376	4395	7264
377	4410	7257
378	4422	7246
379	4430	7229
380	4444	7220
381	4454	7206
