iter	Passed	Remaining
0	12	35995
1	24	37469
2	36	36799
3	47	35696
4	61	36789
5	74	37032
6	93	39808
7	106	39853
8	119	39648
9	129	38631
10	151	41148
11	172	42935
12	196	45200
13	224	47872
14	245	48902
15	268	50143
16	299	52630
17	319	52857
18	342	53813
19	361	53803
20	381	54090
21	410	55532
22	433	56047
23	452	56155
24	477	56823
25	501	57309
26	526	57932
27	547	58123
28	573	58762
29	609	60332
30	632	60620
31	653	60653
32	680	61179
33	708	61791
34	727	61632
35	769	63326
36	794	63619
37	818	63778
38	845	64212
39	864	64007
40	882	63722
41	901	63495
42	924	63592
43	949	63784
44	967	63537
45	982	63080
46	998	62740
47	1013	62344
48	1028	61934
49	1043	61590
50	1057	61166
51	1071	60752
52	1093	60826
53	1107	60426
54	1121	60025
55	1137	59787
56	1160	59917
57	1187	60211
58	1210	60349
59	1230	60312
60	1258	60622
61	1289	61109
62	1318	61445
63	1342	61604
64	1369	61849
65	1388	61714
66	1415	61974
67	1439	62076
68	1465	62234
69	1487	62247
70	1512	62408
71	1534	62422
72	1565	62777
73	1592	62977
74	1617	63078
75	1645	63327
76	1669	63394
77	1695	63502
78	1715	63443
79	1740	63540
80	1760	63441
81	1792	63774
82	1818	63915
83	1835	63710
84	1858	63720
85	1878	63664
86	1900	63630
87	1921	63594
88	1943	63557
89	1964	63511
90	1986	63510
91	2000	63222
92	2016	63021
93	2033	62871
94	2050	62692
95	2066	62523
96	2082	62309
97	2102	62269
98	2119	62097
99	2132	61855
100	2148	61682
101	2165	61530
102	2183	61400
103	2207	61479
104	2231	61513
105	2251	61465
106	2277	61571
107	2298	61550
108	2321	61567
109	2351	61770
110	2372	61748
111	2405	62030
112	2434	62191
113	2452	62086
114	2470	61969
115	2491	61932
116	2515	61983
117	2535	61927
118	2556	61893
119	2579	61903
120	2609	62087
121	2635	62175
122	2657	62165
123	2678	62132
124	2697	62031
125	2722	62092
126	2746	62125
127	2771	62177
128	2793	62179
129	2810	62048
130	2830	61996
131	2853	61994
132	2876	62004
133	2902	62074
134	2929	62164
135	2950	62125
136	2968	62035
137	2990	62020
138	3012	62002
139	3034	61995
140	3049	61842
141	3065	61695
142	3078	61503
143	3095	61386
144	3114	61327
145	3139	61370
146	3156	61257
147	3172	61128
148	3187	60990
149	3204	60883
150	3218	60727
151	3232	60571
152	3247	60437
153	3262	60295
154	3279	60200
155	3294	60062
156	3307	59900
157	3322	59770
158	3338	59656
159	3358	59611
160	3379	59600
