iter	Passed	Remaining
0	23	69279
1	44	66319
2	69	69672
3	95	71351
4	115	69045
5	141	70609
6	176	75536
7	201	75515
8	220	73434
9	243	72708
10	263	71465
11	284	70740
12	309	71114
13	329	70177
14	351	70037
15	371	69313
16	390	68567
17	430	71287
18	460	72213
19	491	73217
20	512	72714
21	535	72509
22	559	72386
23	586	72763
24	602	71689
25	619	70807
26	634	69882
27	657	69737
28	677	69390
29	692	68578
30	708	67863
31	725	67259
32	740	66568
33	755	65879
34	770	65309
35	788	64917
36	802	64266
37	818	63812
38	840	63824
39	859	63571
40	878	63368
41	897	63203
42	915	62964
43	934	62795
44	949	62323
45	963	61893
46	978	61510
47	995	61206
48	1010	60831
49	1025	60479
50	1040	60192
51	1055	59852
52	1073	59695
53	1095	59741
54	1112	59592
55	1130	59419
56	1145	59165
57	1165	59140
58	1185	59112
59	1201	58873
60	1217	58672
61	1237	58662
62	1253	58443
63	1270	58290
64	1286	58080
65	1300	57834
66	1317	57657
67	1331	57410
68	1347	57230
69	1363	57075
70	1378	56875
71	1392	56632
72	1408	56480
73	1424	56314
74	1444	56328
75	1460	56173
76	1477	56078
77	1493	55954
78	1510	55853
79	1526	55699
80	1541	55536
81	1555	55363
82	1594	56042
83	1612	55967
84	1627	55820
85	1648	55844
86	1663	55700
87	1677	55493
88	1693	55389
89	1707	55222
90	1723	55098
91	1738	54963
92	1753	54813
93	1769	54713
94	1784	54557
95	1803	54545
96	1819	54456
97	1835	54346
98	1851	54258
99	1869	54212
100	1886	54156
101	1900	54003
102	1916	53897
103	1934	53880
104	1956	53930
105	1971	53831
106	1987	53734
107	2004	53674
108	2039	54099
109	2088	54882
110	2117	55116
111	2147	55377
112	2183	55792
113	2209	55946
114	2248	56419
115	2296	57097
116	2320	57173
117	2355	57520
118	2385	57747
119	2412	57896
120	2440	58073
121	2487	58683
122	2511	58743
123	2527	58631
124	2552	58707
125	2578	58817
126	2600	58832
127	2638	59200
128	2673	59510
129	2702	59663
130	2739	60007
131	2786	60548
132	2807	60522
133	2828	60500
134	2851	60522
135	2876	60584
136	2899	60587
137	2924	60659
138	2949	60708
139	2971	60698
140	2997	60781
141	3021	60806
142	3047	60891
143	3065	60796
144	3099	61023
145	3126	61123
146	3152	61174
147	3171	61112
148	3196	61156
149	3216	61117
150	3240	61140
151	3259	61080
152	3280	61038
153	3301	61010
154	3326	61061
155	3351	61091
156	3369	61009
157	3393	61044
158	3422	61144
159	3447	61190
160	3465	61115
161	3481	60994
162	3496	60858
163	3518	60836
164	3542	60860
165	3570	60963
166	3602	61111
167	3618	61002
168	3636	60920
169	3652	60797
170	3669	60703
171	3691	60701
172	3717	60753
173	3738	60711
174	3760	60701
175	3789	60804
176	3812	60803
177	3835	60809
178	3857	60790
179	3877	60742
180	3898	60715
181	3919	60694
182	3942	60683
183	3966	60697
184	3990	60718
185	4013	60714
186	4043	60823
187	4064	60794
188	4094	60894
189	4124	60999
190	4151	61057
191	4171	61009
192	4199	61079
193	4218	61014
194	4241	61011
195	4263	60998
196	4280	60897
197	4304	60912
198	4326	60897
199	4350	60901
200	4377	60962
201	4396	60893
202	4421	60914
203	4446	60944
204	4478	61055
205	4499	61025
206	4522	61015
207	4550	61078
208	4569	61016
209	4590	60991
210	4618	61041
211	4637	60986
212	4665	61045
