iter	RMSE
0	0.2802217715
1	0.2751567609
2	0.2702751812
3	0.2655214166
4	0.261093518
5	0.2567029246
6	0.2525411896
7	0.248509813
8	0.2446635488
9	0.2409511352
10	0.2373254233
11	0.2338958786
12	0.2306110338
13	0.2275046345
14	0.2245018517
15	0.2215962864
16	0.2188423766
17	0.2161969587
18	0.2136634738
19	0.2112728696
20	0.2088963496
21	0.206626852
22	0.2044077141
23	0.202367542
24	0.20038778
25	0.1984937556
26	0.1967069269
27	0.1950003983
28	0.1933049875
29	0.1916835687
30	0.1901620389
31	0.1887027827
32	0.1873396453
33	0.1860267915
34	0.1847246421
35	0.1835146048
36	0.1823987259
37	0.181272501
38	0.1801894999
39	0.1791957456
40	0.1781956107
41	0.1772934224
42	0.1763770907
43	0.175514619
44	0.1747122513
45	0.1739263923
46	0.1731378595
47	0.1724082525
48	0.1717596885
49	0.1710917196
50	0.1704415241
51	0.1698582485
52	0.1692869476
53	0.1687449742
54	0.1681988534
55	0.1676610786
56	0.167177617
57	0.1666959379
58	0.1662461222
59	0.1658222126
60	0.165380983
61	0.1649754679
62	0.1645776591
63	0.1642043869
64	0.163874563
65	0.1635545947
66	0.1632400667
67	0.16294086
68	0.1626325017
69	0.1623450835
70	0.1620592148
71	0.1617577722
72	0.1614895186
73	0.1612656487
74	0.1610438232
75	0.1608181547
76	0.1606014384
77	0.1603755935
78	0.1601696224
79	0.1599500615
80	0.1597577641
81	0.159551418
82	0.1593693067
83	0.1591985984
84	0.1590302688
85	0.1588580578
86	0.158686709
87	0.1585336647
88	0.1583840391
89	0.1582425423
90	0.158111258
91	0.1579600866
92	0.1578306719
93	0.1577070611
94	0.1575863636
95	0.1574576483
96	0.157345017
97	0.1572403119
98	0.1571445017
99	0.1570336522
100	0.156950109
101	0.1568512172
102	0.1567683589
103	0.1566731263
104	0.1565781472
105	0.1565055749
106	0.1564113428
107	0.1563128129
108	0.1562458222
109	0.1561620381
110	0.1560717655
111	0.1560094011
112	0.1559214738
113	0.155849062
114	0.1557626679
115	0.1556908972
116	0.1556202971
117	0.1555447928
118	0.1554776765
119	0.1554088863
120	0.1553319233
121	0.1552645286
122	0.1551923828
123	0.1551406858
124	0.1550732957
125	0.1550157331
126	0.1549491221
127	0.1548899595
128	0.1548213347
129	0.1547746839
130	0.1547147797
131	0.1546694358
132	0.1546123088
133	0.1545669286
134	0.1545151694
135	0.1544685093
136	0.1544207979
137	0.1543766401
138	0.1543289035
139	0.1542858395
140	0.15425324
141	0.1542079682
142	0.1541804964
143	0.1541415706
144	0.1540882582
145	0.1540469769
146	0.1540014577
147	0.1539561316
148	0.1539110144
149	0.1538682662
150	0.1538276286
151	0.1537925497
152	0.1537590258
153	0.153721062
154	0.1536774102
155	0.1536398858
156	0.153618682
157	0.15357807
158	0.1535270561
159	0.1534985651
160	0.1534623806
161	0.1534354542
162	0.1534036774
163	0.153369209
164	0.1533262981
165	0.1532963473
166	0.1532650243
167	0.1532342492
168	0.1532075304
169	0.1531685738
170	0.1531394444
171	0.1531007853
172	0.1530732756
173	0.1530429688
174	0.1530164837
175	0.152980712
176	0.1529579636
177	0.1529263543
178	0.1529018369
179	0.1528824098
180	0.1528571204
181	0.1528334481
182	0.1527997292
183	0.1527602331
184	0.1527348877
185	0.1527112391
186	0.1526867695
187	0.1526657487
188	0.1526336459
189	0.152607308
190	0.1525904336
191	0.1525580513
192	0.1525256628
193	0.1524994238
194	0.1524641126
195	0.1524476931
196	0.152429999
197	0.152402744
198	0.1523817333
199	0.1523651129
200	0.1523348345
201	0.1523157997
202	0.1522838723
203	0.1522706111
204	0.1522430583
205	0.1522201871
206	0.1521939926
207	0.1521809185
208	0.1521651538
209	0.1521448441
210	0.1521371151
211	0.152123359
212	0.1520977206
213	0.1520830181
214	0.1520637337
215	0.1520386755
216	0.1520165645
217	0.1519889407
218	0.1519600944
219	0.1519344679
220	0.151916731
221	0.1519014297
222	0.1518802217
223	0.1518642034
224	0.1518418972
225	0.1518099014
226	0.1517935193
227	0.1517769691
228	0.151760067
229	0.1517459511
230	0.1517235363
231	0.1517026247
232	0.1516838533
233	0.1516656244
234	0.151654717
235	0.1516342528
236	0.1516180551
237	0.1516026289
238	0.1515838073
239	0.1515635371
240	0.1515422849
241	0.151512244
242	0.1514966343
243	0.1514708275
244	0.1514444159
245	0.1514284222
246	0.1513988713
247	0.1513868423
248	0.1513729495
249	0.1513564538
250	0.1513376873
251	0.1513219359
252	0.1513044878
253	0.1512900756
254	0.1512740657
255	0.1512644492
256	0.1512571904
257	0.1512429011
258	0.1512302328
259	0.1512198964
260	0.1512047054
261	0.1511831385
262	0.1511647996
263	0.1511444106
264	0.151121145
265	0.1511038083
266	0.1510914151
267	0.1510735289
268	0.1510585121
269	0.1510363555
270	0.1510136043
271	0.151008438
272	0.1510022429
273	0.1509937217
274	0.1509728982
275	0.150955498
276	0.1509422106
277	0.1509200174
278	0.1509097075
279	0.1508932782
280	0.1508851061
281	0.1508721193
282	0.1508576045
283	0.1508427644
284	0.1508266849
285	0.1508176686
286	0.150801052
287	0.1507859862
288	0.150777034
289	0.1507676678
290	0.1507556862
291	0.1507423333
292	0.1507306284
293	0.1507146499
294	0.1506970895
295	0.1506861337
296	0.150676001
297	0.1506529248
298	0.1506405247
299	0.1506340318
300	0.150615083
301	0.1506006149
302	0.1505827704
303	0.1505733366
304	0.1505563463
305	0.1505393444
306	0.1505190347
307	0.1504937307
308	0.1504740763
309	0.1504542135
310	0.1504453313
311	0.1504328529
312	0.150416022
313	0.1504042536
314	0.1503899967
315	0.1503800959
316	0.1503647085
317	0.1503568054
318	0.1503400455
319	0.1503270521
320	0.1503052352
321	0.1502915014
322	0.1502778209
323	0.1502703831
324	0.1502632223
325	0.150247678
326	0.1502318481
327	0.1502199616
328	0.150210597
329	0.1501968491
330	0.1501889026
331	0.1501797736
332	0.1501625886
333	0.1501457069
334	0.1501282126
335	0.1501111003
336	0.1500971489
337	0.1500810923
338	0.1500702005
339	0.1500575625
340	0.1500368414
341	0.1500286636
342	0.1500199934
343	0.1500121315
344	0.1500064037
345	0.1500003305
346	0.1499902619
347	0.1499781726
348	0.149961354
349	0.1499451749
350	0.1499289455
351	0.1499138342
352	0.1499014578
353	0.1498863024
354	0.1498689382
355	0.1498482445
356	0.149836022
357	0.1498267143
358	0.1498168632
359	0.1498038156
360	0.1497932475
361	0.1497758382
362	0.149761718
363	0.1497522506
364	0.1497447645
365	0.1497301416
366	0.1497193042
367	0.1497026846
368	0.1496918632
369	0.1496766655
370	0.1496598601
371	0.1496495209
372	0.1496445772
373	0.1496252326
374	0.1496130607
375	0.1496088349
376	0.1495999119
377	0.1495915089
378	0.1495791337
379	0.1495695746
380	0.149554882
381	0.1495470685
382	0.1495275405
383	0.1495126591
384	0.1495056582
385	0.149496187
386	0.1494876527
387	0.1494788254
388	0.1494617488
389	0.1494469549
390	0.1494351061
391	0.1494244632
392	0.1494088761
393	0.1493885147
394	0.1493755466
395	0.1493589027
396	0.1493560186
397	0.1493501549
398	0.1493329413
399	0.1493205215
400	0.1493043599
401	0.1492880797
402	0.1492762982
403	0.1492692666
404	0.1492593966
405	0.1492471527
406	0.1492366382
407	0.1492207962
408	0.1492076583
409	0.1491920755
410	0.1491735793
411	0.1491676034
412	0.1491533628
413	0.149135864
414	0.1491325391
415	0.149117189
416	0.1491052161
417	0.1490937508
418	0.1490858893
419	0.149071058
420	0.1490577784
421	0.1490421732
422	0.1490354558
423	0.1490245831
424	0.1490117009
425	0.1490033838
426	0.1489901172
427	0.1489724148
428	0.1489578384
429	0.1489445914
430	0.1489376882
431	0.1489336214
432	0.1489224694
433	0.1489128631
434	0.1489036166
435	0.1488939268
436	0.1488812617
437	0.1488718834
438	0.1488684079
439	0.1488561428
440	0.1488384333
441	0.1488217134
442	0.1488083975
443	0.1488012428
444	0.1487938291
445	0.148785508
446	0.1487743019
447	0.1487674417
448	0.1487484283
449	0.1487350871
450	0.1487278088
451	0.1487212352
452	0.148716579
453	0.1487030561
454	0.1486866331
455	0.1486726592
456	0.1486595939
457	0.1486533328
458	0.1486453817
459	0.1486299433
460	0.1486250569
461	0.1486071244
462	0.1486013651
463	0.1485836852
464	0.1485703836
465	0.1485607797
466	0.1485526408
467	0.1485404511
468	0.148533091
469	0.1485214618
470	0.1485064776
471	0.1484993991
472	0.1484870243
473	0.1484724705
474	0.1484585802
475	0.1484519374
476	0.148436672
477	0.1484240109
478	0.1484121254
479	0.1483915116
480	0.1483815242
481	0.1483759448
482	0.1483678692
483	0.1483570089
484	0.148342299
485	0.1483341338
486	0.1483250461
487	0.1483166939
488	0.1483062121
489	0.1482890921
490	0.1482849949
491	0.1482720546
492	0.1482590231
493	0.1482520544
494	0.1482405886
495	0.1482350399
496	0.1482263772
497	0.1482183458
498	0.1482070187
499	0.1481932677
500	0.1481838032
501	0.1481733125
502	0.1481528808
503	0.1481468169
504	0.1481316106
505	0.1481256945
506	0.1481176011
507	0.1481106392
508	0.1480893171
509	0.1480749425
510	0.1480674194
511	0.1480599101
512	0.1480441221
513	0.1480275217
514	0.148008487
515	0.147996083
516	0.1479911695
517	0.1479755271
518	0.1479637045
519	0.1479570262
520	0.1479425254
521	0.1479235521
522	0.1479192342
523	0.1479009858
524	0.1478963091
525	0.147878186
526	0.1478670865
527	0.1478638308
528	0.1478544715
529	0.1478435062
530	0.1478328515
531	0.1478222436
532	0.1478144658
533	0.1478063926
534	0.1477923157
535	0.1477808523
536	0.1477716485
537	0.1477648519
538	0.1477551427
539	0.1477485031
540	0.1477343378
541	0.147725615
542	0.1477106515
543	0.1477005905
544	0.1476910447
545	0.1476867364
546	0.147682783
547	0.1476792416
548	0.147670527
549	0.1476604742
550	0.1476552215
551	0.1476513781
552	0.1476385595
553	0.147628016
554	0.1476186878
555	0.1476012754
556	0.1475880492
557	0.1475725545
558	0.1475612482
559	0.1475585232
560	0.1475526996
561	0.1475369007
562	0.1475187539
563	0.1475059552
564	0.1474932973
565	0.1474838684
566	0.1474712833
567	0.1474682687
568	0.1474510401
569	0.1474435919
570	0.1474344759
571	0.1474165325
572	0.1474061446
573	0.147388567
574	0.1473803277
575	0.1473674911
576	0.1473534379
577	0.1473430691
578	0.1473271662
579	0.1473116159
580	0.1472979035
581	0.147284989
582	0.1472782942
583	0.1472728716
584	0.1472615123
585	0.1472505484
586	0.1472478335
587	0.147234583
588	0.1472262998
589	0.14721788
590	0.1472105486
591	0.147199575
592	0.147196493
593	0.1471800844
594	0.1471668104
595	0.1471579071
596	0.147151368
597	0.1471484603
598	0.1471359277
599	0.147125541
600	0.1471096202
601	0.1470951573
602	0.147079248
603	0.1470706254
604	0.1470665167
605	0.1470595047
606	0.147048721
607	0.1470388616
608	0.147024875
609	0.1470190544
610	0.1470108809
611	0.1469966735
612	0.1469853315
613	0.1469799878
614	0.1469689095
615	0.146963538
616	0.1469581887
617	0.1469497708
618	0.1469326199
619	0.1469212496
620	0.1469041183
621	0.1468983825
622	0.146886392
623	0.1468773839
624	0.1468661952
625	0.1468578153
626	0.1468451884
627	0.1468349666
628	0.1468252522
629	0.14681532
630	0.1468067736
631	0.1467967425
632	0.1467822189
633	0.146768479
634	0.1467611034
635	0.1467527105
636	0.1467469903
637	0.1467373055
638	0.1467267814
639	0.1467173324
640	0.1467149854
641	0.1467095576
642	0.1467021372
643	0.1467001249
644	0.1466916672
645	0.146683921
646	0.1466709982
647	0.1466650189
648	0.1466598798
649	0.1466510423
650	0.146643107
651	0.1466403866
652	0.1466358436
653	0.1466259496
654	0.1466165856
655	0.1466017593
656	0.1465974145
657	0.1465861469
658	0.1465765646
659	0.1465618503
660	0.1465547701
661	0.146547688
662	0.1465422163
663	0.1465354204
664	0.1465228235
665	0.1465187476
666	0.1465041213
667	0.1464993012
668	0.1464944621
669	0.1464906251
670	0.1464796245
671	0.1464637658
672	0.1464543606
673	0.1464395809
674	0.1464355993
675	0.1464216766
676	0.1464112176
677	0.1464021318
678	0.1463915448
679	0.1463846749
680	0.1463730852
681	0.146368369
682	0.146361838
683	0.1463593649
684	0.1463488131
685	0.1463400163
686	0.1463306837
687	0.146322336
688	0.1463143895
689	0.146306701
690	0.1463025783
691	0.1462938707
692	0.1462846671
693	0.1462757911
694	0.1462703594
695	0.1462636712
696	0.1462503155
697	0.1462386063
698	0.1462276091
699	0.1462223953
700	0.1462163547
701	0.1462083636
702	0.1462023145
703	0.1461930322
704	0.1461850144
705	0.1461833689
706	0.1461734211
707	0.1461684203
708	0.1461604491
709	0.1461514204
710	0.1461419737
711	0.1461331356
712	0.1461232802
713	0.146112137
714	0.1461032261
715	0.1460960143
716	0.1460919888
717	0.1460841825
718	0.1460803936
719	0.1460654322
720	0.1460493352
721	0.1460459218
722	0.1460337801
723	0.1460200657
724	0.1460164171
725	0.1460124746
726	0.1459981602
727	0.1459912222
728	0.1459842308
