iter	Passed	Remaining
0	4	21680
1	7	19645
2	11	19370
3	18	22759
4	21	21766
5	27	22533
6	31	22272
7	35	22074
8	40	22261
9	43	21857
10	48	21886
11	51	21505
12	56	21718
13	60	21609
14	64	21308
15	67	21110
16	71	20980
17	75	20768
18	83	21857
19	88	21928
20	93	22225
21	99	22406
22	103	22344
23	109	22732
24	113	22569
25	117	22419
26	123	22737
27	127	22617
28	131	22510
29	136	22604
30	141	22622
31	145	22592
32	149	22466
33	153	22490
34	157	22410
35	161	22280
36	166	22304
37	171	22331
38	174	22258
39	178	22151
40	182	22121
41	186	22068
42	192	22145
43	196	22169
44	201	22198
45	205	22102
46	208	21999
47	212	21941
48	217	21997
49	221	21935
50	227	22046
51	231	22026
52	235	21941
53	239	21909
54	245	22034
55	249	22012
56	252	21924
57	256	21873
58	260	21842
59	264	21802
60	269	21789
61	272	21729
62	276	21694
63	280	21629
64	284	21577
65	287	21526
66	292	21515
67	296	21477
68	300	21475
69	304	21449
70	308	21418
71	312	21419
72	319	21533
73	322	21482
74	327	21491
75	331	21452
76	336	21510
77	340	21499
78	344	21449
79	348	21423
80	352	21412
81	356	21363
82	359	21309
83	364	21317
84	368	21299
85	372	21267
86	375	21231
87	380	21215
88	384	21215
89	387	21160
90	391	21132
91	395	21104
92	399	21077
93	403	21054
94	407	21038
95	411	21040
96	415	21004
97	419	20962
98	423	20961
99	427	20953
100	431	20928
101	435	20936
102	440	20921
103	443	20892
104	447	20883
105	451	20854
106	455	20831
107	459	20814
108	463	20794
109	468	20812
110	472	20800
111	478	20891
112	484	20959
113	489	20960
114	492	20940
115	496	20908
116	500	20895
117	504	20877
118	509	20887
119	515	20981
120	520	20975
121	523	20948
122	527	20922
123	531	20912
124	535	20895
125	540	20900
126	543	20868
127	550	20949
128	554	20927
129	557	20902
130	563	20943
131	567	20945
132	572	20965
133	577	20974
134	581	20945
135	585	20922
136	589	20928
137	594	20944
138	598	20917
139	601	20892
140	606	20916
141	610	20894
142	614	20872
143	618	20851
144	623	20876
145	627	20845
146	630	20829
147	635	20845
148	639	20823
149	643	20803
150	647	20781
151	651	20770
152	655	20763
153	659	20742
154	662	20713
155	666	20693
156	670	20676
157	674	20659
158	678	20652
159	682	20640
160	686	20626
