iter	Passed	Remaining
0	7	35299
1	12	30104
2	16	27775
3	20	25582
4	28	28243
5	34	28927
6	39	28399
7	44	27838
8	49	27282
9	53	26794
10	57	26080
11	62	26102
12	66	25574
13	70	25219
14	74	24845
15	79	24658
16	83	24349
17	86	23973
18	90	23819
19	94	23651
20	98	23397
21	103	23310
22	107	23167
23	110	22994
24	114	22791
25	118	22596
26	121	22437
27	126	22468
28	130	22427
29	134	22361
30	139	22307
31	143	22211
32	147	22233
33	151	22095
34	157	22305
35	160	22161
36	164	22046
37	168	22036
38	174	22174
39	177	22060
40	181	21950
41	187	22167
42	191	22024
43	194	21937
44	198	21833
45	202	21808
46	206	21752
47	210	21738
48	214	21669
49	218	21595
50	222	21563
51	225	21493
52	229	21436
53	233	21352
54	237	21337
55	241	21332
56	245	21291
57	250	21319
58	253	21261
59	257	21204
60	261	21172
61	265	21136
62	270	21175
63	274	21191
64	279	21228
65	284	21233
66	287	21189
67	292	21186
68	295	21151
69	300	21195
70	304	21144
71	307	21077
72	311	21039
73	315	20973
74	318	20911
75	322	20885
76	328	21031
77	332	21003
78	336	20955
79	341	20987
80	345	20999
81	349	20968
82	353	20929
83	358	21006
84	365	21108
85	370	21172
86	375	21187
87	379	21156
88	383	21142
89	387	21160
90	391	21130
91	395	21090
92	401	21195
93	407	21251
94	410	21213
95	414	21182
96	418	21150
97	422	21137
98	426	21119
99	430	21084
100	434	21063
101	438	21044
102	441	20996
103	446	21003
104	450	20985
105	454	20969
106	458	20947
107	461	20921
108	465	20900
109	469	20867
110	473	20847
111	478	20893
112	483	20895
113	486	20867
114	490	20842
115	495	20868
116	502	20962
117	507	21010
118	515	21148
119	519	21130
120	524	21162
121	528	21141
122	533	21142
123	537	21124
124	541	21105
125	544	21069
126	548	21061
127	553	21067
128	557	21057
129	561	21033
130	565	21001
131	569	21018
132	575	21042
133	581	21109
134	584	21079
135	589	21068
136	592	21032
137	595	20998
138	601	21033
139	605	21007
140	609	20989
141	612	20960
142	616	20938
143	621	20974
144	627	21014
145	632	21013
146	636	20999
147	639	20973
148	645	21025
