iter	Passed	Remaining
0	29	14818
1	59	14768
2	96	15949
3	123	15306
4	154	15314
5	184	15156
6	210	14835
7	235	14500
8	272	14888
9	299	14681
10	328	14604
11	360	14652
12	397	14883
13	419	14548
14	436	14107
15	453	13720
16	471	13403
17	489	13117
18	507	12855
19	526	12642
20	550	12567
21	590	12819
22	620	12862
23	649	12882
24	678	12888
25	703	12829
26	729	12776
27	760	12817
28	788	12811
29	823	12897
30	856	12965
31	881	12897
32	911	12903
33	935	12818
34	966	12837
35	992	12797
36	1019	12762
37	1049	12758
38	1086	12846
39	1124	12936
40	1153	12908
41	1190	12984
42	1228	13051
43	1258	13046
44	1293	13076
45	1317	13007
46	1353	13044
47	1378	12984
48	1409	12973
49	1438	12950
50	1464	12894
51	1495	12884
52	1523	12851
53	1554	12838
54	1585	12824
55	1617	12821
56	1646	12793
57	1667	12708
58	1686	12606
59	1707	12518
60	1728	12439
61	1748	12355
62	1770	12278
63	1790	12195
64	1814	12141
65	1836	12074
66	1862	12037
67	1883	11963
68	1914	11960
69	1941	11926
70	1971	11912
71	2002	11904
72	2033	11896
73	2074	11945
74	2114	11981
75	2153	12011
76	2184	12001
77	2213	11976
78	2254	12015
79	2300	12077
80	2328	12045
81	2364	12054
82	2397	12044
83	2441	12089
84	2501	12212
85	2536	12210
86	2571	12206
87	2609	12218
88	2658	12275
89	2696	12286
90	2724	12247
91	2758	12233
92	2789	12208
93	2822	12190
94	2859	12189
95	2905	12227
96	2958	12290
97	3010	12350
98	3063	12409
99	3105	12422
100	3178	12557
101	3223	12578
102	3263	12578
103	3300	12568
104	3344	12582
105	3386	12586
106	3419	12559
107	3447	12514
108	3485	12504
109	3519	12479
110	3561	12482
111	3612	12514
112	3658	12531
113	3704	12543
114	3757	12580
115	3810	12615
116	3852	12610
117	3903	12635
118	3949	12644
119	3982	12609
120	4018	12587
121	4069	12609
122	4100	12567
123	4134	12535
124	4166	12500
125	4192	12444
126	4226	12414
127	4263	12390
128	4311	12400
129	4343	12360
130	4369	12308
131	4417	12314
132	4448	12274
133	4480	12237
134	4508	12188
135	4534	12135
136	4564	12093
137	4592	12046
138	4630	12027
139	4669	12006
140	4709	11991
141	4742	11956
142	4787	11951
143	4813	11900
144	4858	11894
145	4895	11868
146	4926	11830
147	4953	11780
148	4984	11741
149	5037	11754
150	5062	11701
151	5081	11634
152	5103	11574
153	5132	11531
154	5157	11478
155	5177	11417
156	5198	11357
157	5218	11295
158	5264	11290
159	5288	11238
160	5312	11185
161	5337	11136
162	5368	11099
163	5389	11041
164	5408	10981
165	5427	10921
166	5448	10864
167	5478	10826
168	5515	10803
169	5535	10745
170	5562	10701
171	5585	10651
172	5606	10596
173	5629	10547
174	5653	10499
175	5676	10450
176	5698	10399
177	5772	10441
178	5837	10468
179	5915	10516
180	5987	10552
181	6040	10553
182	6062	10502
183	6091	10462
184	6119	10419
185	6144	10372
186	6173	10333
187	6202	10294
188	6224	10242
189	6248	10194
190	6267	10139
191	6288	10088
192	6309	10036
193	6345	10009
194	6375	9972
195	6398	9924
196	6429	9889
197	6449	9836
198	6469	9785
199	6491	9737
200	6512	9687
201	6532	9637
202	6553	9587
203	6574	9539
204	6601	9500
205	6624	9454
206	6643	9404
207	6664	9355
208	6684	9307
209	6704	9258
210	6724	9210
211	6759	9183
212	6791	9151
213	6815	9108
214	6836	9062
215	6857	9016
216	6883	8977
217	6907	8935
218	6931	8893
219	6956	8853
220	6978	8810
221	7000	8765
222	7021	8721
223	7042	8677
224	7066	8636
225	7094	8601
226	7123	8566
227	7151	8531
228	7178	8495
229	7205	8458
230	7234	8424
231	7256	8382
232	7276	8338
233	7299	8298
234	7319	8253
235	7338	8209
236	7358	8165
237	7381	8126
238	7406	8087
239	7447	8068
240	7487	8047
241	7533	8031
242	7561	7996
243	7589	7962
244	7621	7932
245	7648	7896
246	7673	7859
247	7699	7823
248	7722	7784
249	7742	7742
250	7764	7702
251	7788	7664
252	7810	7625
253	7833	7586
254	7855	7547
255	7888	7518
256	7924	7492
257	7957	7464
258	7984	7429
259	8022	7404
260	8052	7374
261	8080	7340
262	8124	7321
263	8156	7291
264	8180	7254
265	8199	7212
266	8219	7173
267	8240	7133
268	8265	7098
269	8294	7065
270	8315	7026
271	8335	6987
272	8359	6951
273	8380	6912
274	8400	6872
275	8435	6846
276	8465	6815
277	8486	6777
278	8509	6740
279	8539	6709
280	8563	6674
281	8584	6636
282	8605	6598
283	8633	6566
284	8655	6529
285	8675	6491
286	8698	6455
287	8720	6419
288	8741	6381
289	8761	6344
290	8790	6313
291	8812	6277
292	8833	6240
293	8856	6205
294	8879	6170
295	8903	6136
296	8939	6109
297	8958	6072
298	8979	6036
299	9003	6002
300	9039	5976
301	9066	5944
302	9096	5914
303	9131	5887
304	9174	5865
305	9202	5834
306	9239	5808
307	9271	5779
308	9306	5752
309	9355	5734
310	9406	5716
311	9442	5689
312	9480	5664
313	9507	5631
314	9549	5608
315	9614	5598
316	9653	5572
317	9717	5561
318	9769	5542
319	9808	5517
320	9842	5488
321	9874	5458
322	9910	5430
323	9942	5400
324	9974	5370
325	10005	5340
326	10042	5312
327	10075	5283
328	10115	5257
329	10158	5232
330	10192	5203
331	10224	5174
332	10252	5141
333	10283	5111
334	10321	5083
335	10350	5051
336	10395	5028
337	10429	4998
338	10457	4966
339	10491	4937
340	10515	4903
341	10545	4871
342	10573	4839
343	10606	4810
344	10660	4789
345	10683	4755
346	10703	4719
347	10722	4683
348	10748	4650
349	10770	4616
350	10791	4580
351	10815	4547
352	10835	4512
353	10855	4477
354	10898	4451
355	10935	4423
356	10962	4391
357	10991	4359
358	11021	4328
359	11053	4298
360	11083	4267
361	11112	4236
362	11144	4206
363	11184	4178
364	11216	4148
365	11246	4117
366	11276	4086
367	11310	4057
368	11339	4025
369	11371	3995
370	11397	3962
371	11459	3943
372	11494	3913
373	11535	3886
374	11573	3857
375	11601	3825
376	11638	3797
377	11669	3766
378	11707	3737
379	11737	3706
380	11773	3677
381	11815	3649
382	11848	3619
383	11900	3595
384	11930	3563
385	11960	3532
386	11995	3502
387	12041	3475
388	12088	3449
389	12127	3420
390	12167	3391
391	12205	3362
392	12249	3335
393	12278	3303
394	12302	3270
395	12325	3236
396	12348	3203
397	12381	3173
398	12416	3142
399	12438	3109
400	12463	3077
401	12491	3045
402	12529	3015
403	12563	2985
404	12615	2959
405	12650	2928
406	12687	2899
407	12729	2870
408	12762	2839
409	12805	2811
410	12840	2780
411	12879	2751
412	12925	2722
413	12982	2696
414	13016	2666
415	13057	2636
416	13098	2607
417	13133	2576
418	13165	2545
419	13200	2514
420	13233	2483
421	13267	2452
422	13299	2420
423	13334	2390
424	13363	2358
425	13393	2326
426	13436	2297
427	13486	2268
428	13520	2237
429	13551	2206
430	13584	2174
431	13618	2143
432	13678	2116
433	13715	2085
434	13744	2053
435	13786	2023
436	13820	1992
437	13858	1961
438	13917	1933
439	13959	1903
440	13991	1871
441	14031	1841
442	14057	1808
443	14084	1776
444	14111	1744
445	14133	1711
446	14155	1678
447	14179	1645
448	14208	1613
449	14233	1581
450	14259	1549
451	14285	1517
452	14306	1484
453	14330	1451
454	14350	1419
455	14373	1386
456	14401	1355
457	14422	1322
458	14445	1290
459	14466	1257
460	14486	1225
461	14507	1193
462	14535	1161
463	14555	1129
464	14576	1097
465	14597	1065
466	14617	1032
467	14640	1001
468	14662	969
469	14682	937
470	14702	905
471	14723	873
472	14746	841
473	14765	809
474	14785	778
475	14810	746
476	14867	716
477	14895	685
478	14928	654
479	14965	623
480	14993	592
481	15034	561
482	15069	530
483	15093	498
484	15113	467
485	15139	436
486	15168	404
487	15191	373
488	15216	342
489	15257	311
490	15291	280
491	15312	248
492	15333	217
493	15359	186
494	15383	155
495	15405	124
496	15426	93
497	15458	62
498	15478	31
499	15500	0
