iter	Passed	Remaining
0	11	26035
1	21	23679
2	32	24052
3	39	21932
4	48	21376
5	54	20016
6	62	19576
7	69	18946
8	76	18638
9	82	17993
10	89	17716
11	95	17484
12	103	17430
13	113	17692
14	120	17525
15	129	17644
16	135	17399
17	143	17362
18	148	17086
19	156	17004
20	162	16814
21	168	16694
22	176	16697
23	184	16768
24	196	17084
25	210	17570
26	223	17966
27	229	17771
28	239	17929
29	255	18458
30	265	18557
31	274	18583
32	284	18658
33	295	18795
34	307	19043
35	315	18979
36	325	19017
37	337	19224
38	344	19091
39	357	19313
40	372	19611
41	381	19607
42	392	19681
43	400	19603
44	409	19615
45	420	19709
46	431	19774
47	448	20110
48	459	20156
49	471	20263
50	482	20323
51	495	20473
52	509	20624
53	518	20613
54	529	20641
55	539	20665
56	548	20629
57	557	20592
58	569	20669
59	577	20592
60	589	20679
61	600	20709
62	612	20788
63	621	20727
64	634	20856
65	642	20776
66	654	20822
67	662	20761
68	673	20810
69	683	20795
70	692	20751
71	701	20723
72	709	20670
73	723	20799
74	738	20915
75	750	20971
76	759	20933
77	779	21195
78	787	21149
79	798	21155
80	810	21190
81	818	21153
82	832	21224
83	842	21224
84	856	21316
85	867	21317
86	880	21383
87	886	21287
88	894	21205
89	902	21153
90	908	21056
91	921	21107
92	931	21100
93	940	21069
94	948	21019
95	960	21043
96	973	21095
97	984	21109
98	998	21196
99	1008	21181
100	1024	21281
101	1037	21341
102	1048	21340
103	1055	21267
104	1064	21243
105	1072	21195
106	1080	21137
107	1087	21059
108	1095	21017
109	1101	20922
110	1106	20825
111	1113	20762
112	1118	20664
113	1125	20596
114	1131	20511
115	1137	20442
116	1144	20376
117	1150	20297
118	1157	20247
119	1165	20196
120	1173	20159
121	1181	20132
122	1188	20073
123	1197	20051
124	1203	19978
125	1211	19945
126	1217	19873
127	1225	19830
128	1230	19753
129	1236	19683
130	1243	19633
131	1248	19564
132	1254	19500
133	1260	19432
134	1266	19368
135	1273	19321
136	1279	19261
137	1284	19198
138	1291	19155
139	1297	19097
140	1304	19053
141	1310	18994
142	1316	18932
143	1321	18869
144	1328	18821
145	1334	18770
146	1340	18725
147	1347	18679
148	1354	18647
149	1360	18593
150	1366	18536
151	1372	18490
152	1378	18437
153	1383	18385
154	1390	18345
155	1395	18288
156	1403	18260
157	1408	18206
158	1418	18208
159	1426	18183
160	1431	18134
161	1443	18164
162	1449	18117
163	1456	18085
164	1462	18039
165	1470	18016
166	1476	17975
167	1483	17941
168	1489	17900
169	1495	17861
170	1501	17821
171	1507	17778
172	1514	17740
173	1521	17714
174	1530	17709
175	1542	17739
176	1552	17749
177	1559	17719
178	1565	17676
179	1574	17674
180	1581	17646
181	1587	17603
182	1593	17564
183	1601	17546
184	1607	17505
185	1613	17474
186	1620	17439
187	1625	17401
188	1633	17382
189	1641	17366
190	1651	17375
191	1660	17369
192	1669	17360
193	1680	17381
194	1689	17368
195	1696	17342
196	1702	17309
197	1708	17272
198	1714	17244
199	1720	17204
200	1727	17176
201	1732	17139
202	1738	17099
203	1745	17079
204	1755	17080
205	1762	17062
206	1772	17064
207	1781	17061
208	1789	17046
209	1797	17037
210	1807	17033
211	1815	17028
212	1822	17002
213	1830	16985
214	1836	16956
215	1845	16948
216	1851	16921
217	1857	16890
218	1865	16872
219	1871	16839
220	1878	16820
221	1883	16782
222	1889	16750
223	1896	16733
224	1902	16701
225	1909	16681
226	1915	16648
227	1921	16615
228	1929	16607
229	1935	16580
230	1942	16560
231	1948	16530
232	1954	16504
233	1962	16486
234	1970	16473
235	1980	16480
236	1988	16470
237	1996	16455
238	2001	16424
239	2009	16412
240	2016	16387
241	2023	16373
242	2030	16351
243	2036	16323
244	2043	16309
245	2054	16317
246	2065	16330
247	2074	16328
248	2080	16304
249	2088	16293
250	2095	16271
251	2101	16244
252	2108	16229
253	2115	16205
254	2122	16192
255	2129	16168
256	2137	16157
257	2143	16130
258	2148	16104
259	2156	16093
260	2162	16068
261	2170	16055
262	2176	16031
263	2182	16001
264	2190	15992
265	2196	15966
266	2203	15955
267	2209	15928
268	2216	15912
269	2222	15886
270	2228	15863
271	2238	15867
272	2244	15840
273	2251	15826
274	2258	15808
275	2267	15805
276	2274	15790
277	2282	15783
278	2288	15758
279	2295	15741
280	2303	15731
281	2310	15714
282	2318	15705
283	2325	15686
284	2333	15676
285	2339	15654
286	2350	15669
287	2361	15677
288	2369	15665
289	2382	15692
290	2391	15686
291	2399	15679
292	2407	15667
293	2425	15721
294	2439	15755
295	2450	15760
296	2462	15776
297	2470	15768
298	2485	15800
299	2500	15838
300	2508	15826
301	2517	15819
302	2524	15807
303	2536	15818
304	2542	15798
305	2554	15809
306	2567	15832
307	2579	15843
308	2587	15833
309	2599	15846
310	2610	15856
311	2617	15840
312	2626	15832
313	2640	15858
314	2653	15879
315	2663	15880
316	2677	15901
317	2690	15922
318	2696	15899
319	2703	15881
320	2710	15864
321	2728	15915
322	2743	15940
323	2751	15930
324	2765	15952
325	2774	15946
326	2780	15928
327	2790	15923
328	2799	15919
329	2814	15951
330	2822	15938
331	2830	15928
332	2841	15933
333	2849	15922
334	2861	15929
335	2872	15936
336	2883	15938
337	2895	15948
338	2909	15970
339	2915	15951
340	2924	15942
341	2936	15955
342	2948	15964
343	2964	15995
344	2977	16008
345	2989	16016
346	2996	16004
347	3005	15996
348	3015	15993
349	3026	15996
350	3036	15995
351	3043	15976
352	3051	15965
353	3062	15970
354	3072	15969
355	3079	15951
356	3093	15970
357	3108	15995
358	3119	15997
359	3127	15986
360	3139	15992
361	3146	15975
362	3155	15967
363	3161	15948
364	3170	15940
365	3176	15919
366	3183	15900
367	3194	15904
368	3208	15920
369	3225	15951
370	3236	15955
371	3243	15938
372	3250	15922
373	3257	15902
374	3264	15887
375	3271	15871
376	3277	15850
377	3285	15835
378	3291	15814
379	3297	15794
380	3303	15774
381	3311	15758
382	3318	15745
383	3324	15721
384	3331	15706
385	3337	15683
386	3342	15658
387	3350	15645
388	3355	15623
389	3363	15608
390	3368	15585
391	3376	15572
392	3383	15558
393	3390	15539
394	3396	15522
395	3403	15502
396	3408	15481
397	3416	15466
398	3426	15468
399	3434	15454
400	3441	15438
401	3448	15424
402	3454	15403
403	3463	15398
404	3470	15379
405	3477	15366
406	3485	15353
407	3500	15373
408	3508	15364
409	3519	15364
410	3534	15384
411	3541	15369
412	3554	15377
413	3564	15379
414	3574	15374
415	3585	15374
416	3596	15379
417	3606	15375
418	3623	15401
419	3638	15420
420	3649	15419
421	3656	15406
422	3664	15393
423	3676	15398
424	3685	15391
425	3694	15384
426	3710	15406
427	3728	15434
428	3739	15436
429	3746	15420
430	3759	15430
431	3771	15437
432	3779	15422
433	3790	15425
434	3797	15409
435	3812	15426
436	3827	15442
437	3840	15451
438	3851	15448
439	3858	15433
440	3871	15441
441	3879	15429
442	3890	15429
443	3904	15443
444	3913	15432
445	3923	15428
446	3930	15415
447	3948	15440
448	3962	15452
449	3970	15440
450	3981	15439
451	3993	15442
452	4002	15435
453	4010	15423
454	4021	15422
455	4032	15424
456	4041	15412
457	4052	15412
458	4061	15403
459	4073	15410
460	4086	15414
461	4099	15421
462	4108	15414
463	4117	15405
464	4125	15394
465	4138	15398
466	4149	15398
467	4160	15397
468	4170	15392
469	4182	15396
470	4192	15390
471	4205	15397
472	4214	15387
473	4222	15376
474	4230	15362
475	4241	15360
476	4254	15367
477	4260	15349
478	4271	15347
479	4281	15341
480	4290	15334
481	4300	15330
482	4308	15315
483	4319	15314
484	4331	15317
485	4338	15299
486	4343	15276
487	4351	15264
488	4357	15246
489	4364	15230
490	4369	15209
491	4375	15190
492	4382	15173
493	4387	15153
494	4394	15136
495	4400	15116
496	4406	15097
497	4414	15087
498	4421	15071
499	4427	15054
500	4436	15045
501	4442	15027
502	4449	15012
503	4455	14991
504	4464	14983
505	4470	14964
506	4476	14949
507	4482	14930
508	4488	14910
509	4498	14907
510	4504	14887
511	4512	14876
512	4517	14857
513	4524	14840
514	4530	14823
515	4536	14805
516	4544	14794
517	4550	14775
518	4561	14773
519	4572	14773
520	4583	14770
521	4591	14760
522	4605	14766
523	4614	14758
524	4626	14760
525	4633	14747
526	4642	14737
527	4656	14744
528	4667	14743
529	4678	14743
530	4685	14726
531	4694	14717
532	4701	14704
533	4713	14706
534	4722	14695
535	4729	14681
536	4737	14672
537	4744	14656
538	4755	14653
539	4765	14648
540	4776	14646
541	4789	14651
