iter	RMSE
0	1.849690118
1	1.809757082
2	1.77120894
3	1.736093995
4	1.700237097
5	1.667376456
6	1.638781026
7	1.611626582
8	1.585135178
9	1.562759798
10	1.542123522
11	1.521537958
12	1.500916999
13	1.481934128
14	1.465297572
15	1.451069536
16	1.436123718
17	1.422065874
18	1.411329407
19	1.400387603
20	1.389397976
21	1.378087657
22	1.369667782
23	1.361997923
24	1.353680523
25	1.34744422
26	1.341547171
27	1.3359547
28	1.331119714
29	1.326156299
30	1.321858403
31	1.314769684
32	1.310115536
33	1.30690671
34	1.304195188
35	1.296528741
36	1.292195618
37	1.2872548
38	1.284130727
39	1.281584036
40	1.280191665
41	1.277440068
42	1.273363017
43	1.267732215
44	1.264869421
45	1.261606287
46	1.259206832
47	1.254252648
48	1.252203078
49	1.2468462
50	1.245269465
51	1.243333588
52	1.239960544
53	1.235402124
54	1.234006435
55	1.232742737
56	1.227215941
57	1.224308741
58	1.222010328
59	1.220837288
60	1.220020854
61	1.217633442
62	1.213079821
63	1.211811649
64	1.209523782
65	1.205192431
66	1.200888681
67	1.198962259
68	1.195207719
69	1.191258793
70	1.188963577
71	1.184898813
72	1.181944883
73	1.179338886
74	1.177291135
75	1.174698774
76	1.173063598
77	1.171671028
78	1.170297665
79	1.168372581
80	1.166849993
81	1.165758502
82	1.16218787
83	1.158975869
84	1.156573842
85	1.154238108
86	1.153198319
87	1.151523158
88	1.148677312
89	1.146460555
90	1.145323426
91	1.143962365
92	1.142103612
93	1.140171482
94	1.137537996
95	1.13693379
96	1.134175254
97	1.131417657
98	1.129901927
99	1.128792291
100	1.125507015
101	1.12258579
102	1.121357572
103	1.1188456
104	1.117870223
105	1.116000608
106	1.115701345
107	1.114635401
108	1.11404708
109	1.11208412
110	1.110961619
111	1.1094558
112	1.106325299
113	1.104132906
114	1.102665556
115	1.10096787
116	1.097436726
117	1.096635496
118	1.095079651
119	1.09356753
120	1.092992228
121	1.091112798
122	1.088838776
123	1.087169397
124	1.086884869
125	1.086048422
126	1.084680257
127	1.081825313
128	1.080203576
129	1.078095397
130	1.076162096
131	1.075371976
132	1.073917695
133	1.071849799
134	1.071078341
135	1.068446201
136	1.066756728
137	1.064374311
138	1.063870269
139	1.062614745
140	1.061199836
141	1.059586672
142	1.058340397
143	1.05672661
144	1.054808065
145	1.053755631
146	1.051222156
147	1.049611693
148	1.048096798
149	1.047195792
150	1.045911673
151	1.044514392
152	1.043667351
153	1.041771812
154	1.040365715
155	1.039065526
156	1.037655351
157	1.037001097
158	1.036228565
159	1.035623619
160	1.033209324
161	1.032241104
162	1.031799995
163	1.031409706
164	1.028696831
165	1.027710744
166	1.026604526
167	1.026322384
168	1.025235029
169	1.024383237
170	1.023883882
171	1.022054266
172	1.021345196
173	1.019583441
174	1.018527458
175	1.017793661
176	1.015775036
177	1.014297819
178	1.013580859
179	1.01242408
180	1.011567618
181	1.010176723
182	1.009802062
183	1.008382688
184	1.007599969
185	1.005829036
186	1.004022349
187	1.001435631
188	1.000859175
189	0.9994043832
190	0.9989423998
191	0.9975190248
192	0.9957438658
193	0.9939531756
194	0.9924385972
195	0.9911445781
196	0.9907259859
197	0.9904100219
198	0.9884363066
199	0.9863854391
200	0.9845545567
201	0.9842092087
202	0.9838683176
203	0.9822908119
204	0.9811334518
205	0.9781515457
206	0.9769233949
207	0.9724902722
208	0.9686148325
209	0.9678494372
210	0.9664047827
211	0.9628038943
212	0.9614656253
213	0.9597268063
214	0.9593854306
215	0.9591012322
216	0.9579088943
217	0.9546137961
218	0.9531681512
219	0.951941597
220	0.9489736339
221	0.9474025419
222	0.9467492653
223	0.9447207776
224	0.9419993489
225	0.940355048
226	0.9394529722
227	0.9382866128
228	0.937015014
229	0.9351549239
230	0.9337047587
231	0.932163582
232	0.9304209269
233	0.9297491964
234	0.9283143656
235	0.9280173313
236	0.926743164
237	0.9254287854
238	0.9251293692
239	0.9245259508
240	0.9231599643
241	0.9216458801
242	0.9198659205
243	0.9191687309
244	0.9174260757
245	0.9156372827
246	0.9144267055
247	0.9141512621
248	0.9129134723
249	0.911788282
250	0.9106190769
251	0.9083339888
252	0.9066961711
253	0.9054719028
254	0.9040338214
255	0.9028704646
256	0.9022962671
257	0.901576291
258	0.9013222453
259	0.8997596857
260	0.8993121527
261	0.8981660313
262	0.8971189345
263	0.896886737
264	0.8954645159
265	0.8950626345
266	0.8935571018
267	0.891295558
268	0.8910836428
269	0.8901052691
270	0.8889539016
271	0.8884804365
272	0.8880830132
273	0.8875710408
274	0.8865905312
275	0.8855592371
276	0.8846460373
277	0.8835835085
278	0.8830987268
279	0.8818317112
280	0.8805145778
281	0.8786591979
282	0.8774647092
283	0.8763244792
284	0.8753975632
285	0.8752014445
286	0.873388966
287	0.8723843192
288	0.8711552683
289	0.8705555538
290	0.8700730612
291	0.868649272
292	0.8676333733
293	0.8672784978
294	0.8670986405
295	0.8661367236
296	0.8649123447
297	0.8639220921
298	0.8633850774
299	0.8625303903
300	0.8608681934
301	0.8605448431
302	0.8594247543
303	0.8578721289
304	0.8558055462
305	0.8548641549
306	0.8519369319
307	0.8509449701
308	0.8496990382
309	0.8488942141
310	0.8476620217
311	0.8474944094
312	0.847152632
313	0.8461385084
314	0.8452712326
315	0.8441930102
316	0.8433911197
317	0.8426256141
318	0.8417919165
319	0.8413816502
320	0.8404884337
321	0.8394377346
322	0.8382114296
323	0.8373380341
324	0.8363088627
325	0.8336588242
326	0.8323925896
327	0.8317428089
328	0.8308101533
329	0.8302749012
330	0.8294391644
331	0.8287620324
332	0.8275748506
333	0.8271810676
334	0.8268747361
335	0.8267121705
336	0.8258431777
337	0.8253994208
338	0.8252569329
339	0.8240178136
340	0.8229737715
341	0.8221742476
342	0.8197465611
343	0.8189287693
344	0.8182891037
345	0.8176741262
346	0.8169209504
347	0.8160126141
348	0.8146638319
349	0.8143828182
350	0.8141252593
351	0.8135876263
352	0.8132892291
353	0.8121603105
354	0.8117515838
355	0.8114762658
356	0.811368705
357	0.8111330793
358	0.8102434378
359	0.8101080748
360	0.8090823928
361	0.8067812358
362	0.8058389939
363	0.8048961221
364	0.8040786965
365	0.8038057279
366	0.8031703251
367	0.8024210829
368	0.8015625447
369	0.8007188156
370	0.7998867155
371	0.7997890285
372	0.7989247091
373	0.7968584746
374	0.7960352208
375	0.7952590557
376	0.7940579278
377	0.7934486713
378	0.7931046131
379	0.7915379919
380	0.7895906683
381	0.789466253
382	0.788707039
383	0.7880269835
384	0.7878056074
385	0.7872329472
386	0.7869893802
387	0.7860636829
388	0.7846242788
389	0.7843654558
390	0.7836786993
391	0.7829721518
392	0.7822788877
393	0.7821709897
394	0.7818031164
395	0.7810262233
396	0.7792280317
397	0.7787760912
398	0.778062489
399	0.7769293185
400	0.7766035267
401	0.7758446009
402	0.7748636847
403	0.7738304152
404	0.772218822
405	0.771491062
406	0.7713780357
407	0.7709261037
408	0.769978387
409	0.7688390975
410	0.7681442506
411	0.7674758833
412	0.7671417507
413	0.7666587035
414	0.765575649
415	0.764735265
416	0.7632246089
417	0.7621767465
