iter	Passed	Remaining
0	5	8939
1	9	7489
2	13	6536
3	17	6655
4	21	6406
5	24	6094
6	27	5877
7	32	5968
8	35	5813
9	38	5745
10	41	5624
11	46	5708
12	49	5615
13	52	5557
14	56	5577
15	62	5825
16	66	5832
17	70	5828
18	73	5759
19	78	5802
20	81	5760
21	84	5705
22	87	5649
23	91	5637
24	95	5623
25	98	5595
26	101	5553
27	104	5515
28	110	5591
29	113	5564
30	116	5529
31	119	5494
32	124	5541
33	128	5556
34	132	5557
35	136	5544
36	141	5597
37	144	5568
38	148	5559
39	151	5531
40	155	5531
41	158	5499
42	161	5480
43	165	5465
44	168	5442
45	173	5472
46	176	5448
47	179	5429
48	182	5405
49	187	5429
50	190	5418
51	193	5393
52	196	5370
53	201	5403
54	204	5380
55	207	5357
56	211	5341
57	214	5330
58	218	5347
59	222	5332
60	225	5315
61	228	5300
62	233	5324
63	236	5309
64	241	5322
65	245	5330
66	250	5357
67	253	5342
68	257	5330
69	260	5317
70	263	5308
71	267	5305
72	271	5301
73	274	5291
74	277	5278
75	282	5302
76	286	5289
77	289	5274
78	292	5259
79	296	5256
80	299	5247
81	302	5239
82	306	5227
83	310	5234
84	316	5261
85	319	5255
86	323	5252
87	329	5285
88	332	5277
89	336	5267
90	342	5298
91	350	5362
92	354	5367
93	357	5353
94	362	5357
95	365	5345
96	369	5337
97	372	5326
98	375	5315
99	379	5308
100	382	5299
101	385	5288
102	389	5281
103	395	5307
104	403	5355
105	408	5366
106	414	5391
107	422	5449
108	430	5493
109	436	5510
110	441	5520
111	449	5576
112	454	5574
113	468	5693
114	474	5710
115	477	5699
116	481	5687
117	484	5679
118	490	5696
119	494	5685
120	497	5674
121	501	5668
122	507	5679
123	510	5668
124	514	5660
125	518	5652
126	525	5680
127	528	5670
128	532	5657
129	541	5701
130	546	5709
131	550	5705
132	557	5727
133	561	5719
134	564	5709
135	570	5718
136	576	5738
137	586	5786
138	590	5781
139	595	5781
140	599	5777
141	606	5798
142	609	5788
143	613	5778
144	617	5773
145	621	5764
146	625	5756
147	628	5744
148	632	5731
149	636	5728
150	639	5717
151	643	5705
152	646	5693
153	651	5693
154	654	5683
155	659	5677
156	665	5690
157	668	5681
158	673	5682
159	677	5676
160	686	5708
161	692	5717
162	699	5734
163	702	5723
164	707	5724
165	717	5765
166	723	5775
167	729	5782
168	735	5795
169	740	5793
170	745	5795
171	750	5797
172	754	5786
173	760	5793
174	771	5838
175	775	5834
176	785	5870
177	791	5880
178	796	5876
179	805	5906
180	811	5916
181	817	5921
182	823	5929
183	835	5975
184	840	5976
185	851	6013
186	859	6034
187	864	6029
188	868	6023
189	879	6060
190	883	6056
191	894	6094
192	901	6104
193	907	6106
194	912	6108
195	919	6118
196	927	6137
197	932	6129
198	941	6152
199	947	6157
200	951	6150
201	962	6181
202	969	6194
203	978	6216
204	982	6207
205	989	6214
206	994	6211
207	1006	6254
208	1014	6268
209	1020	6268
210	1028	6284
211	1037	6301
212	1044	6308
213	1048	6300
214	1054	6304
215	1058	6291
216	1063	6288
217	1069	6286
218	1073	6276
219	1078	6272
220	1082	6266
221	1088	6263
222	1093	6260
223	1101	6272
224	1106	6271
225	1110	6260
226	1115	6257
227	1119	6244
228	1123	6234
229	1129	6238
230	1135	6236
231	1141	6240
232	1148	6245
233	1154	6244
234	1159	6240
235	1165	6242
236	1172	6246
237	1177	6245
238	1183	6244
239	1187	6236
240	1192	6229
241	1197	6223
242	1203	6224
243	1208	6220
244	1212	6211
245	1218	6210
246	1229	6236
247	1236	6242
248	1241	6237
249	1246	6232
250	1254	6240
251	1262	6252
252	1268	6250
253	1275	6259
254	1281	6257
255	1285	6249
256	1291	6245
257	1298	6251
258	1304	6251
259	1309	6247
260	1317	6256
261	1325	6261
262	1330	6258
263	1337	6260
264	1341	6250
265	1344	6239
266	1351	6242
267	1357	6240
268	1362	6234
269	1369	6239
270	1376	6240
271	1380	6232
272	1392	6257
273	1396	6249
274	1403	6252
275	1409	6249
276	1413	6239
277	1420	6245
278	1425	6238
279	1429	6229
280	1436	6232
