iter	Passed	Remaining
0	6	2826
1	13	3095
2	19	2923
3	27	3026
4	33	3002
5	38	2865
6	43	2752
7	47	2644
8	54	2671
9	58	2566
10	63	2519
11	68	2482
12	72	2434
13	73	2301
14	88	2568
15	93	2546
16	101	2577
17	106	2563
18	114	2597
19	118	2551
20	125	2556
21	129	2509
22	141	2632
23	149	2652
24	160	2722
25	165	2704
26	172	2706
27	178	2691
28	185	2695
29	190	2669
30	195	2640
31	202	2642
32	206	2611
33	217	2655
34	227	2701
35	233	2688
36	239	2673
37	246	2677
38	251	2652
39	256	2632
40	264	2641
41	269	2614
42	275	2607
43	281	2598
44	288	2594
45	296	2607
46	303	2602
47	312	2615
48	318	2607
49	325	2600
50	333	2608
51	339	2595
52	345	2584
53	350	2568
54	356	2557
55	364	2562
56	369	2548
57	374	2533
58	380	2524
59	385	2504
60	390	2491
61	398	2492
62	406	2496
63	412	2487
64	421	2495
65	427	2488
66	433	2475
67	438	2464
68	445	2458
69	449	2440
70	453	2421
71	459	2410
72	463	2392
73	467	2373
74	471	2355
75	476	2345
76	480	2328
77	484	2310
78	488	2294
79	493	2283
80	498	2270
81	503	2258
82	509	2251
83	513	2238
84	517	2223
85	523	2215
86	527	2200
87	531	2186
88	535	2172
89	540	2160
90	544	2147
91	548	2133
92	552	2121
93	557	2111
94	563	2106
95	568	2096
96	573	2088
97	578	2077
98	582	2064
99	588	2058
100	593	2049
101	598	2042
102	604	2036
103	608	2024
104	612	2012
105	617	2004
106	624	2001
107	628	1989
108	632	1978
109	638	1972
110	643	1963
111	646	1952
112	653	1948
113	661	1948
114	668	1947
115	677	1949
116	683	1944
117	687	1935
118	695	1934
119	700	1926
120	706	1921
121	712	1915
122	718	1909
123	726	1910
124	732	1904
125	741	1907
126	751	1910
127	758	1907
128	762	1897
129	770	1896
130	776	1891
131	784	1891
132	791	1887
133	799	1886
134	805	1880
135	810	1871
136	817	1866
137	821	1857
138	827	1851
139	832	1844
140	837	1836
141	845	1834
142	851	1827
143	859	1826
144	865	1820
145	872	1815
146	878	1811
147	889	1815
148	897	1813
149	904	1808
150	909	1801
151	916	1796
152	923	1792
153	931	1789
154	936	1781
155	941	1774
156	949	1771
157	954	1764
158	962	1761
159	968	1756
160	976	1752
161	981	1745
162	986	1737
163	991	1729
164	999	1725
165	1008	1724
166	1013	1717
167	1022	1716
168	1031	1714
169	1038	1711
170	1044	1704
171	1050	1698
172	1063	1702
173	1073	1702
174	1079	1696
175	1086	1691
176	1097	1692
177	1103	1686
178	1109	1679
179	1115	1673
180	1121	1667
181	1131	1666
182	1138	1660
183	1143	1652
184	1148	1644
185	1154	1639
186	1161	1633
187	1167	1626
188	1175	1623
189	1182	1617
190	1190	1613
191	1195	1606
192	1203	1602
193	1214	1602
194	1223	1599
195	1230	1594
196	1240	1593
197	1247	1588
198	1253	1580
199	1261	1577
200	1267	1570
201	1272	1561
202	1279	1556
203	1286	1550
204	1291	1543
205	1298	1538
206	1306	1533
207	1312	1527
208	1321	1524
209	1329	1518
210	1335	1512
211	1345	1510
212	1352	1504
213	1357	1497
214	1366	1494
215	1372	1486
216	1381	1483
217	1387	1476
218	1392	1469
219	1399	1463
220	1404	1454
221	1411	1449
222	1417	1443
223	1422	1434
224	1429	1429
225	1433	1421
226	1440	1414
227	1445	1407
228	1452	1402
229	1458	1394
230	1465	1388
231	1474	1385
232	1481	1379
233	1487	1372
234	1495	1367
235	1500	1360
236	1505	1352
237	1513	1348
238	1520	1342
239	1525	1334
240	1531	1328
241	1535	1320
242	1541	1313
243	1550	1308
244	1556	1302
245	1567	1299
246	1575	1294
247	1582	1288
248	1587	1281
249	1592	1274
250	1599	1268
251	1606	1262
252	1613	1256
253	1617	1248
254	1622	1240
255	1627	1233
256	1632	1225
257	1638	1219
258	1643	1212
259	1648	1204
260	1655	1198
261	1659	1191
262	1664	1183
263	1670	1176
264	1675	1169
265	1683	1164
266	1688	1157
267	1693	1150
268	1700	1144
269	1705	1137
270	1710	1129
271	1715	1122
272	1720	1115
273	1724	1107
274	1731	1101
275	1736	1095
276	1745	1090
277	1750	1083
278	1756	1076
279	1762	1070
280	1766	1062
281	1771	1055
282	1778	1049
283	1782	1041
284	1788	1035
285	1793	1028
286	1799	1021
287	1803	1014
288	1808	1007
289	1813	1000
290	1818	993
291	1826	988
292	1831	981
293	1837	974
294	1842	968
295	1846	960
296	1853	954
297	1858	948
298	1864	941
299	1869	934
300	1874	927
301	1879	921
302	1884	914
303	1889	907
304	1894	900
305	1900	894
306	1905	887
307	1911	881
308	1916	874
309	1921	867
310	1926	861
311	1932	854
312	1937	847
313	1941	840
314	1947	834
315	1953	828
316	1958	821
317	1964	815
318	1969	808
319	1974	802
320	1982	796
321	1987	790
322	1994	784
323	1999	777
324	2003	770
325	2010	764
326	2020	760
327	2029	754
328	2035	748
329	2041	742
330	2046	735
331	2051	728
332	2056	722
333	2062	716
334	2066	709
335	2072	703
336	2076	696
337	2082	690
338	2088	683
339	2093	677
340	2098	670
341	2104	664
342	2109	657
343	2113	651
344	2118	644
345	2124	638
346	2131	632
347	2136	626
348	2142	620
349	2147	613
350	2153	607
351	2157	600
352	2163	594
353	2168	587
354	2172	581
355	2180	575
356	2185	569
357	2190	562
358	2196	556
359	2201	550
360	2207	544
361	2213	538
362	2218	531
363	2226	525
364	2231	519
365	2236	513
366	2243	507
367	2248	501
368	2253	494
369	2260	488
370	2264	482
371	2269	475
372	2276	469
373	2280	463
374	2285	457
375	2291	451
376	2296	444
377	2300	438
378	2306	432
379	2310	425
380	2315	419
381	2322	413
382	2326	407
383	2331	400
384	2342	395
385	2349	389
386	2355	383
387	2362	377
388	2371	371
389	2376	365
390	2381	359
391	2386	353
392	2391	346
393	2396	340
394	2400	334
395	2405	328
396	2409	321
397	2415	315
398	2420	309
399	2424	303
400	2429	296
401	2434	290
402	2438	284
403	2443	278
404	2448	272
405	2452	265
406	2456	259
407	2462	253
408	2467	247
409	2471	241
410	2478	235
411	2484	229
412	2492	223
413	2497	217
414	2502	211
415	2506	204
416	2512	198
417	2516	192
418	2520	186
419	2529	180
420	2533	174
421	2538	168
422	2543	162
423	2547	156
424	2552	150
425	2560	144
426	2565	138
427	2570	132
428	2576	126
429	2580	120
430	2584	113
431	2588	107
432	2593	101
433	2598	95
434	2602	89
435	2608	83
436	2612	77
437	2617	71
438	2622	65
439	2627	59
440	2631	53
441	2636	47
442	2642	41
443	2646	35
444	2650	29
445	2655	23
446	2659	17
447	2664	11
448	2670	5
449	2674	0
