iter	Passed	Remaining
0	68	34206
1	88	21948
2	95	15882
3	106	13170
4	119	11865
5	137	11317
6	151	10659
7	171	10518
8	182	9929
9	197	9667
10	206	9187
11	219	8919
12	232	8693
13	244	8483
14	252	8179
15	260	7878
16	263	7482
17	278	7463
18	291	7377
19	300	7205
20	307	7023
21	316	6877
22	335	6950
23	345	6844
24	348	6621
25	359	6555
26	372	6526
27	388	6542
28	395	6428
29	408	6399
30	425	6435
31	444	6507
32	457	6468
33	468	6426
34	482	6416
35	498	6428
36	509	6375
37	518	6306
38	529	6253
39	537	6182
40	550	6157
41	565	6164
42	573	6094
43	585	6070
44	598	6046
45	610	6028
46	621	5991
47	632	5954
48	650	5984
49	655	5899
50	666	5870
51	673	5803
52	685	5784
53	697	5758
54	707	5725
55	715	5674
56	730	5677
57	743	5667
58	755	5646
59	761	5587
60	775	5584
61	782	5527
62	791	5488
63	798	5442
64	807	5402
65	817	5374
66	825	5334
67	831	5284
68	840	5251
69	852	5236
70	867	5243
71	881	5240
72	889	5204
73	898	5174
74	909	5153
75	912	5091
76	918	5044
77	925	5006
78	928	4947
79	936	4914
80	945	4888
81	952	4853
82	962	4837
83	968	4798
84	981	4790
85	992	4779
86	1002	4760
87	1015	4755
88	1034	4778
89	1043	4754
90	1050	4719
91	1063	4714
92	1068	4676
93	1077	4652
94	1096	4673
95	1108	4666
96	1128	4689
97	1143	4689
98	1154	4675
99	1169	4676
100	1188	4696
101	1204	4698
102	1216	4689
103	1229	4681
104	1237	4656
105	1251	4650
106	1263	4639
107	1268	4604
108	1281	4596
109	1293	4584
110	1301	4561
111	1316	4561
112	1327	4546
113	1337	4527
114	1342	4493
115	1358	4498
116	1373	4497
117	1395	4517
118	1410	4515
119	1426	4516
120	1440	4512
121	1457	4515
122	1473	4517
123	1487	4509
124	1501	4503
125	1507	4475
126	1520	4466
127	1529	4444
128	1542	4436
129	1553	4421
130	1561	4398
131	1569	4375
132	1577	4351
133	1590	4345
134	1623	4388
135	1636	4381
136	1654	4383
137	1669	4379
138	1687	4381
139	1702	4377
140	1710	4354
141	1720	4337
142	1730	4319
143	1741	4304
144	1756	4300
145	1770	4294
146	1791	4302
147	1808	4301
148	1815	4277
149	1828	4267
150	1847	4271
151	1862	4263
152	1873	4248
153	1887	4240
154	1896	4220
155	1907	4205
156	1913	4180
157	1923	4163
158	1934	4147
159	1940	4122
160	1948	4102
161	1955	4080
162	1963	4058
163	1972	4040
164	1981	4022
165	1987	3998
166	1996	3981
167	2003	3958
168	2011	3938
169	2018	3917
170	2024	3894
171	2033	3877
172	2039	3854
173	2049	3840
174	2058	3822
175	2074	3819
176	2084	3804
177	2099	3798
178	2114	3792
179	2133	3793
180	2150	3789
181	2163	3780
182	2176	3769
183	2182	3748
184	2193	3734
185	2204	3722
186	2213	3705
187	2223	3690
188	2236	3680
189	2244	3661
190	2255	3648
191	2262	3629
192	2275	3619
193	2291	3614
194	2298	3595
195	2307	3578
196	2316	3562
197	2325	3546
198	2332	3528
199	2343	3514
200	2351	3497
201	2363	3486
202	2374	3474
203	2380	3454
204	2392	3442
205	2400	3426
206	2419	3425
207	2429	3410
208	2439	3396
209	2445	3377
210	2456	3363
211	2462	3345
212	2474	3334
213	2482	3317
214	2494	3306
215	2508	3298
216	2521	3287
