iter	Logloss
0	0.6343367578
1	0.5825035838
2	0.5364060934
3	0.4950657801
4	0.4582992221
5	0.4251396461
6	0.3945221692
7	0.3685468897
8	0.3451112547
9	0.3236654599
10	0.3039982186
11	0.2871486044
12	0.2718408132
13	0.2579708507
14	0.2458349008
15	0.2351344732
16	0.2253300109
17	0.2166199277
18	0.2084332381
19	0.2010882284
20	0.1944220009
21	0.1885664134
22	0.1831309303
23	0.1783206308
24	0.1739638281
25	0.1699443167
26	0.166301369
27	0.1630511513
28	0.1600585934
29	0.1572804411
30	0.1547241952
31	0.1525614999
32	0.150477438
33	0.1485249407
34	0.1468294803
35	0.1452783359
36	0.1436834366
37	0.1423845944
38	0.1411143818
39	0.1399213939
40	0.1389017717
41	0.1379463576
42	0.1370999594
43	0.1362069364
44	0.1354159901
45	0.1346651463
46	0.1339905503
47	0.1333781642
48	0.1328057734
49	0.1322059112
50	0.1317022196
51	0.1313543252
52	0.1309254629
53	0.13063577
54	0.1302511124
55	0.1298560981
56	0.1295760354
57	0.1292629468
58	0.1289635355
59	0.1286453629
60	0.1283408972
61	0.1280543896
62	0.1278122153
63	0.1275520242
64	0.1273413295
65	0.1271206521
66	0.126960929
67	0.1267950255
68	0.1266288205
69	0.1264473724
70	0.126296862
71	0.1261309329
72	0.1259502163
73	0.1257643596
74	0.125624056
75	0.1254908562
76	0.1253497709
77	0.1252315375
78	0.1250950338
79	0.1249796926
80	0.1248488479
81	0.1247390668
82	0.12463421
83	0.1245151949
84	0.1244190243
85	0.1243217977
86	0.1242023041
87	0.1241271048
88	0.1240184185
89	0.1239166688
90	0.123839234
91	0.1237504828
92	0.1236394554
93	0.1235419331
94	0.1234308373
95	0.1233502929
96	0.1232609972
97	0.1231792106
98	0.1230620349
99	0.1229115715
100	0.1228052014
101	0.1227589168
102	0.1226648023
103	0.1225591514
104	0.1224797734
105	0.1224271411
106	0.1223482417
107	0.1222729552
108	0.1222241203
109	0.1221451872
110	0.1220431903
111	0.1219817944
112	0.1219271011
113	0.1218390583
114	0.1217700181
115	0.1217049492
116	0.1216187631
117	0.121572527
118	0.121511809
119	0.1214527475
120	0.1214149992
121	0.1213412926
122	0.1212761454
123	0.1212149505
124	0.1211416862
125	0.1210861667
126	0.1210382923
127	0.121011101
128	0.1209410303
129	0.1208547231
130	0.1207744093
131	0.1207272013
132	0.1206830568
133	0.1206350843
134	0.1205696431
135	0.120505481
136	0.1204438487
137	0.1203456764
138	0.1202951578
139	0.1202377891
140	0.1201956841
141	0.1201194404
142	0.1200463557
143	0.1200096602
144	0.119962504
145	0.1199019236
146	0.1198220126
147	0.119739572
148	0.119650441
149	0.1196032536
150	0.1195443247
151	0.1194827072
152	0.1194451467
153	0.1193917657
154	0.1193373426
155	0.1192872161
156	0.1192515651
157	0.1191939097
158	0.1191285236
159	0.1191028866
160	0.119036956
161	0.1189653895
162	0.1189097407
163	0.1188296815
164	0.1187781159
165	0.1187329236
166	0.1187038508
167	0.1186504047
168	0.1185803349
169	0.1185396187
170	0.1184891792
171	0.118440986
172	0.1183853553
173	0.1183095861
174	0.1182543459
175	0.1182169073
176	0.1181929013
177	0.1181268068
178	0.1180844143
179	0.1180231724
180	0.1179875345
181	0.1179201072
182	0.1178491675
183	0.1177596502
184	0.1177067346
185	0.1176441689
186	0.1175846429
187	0.1175437199
188	0.1174993793
189	0.1174426959
190	0.1173853461
191	0.1173502914
192	0.1173056971
193	0.1172364444
194	0.1171978699
195	0.1171430655
196	0.1170891729
197	0.1169953821
198	0.1169509385
199	0.1169230346
200	0.1168712459
201	0.1168075591
202	0.1167686897
203	0.116731724
204	0.1166815769
205	0.1166359752
206	0.1165818281
207	0.1164877193
208	0.1164385055
209	0.1164084797
210	0.1163820058
211	0.116344685
212	0.1163126378
213	0.1162620846
214	0.1162141921
215	0.1161576767
216	0.1161170528
217	0.1160575399
218	0.1160000212
219	0.1159575439
220	0.1159216811
221	0.115849954
222	0.1158167683
223	0.115757865
224	0.1156938644
225	0.1156500938
226	0.1156060497
227	0.1155578961
228	0.1155144945
229	0.115470574
230	0.1153698243
231	0.1152881729
232	0.1152459229
233	0.1151988236
234	0.1151578339
235	0.1151211738
236	0.1150507407
237	0.1149790679
238	0.1149174001
239	0.1148676583
240	0.1148287617
241	0.1147866197
242	0.1147186256
243	0.1146610089
244	0.1145929976
245	0.1145654315
246	0.1145054276
247	0.114412393
248	0.1143644445
249	0.1143002734
250	0.1142564558
251	0.1142269737
252	0.1141749963
253	0.114142949
254	0.1141070846
255	0.1140531385
