iter	Accuracy	Logloss
0	0.9658546461	0.6433388007
1	0.9644375464	0.5998133991
2	0.9668668601	0.5587012965
3	0.9681489979	0.5213222994
4	0.9684864026	0.4872431164
5	0.9687563263	0.4564031624
6	0.9686888454	0.4287134542
7	0.9690262501	0.4031085323
8	0.9689587691	0.3794024551
9	0.969093731	0.3579741917
10	0.9694311357	0.3383305291
11	0.9695660976	0.3206205539
12	0.9695660976	0.3052812172
13	0.9695660976	0.2907137933
14	0.9697010595	0.2776770258
15	0.9699035023	0.2651402449
16	0.9701059451	0.2539157922
17	0.9700384641	0.2437756744
18	0.9701059451	0.234161375
19	0.970173426	0.2259109246
20	0.970173426	0.218263481
21	0.970173426	0.2109212732
22	0.970173426	0.2045410197
23	0.9701059451	0.1988344936
24	0.970173426	0.1935010175
25	0.9703083879	0.1883937795
26	0.970173426	0.1838360413
27	0.9702409069	0.1794813256
28	0.9702409069	0.1755727826
29	0.9702409069	0.1719827604
30	0.970173426	0.1689364561
31	0.970173426	0.1658362896
32	0.970173426	0.1627420293
33	0.970173426	0.1600508533
34	0.9702409069	0.1574440595
35	0.9702409069	0.1553258013
36	0.9702409069	0.1530773249
37	0.9702409069	0.1510803927
38	0.9703083879	0.1492424969
39	0.9703083879	0.1475961459
40	0.9703083879	0.1459972458
41	0.9703083879	0.1443886832
42	0.9703083879	0.1429485999
43	0.9703083879	0.1417168447
44	0.9702409069	0.1405570754
45	0.970173426	0.1393264207
46	0.970173426	0.1382659688
47	0.970173426	0.1371927412
48	0.9702409069	0.1364463517
49	0.970173426	0.1355564006
50	0.970173426	0.1346800755
51	0.970173426	0.1340092606
52	0.9702409069	0.1333419567
53	0.9702409069	0.1326177566
54	0.9702409069	0.1319782782
55	0.9702409069	0.1314028254
56	0.9702409069	0.1308513883
57	0.9702409069	0.1303268285
58	0.9703083879	0.1298277242
59	0.9703083879	0.1293522746
60	0.9702409069	0.1289162756
61	0.9703083879	0.1284893413
62	0.9702409069	0.1280521837
63	0.9703083879	0.1275939492
64	0.9703083879	0.1271805416
65	0.9703083879	0.1269480596
66	0.9703083879	0.1265323326
67	0.9703083879	0.1262632479
68	0.9703083879	0.1259567984
69	0.9703083879	0.1256866968
70	0.9703083879	0.1253760476
71	0.9703083879	0.1251794045
72	0.9703083879	0.1249207769
73	0.9703083879	0.1246771891
74	0.9703083879	0.1244206552
75	0.9703083879	0.1241807201
76	0.9703083879	0.1239480133
77	0.9703083879	0.1237823762
78	0.9703083879	0.1236135566
79	0.9703083879	0.1234231868
80	0.9703758688	0.1231761561
81	0.9703758688	0.1229966901
82	0.9705108307	0.1227540027
83	0.9705108307	0.1225736509
84	0.9705108307	0.1224641687
85	0.9705108307	0.122327398
86	0.9705108307	0.1221983689
87	0.9705108307	0.1220551689
88	0.9705108307	0.1219157994
89	0.9705108307	0.1217701795
90	0.9705108307	0.1216868834
91	0.9705108307	0.1215831109
92	0.9705108307	0.1214411905
93	0.9705108307	0.1213142813
94	0.9705108307	0.1211786628
95	0.9705108307	0.1210973478
96	0.9705108307	0.1209412606
97	0.9705108307	0.1208183275
98	0.9705108307	0.1207498855
99	0.9705108307	0.1206529681
100	0.9705108307	0.1205647014
101	0.9705108307	0.1204783714
102	0.9705108307	0.1203861627
