iter	Passed	Remaining
0	40	60784
1	69	52160
2	94	47008
3	125	46840
4	155	46605
5	191	47655
6	218	46536
7	242	45220
8	280	46426
9	310	46250
10	336	45542
11	364	45166
12	391	44782
13	430	45696
14	455	45057
15	485	45050
16	516	45051
17	552	45475
18	582	45442
19	606	44911
20	636	44844
21	674	45294
22	704	45267
23	733	45109
24	764	45099
25	788	44714
26	820	44767
27	841	44221
28	858	43566
29	878	43024
30	893	42330
31	912	41840
32	935	41600
33	953	41103
34	973	40729
35	989	40257
36	1006	39781
37	1025	39458
38	1041	39017
39	1062	38769
40	1085	38621
41	1106	38411
42	1133	38406
43	1170	38722
44	1205	38963
45	1240	39207
46	1282	39643
47	1312	39701
48	1341	39729
49	1377	39935
50	1415	40204
51	1444	40225
52	1475	40277
53	1501	40204
54	1523	40032
55	1550	39969
56	1577	39935
57	1602	39835
58	1630	39826
59	1662	39892
60	1697	40038
61	1724	39986
62	1752	39975
63	1774	39816
64	1803	39806
65	1822	39588
66	1843	39421
67	1866	39306
68	1890	39204
69	1921	39256
70	1941	39085
71	1959	38857
72	1977	38649
73	1995	38460
74	2020	38380
75	2043	38292
76	2059	38068
77	2076	37856
78	2095	37698
79	2112	37495
80	2131	37332
81	2156	37285
82	2180	37225
83	2211	37282
84	2231	37139
85	2251	37026
86	2275	36962
87	2293	36804
88	2313	36681
89	2332	36546
90	2351	36410
91	2372	36305
92	2390	36167
93	2413	36105
94	2431	35953
95	2455	35912
96	2474	35786
97	2491	35649
98	2510	35521
99	2527	35383
100	2543	35237
101	2560	35092
102	2577	34959
103	2597	34869
104	2623	34854
105	2649	34838
106	2669	34752
107	2703	34847
108	2722	34743
109	2740	34624
110	2759	34531
111	2778	34438
112	2797	34340
113	2815	34230
114	2836	34166
115	2855	34070
116	2875	33991
117	2894	33904
118	2912	33800
119	2930	33702
120	2949	33611
121	2968	33529
122	2988	33452
123	3003	33333
124	3022	33248
125	3041	33171
126	3061	33100
127	3078	33001
128	3097	32922
129	3118	32859
130	3137	32784
131	3150	32655
132	3172	32604
133	3200	32621
134	3237	32733
135	3268	32785
136	3304	32871
137	3322	32794
138	3356	32866
139	3385	32888
140	3417	32939
141	3450	32997
142	3482	33045
143	3510	33060
144	3535	33041
145	3557	32995
146	3580	32953
147	3610	32984
148	3638	32989
149	3674	33068
150	3707	33122
151	3738	33152
152	3764	33145
153	3793	33156
154	3823	33174
155	3852	33192
156	3879	33186
157	3907	33188
158	3937	33206
159	3971	33259
160	4007	33328
161	4034	33324
162	4067	33359
163	4091	33327
164	4107	33236
165	4133	33220
166	4154	33158
167	4175	33106
168	4202	33100
169	4219	33014
170	4240	32954
171	4265	32931
172	4275	32795
173	4315	32885
174	4342	32876
175	4370	32879
176	4403	32915
177	4432	32918
178	4461	32922
179	4484	32889
180	4505	32833
181	4538	32868
182	4566	32866
183	4592	32848
184	4622	32857
185	4651	32864
186	4677	32844
187	4712	32884
188	4739	32874
189	4766	32866
190	4798	32887
191	4824	32864
192	4847	32825
193	4880	32858
194	4908	32852
195	4938	32858
196	4966	32849
197	4988	32802
198	5020	32820
199	5052	32838
200	5082	32845
201	5119	32897
202	5142	32859
203	5159	32779
204	5180	32728
205	5202	32677
206	5223	32630
207	5241	32560
208	5263	32510
209	5283	32453
210	5307	32420
211	5327	32366
212	5345	32296
213	5363	32231
214	5381	32165
215	5401	32108
216	5427	32091
217	5459	32107
218	5485	32085
219	5513	32077
220	5544	32087
221	5573	32083
222	5597	32052
223	5623	32035
224	5653	32036
225	5680	32024
226	5712	32035
227	5740	32028
228	5765	32001
229	5793	31990
230	5828	32017
231	5851	31979
232	5877	31959
233	5905	31952
234	5927	31908
235	5957	31910
236	5985	31899
237	6014	31893
238	6042	31879
239	6071	31876
240	6112	31930
241	6152	31982
242	6189	32015
243	6237	32108
244	6275	32145
245	6300	32116
246	6325	32089
247	6368	32150
248	6398	32144
249	6426	32134
250	6454	32119
251	6483	32110
252	6519	32131
253	6537	32069
254	6557	32017
255	6575	31950
256	6637	32103
257	6693	32222
258	6747	32331
259	6790	32387
260	6828	32415
261	6889	32554
262	6915	32528
263	6951	32545
264	6984	32551
265	7016	32549
266	7052	32567
267	7093	32607
268	7119	32579
269	7148	32564
270	7184	32581
271	7224	32615
272	7259	32627
273	7283	32590
274	7318	32599
275	7358	32635
276	7420	32763
277	7456	32775
278	7509	32866
279	7557	32929
280	7598	32961
281	7655	33063
282	7681	33033
283	7726	33082
284	7789	33207
285	7835	33258
286	7882	33316
287	7940	33414
288	7995	33504
289	8032	33515
290	8073	33543
291	8105	33533
292	8148	33565
293	8186	33581
294	8222	33586
295	8257	33589
296	8286	33565
297	8322	33570
298	8362	33588
299	8401	33607
300	8435	33603
301	8482	33648
302	8517	33650
303	8548	33632
304	8574	33593
305	8605	33578
306	8640	33578
307	8673	33567
308	8711	33576
309	8753	33603
310	8822	33729
311	8880	33812
312	8925	33850
313	8971	33884
314	9014	33910
315	9060	33947
316	9089	33918
317	9130	33938
318	9171	33953
319	9211	33967
320	9250	33975
321	9281	33954
322	9332	34008
323	9370	34011
324	9412	34029
325	9475	34122
326	9537	34210
327	9606	34327
328	9654	34364
329	9693	34368
330	9735	34382
331	9766	34360
332	9797	34336
333	9834	34331
334	9862	34299
335	9888	34257
336	9921	34239
337	9966	34264
338	10010	34284
339	10071	34360
340	10126	34419
341	10187	34496
342	10246	34563
343	10284	34561
344	10328	34579
345	10377	34610
346	10428	34650
347	10467	34651
348	10523	34708
349	10577	34754
350	10621	34770
351	10678	34827
352	10728	34859
353	10764	34847
354	10801	34839
355	10839	34833
356	10874	34817
357	10918	34827
358	10946	34789
359	10972	34744
360	11001	34710
361	11035	34692
362	11083	34716
363	11116	34693
364	11150	34674
365	11178	34636
366	11205	34594
367	11247	34599
368	11293	34614
369	11323	34582
370	11345	34526
371	11371	34482
372	11395	34431
373	11421	34387
374	11444	34333
375	11471	34291
376	11490	34226
377	11512	34171
378	11529	34102
379	11549	34039
380	11568	33975
381	11588	33916
382	11614	33874
383	11631	33804
384	11655	33754
385	11671	33683
386	11691	33623
387	11708	33556
388	11726	33490
389	11744	33427
390	11775	33400
391	11804	33366
392	11832	33329
393	11859	33291
394	11889	33259
395	11918	33227
396	11952	33209
397	11978	33167
398	12011	33144
399	12047	33131
400	12087	33127
401	12123	33113
402	12164	33113
403	12206	33113
404	12238	33088
405	12278	33084
406	12304	33042
407	12336	33017
408	12376	33013
409	12403	32975
410	12436	32951
411	12468	32927
412	12501	32902
413	12535	32883
414	12566	32854
415	12598	32830
416	12637	32819
417	12672	32801
418	12700	32767
419	12725	32722
420	12759	32700
421	12793	32680
422	12819	32640
423	12847	32604
424	12877	32572
425	12902	32527
426	12927	32484
427	12961	32465
428	13000	32456
429	13036	32440
430	13065	32405
431	13100	32386
432	13140	32380
433	13171	32352
434	13198	32314
435	13230	32286
436	13258	32252
437	13286	32216
438	13316	32185
439	13348	32157
440	13373	32115
441	13410	32099
442	13444	32078
443	13472	32043
444	13500	32006
445	13525	31963
446	13554	31930
447	13586	31903
448	13615	31870
449	13648	31847
450	13674	31805
451	13700	31766
452	13727	31727
453	13753	31686
454	13787	31666
455	13817	31635
456	13848	31607
457	13872	31561
458	13888	31497
459	13910	31448
460	13930	31397
461	13953	31348
462	13973	31297
463	13995	31247
464	14020	31206
465	14042	31158
466	14070	31122
467	14101	31096
468	14128	31058
469	14154	31020
470	14189	31000
471	14218	30966
472	14253	30947
473	14295	30942
474	14327	30917
475	14360	30893
476	14393	30869
477	14423	30838
478	14457	30816
479	14493	30797
480	14527	30776
481	14553	30738
482	14584	30709
483	14619	30688
484	14651	30661
485	14679	30628
486	14708	30595
487	14736	30559
488	14762	30520
489	14796	30498
490	14821	30457
491	14840	30405
492	14870	30374
493	14895	30334
494	14914	30281
495	14944	30250
496	14975	30223
497	14996	30173
498	15020	30131
499	15041	30083
500	15063	30036
501	15083	29986
502	15098	29926
503	15112	29865
504	15134	29818
505	15151	29763
506	15171	29715
507	15195	29672
508	15226	29646
509	15259	29621
510	15282	29578
511	15317	29557
512	15352	29538
513	15384	29512
514	15418	29489
515	15450	29463
516	15477	29428
517	15498	29381
518	15526	29347
519	15558	29322
520	15585	29285
521	15615	29257
522	15644	29224
523	15674	29194
524	15700	29158
525	15733	29133
526	15763	29104
527	15797	29081
528	15827	29052
529	15853	29014
530	15880	28979
531	15918	28964
532	15946	28931
533	15973	28895
534	16009	28876
535	16045	28858
536	16071	28821
