iter	Passed	Remaining
0	20	20356
1	38	19062
2	57	19098
3	78	19582
4	104	20745
5	123	20506
6	163	23176
7	200	24834
8	221	24362
9	237	23551
10	264	23761
11	292	24107
12	311	23651
13	331	23359
14	352	23132
15	370	22811
16	397	23004
17	425	23208
18	444	22932
19	458	22459
20	489	22804
21	507	22558
22	525	22329
23	547	22281
24	568	22154
25	587	22003
26	614	22150
27	637	22136
28	660	22103
29	689	22292
30	706	22077
31	728	22044
32	752	22041
33	774	21994
34	791	21818
35	805	21573
36	824	21463
37	838	21216
38	861	21225
39	886	21268
40	909	21267
41	925	21115
42	938	20877
43	958	20818
44	973	20656
45	993	20597
46	1007	20432
47	1027	20373
48	1052	20427
49	1067	20286
50	1107	20599
51	1142	20827
52	1167	20861
53	1190	20860
54	1211	20814
55	1232	20780
56	1250	20688
57	1273	20680
58	1293	20627
59	1310	20535
60	1335	20554
61	1345	20353
62	1366	20320
63	1395	20408
64	1429	20567
65	1483	21000
66	1535	21378
67	1583	21705
68	1618	21832
69	1664	22113
70	1714	22434
71	1763	22728
72	1796	22808
73	1833	22949
74	1881	23205
75	1929	23460
76	1965	23561
77	2014	23817
78	2053	23941
79	2103	24187
80	2156	24463
81	2191	24534
82	2214	24466
83	2247	24513
84	2278	24522
85	2300	24450
86	2332	24482
87	2355	24413
88	2397	24538
89	2427	24542
90	2451	24484
91	2496	24640
92	2526	24638
93	2557	24647
94	2580	24586
95	2627	24742
96	2672	24878
97	2696	24818
98	2745	24982
99	2795	25163
100	2835	25236
101	2892	25462
102	2948	25674
103	2983	25706
104	3029	25819
105	3065	25857
106	3083	25730
107	3126	25819
108	3148	25737
109	3179	25724
110	3201	25640
111	3235	25651
112	3258	25577
113	3297	25628
114	3323	25576
115	3366	25654
116	3402	25681
117	3440	25715
118	3472	25710
119	3524	25843
120	3559	25856
121	3602	25929
122	3627	25867
123	3670	25928
124	3713	25994
125	3749	26010
126	3787	26034
127	3825	26061
128	3865	26100
129	3916	26213
130	3939	26132
131	3969	26102
132	4004	26104
133	4055	26210
134	4086	26183
135	4114	26139
136	4134	26045
137	4149	25921
138	4173	25853
139	4194	25768
140	4215	25680
141	4258	25733
142	4285	25682
143	4310	25625
144	4340	25592
145	4364	25528
146	4396	25509
147	4420	25447
148	4448	25406
149	4475	25361
150	4507	25343
151	4541	25337
152	4576	25337
153	4616	25363
154	4650	25352
155	4683	25338
156	4730	25397
157	4762	25381
158	4810	25444
159	4833	25378
160	4859	25324
161	4882	25257
162	4908	25203
163	4930	25132
164	4960	25104
165	4988	25063
166	5013	25009
167	5053	25025
168	5088	25018
169	5119	24996
170	5162	25026
171	5191	24992
172	5208	24900
173	5236	24856
174	5261	24803
175	5284	24739
176	5308	24683
177	5330	24618
178	5349	24537
179	5373	24480
180	5394	24410
181	5427	24393
182	5458	24370
183	5482	24312
184	5505	24251
185	5547	24276
186	5578	24252
187	5625	24295
188	5665	24308
189	5685	24239
190	5723	24240
191	5772	24291
192	5816	24321
193	5856	24330
194	5885	24294
195	5912	24254
196	5935	24193
197	5961	24145
198	5991	24117
199	6024	24096
200	6047	24038
201	6065	23961
202	6085	23890
203	6114	23857
204	6127	23764
205	6144	23683
206	6170	23638
207	6187	23561
208	6214	23519
209	6240	23476
210	6266	23432
211	6293	23394
212	6318	23347
213	6354	23339
214	6393	23345
215	6444	23389
216	6470	23346
217	6517	23378
218	6538	23317
219	6585	23349
220	6610	23301
221	6630	23238
222	6653	23181
223	6667	23099
224	6683	23020
225	6697	22936
226	6718	22877
227	6750	22857
228	6783	22839
229	6808	22794
230	6828	22730
231	6856	22696
232	6875	22634
233	6905	22606
234	6933	22570
235	6951	22504
236	6965	22423
237	6983	22357
238	7001	22292
239	7021	22233
240	7034	22153
241	7046	22069
242	7069	22024
243	7093	21978
244	7116	21929
245	7132	21861
246	7146	21785
247	7157	21703
248	7170	21625
249	7185	21556
250	7211	21518
251	7237	21482
252	7262	21442
253	7278	21376
254	7309	21356
255	7329	21302
256	7351	21254
257	7388	21249
258	7415	21214
259	7448	21199
260	7469	21149
261	7491	21103
262	7502	21024
263	7523	20975
264	7539	20912
265	7550	20835
266	7563	20765
267	7579	20703
268	7615	20693
269	7657	20702
270	7686	20677
271	7703	20617
272	7715	20546
273	7731	20484
274	7752	20437
275	7767	20374
276	7791	20337
277	7807	20277
278	7821	20212
279	7833	20143
280	7848	20081
281	7859	20010
282	7873	19947
283	7895	19906
284	7923	19877
285	7949	19845
286	7972	19805
287	8003	19787
288	8031	19759
289	8068	19754
290	8099	19734
291	8126	19704
292	8166	19705
293	8200	19693
294	8240	19692
295	8257	19639
296	8271	19577
297	8284	19516
298	8298	19456
299	8312	19396
300	8326	19336
301	8339	19273
302	8354	19219
303	8382	19192
304	8404	19152
305	8431	19122
306	8456	19088
307	8476	19044
308	8510	19032
309	8534	18995
310	8556	18956
311	8572	18902
312	8593	18862
313	8622	18837
314	8642	18793
315	8658	18742
316	8682	18706
317	8712	18684
318	8732	18641
319	8767	18631
320	8801	18617
321	8818	18567
322	8833	18514
323	8854	18473
324	8870	18423
325	8889	18378
326	8904	18326
327	8918	18272
328	8944	18242
329	8964	18201
330	8974	18139
331	8986	18081
332	8999	18026
333	9011	17968
334	9020	17907
335	9035	17855
336	9049	17803
337	9065	17754
338	9078	17702
339	9093	17652
340	9106	17599
341	9130	17566
342	9146	17519
343	9163	17473
344	9181	17431
345	9205	17400
346	9225	17360
347	9251	17333
348	9267	17287
349	9286	17245
350	9298	17193
351	9312	17143
352	9327	17095
353	9337	17038
354	9354	16996
355	9375	16959
356	9387	16908
357	9417	16889
358	9438	16851
359	9457	16812
360	9475	16772
361	9506	16754
362	9517	16701
363	9532	16655
364	9552	16619
365	9575	16587
366	9591	16544
367	9617	16517
368	9636	16478
369	9663	16453
370	9681	16414
371	9712	16396
372	9741	16374
373	9767	16348
374	9787	16312
375	9810	16281
376	9828	16241
377	9841	16194
378	9860	16157
379	9880	16121
380	9902	16088
381	9923	16053
382	9937	16009
383	9951	15963
384	9969	15925
385	9985	15883
386	10000	15840
387	10014	15795
388	10033	15759
389	10056	15729
390	10075	15693
391	10099	15664
392	10116	15624
393	10135	15589
394	10165	15570
395	10189	15541
396	10216	15517
397	10235	15481
398	10258	15452
399	10285	15427
400	10304	15392
401	10320	15352
402	10343	15323
403	10369	15297
404	10397	15275
405	10420	15245
406	10447	15222
407	10462	15181
408	10474	15135
409	10488	15092
410	10499	15046
411	10517	15010
