iter	Passed	Remaining
0	137	413573
1	202	303249
2	277	276943
3	353	265060
4	440	263770
5	521	260273
6	611	261420
7	696	260554
8	785	261200
9	865	258808
10	957	260068
11	1033	257424
12	1121	257794
13	1234	263316
14	1348	268288
15	1453	271105
16	1563	274283
17	1676	277735
18	1789	280720
19	1893	282097
20	2008	284867
21	2107	285331
22	2212	286429
23	2318	287518
24	2443	290832
25	2549	291606
26	2673	294415
27	2789	296090
28	2899	297016
29	3020	299061
30	3123	299126
31	3225	299202
32	3312	297789
33	3396	296314
34	3493	295925
35	3621	298137
36	3778	302619
37	3902	304219
38	4020	305250
39	4136	306133
40	4251	306809
41	4370	307833
42	4457	306531
43	4543	305211
44	4626	303813
45	4724	303397
46	4814	302509
47	4900	301363
48	4974	299590
49	5067	299007
50	5154	298065
51	5240	297108
52	5331	296473
53	5417	295574
54	5507	294880
55	5601	294495
56	5717	295186
57	5846	296539
58	5965	297379
59	6071	297512
60	6180	297779
61	6320	299491
62	6425	299539
63	6537	299894
64	6614	298661
65	6718	298651
66	6830	299001
67	6940	299271
68	7055	299722
69	7162	299797
70	7281	300390
71	7405	301151
72	7539	302313
73	7632	301785
74	7725	301286
75	7826	301131
76	7946	301653
77	8070	302340
78	8169	302059
79	8375	305688
80	8548	308075
81	8749	311368
82	8879	312065
83	8996	312292
84	9151	313835
85	9263	313897
86	9351	313099
87	9434	312200
88	9525	311563
89	9609	310697
90	9697	309993
91	9785	309297
92	9861	308256
93	9953	307726
94	10065	307789
95	10185	308106
96	10266	307256
97	10430	308857
98	10554	309283
99	10710	310596
100	10828	310811
101	10921	310299
102	11002	309471
103	11117	309579
104	11234	309750
105	11343	309692
106	11441	309353
107	11552	309345
108	11665	309404
109	11693	307217
110	11807	307308
111	11921	307392
112	12005	306719
113	12107	306512
114	12234	306921
115	12370	307547
116	12480	307540
117	12594	307597
118	12705	307589
119	12820	307693
120	12915	307306
121	13026	307308
122	13121	306905
123	13207	306333
124	13295	305800
125	13390	305435
126	13476	304854
127	13575	304603
128	13653	303859
129	13740	303347
130	13817	302614
131	13910	302241
132	13993	301654
133	14068	300901
134	14141	300123
135	14223	299529
136	14322	299304
137	14423	299130
138	14534	299163
139	14635	298978
140	14685	297777
141	14786	297602
142	14895	297594
143	15006	297635
144	15105	297428
145	15245	298009
146	15356	298032
147	15491	298517
148	15656	299574
149	15790	300025
150	15961	301162
151	16052	300777
152	16164	300789
153	16287	301001
154	16385	300747
155	16486	300560
156	16548	299672
157	16681	300049
158	16871	301452
159	17044	302541
160	17190	303136
161	17347	303905
162	17484	304316
163	17584	304084
164	17717	304425
165	17810	304061
166	17906	303770
167	17983	303156
168	18071	302721
169	18158	302281
170	18246	301863
171	18319	301199
172	18403	300729
173	18478	300122
174	18557	299574
175	18662	299449
176	18782	299558
177	18905	299718
178	19030	299917
179	19173	300380
180	19299	300577
181	19420	300692
182	19535	300714
183	19623	300328
184	19730	300229
185	19847	300268
186	19880	299053
187	19985	298937
188	20101	298964
189	20224	299104
190	20331	299014
191	20452	299124
192	20563	299070
193	20604	298028
194	20695	297689
195	20807	297667
196	20930	297801
197	21046	297839
198	21158	297813
199	21276	297877
200	21384	297782
201	21500	297815
202	21616	297844
203	21726	297777
204	21810	297364
205	21893	296943
206	21976	296526
207	22058	296094
208	22159	295917
209	22267	295833
210	22354	295479
211	22432	295012
212	22514	294591
213	22604	294278
214	22690	293917
215	22766	293432
216	22862	293208
217	22952	292909
218	23070	292966
219	23181	292926
220	23294	292916
221	23363	292356
222	23465	292213
223	23605	292543
224	23727	292640
225	23861	292886
226	23959	292684
227	24043	292320
228	24067	291224
229	24186	291294
230	24320	291531
231	24441	291612
232	24559	291658
233	24665	291562
234	24769	291440
235	24883	291427
236	25000	291464
237	25086	291130
238	25118	290175
239	25159	289331
240	25275	289353
241	25396	289441
242	25522	289570
243	25569	288805
244	25690	288882
245	25810	288951
246	25922	288922
247	26044	289005
248	26148	288893
249	26241	288658
250	26324	288306
251	26422	288134
252	26505	287784
253	26597	287541
254	26689	287301
255	26778	287030
256	26858	286662
257	26949	286416
258	27052	286296
259	27136	285971
260	27225	285716
261	27317	285475
262	27444	285610
263	27562	285651
264	27677	285657
265	27783	285561
266	27891	285496
267	27999	285427
268	28127	285561
269	28240	285542
270	28318	285172
271	28347	284304
272	28436	284053
273	28482	283373
274	28591	283315
275	28716	283419
276	28826	283370
277	28936	283331
278	29052	283337
279	29117	282857
280	29252	283050
281	29351	282895
282	29435	282603
283	29530	282407
284	29653	282490
285	29769	282493
286	29876	282425
287	30006	282560
288	30035	281753
289	30145	281705
290	30267	281768
291	30388	281819
292	30488	281681
293	30545	281139
294	30618	280757
295	30706	280507
296	30811	280415
297	30904	280217
298	30988	279932
299	31064	279582
300	31143	279254
301	31236	279058
302	31277	278402
303	31368	278191
304	31447	277872
305	31530	277595
306	31606	277248
307	31634	276494
308	31745	276462
309	31886	276688
310	32026	276914
311	32153	277014
312	32303	277316
313	32460	277674
314	32579	277698
315	32705	277791
316	32827	277845
317	32877	277288
318	33012	277448
319	33141	277558
320	33272	277683
321	33393	277729
322	33500	277652
323	33606	277567
324	33728	277615
325	33841	277583
326	33938	277423
327	34086	277678
328	34258	278132
329	34380	278167
330	34501	278199
331	34619	278209
332	34726	278122
333	34780	277619
334	34890	277558
335	35016	277627
336	35116	277495
337	35244	277579
338	35355	277522
339	35481	277593
340	35596	277571
341	35701	277466
342	35822	277497
343	35942	277513
344	36079	277654
345	36174	277480
346	36257	277206
347	36396	277365
348	36601	278022
349	36708	277934
350	36826	277928
351	36959	278038
352	37088	278113
353	37227	278260
354	37358	278343
355	37505	278550
356	37641	278676
357	37757	278642
358	37853	278473
359	37950	278304
360	38039	278075
361	38145	277976
362	38233	277746
363	38320	277510
364	38410	277291
365	38492	277017
366	38594	276892
367	38686	276693
368	38783	276526
369	38870	276293
370	38951	276020
371	39043	275822
372	39129	275587
373	39239	275518
374	39332	275329
375	39422	275120
376	39514	274925
377	39602	274704
378	39694	274510
379	39778	274264
380	39858	273987
381	39945	273764
382	40018	273444
383	40115	273285
384	40198	273037
385	40288	272836
386	40367	272556
387	40482	272524
388	40608	272565
389	40723	272535
390	40836	272489
391	40973	272597
392	41114	272737
393	41227	272688
394	41329	272562
395	41426	272411
396	41509	272166
397	41630	272164
398	41747	272143
399	41873	272174
400	42184	273413
401	42527	274845
402	42727	275340
403	42903	275688
404	43025	275682
405	43164	275782
406	43253	275570
407	43356	275439
408	43516	275674
409	43667	275851
410	43804	275934
411	43933	275971
412	44083	276137
413	44200	276095
414	44292	275895
415	44382	275685
416	44475	275494
417	44560	275252
418	44650	275043
419	44736	274808
420	44849	274745
421	44965	274693
422	45080	274640
423	45202	274625
424	45313	274545
425	45430	274502
426	45548	274466
427	45653	274346
428	45739	274118
429	45836	273950
430	45949	273884
431	46080	273921
432	46207	273937
433	46316	273845
434	46426	273758
435	46531	273637
436	46647	273585
437	46753	273475
438	46841	273259
439	46938	273095
440	47066	273111
441	47192	273118
442	47317	273118
443	47429	273040
444	47555	273041
445	47680	273042
446	47796	272986
447	47886	272780
448	47981	272610
449	48068	272386
450	48146	272119
451	48250	271996
452	48371	271969
453	48489	271925
454	48632	272020
455	48781	272147
456	48925	272246
457	49046	272219
458	49157	272133
459	49278	272101
460	49383	271982
461	49500	271929
462	49659	272108
463	49773	272036
464	49895	272012
465	50011	271950
466	50108	271787
467	50203	271611
468	50319	271555
469	50429	271459
470	50551	271432
471	50685	271466
472	50810	271455
473	50960	271574
474	51072	271493
