iter	RMSE
0	2243734.284
1	2235927.126
2	2225439.71
3	2210020.013
4	2200780.149
5	2186781.797
6	2174495.653
7	2162482.682
8	2149632.934
9	2137322.917
10	2128159.482
11	2109250.781
12	2097936.158
13	2082305.327
14	2070460.249
15	2061896.534
16	2053144.411
17	2043222.721
18	2031532.933
19	2018731.891
20	2010060.597
21	1999601.989
22	1988770.723
23	1979306.735
24	1969590.801
25	1960364.24
26	1951878.338
27	1938484.079
28	1931116.358
29	1922884.307
30	1911506.625
31	1901204.541
32	1891956.88
33	1878966.666
34	1870548.396
35	1862097.421
36	1850662.2
37	1837534.397
38	1830423.273
39	1821581.911
40	1813645.72
41	1801883.447
42	1793313.168
43	1783051.599
44	1775242.048
45	1769238.237
46	1758942.453
47	1750613.114
48	1743962.692
49	1733776.976
50	1729898.589
51	1722446.089
52	1713547.019
53	1707209.177
54	1700331.941
55	1689497.601
56	1683663.169
57	1676036.51
58	1666408.701
59	1658937.621
60	1650879.922
61	1645487.277
62	1640298.089
63	1634060.892
64	1626658.376
65	1617249.812
66	1608517.195
67	1599485.467
68	1588961.721
69	1583628.845
70	1576297.152
71	1572025.077
72	1563881.498
73	1551528.897
74	1540400.158
75	1527639.466
76	1523915.92
77	1518866.748
78	1513362.424
79	1509781.728
80	1505309.988
81	1499377.998
82	1496684.983
83	1490490.008
84	1488415.294
85	1483192.36
86	1477546.34
87	1471917.992
88	1465657.292
89	1461150.351
90	1455488.854
91	1447775.844
92	1438143.14
93	1433976.906
94	1429151.389
95	1424368.504
96	1418905.668
97	1414786.377
98	1408216.033
99	1404488.606
100	1400920.312
101	1394533.663
102	1390610.414
103	1382670.59
104	1378986.762
105	1375583.318
106	1371610.795
107	1367839.916
108	1363655.566
109	1359174.576
110	1352774.842
111	1349083.675
112	1337490.383
113	1332135.499
114	1328680.245
115	1322232.269
116	1318327.463
117	1312666.704
118	1304080.038
119	1297093.744
120	1293192.497
121	1291058.099
122	1288304.595
123	1283961.687
124	1280510.388
125	1277369.338
126	1273979.329
127	1270588.415
128	1263365.253
129	1257199.268
130	1250448.663
131	1242958.489
132	1239411.778
133	1234551.526
134	1231427.019
135	1228570.47
136	1225109.825
137	1218267.22
138	1213148.244
139	1210599.739
140	1207159.119
141	1203026.548
142	1199732.342
143	1193197.551
144	1186781.18
145	1184274.386
146	1181958.386
147	1176823.705
148	1173544.475
149	1167496.669
150	1164872.422
151	1158268.054
152	1155126.6
153	1152210.759
154	1144903.474
155	1139761.068
156	1134273.008
157	1132003.713
158	1125687.745
159	1118535.524
160	1114267.188
161	1109467.155
162	1106545.532
163	1103447.817
164	1102031.469
165	1096672.01
166	1094859.294
167	1091838.497
168	1087302.758
169	1080836.589
170	1074134.145
171	1072068.282
172	1069975.954
173	1067723.484
174	1064471.744
175	1059920.647
176	1053640.871
177	1050550.16
178	1047053.861
179	1045110.158
180	1041663.295
181	1039757.988
182	1037632.091
