iter	RMSE
0	2552718.094
1	2541477.666
2	2519804.861
3	2502200.208
4	2489962.866
5	2473488.107
6	2461390.062
7	2451160.39
8	2435410.707
9	2423507.921
10	2413683.269
11	2400183.888
12	2395364.282
13	2388481.146
14	2377289.889
15	2366295.149
16	2355852.521
17	2337529.368
18	2325088.255
19	2314043.951
20	2305056.151
21	2296183.143
22	2289500.568
23	2276699.815
24	2267730.826
25	2259131.838
26	2245045.395
27	2233611.873
28	2226895.213
29	2218101.974
30	2207534.527
31	2194081.151
32	2185596.844
33	2175519.693
34	2167546.133
35	2156656.744
36	2150953.493
37	2137600.535
38	2133414.797
39	2123255.442
40	2116092.511
41	2106296.306
42	2094196.765
43	2086115.054
44	2076593.251
45	2065161.797
46	2061090.494
47	2045499.511
48	2040916.089
49	2029985.442
50	2025059.692
51	2015973.224
52	2005043.397
53	1996577.74
54	1986768.83
55	1978954.822
56	1970239.645
57	1967575.606
58	1961575.468
59	1956162.244
60	1946686.787
61	1939666.802
62	1935206.614
63	1932933.332
64	1929350.675
65	1926883.906
66	1924732.05
67	1918431.731
68	1910334.657
69	1903925.149
70	1896412.8
71	1886654.295
72	1877055.795
73	1869137.114
74	1858367.316
75	1851901.409
76	1846900.418
77	1840368.021
78	1835652.554
79	1829808.526
80	1821344.71
81	1817120.307
82	1813464.158
83	1808505.004
84	1804786.902
85	1795993.021
86	1789607.951
87	1787208.889
88	1783178.537
89	1778749.459
90	1773260.032
91	1765187.754
92	1759224.398
93	1750690.755
94	1741419.119
95	1735996.353
96	1730926.705
97	1726363.959
98	1715889.889
99	1712484.301
100	1707497.414
101	1702422.466
102	1697269.82
103	1692760.601
104	1688676.638
105	1683614.897
106	1677251.159
107	1669854.844
108	1666882.942
109	1663649.968
110	1660304.128
111	1654194.408
112	1650104.812
113	1642355.474
114	1636126.944
115	1630772.713
116	1626395.246
117	1621908.274
118	1616437.374
119	1612976.881
120	1608223.257
121	1606738.13
122	1604414.333
123	1602452.955
124	1598517.453
125	1594980.778
126	1587973.705
127	1586853.694
128	1582203.279
129	1576096.956
130	1574590.671
131	1569722.326
132	1566569.188
133	1561993.918
134	1554728.651
135	1548951.448
136	1544267.665
137	1541265.478
138	1531682.278
139	1527352.971
140	1518012.433
141	1515421.894
142	1513137.152
143	1511326.145
144	1508127.185
145	1504303.818
146	1499766.147
147	1497225.487
148	1492438.121
149	1487770.103
150	1481463.786
151	1473344.811
152	1468201.755
153	1462624.839
154	1458711.44
155	1457028.85
156	1453342.94
157	1452212.347
158	1448662.015
159	1446402.192
160	1442532.391
161	1438013.925
162	1432375.421
163	1430225.66
164	1428564.325
165	1423319.287
166	1418201.604
167	1415982.977
168	1411246.722
169	1406422.646
170	1401476.464
171	1397081.737
172	1390903.347
173	1385033.865
174	1381115.421
175	1376171.623
176	1371451.568
177	1366274.353
178	1358499.388
179	1354243.331
180	1351110.498
181	1346579.182
182	1342600.443
183	1340605.227
184	1336162.588
185	1331736.203
186	1327960.295
187	1324158.206
188	1319053.139
189	1315085.939
190	1309997.576
191	1307296.001
192	1305579.79
193	1302910.458
194	1302312.17
195	1299778.297
196	1295821.957
197	1290528.397
198	1287104.833
199	1285721.592
200	1282135.822
201	1276707.655
202	1273676.043
203	1268664.492
204	1259894.124
205	1258261.927
206	1255422.714
207	1252177.233
208	1244766.469
209	1241843.499
210	1238398.595
211	1233963.271
212	1232235.073
213	1229351.922
214	1224517.419
215	1223714.285
216	1222330.541
217	1220954.714
218	1217038.609
219	1210545.023
220	1204152.778
221	1198200.774
222	1192866.562
223	1190763.317
224	1188849.976
225	1185554.486
226	1182736.882
227	1179138.558
228	1174400.835
229	1172597.486
230	1171794.904
231	1169177.524
232	1162389.558
233	1156699.039
234	1154004.782
235	1148154.868
236	1147434.329
237	1142559.844
238	1139199.299
239	1135316.565
240	1130725.486
241	1128796.028
242	1128223.007
243	1123617.794
244	1122805.583
245	1119985.55
246	1116452.848
247	1114589.139
248	1113800.84
249	1110035.259
250	1109279.238
251	1106290.964
252	1103663.85
253	1100531.681
254	1098073.168
255	1097035.705
256	1096082.008
257	1092124.368
258	1090056.252
259	1086530.034
260	1085697.735
261	1082539.653
262	1081780.236
263	1077887.34
264	1076745.492
265	1076155.874
266	1073145.734
267	1068124.683
268	1063987.988
269	1060557.506
270	1057159.33
271	1054969.471
272	1051944.915
273	1048813.762
274	1043529.842
275	1042967.855
276	1038314.4
277	1035290.239
278	1030491.092
279	1029962.082
280	1026246.645
281	1021637.442
282	1017001.634
283	1013562.975
284	1010609.03
285	1008263.793
286	1005632.906
287	1002147.381
288	997969.3817
289	997178.8221
290	993090.2547
291	990514.6923
292	987864.9197
293	984749.3755
294	984111.257
295	982175.6801
296	980260.6253
297	975570.7679
298	974666.2441
299	971480.3973
300	968014.9035
301	963906.8416
302	959233.7906
303	958617.4802
304	955056.5026
305	951261.9443
306	946909.7437
307	942909.0922
308	939259.752
309	938291.4201
310	936349.5755
311	935403.9809
312	932307.855
313	928346.1543
314	926682.2588
315	925233.2988
316	923294.2288
317	922058.7577
318	920654.3971
319	917373.4361
320	915845.7377
321	911909.8024
322	910887.2183
323	910273.4364
324	909650.1116
325	908267.5455
326	904739.1515
327	902338.4488
328	897412.3513
329	896923.0397
330	893968.8106
331	890898.9716
332	888710.8653
333	885603.034
334	881697.7098
335	880935.8987
336	877927.0187
337	876889.184
338	874779.9548
339	873755.1505
340	869483.3057
341	869005.6056
342	865680.8726
343	865241.1417
344	864491.6187
345	861915.9639
346	858790.3151
347	858116.327
348	857241.732
349	854410.2401
350	851573.583
351	847850.605
352	845588.1302
353	842028.3136
354	840131.1173
355	839727.3135
356	835763.7482
357	835118.9468
358	834235.8337
359	831201.1074
360	830451.5235
361	827425.8321
362	822446.6596
363	821025.1987
364	817617.4878
365	815278.6233
366	814259.2893
367	811726.5093
368	810492.7702
369	809695.2992
370	807001.2413
371	806136.9868
372	803271.3065
373	801143.8555
374	798307.2777
375	795884.8623
376	795026.1905
377	792910.8301
378	791774.7105
379	789496.7744
380	789018.6799
381	787883.8921
382	785127.4353
383	781980.1914
384	778173.0663
385	774997.1991
386	774444.6964
387	773254.1964
388	770587.8335
389	767132.1348
390	765022.0854
391	762654.3897
392	761579.2985
393	761287.3119
394	758747.6321
395	756744.3428
396	752892.0575
397	752605.8593
398	749638.5709
399	749313.8377
400	747035.1637
401	745782.1597
402	745493.4466
403	743190.648
404	742882.0977
405	738937.4935
406	736860.0971
407	736499.408
408	734628.6793
409	734348.0447
410	733021.0253
411	729760.3455
412	729431.7547
413	727222.5581
414	724481.4764
415	721342.1538
416	720435.9227
417	718274.0432
418	717992.8573
419	716747.8683
420	715781.3034
421	713180.05
422	711099.3445
423	708800.9769
424	706810.6942
425	704962.0747
426	703702.165
427	701046.0424
428	700359.8567
429	697685.5807
430	697431.385
431	697184.6924
432	696963.4774
433	696718.813
434	694256.6895
435	692175.5694
436	689489.9122
437	689262.7443
438	689008.7734
439	687898.3461
440	686905.5987
441	684861.7455
442	683402.5244
443	682728.7827
444	682495.7602
445	680369.7979
446	679325.4351
447	677033.1919
448	676722.871
449	676443.0355
450	674120.2135
451	672563.1578
452	671505.4936
453	668819.6689
454	665846.355
455	663590.5572
456	663185.3466
457	662221.8845
458	660075.384
459	659408.5437
460	657685.6541
461	657086.5222
462	656831.1749
463	656614.4553
464	656398.1196
465	656147.8371
466	653940.723
467	652109.5262
468	651184.8279
469	650164.2473
470	647265.6323
471	645759.5476
472	644283.806
473	641654.3184
474	640544.3027
475	638362.7001
476	636713.9631
477	635292.9777
478	632992.1813
479	630327.1959
480	630090.3345
481	629908.5547
482	627893.3492
483	626795.2647
484	624770.5081
485	621687.2921
486	620837.3447
487	620628.4772
488	620452.8999
489	619436.0293
490	617898.5229
491	614960.1444
492	612968.807
493	610675.9965
494	609065.3157
495	606913.4673
496	606250.5342
497	605567.5836
498	603258.0596
499	603056.5517
500	601997.7578
501	601789.5963
502	599596.0426
503	599385.6322
504	597417.0344
505	595120.7937
506	592893.8409
507	590564.1222
508	587540.3369
509	587336.5896
510	585412.6599
511	582753.8801
512	582116.6238
513	579848.9699
514	577903.8655
515	577598.2115
516	575647.5541
517	572962.551
518	572764.2928
519	571262.6039
520	571059.2345
521	570308.6193
522	568688.5291
523	565704.0495
524	564631.657
525	563339.021
526	561378.9224
527	560352.873
528	559008.9864
529	557969.7918
530	556092.5768
531	554823.1673
532	554392.722
533	554179.6984
534	552873.3829
535	550979.0202
536	549008.8817
537	547062.1832
538	545154.5271
539	543517.9421
540	541885.9898
541	540355.2468
542	538821.6884
543	537701.0528
544	535617.2334
545	534872.1539
546	533167.1059
547	531097.9636
548	529051.4848
549	527269.5366
550	526410.9846
551	524728.3776
552	523610.308
553	520705.8312
554	519518.1757
555	518852.2857
556	517618.7581
557	516903.9362
558	515716.7394
559	514436.2713
560	513118.7447
561	511991.6932
562	511004.2209
563	509477.822
564	506787.4178
565	506263.8729
566	506090.319
567	504777.8476
568	503676.5474
569	502706.7171
570	501570.682
571	500228.8638
572	499883.6378
573	498823.003
574	497935.7834
575	497040.4206
576	496147.8238
577	493952.9381
578	493756.9219
579	493581.9239
580	492960.5231
581	491954.0329
582	491448.061
583	490076.7724
584	489912.9218
585	489755.2499
586	487787.5217
587	484714.1546
588	484033.0127
589	483157.5841
590	482989.7458
591	481295.1876
592	480403.1458
593	480276.6413
594	479349.5165
595	477489.1125
596	476105.5365
597	475927.4509
598	474616.4007
599	473074.1154
600	471261.4418
601	471083.8799
602	469958.2224
603	468419.0812
604	467318.435
605	466652.8067
606	464772.0198
607	464380.9686
608	463781.8878
609	463173.4397
610	461147.056
611	459445.1989
612	458200.4617
613	457634.3026
614	457287.6314
615	457135.1555
616	456992.9087
617	455988.8468
618	454348.8311
619	453200.2276
620	451147.262
621	449700.0848
622	449532.688
623	448663.8779
624	447454.0268
625	446997.1951
626	444289.3328
627	443256.5
628	441956.5858
629	441566.2602
630	440684.4879
631	439453.1165
632	439321.3806
633	438925.1967
634	437825.5933
635	436726.5672
636	436598.989
637	435450.6306
638	435317.5289
639	435181.6365
640	434675.1354
641	434548.2263
642	432783.6362
643	431431.3635
644	431287.7471
645	429313.3231
646	428123.4355
647	427568.2253
648	426068.5675
649	425156.9727
650	424988.8214
651	423284.9169
652	421525.0286
653	421118.0284
654	419551.3066
655	418372.2914
656	417367.5137
657	416594.9327
658	415286.0534
659	415098.224
660	414637.4901
661	414242.5129
662	413797.7832
663	412327.284
664	411188.332
665	410754.8674
666	410638.0886
667	410215.9788
668	409211.0485
669	408799.7562
670	408095.6102
671	407024.4315
672	406895.6409
673	406248.331
674	406007.5909
675	404906.9085
676	404543.7497
677	404372.851
678	404273.6361
679	404111.1356
680	402493.4776
681	401633.3746
682	400506.0339
683	399900.4853
684	398547.7244
685	398432.8787
686	398152.6756
687	396861.6221
688	396391.0872
689	395184.2769
690	394301.6702
691	393247.0099
692	391803.3606
693	391086.5755
694	390565.7174
695	389178.0908
696	388259.149
697	386615.9826
698	386503.4649
699	385423.79
700	383450.7498
701	382981.347
702	382158.6743
703	381282.6608
704	380442.1329
705	380173.5113
706	379386.8469
707	378796.8591
708	377906.2741
709	377228.4105
710	376291.9682
711	374908.1335
712	374711.0308
713	374599.3999
714	374481.8121
715	373486.9217
716	371590.0611
717	370927.3285
718	370007.1613
719	368373.4039
720	368269.2876
721	368163.4355
722	367716.153
723	367280.5443
724	366504.8249
725	365446.3614
726	364750.5377
727	364668.1487
728	363398.422
729	363276.046
730	362140.6086
731	361511.3602
732	361418.5934
733	360402.1154
734	359957.1402
735	359184.0349
736	358471.5359
737	358382.5963
738	357615.7819
739	356241.0972
740	355235.5933
741	354618.9793
742	354336.3263
743	353367.5179
744	352157.4706
745	350664.3617
746	350506.3772
747	349792.5157
748	349705.1479
749	347906.2455
750	346122.5613
751	345888.1377
752	345408.268
753	344041.2829
754	342959.0074
755	342696.2681
756	341679.7168
757	341601.5281
758	341022.6147
759	340924.5119
760	340016.6398
761	338865.0517
762	338692.9909
763	338605.1823
764	337904.1643
765	337028.5439
766	336355.9622
767	335473.8522
768	335009.7246
769	334417.8257
770	333620.6899
771	332719.4552
772	332598.763
773	332524.7303
774	331420.285
775	330808.1001
776	329505.3996
777	328850.5862
778	327851.6803
779	327108.6007
780	326550.4731
781	326384.1482
782	324717.8101
783	323725.0297
784	322752.7185
785	322216.2993
786	322039.3654
787	321051.3661
788	320499.9171
789	320336.0608
790	319184.7107
791	318134.6404
792	318043.8731
793	317964.2726
794	317375.3466
795	316969.1607
796	315954.9604
797	314800.6059
798	313349.211
799	313076.8792
800	311690.8014
801	310980.6287
802	309774.4092
803	309185.6396
804	309088.6391
805	308980.2082
806	308379.6506
807	307677.902
808	307418.309
809	305933.9877
810	305800.2255
811	304625.5617
812	304455.1152
813	303966.7726
814	303453.8851
815	302573.2223
816	302341.3863
817	302210.9289
818	301374.3113
819	301210.1031
820	301135.6835
821	300852.593
822	300395.6704
823	300039.4378
824	298722.4978
825	298448.4794
826	298023.3669
827	297910.1143
828	297838.353
829	297648.1504
830	297566.1381
831	296963.6868
832	296671.856
833	295553.708
834	294622.4596
835	293276.0429
836	293162.8395
837	292584.7081
838	291491.4228
839	290886.3175
840	290254.5862
841	289795.9007
842	289494.5624
843	288588.0003
844	288062.1897
845	287970.2285
846	287893.9466
847	287226.5046
848	287108.1321
849	286953.4581
850	286049.0324
851	284773.8041
852	284535.8122
853	284413.5998
854	283842.216
855	282989.9743
856	281939.9916
857	281330.3359
858	281256.3334
859	281159.8757
860	280262.5258
861	279751.8109
862	279647.5188
863	279575.2759
864	278639.8809
865	278561.8236
866	277988.4491
867	277819.6431
868	276749.7275
869	276132.0157
870	276065.1887
871	275555.0165
872	274953.572
873	274152.6607
874	273120.4557
875	272384.3737
