iter	Passed	Remaining
0	9	27964
1	10	15380
2	13	13387
3	14	10765
4	17	10416
5	19	9494
6	24	10354
7	25	9616
8	26	8911
9	35	10720
10	39	10771
11	40	10099
12	41	9499
13	42	8996
14	43	8565
15	44	8216
16	45	7927
17	46	7687
18	52	8228
19	56	8471
20	59	8405
21	60	8141
22	63	8225
23	66	8198
24	66	7968
25	69	7920
26	70	7722
27	71	7559
28	72	7393
29	72	7226
30	74	7155
31	75	7028
32	76	6904
33	77	6796
34	80	6809
35	81	6697
36	82	6574
37	83	6474
38	84	6419
39	85	6323
40	86	6240
41	87	6147
42	93	6414
43	98	6633
44	101	6648
45	102	6584
46	106	6718
47	117	7217
48	118	7123
49	122	7243
50	125	7263
51	127	7216
52	128	7128
53	129	7042
54	132	7099
55	133	7016
56	134	6945
57	135	6879
58	139	6978
59	140	6891
60	141	6819
61	142	6751
62	144	6724
63	145	6658
64	147	6682
65	149	6636
66	152	6689
67	154	6677
68	158	6713
69	159	6678
70	160	6621
71	161	6566
72	162	6517
73	165	6557
74	172	6715
75	173	6686
76	174	6632
77	176	6603
78	177	6551
79	177	6495
80	178	6442
81	179	6395
82	180	6351
83	186	6460
84	187	6417
85	190	6445
86	194	6504
87	199	6587
88	200	6547
89	218	7070
90	226	7230
91	227	7181
92	240	7503
93	240	7448
94	242	7429
95	259	7838
96	259	7780
97	262	7774
98	274	8040
99	275	7984
100	276	7931
101	277	7877
102	278	7825
103	279	7775
104	280	7727
105	293	8011
106	294	7958
107	295	7909
108	308	8194
109	309	8139
110	310	8087
111	311	8034
112	312	7985
113	313	7936
114	314	7888
115	315	7839
116	330	8149
117	331	8097
118	343	8316
119	344	8264
120	345	8214
121	346	8162
122	346	8113
123	359	8336
124	360	8289
125	361	8242
126	362	8194
127	369	8298
128	373	8311
129	374	8267
130	375	8225
131	376	8181
132	377	8137
133	378	8094
134	391	8312
135	392	8265
136	393	8219
137	394	8174
138	404	8320
139	405	8280
140	410	8326
141	411	8284
142	426	8517
143	427	8472
144	428	8427
145	429	8388
146	429	8345
147	442	8521
148	443	8478
149	461	8776
150	462	8732
151	463	8693
152	465	8654
153	478	8843
154	479	8803
155	480	8761
156	493	8932
157	494	8889
158	495	8845
159	495	8801
160	508	8963
161	517	9064
162	523	9118
163	524	9073
164	525	9029
165	526	8988
166	539	9146
167	540	9116
168	549	9200
169	550	9157
170	558	9237
171	559	9194
172	560	9153
173	561	9113
174	573	9260
175	574	9218
176	575	9175
177	588	9334
178	590	9308
179	591	9266
180	592	9225
181	593	9184
182	601	9259
183	603	9233
184	604	9196
185	622	9422
186	623	9383
187	624	9343
188	625	9303
189	626	9263
190	627	9227
191	660	9653
192	660	9613
193	690	9994
194	692	9955
195	693	9917
196	694	9880
197	722	10219
198	723	10176
199	723	10134
200	724	10094
201	725	10054
202	737	10167
203	738	10126
204	742	10122
205	743	10083
206	744	10043
207	745	10004
208	757	10121
209	759	10087
210	760	10047
211	761	10009
212	762	9970
213	774	10076
214	775	10045
215	776	10006
216	777	9968
217	789	10070
218	790	10037
219	791	10001
220	804	10120
221	805	10083
222	806	10045
223	807	10007
224	808	9970
225	820	10071
226	821	10036
227	822	9999
228	824	9978
229	825	9944
230	826	9907
231	827	9871
232	840	9983
233	841	9950
234	842	9915
235	843	9879
236	856	9987
237	857	9953
238	858	9918
239	859	9883
240	863	9890
241	865	9860
242	872	9896
243	874	9875
244	875	9840
245	876	9813
246	884	9857
247	885	9830
248	898	9921
249	898	9887
250	899	9853
251	900	9820
252	907	9850
253	908	9818
254	911	9813
255	918	9848
256	925	9880
257	926	9850
258	937	9926
259	939	9905
260	942	9892
261	943	9861
262	952	9915
263	954	9887
264	955	9857
265	956	9828
266	957	9799
267	970	9895
268	971	9865
269	972	9833
270	973	9802
271	986	9897
272	987	9866
273	988	9835
274	1001	9928
275	1003	9904
276	1004	9873
277	1005	9844
278	1006	9813
279	1007	9784
280	1008	9759
281	1009	9733
282	1022	9812
283	1023	9783
284	1023	9754
285	1024	9725
286	1037	9805
287	1038	9775
288	1039	9747
289	1040	9724
290	1041	9699
291	1043	9675
292	1044	9647
293	1045	9620
294	1046	9592
295	1058	9666
296	1060	9649
297	1061	9622
298	1073	9698
299	1074	9670
300	1075	9643
301	1076	9615
302	1088	9688
303	1089	9662
304	1090	9634
305	1091	9607
306	1092	9579
307	1105	9658
308	1106	9632
309	1106	9605
310	1107	9578
311	1120	9650
312	1121	9631
313	1122	9605
314	1134	9669
315	1137	9661
316	1138	9634
317	1139	9608
318	1140	9581
319	1140	9555
320	1155	9641
321	1156	9615
322	1157	9589
323	1157	9563
324	1170	9632
325	1171	9607
326	1172	9580
327	1172	9555
328	1178	9571
329	1185	9589
330	1186	9565
331	1187	9540
332	1188	9514
333	1201	9591
334	1203	9571
335	1204	9547
336	1204	9521
337	1216	9584
338	1218	9562
339	1221	9560
340	1223	9537
341	1235	9604
342	1239	9597
343	1239	9572
344	1253	9650
345	1254	9626
346	1255	9601
347	1256	9576
348	1257	9554
349	1258	9530
350	1259	9506
351	1260	9481
352	1272	9544
353	1281	9581
354	1282	9558
355	1283	9534
356	1284	9510
357	1285	9486
358	1298	9549
359	1299	9531
360	1300	9508
361	1301	9483
362	1302	9460
363	1316	9531
364	1317	9508
365	1317	9484
366	1318	9461
367	1319	9437
368	1320	9414
369	1321	9391
370	1322	9368
371	1335	9436
372	1336	9413
373	1337	9390
374	1338	9367
375	1352	9435
376	1353	9415
377	1354	9392
378	1354	9369
379	1355	9348
380	1364	9376
381	1376	9431
382	1377	9412
383	1378	9390
384	1379	9369
385	1380	9348
386	1392	9400
387	1393	9379
388	1394	9358
389	1396	9347
390	1398	9328
391	1399	9309
392	1400	9289
393	1411	9339
394	1412	9318
395	1413	9297
396	1415	9280
397	1427	9332
398	1428	9311
399	1492	9699
400	1493	9677
401	1493	9654
402	1494	9632
403	1495	9610
404	1496	9587
405	1497	9565
406	1509	9619
407	1512	9606
408	1513	9585
409	1514	9564
410	1525	9609
411	1526	9587
412	1527	9565
413	1527	9543
414	1528	9523
415	1540	9570
416	1541	9549
417	1542	9528
418	1543	9506
419	1558	9571
420	1559	9551
421	1559	9529
422	1560	9508
423	1574	9567
424	1575	9546
425	1576	9526
426	1589	9576
427	1590	9557
428	1591	9536
429	1603	9581
430	1603	9560
431	1604	9540
432	1605	9519
433	1617	9564
434	1618	9544
435	1619	9524
436	1632	9575
437	1633	9555
438	1635	9541
439	1636	9521
440	1648	9566
441	1649	9545
442	1650	9528
443	1651	9508
444	1664	9555
445	1665	9534
446	1668	9529
447	1669	9510
448	1670	9491
449	1682	9534
450	1683	9515
451	1684	9496
452	1697	9545
453	1698	9527
454	1699	9507
455	1700	9488
456	1701	9468
457	1714	9513
458	1714	9493
459	1715	9473
460	1716	9453
461	1728	9494
462	1730	9479
463	1730	9460
464	1731	9441
465	1732	9421
466	1744	9461
467	1745	9442
468	1746	9423
469	1746	9404
470	1759	9448
471	1760	9428
472	1761	9409
473	1762	9390
474	1762	9371
475	1775	9412
476	1776	9398
477	1777	9379
478	1790	9424
479	1791	9407
480	1792	9388
481	1793	9369
482	1806	9411
483	1808	9401
484	1821	9443
485	1822	9427
486	1824	9413
487	1825	9395
488	1834	9422
489	1836	9405
490	1837	9388
491	1849	9429
492	1851	9413
493	1884	9557
