iter	Passed	Remaining
0	21	10797
1	36	8995
2	51	8577
3	65	8157
4	87	8688
5	105	8652
6	120	8491
7	137	8464
8	155	8470
9	183	8972
10	203	9048
11	222	9031
12	241	9029
13	277	9644
14	302	9765
15	325	9834
16	347	9871
17	363	9746
18	383	9715
19	409	9824
20	430	9816
21	456	9913
22	481	9989
23	503	9994
24	524	9974
25	547	9983
26	567	9936
27	597	10077
28	617	10021
29	640	10031
30	658	9959
31	676	9889
32	694	9821
33	712	9770
34	733	9750
35	751	9680
36	767	9599
37	788	9582
38	806	9534
39	819	9428
40	832	9316
41	846	9231
42	860	9141
43	872	9046
44	886	8964
45	899	8875
46	916	8832
47	930	8765
48	944	8692
49	955	8602
50	969	8531
51	980	8444
52	994	8383
53	1006	8313
54	1018	8244
55	1033	8194
56	1044	8117
57	1059	8070
58	1076	8050
59	1091	8006
60	1105	7952
61	1120	7913
62	1133	7864
63	1138	7757
64	1152	7710
65	1166	7669
66	1186	7667
67	1209	7684
68	1236	7725
69	1258	7729
70	1280	7738
71	1299	7722
72	1317	7705
73	1336	7693
74	1351	7661
75	1368	7636
76	1386	7616
77	1407	7614
78	1430	7621
79	1451	7621
80	1471	7610
81	1485	7573
82	1503	7552
83	1520	7530
84	1535	7496
85	1550	7465
86	1565	7429
87	1583	7415
88	1601	7393
89	1616	7362
90	1633	7340
91	1647	7305
92	1665	7290
93	1680	7260
94	1698	7242
95	1717	7227
96	1733	7203
97	1754	7195
98	1770	7171
99	1787	7150
100	1805	7130
101	1823	7116
102	1841	7099
103	1860	7083
104	1880	7072
105	1897	7051
106	1915	7034
107	1930	7006
108	1950	6996
109	1966	6973
110	1986	6961
111	2005	6948
112	2026	6941
113	2041	6911
114	2060	6897
115	2080	6887
116	2095	6859
117	2108	6824
118	2122	6795
119	2138	6770
120	2160	6767
121	2177	6745
122	2195	6729
123	2215	6718
124	2234	6703
125	2256	6697
126	2273	6677
127	2287	6648
128	2311	6647
129	2329	6629
130	2343	6601
131	2358	6576
132	2374	6553
133	2391	6532
134	2419	6542
135	2453	6567
136	2487	6590
137	2508	6579
138	2539	6594
139	2564	6593
140	2585	6583
141	2615	6592
142	2647	6609
143	2670	6602
144	2695	6599
145	2725	6609
146	2763	6635
147	2800	6660
148	2828	6662
149	2853	6657
150	2870	6634
151	2888	6612
152	2903	6584
153	2923	6567
154	2943	6551
155	2965	6539
156	2985	6521
157	3000	6494
158	3017	6471
159	3036	6452
160	3052	6427
161	3074	6415
162	3091	6390
163	3108	6369
164	3128	6350
165	3149	6337
166	3168	6317
167	3186	6296
168	3203	6274
169	3222	6255
170	3242	6238
171	3260	6217
172	3276	6192
173	3295	6175
174	3318	6162
175	3333	6135
176	3351	6115
177	3369	6094
178	3389	6077
179	3405	6054
180	3424	6035
181	3441	6013
182	3460	5994
183	3479	5976
184	3501	5961
185	3513	5931
186	3526	5903
187	3538	5872
188	3550	5843
189	3569	5823
190	3584	5798
191	3597	5770
192	3610	5743
193	3623	5714
194	3634	5685
195	3649	5659
196	3662	5633
197	3676	5607
198	3689	5580
199	3710	5565
200	3728	5546
201	3748	5530
202	3766	5511
203	3786	5494
204	3803	5473
205	3824	5458
206	3841	5437
207	3862	5421
208	3882	5406
209	3903	5391
210	3920	5369
211	3936	5347
212	3951	5324
213	3969	5305
214	3989	5288
215	4010	5273
216	4029	5254
217	4044	5232
218	4069	5221
219	4089	5204
220	4112	5191
221	4134	5176
222	4152	5157
223	4174	5143
224	4192	5124
225	4213	5108
226	4228	5085
227	4244	5064
228	4262	5044
229	4281	5026
230	4300	5007
231	4316	4986
232	4337	4970
233	4357	4953
234	4374	4932
235	4394	4915
236	4412	4896
237	4429	4876
238	4447	4856
239	4462	4834
240	4477	4812
241	4501	4799
242	4530	4791
243	4545	4769
244	4562	4748
245	4574	4723
246	4587	4699
247	4599	4673
248	4613	4650
249	4626	4626
250	4638	4601
251	4651	4577
252	4663	4552
253	4677	4529
254	4688	4504
255	4703	4482
256	4714	4457
257	4728	4435
258	4741	4412
259	4763	4396
260	4786	4382
261	4802	4362
262	4821	4344
263	4841	4327
264	4858	4308
265	4876	4290
266	4895	4272
267	4916	4256
268	4934	4237
269	4953	4219
270	4972	4202
271	4992	4184
272	5011	4166
273	5031	4149
274	5056	4136
275	5073	4117
276	5089	4097
277	5104	4076
278	5121	4056
279	5142	4040
280	5160	4021
281	5177	4002
282	5200	3987
283	5221	3971
284	5238	3952
285	5256	3933
286	5274	3914
287	5296	3898
288	5320	3884
289	5339	3866
290	5366	3854
291	5385	3835
292	5404	3817
293	5423	3800
294	5439	3779
295	5455	3759
296	5471	3740
297	5492	3722
298	5507	3702
299	5525	3683
300	5545	3666
301	5566	3649
302	5584	3630
303	5597	3609
304	5611	3587
305	5625	3566
306	5639	3545
307	5658	3527
308	5674	3507
309	5687	3485
310	5698	3463
311	5711	3441
312	5725	3420
313	5738	3399
314	5750	3377
315	5762	3355
316	5775	3334
317	5790	3313
318	5802	3292
319	5814	3270
320	5826	3248
321	5838	3227
322	5851	3206
323	5863	3185
324	5876	3164
325	5888	3143
326	5900	3121
327	5913	3100
328	5924	3079
329	5938	3059
330	5952	3039
331	5970	3021
332	5990	3004
333	6006	2985
334	6023	2966
335	6039	2947
336	6058	2930
337	6071	2910
338	6085	2890
339	6104	2872
340	6121	2854
341	6136	2835
342	6150	2815
343	6164	2795
344	6176	2774
345	6188	2754
346	6199	2733
347	6211	2713
348	6223	2692
349	6235	2672
350	6251	2653
351	6272	2637
352	6286	2618
353	6303	2599
354	6314	2579
355	6326	2558
356	6338	2538
357	6351	2519
358	6362	2498
359	6376	2479
360	6395	2462
361	6413	2444
362	6431	2427
363	6450	2410
364	6470	2393
365	6487	2375
366	6504	2357
367	6523	2340
368	6547	2324
369	6575	2310
370	6601	2295
371	6624	2279
372	6648	2263
373	6660	2243
374	6674	2224
375	6688	2205
376	6702	2186
377	6715	2167
378	6727	2147
379	6739	2128
380	6755	2109
381	6770	2091
382	6785	2072
383	6801	2054
384	6821	2037
385	6837	2019
386	6854	2001
387	6872	1983
388	6887	1965
389	6907	1948
390	6941	1935
391	6982	1923
392	7028	1913
393	7077	1904
394	7117	1891
395	7162	1881
396	7209	1870
397	7258	1860
398	7296	1846
399	7354	1838
400	7401	1827
401	7438	1813
402	7484	1801
403	7531	1789
404	7568	1775
405	7622	1764
406	7679	1754
407	7706	1737
408	7734	1720
409	7760	1703
410	7782	1685
411	7830	1672
412	7890	1662
413	7917	1644
414	7939	1626
415	7954	1606
416	7978	1588
417	7995	1568
418	8017	1549
419	8036	1530
420	8057	1511
421	8074	1492
422	8091	1472
423	8107	1453
424	8126	1434
425	8146	1415
426	8164	1395
427	8180	1376
428	8199	1356
429	8212	1336
430	8234	1318
431	8249	1298
432	8272	1279
433	8292	1261
434	8313	1242
435	8330	1222
436	8345	1203
437	8363	1183
438	8382	1164
439	8396	1145
440	8414	1125
441	8433	1106
442	8448	1087
443	8464	1067
444	8483	1048
445	8501	1029
446	8519	1010
447	8532	990
448	8548	970
449	8560	951
450	8572	931
451	8586	911
452	8598	892
453	8610	872
454	8623	852
455	8634	833
456	8646	813
457	8660	794
458	8673	774
459	8690	755
460	8707	736
461	8724	717
462	8744	698
463	8767	680
464	8787	661
465	8805	642
466	8823	623
467	8839	604
468	8860	585
469	8877	566
470	8896	547
471	8919	529
472	8937	510
473	8958	491
474	8977	472
475	9000	453
476	9029	435
477	9048	416
478	9067	397
479	9085	378
480	9102	359
481	9121	340
482	9144	321
483	9166	303
484	9183	284
485	9201	265
486	9219	246
487	9240	227
488	9264	208
489	9280	189
490	9295	170
491	9313	151
492	9332	132
493	9347	113
494	9362	94
495	9380	75
496	9398	56
497	9413	37
498	9435	18
499	9463	0
