iter	Passed	Remaining
0	27	35747
1	59	38932
2	87	38105
3	118	38953
4	148	38856
5	183	40061
6	225	42157
7	264	43184
8	303	44082
9	350	45766
10	393	46598
11	432	46967
12	467	46803
13	509	47333
14	556	48196
15	598	48612
16	639	48796
17	678	48895
18	718	49020
19	755	48913
20	795	49010
21	841	49432
22	880	49442
23	927	49913
24	962	49687
25	1006	49880
26	1043	49779
27	1075	49416
28	1105	49032
29	1139	48827
30	1173	48612
31	1213	48652
32	1257	48853
33	1301	49023
34	1343	49121
35	1396	49617
36	1450	50094
37	1501	50471
38	1562	51131
39	1619	51609
40	1660	51595
41	1711	51868
42	1766	52255
43	1817	52498
44	1859	52492
45	1919	52942
46	1964	53011
47	2010	53062
48	2040	52715
49	2069	52352
50	2112	52358
51	2149	52214
52	2186	52064
53	2224	51942
54	2268	51966
55	2314	52035
56	2373	52388
57	2418	52417
58	2464	52458
59	2508	52471
60	2552	52482
61	2594	52439
62	2639	52458
63	2692	52628
64	2760	53080
65	2810	53185
66	2852	53127
67	2899	53167
68	2955	53379
69	3000	53372
70	3056	53550
71	3096	53450
72	3133	53308
73	3166	53096
74	3205	52996
75	3237	52785
76	3275	52662
77	3319	52647
78	3352	52456
79	3384	52245
80	3413	52005
81	3451	51892
82	3481	51680
83	3511	51454
84	3543	51282
85	3571	51034
86	3600	50814
87	3642	50782
88	3682	50723
89	3718	50614
90	3756	50530
91	3787	50344
92	3821	50209
93	3855	50083
94	3884	49886
95	3914	49700
96	3944	49530
97	3985	49488
98	4014	49314
99	4048	49190
100	4087	49134
101	4125	49065
102	4162	48974
103	4198	48882
104	4232	48778
105	4271	48723
106	4309	48657
107	4347	48591
108	4377	48431
109	4409	48305
110	4445	48218
111	4476	48079
112	4516	48047
113	4559	48031
114	4596	47965
115	4642	47982
116	4704	48168
117	4748	48168
118	4797	48215
119	4847	48269
120	4889	48250
121	4928	48197
122	4969	48155
123	5010	48129
124	5051	48090
125	5092	48051
126	5130	47991
127	5178	48018
128	5230	48092
129	5274	48075
130	5322	48109
131	5368	48116
132	5405	48038
133	5429	47853
134	5459	47717
135	5496	47645
136	5544	47674
137	5587	47657
138	5638	47706
139	5653	47445
140	5695	47421
141	5741	47424
142	5799	47531
143	5844	47526
144	5893	47553
145	5933	47509
146	5973	47463
147	6015	47430
148	6067	47484
149	6109	47447
150	6158	47471
151	6194	47396
152	6233	47341
153	6277	47328
154	6327	47351
155	6365	47289
156	6406	47249
157	6441	47167
158	6477	47092
159	6513	47017
160	6542	46895
161	6577	46813
162	6622	46801
163	6666	46785
164	6709	46766
165	6752	46738
166	6795	46715
167	6845	46736
168	6886	46694
169	6953	46836
170	6990	46766
171	7030	46719
172	7073	46690
173	7117	46673
174	7160	46645
175	7199	46592
176	7237	46534
177	7361	47021
178	7432	47166
179	7480	47168
180	7528	47166
181	7568	47117
182	7600	47016
183	7650	47022
184	7704	47059
185	7738	46973
186	7772	46883
187	7811	46825
188	7854	46794
189	7890	46721
190	7922	46625
191	7956	46538
192	7990	46453
193	8027	46388
194	8066	46328
195	8102	46261
196	8135	46169
197	8180	46152
198	8217	46086
199	8262	46065
200	8311	46062
201	8366	46096
202	8423	46143
203	8438	45957
204	8489	45970
205	8544	45996
206	8627	46178
207	8711	46365
208	8760	46361
209	8830	46465
210	8896	46548
211	9003	46843
212	9110	47135
213	9196	47316
214	9282	47492
215	9376	47709
216	9460	47870
217	9548	48048
218	9624	48164
219	9716	48363
220	9770	48367
221	9870	48596
222	9930	48627
223	9974	48581
224	10042	48649
225	10121	48769
226	10193	48855
227	10272	48973
228	10339	49033
229	10391	49018
230	10444	49010
231	10527	49143
232	10593	49195
233	10642	49164
234	10701	49180
235	10756	49177
236	10803	49138
237	10864	49162
238	10916	49146
239	10952	49059
240	10998	49015
241	11042	48961
242	11090	48927
243	11150	48943
244	11221	49008
245	11283	49034
246	11351	49082
247	11440	49222
248	11524	49336
249	11592	49381
250	11657	49417
251	11726	49465
252	11782	49459
253	11840	49457
254	11914	49528
255	11977	49547
256	12041	49571
257	12089	49528
258	12142	49505
259	12200	49506
260	12255	49493
261	12318	49507
262	12340	49363
263	12402	49375
264	12450	49331
265	12511	49341
266	12552	49271
267	12603	49239
268	12647	49178
269	12699	49151
270	12747	49107
271	12790	49046
272	12840	49009
273	12876	48922
274	12928	48895
275	12969	48825
276	13069	48975
277	13104	48883
278	13140	48794
279	13177	48709
280	13210	48609
281	13255	48555
282	13301	48505
283	13343	48439
284	13392	48399
285	13446	48378
286	13511	48398
287	13575	48408
288	13624	48369
289	13684	48366
290	13730	48316
291	13793	48325
292	13844	48291
293	13895	48257
294	13943	48212
295	13991	48167
296	14029	48087
297	14080	48051
298	14124	47995
299	14171	47946
300	14221	47908
301	14249	47797
302	14293	47737
303	14338	47686
304	14381	47622
305	14423	47559
306	14484	47558
307	14522	47481
308	14561	47407
309	14594	47314
310	14624	47211
311	14655	47113
312	14696	47046
313	14742	46998
314	14773	46901
315	14807	46810
