iter	Accuracy	Logloss
0	0.7486483377	0.6804483602
1	0.7601518463	0.6683466223
2	0.7809731968	0.6550278241
3	0.783849074	0.6426003956
4	0.7839641091	0.6316044329
5	0.7841941792	0.621934596
6	0.7853445301	0.6117341178
7	0.7860347406	0.6023191389
8	0.783849074	0.5945462375
9	0.7844242494	0.5864576816
10	0.7910962844	0.578101062
11	0.7877602669	0.5716895592
12	0.7855746003	0.5655982763
13	0.7858046704	0.5594801539
14	0.7874151616	0.553652079
15	0.7873001265	0.5484013799
16	0.7867249511	0.5425954415
17	0.7870700564	0.5373511997
18	0.7881053721	0.5326850928
19	0.7891406879	0.5275595386
20	0.7901760037	0.5224523479
21	0.7898308984	0.5178418929
22	0.7909812493	0.513937788
23	0.7912113195	0.5128119283
24	0.7896008283	0.5101503856
25	0.7922466352	0.5064385731
26	0.7925917405	0.5034256855
27	0.7935120212	0.4999670542
28	0.7933969861	0.4964124813
29	0.7937420913	0.493230128
30	0.7947774071	0.4912560475
31	0.7968480387	0.487892624
32	0.7970781088	0.4850180612
33	0.7965029334	0.4824955226
34	0.7975382492	0.4792362447
35	0.7974232141	0.4766889138
36	0.7986886	0.4743248107
37	0.7971931439	0.4738263313
38	0.7977683193	0.4719257316
39	0.7978833544	0.4696319716
40	0.7983434948	0.467622743
41	0.7993788105	0.4654290658
42	0.7993788105	0.4637591187
43	0.7996088807	0.4617448942
44	0.7994938456	0.4606666336
45	0.8007592316	0.458877993
46	0.799953986	0.4571502132
47	0.8001840561	0.4552210935
48	0.801334407	0.4534350714
49	0.8020246175	0.4521385644
50	0.8023697228	0.4509079814
51	0.8025997929	0.4490296052
52	0.8038651789	0.4474205781
53	0.8040952491	0.4458263583
54	0.8040952491	0.4445659952
55	0.8045553894	0.4433981669
56	0.8050155297	0.4418491737
57	0.8052455999	0.4405483284
58	0.8052455999	0.4393231273
59	0.8066260209	0.4379772956
60	0.8057057403	0.4367392871
61	0.8061658806	0.4353862477
62	0.8062809157	0.4341178002
63	0.8072011964	0.4331430811
64	0.8072011964	0.4317586187
65	0.8075463016	0.4306626491
66	0.8077763718	0.4294209374
67	0.808006442	0.4283436595
68	0.8075463016	0.427624929
69	0.8084665823	0.4265464174
70	0.8089267227	0.425865932
71	0.8088116876	0.4250754178
72	0.8085816174	0.4244553763
73	0.8089267227	0.4235875976
74	0.8090417577	0.4227677576
75	0.8096169332	0.4220211886
76	0.8100770735	0.4210855206
77	0.8108823191	0.4202440258
78	0.8105372139	0.4191414058
79	0.8112274244	0.4182082355
80	0.8111123893	0.4177820245
81	0.8109973542	0.4171087577
82	0.8109973542	0.4165159424
83	0.8121477051	0.4158058633
84	0.8119176349	0.4150674749
85	0.8121477051	0.4144067849
86	0.8118025998	0.4139157896
87	0.8116875647	0.4129494333
88	0.81203267	0.4122444783
89	0.8123777752	0.4114394099
90	0.8127228805	0.4112393253
91	0.8129529506	0.4106210552
92	0.8129529506	0.410075123
93	0.8135281261	0.4092982216
94	0.8130679857	0.4086846174
95	0.8138732313	0.4081851102
96	0.8139882664	0.4075493691
97	0.8135281261	0.407010689
98	0.8136431612	0.4066675121
99	0.8136431612	0.406318488
100	0.8136431612	0.40530526
101	0.8138732313	0.4046872649
102	0.8137581962	0.4043280703
103	0.8137581962	0.4038964392
104	0.8142183366	0.4033180648
105	0.8142183366	0.4026400617
106	0.8145634418	0.4020527584
107	0.8144484068	0.4013009592
108	0.8143333717	0.4010821509
109	0.8154837225	0.400597965
110	0.8154837225	0.3999691121
111	0.8158288278	0.3991564808
112	0.8155987576	0.3985220968
113	0.8157137927	0.3980379094
114	0.8158288278	0.3975160645
115	0.8164040032	0.3972561223
116	0.8164040032	0.3966157584
117	0.8169791786	0.396079682
118	0.8173242839	0.3955387066
119	0.8175543541	0.3954121547
120	0.8175543541	0.3950697332
121	0.8177844242	0.3948580418
122	0.8176693892	0.3941591634
123	0.8182445646	0.3938257918
124	0.8185896698	0.3935660992
125	0.8189347751	0.393140088
126	0.81881974	0.39295658
127	0.8187047049	0.3927267941
128	0.8184746348	0.3921608245
129	0.8189347751	0.3918686848
130	0.8193949154	0.391470698
131	0.8192798804	0.3908593895
132	0.820200161	0.3903699405
133	0.8205452663	0.3898041916
134	0.8205452663	0.3895525715
135	0.8207753365	0.389269274
136	0.8206603014	0.3892416494
137	0.8207753365	0.3889994461
138	0.8205452663	0.3884715798
139	0.8210054066	0.3881916961
140	0.8210054066	0.387704217
141	0.821465547	0.3872753964
142	0.8216956172	0.3871227212
143	0.8215805821	0.3867022698
144	0.8215805821	0.3863597775
145	0.8215805821	0.385786115
146	0.8221557575	0.3853086197
147	0.822845968	0.3850002004
148	0.8225008628	0.3847082196
149	0.8227309329	0.3841211075
150	0.8229610031	0.3836905035
151	0.822845968	0.3833743959
152	0.8231910733	0.3828579926
153	0.8236512136	0.3824348468
154	0.8237662487	0.3822381285
155	0.8238812838	0.3819687721
156	0.8235361785	0.3814110751
157	0.8238812838	0.3811288128
158	0.8238812838	0.380881685
159	0.8238812838	0.380656414
160	0.824111354	0.3803713296
161	0.824111354	0.3798993375
162	0.8238812838	0.3796121744
163	0.8243414241	0.3793849762
164	0.8245714943	0.3792562205
165	0.8249165996	0.3788839655
166	0.8249165996	0.378723622
167	0.8250316346	0.3786405092
168	0.8249165996	0.3784041093
169	0.8248015645	0.3782824791
170	0.8248015645	0.3777600671
171	0.8251466697	0.3773461734
172	0.8250316346	0.3770093997
173	0.8249165996	0.3768454727
174	0.8253767399	0.3766504956
175	0.8257218452	0.3764659003
176	0.8257218452	0.3761385311
177	0.8258368802	0.375740232
178	0.8257218452	0.3755288738
179	0.8258368802	0.3753890007
180	0.8259519153	0.3749580661
181	0.8258368802	0.3747274906
182	0.825491775	0.3745088576
183	0.8256068101	0.3743117925
184	0.8259519153	0.3741179209
185	0.8260669504	0.3739262716
186	0.8262970206	0.3735663046
187	0.8266421258	0.3734015629
188	0.826872196	0.3730184258
189	0.826872196	0.3729468483
190	0.8272173013	0.3727088791
191	0.8274473714	0.3726036799
192	0.8276774416	0.3725147132
193	0.8276774416	0.3722533236
194	0.8276774416	0.3721110716
195	0.8274473714	0.371949686
196	0.8274473714	0.3717597341
197	0.8277924767	0.3714097609
198	0.8279075118	0.3713209905
199	0.8277924767	0.3710294695
200	0.8276774416	0.3709306813
201	0.8276774416	0.370631664
202	0.8275624065	0.3705166885
203	0.8276774416	0.3703265227
204	0.828252617	0.3697858536
205	0.8290578626	0.3695809339
206	0.8296330381	0.3692756566
207	0.829518003	0.3691079603
208	0.8296330381	0.3688346409
209	0.8296330381	0.3687337373
210	0.8303232486	0.3683158825
211	0.8302082135	0.3681786911
212	0.8300931784	0.3679939999
213	0.8305533188	0.3677464174
214	0.830898424	0.367644909
215	0.8312435293	0.3673951475
216	0.8312435293	0.3672039813
217	0.8311284942	0.367026897
218	0.8311284942	0.3669598588
219	0.8313585644	0.3668269236
220	0.8312435293	0.3667030886
221	0.830898424	0.3664576547
222	0.8314735994	0.3661421424
223	0.8320487749	0.3660106382
224	0.8320487749	0.3659391214
225	0.8320487749	0.3655333554
226	0.832278845	0.3653902264
227	0.8325089152	0.3653370342
228	0.8325089152	0.3651795654
229	0.8325089152	0.3649253466
230	0.8331991257	0.3646372248
231	0.833544231	0.3644531387
232	0.8334291959	0.3642999635
233	0.833544231	0.3641550683
234	0.833544231	0.3638848058
