iter	Passed	Remaining
0	58	100496
1	118	101763
2	187	107835
3	243	104510
4	313	107610
5	389	111550
6	443	108821
7	490	105300
8	550	104881
9	605	103782
10	661	103021
11	716	102226
12	764	100576
13	812	99239
14	860	98072
15	911	97311
16	962	96599
17	1013	96089
18	1055	94693
19	1094	93256
20	1135	92102
21	1174	90832
22	1213	89768
23	1224	86705
24	1245	84611
25	1280	83622
26	1321	83074
27	1366	82780
28	1403	82042
29	1447	81726
30	1473	80467
31	1510	79866
32	1546	79257
33	1580	78558
34	1623	78331
35	1660	77865
36	1705	77742
37	1715	76104
38	1756	75880
39	1795	75579
40	1840	75535
41	1881	75333
42	1917	74947
43	1966	75065
44	2001	74665
45	2034	74225
46	2074	74013
47	2123	74131
48	2169	74165
49	2220	74340
50	2269	74439
51	2322	74665
52	2378	74996
53	2436	75356
54	2488	75521
55	2545	75812
56	2593	75856
57	2648	76067
58	2693	76000
59	2743	76078
60	2790	76066
61	2842	76185
62	2890	76205
63	2947	76444
64	3018	77038
65	3061	76919
66	3095	76562
67	3134	76323
68	3182	76343
69	3231	76364
70	3282	76415
71	3344	76730
72	3378	76406
73	3431	76514
74	3479	76502
75	3544	76860
76	3595	76903
77	3653	77097
78	3704	77128
79	3758	77238
80	3819	77477
81	3877	77651
82	3938	77871
83	3994	77985
84	4048	78062
85	4100	78109
86	4140	77899
87	4182	77765
88	4230	77726
89	4290	77898
90	4352	78098
91	4409	78229
92	4459	78214
93	4513	78272
94	4592	78745
95	4649	78849
96	4705	78927
97	4769	79128
98	4821	79145
99	4875	79182
100	4932	79262
101	4984	79264
102	5014	78925
103	5075	79062
104	5149	79393
105	5199	79371
106	5238	79171
107	5283	79053
108	5331	78990
109	5380	78952
110	5434	78969
111	5485	78956
112	5527	78810
113	5569	78657
114	5607	78459
115	5651	78339
116	5690	78158
117	5731	78008
118	5776	77907
119	5792	77421
120	5832	77269
121	5873	77127
122	5927	77159
123	5969	77027
124	6014	76942
125	6053	76773
126	6078	76431
127	6117	76283
128	6168	76264
129	6216	76221
130	6259	76119
131	6311	76117
132	6377	76285
133	6420	76179
134	6456	75994
135	6497	75862
136	6512	75445
137	6563	75437
138	6619	75480
139	6684	75634
140	6743	75707
141	6798	75737
142	6858	75823
143	6935	76100
144	6991	76138
145	7047	76165
146	7110	76284
147	7173	76388
148	7232	76448
149	7314	76748
150	7371	76792
151	7435	76903
152	7484	76848
153	7529	76765
154	7575	76681
155	7613	76528
156	7654	76402
157	7714	76456
158	7778	76562
159	7839	76626
160	7894	76636
161	7961	76761
162	8013	76747
163	8071	76778
164	8103	76569
165	8161	76603
166	8211	76559
167	8238	76300
168	8300	76370
169	8353	76362
170	8395	76246
171	8452	76265
172	8499	76202
173	8545	76121
174	8581	75959
175	8620	75819
176	8661	75704
177	8713	75679
178	8746	75489
179	8818	75647
180	8871	75631
181	8929	75655
182	8982	75639
183	9038	75644
184	9088	75606
185	9147	75640
186	9198	75601
187	9253	75604
188	9303	75556
189	9324	75286
190	9383	75313
191	9439	75319
192	9492	75304
193	9542	75261
194	9562	74975
195	9603	74865
196	9642	74740
197	9689	74677
198	9729	74558
199	9764	74406
200	9800	74258
201	9846	74190
202	9866	73923
203	9903	73790
204	9943	73675
205	9978	73533
206	10024	73464
207	10070	73402
208	10129	73426
209	10170	73322
210	10210	73215
211	10250	73104
212	10290	73001
213	10332	72907
214	10371	72794
215	10411	72685
216	10449	72565
217	10489	72467
218	10533	72386
219	10573	72282
220	10615	72192
221	10656	72097
222	10700	72025
223	10739	71917
224	10787	71867
225	10830	71786
226	10950	72213
227	11047	72489
228	11142	72740
229	11221	72892
230	11292	72982
231	11360	73060
232	11433	73163
233	11492	73176
234	11586	73412
235	11600	73140
236	11664	73187
237	11719	73170
238	11782	73211
239	11842	73223
240	11911	73300
241	11961	73251
242	12013	73219
243	12050	73090
244	12097	73031
245	12167	73104
246	12222	73089
247	12243	72871
248	12262	72641
249	12322	72652
250	12328	72350
251	12381	72323
252	12439	72327
253	12491	72290
254	12552	72313
255	12603	72273
256	12651	72215
257	12707	72203
258	12754	72141
259	12810	72133
260	12870	72146
261	12957	72302
262	13020	72332
263	13055	72203
264	13110	72184
265	13180	72246
266	13256	72340
267	13321	72372
268	13352	72224
269	13407	72201
270	13424	71978
271	13484	71984
272	13543	71982
273	13589	71916
274	13637	71857
275	13687	71807
276	13739	71771
277	13795	71757
278	13843	71698
279	13914	71759
280	13966	71720
281	14002	71603
282	14020	71388
283	14060	71291
284	14109	71238
285	14153	71161
286	14199	71098
287	14247	71039
288	14307	71044
289	14355	70987
290	14397	70900
291	14421	70725
292	14462	70632
293	14505	70553
294	14552	70492
295	14561	70251
296	14601	70154
297	14641	70061
298	14690	70014
299	14726	69902
300	14766	69811
301	14804	69706
302	14843	69612
303	14879	69504
304	14922	69426
305	14961	69330
306	15003	69252
307	15051	69197
308	15103	69165
309	15143	69072
310	15189	69011
311	15240	68974
312	15303	68987
313	15360	68975
314	15410	68930
315	15436	68782
316	15496	68781
317	15554	68770
318	15612	68764
319	15671	68757
320	15737	68785
321	15790	68750
322	15856	68775
323	15902	68715
324	15968	68737
325	16013	68671
326	16073	68669
327	16120	68612
328	16163	68533
329	16200	68435
330	16240	68348
331	16257	68163
332	16304	68106
333	16353	68059
334	16406	68026
335	16460	67998
336	16524	68010
337	16582	67997
338	16638	67978
339	16684	67915
340	16736	67877
341	16789	67844
342	16842	67812
343	16899	67795
344	16955	67772
345	17014	67761
346	17078	67773
347	17114	67669
348	17168	67639
349	17203	67534
350	17254	67492
351	17293	67405
352	17345	67366
353	17400	67339
354	17449	67290
355	17505	67268
356	17567	67266
357	17634	67287
358	17697	67289
359	17764	67308
360	17820	67283
361	17886	67298
362	17935	67245
363	17998	67248
364	18055	67224
365	18120	67233
366	18169	67182
367	18225	67155
368	18274	67106
369	18325	67061
370	18360	66957
371	18399	66870
372	18440	66790
373	18484	66722
374	18523	66636
375	18559	66538
376	18604	66471
377	18627	66328
378	18661	66227
379	18701	66145
380	18742	66065
381	18774	65957
382	18810	65862
383	18853	65791
384	18911	65771
385	18946	65673
386	18986	65593
387	19029	65524
388	19072	65453
389	19110	65366
390	19152	65296
391	19186	65195
392	19237	65154
393	19288	65110
394	19336	65058
395	19381	64996
396	19415	64897
397	19451	64806
398	19488	64718
399	19526	64634
400	19578	64593
401	19637	64578
402	19685	64527
403	19745	64516
404	19804	64498
405	19856	64460
406	19905	64411
407	19958	64375
408	20000	64304
409	20062	64297
410	20123	64288
411	20180	64265
412	20232	64223
413	20299	64233
414	20355	64206
415	20415	64192
416	20455	64114
417	20497	64043
418	20540	63973
419	20581	63901
420	20625	63835
421	20679	63803
422	20732	63765
423	20796	63764
424	20846	63718
425	20897	63673
426	20948	63630
427	21009	63617
428	21060	63573
429	21122	63564
430	21179	63538
431	21241	63526
432	21300	63506
433	21356	63479
434	21411	63447
435	21472	63431
436	21515	63364
437	21561	63307
438	21600	63226
439	21648	63174
440	21707	63153
441	21767	63135
442	21830	63126
443	21899	63132
444	21953	63098
445	22011	63072
446	22054	63004
447	22114	62987
448	22165	62941
449	22221	62911
450	22272	62865
451	22335	62855
452	22394	62834
453	22457	62820
454	22508	62775
455	22554	62718
456	22592	62635
457	22636	62570
458	22683	62516
459	22730	62458
460	22773	62392
461	22817	62328
462	22856	62251
463	22901	62188
464	22941	62113
465	22981	62039
466	23022	61969
467	23058	61882
468	23094	61798
469	23139	61738
470	23173	61649
471	23213	61575
472	23254	61505
473	23289	61417
474	23332	61351
475	23369	61270
476	23412	61207
477	23456	61144
478	23495	61069
