iter	RMSE
0	3.089229441
1	3.015336859
2	2.943412578
3	2.878035939
4	2.817290855
5	2.758980707
6	2.704119086
7	2.655824695
8	2.612382213
9	2.568327429
10	2.530235596
11	2.492874032
12	2.458330096
13	2.424777108
14	2.394058415
15	2.364727469
16	2.337116332
17	2.311731936
18	2.289069388
19	2.266623803
20	2.245156708
21	2.225839655
22	2.208600359
23	2.192976865
24	2.176743636
25	2.161622804
26	2.148405314
27	2.135577418
28	2.123208285
29	2.111659411
30	2.101611007
31	2.091955318
32	2.082471944
33	2.073870964
34	2.0666318
35	2.058484812
36	2.051273719
37	2.044184818
38	2.038428635
39	2.032343501
40	2.025826068
41	2.020120424
42	2.014943721
43	2.010280967
44	2.005744946
45	2.001325522
46	1.997078104
47	1.993390265
48	1.989856662
49	1.986224021
50	1.982375825
51	1.979468932
52	1.9761418
53	1.973037037
54	1.969931297
55	1.967576288
56	1.965132047
57	1.962104857
58	1.959735715
59	1.956873335
60	1.954341777
61	1.952242368
62	1.95002987
63	1.948174184
64	1.946007752
65	1.944091766
66	1.942115148
67	1.940296581
68	1.93883914
69	1.937062269
70	1.935562385
71	1.933856161
72	1.932567124
73	1.931237746
74	1.929763509
75	1.928418661
76	1.927013626
77	1.925365581
78	1.923988989
79	1.9230197
80	1.921713008
81	1.920607658
82	1.918897794
83	1.917641335
84	1.916050033
85	1.91519888
86	1.914105887
87	1.913033893
88	1.911717624
89	1.911054333
90	1.909979173
91	1.90895671
92	1.907968845
93	1.907059137
94	1.906272617
95	1.905691889
96	1.90467245
97	1.903945113
98	1.903239048
99	1.902341577
100	1.901741057
101	1.900578072
102	1.89993707
103	1.899408699
104	1.898682032
105	1.897682039
106	1.897034197
107	1.896206176
108	1.895439901
109	1.894661777
110	1.893908724
111	1.893081374
112	1.892282744
113	1.8916044
114	1.891148504
115	1.890782172
116	1.890259456
117	1.889782281
118	1.889197708
119	1.888308887
120	1.887635158
121	1.88726404
122	1.886550663
123	1.885802182
124	1.885205044
125	1.884980876
126	1.884361092
127	1.88379794
128	1.883115797
129	1.882665743
130	1.882337429
131	1.882046426
132	1.881480769
133	1.881323913
134	1.880676362
135	1.880308749
136	1.879766762
137	1.879237666
138	1.878773129
139	1.878283728
140	1.877605196
141	1.876971078
142	1.876490952
143	1.876048462
144	1.875813606
145	1.875326976
146	1.874885606
147	1.874571353
148	1.874066083
149	1.873750808
150	1.873320449
151	1.872799289
152	1.872484549
153	1.872045185
154	1.871529491
155	1.871017962
156	1.870904294
157	1.870721612
158	1.87037907
159	1.869982521
160	1.869747592
161	1.869491398
162	1.869170043
163	1.868621162
164	1.868292458
165	1.867873381
166	1.867267333
167	1.867014349
168	1.86661103
169	1.866251241
170	1.86605595
171	1.865717303
172	1.865214971
173	1.86498877
174	1.86456424
175	1.864210736
176	1.864024179
177	1.863684397
178	1.863518688
179	1.86327778
180	1.862948063
181	1.862779471
182	1.86233445
183	1.861935773
184	1.861486053
185	1.861189805
186	1.860853233
187	1.860628816
188	1.860428957
189	1.860234797
190	1.859971363
191	1.859641315
192	1.859405253
193	1.859047925
194	1.858612181
195	1.858384686
196	1.858139781
197	1.857765801
198	1.857641632
199	1.85741718
200	1.857236432
201	1.856875623
202	1.856716945
203	1.856388985
204	1.856110595
205	1.855670189
206	1.855490156
207	1.855242378
208	1.854882608
209	1.854612954
210	1.854457645
211	1.854302699
212	1.853999355
213	1.853799486
214	1.853427454
215	1.853205452
216	1.852822532
217	1.852723196
218	1.852621319
219	1.852435417
220	1.85219526
221	1.851886217
222	1.851548904
223	1.851217961
224	1.850995762
225	1.850600897
226	1.850207768
227	1.84988972
228	1.849595588
229	1.849176537
230	1.848770668
231	1.848644383
232	1.848436409
233	1.848060962
234	1.847710935
235	1.847475048
236	1.847211067
237	1.846879555
238	1.846552669
239	1.846313323
240	1.846059328
241	1.845854788
242	1.845573262
243	1.845278984
244	1.845094925
245	1.844752384
246	1.844447911
247	1.844329434
248	1.843994942
249	1.843685902
250	1.843558799
251	1.843339062
252	1.842913048
253	1.842723328
254	1.842473498
255	1.842236735
256	1.841930829
257	1.841622008
258	1.841496385
259	1.84129942
260	1.84086606
261	1.840672462
262	1.840458449
263	1.84029216
264	1.840188505
265	1.840069986
266	1.839808314
267	1.839543745
268	1.839338165
269	1.839176351
270	1.838754888
271	1.838602186
272	1.838320103
273	1.838188854
274	1.83790223
275	1.837526977
276	1.837185753
277	1.836900615
278	1.836618628
279	1.83651875
280	1.836298829
281	1.836066177
282	1.835791839
283	1.835628844
284	1.835466355
285	1.835264919
286	1.835012497
287	1.834876775
288	1.834490247
289	1.834375426
290	1.834047466
291	1.833646187
292	1.833277709
293	1.833010086
294	1.832709439
295	1.832445785
296	1.832272614
297	1.832040141
298	1.831824301
299	1.83161495
300	1.831237351
301	1.83088277
302	1.830612315
303	1.830469027
304	1.830340546
305	1.830126708
306	1.82990277
307	1.829651795
308	1.829401873
309	1.829300656
310	1.828945044
311	1.828586952
312	1.828300359
313	1.82812371
314	1.827987511
315	1.827751241
316	1.827602655
317	1.827421276
318	1.827133625
319	1.826881578
320	1.826741635
321	1.826458633
322	1.826249734
323	1.826033168
324	1.825802065
325	1.825574438
326	1.825374344
327	1.825066837
328	1.824715516
329	1.824508829
330	1.824426976
331	1.824257357
332	1.824148593
333	1.823853777
334	1.823624184
335	1.823470665
336	1.823175203
337	1.822879611
338	1.822721707
339	1.822500966
340	1.822392191
341	1.822185408
342	1.822039513
343	1.821883585
344	1.821594217
345	1.821395074
346	1.82113205
347	1.820958814
348	1.820650272
349	1.820509781
350	1.820300088
351	1.8201894
352	1.81988366
353	1.819589219
354	1.819419105
355	1.819301402
356	1.819135732
357	1.818919314
358	1.818644386
359	1.818461994
360	1.81829441
361	1.818147087
362	1.817962133
363	1.817829023
364	1.817673694
365	1.817471575
366	1.817272681
367	1.81706454
368	1.816797205
369	1.816518382
370	1.816327726
371	1.816050473
372	1.815882988
373	1.81568687
374	1.815441694
375	1.815220534
376	1.81506016
377	1.814816627
378	1.814536378
379	1.814225143
380	1.813950529
381	1.813749378
382	1.81348125
383	1.813189179
384	1.812922846
385	1.8127485
386	1.81248411
387	1.812219162
388	1.812120626
389	1.811885836
390	1.811620273
391	1.811425074
392	1.811270622
393	1.811085898
394	1.811002934
395	1.810795291
396	1.810667246
397	1.810390021
398	1.8101606
399	1.80992237
400	1.809715146
401	1.809521003
402	1.809372245
403	1.809149003
404	1.80894079
405	1.808875891
406	1.808715995
407	1.808489966
408	1.808317615
409	1.808076999
410	1.807910117
411	1.807753189
412	1.807559526
413	1.807417064
414	1.807267804
415	1.80713087
416	1.806977494
417	1.806825451
418	1.806628327
419	1.806401232
420	1.806222205
421	1.806122676
422	1.805974735
423	1.805758449
424	1.805596656
425	1.805374974
426	1.805210731
427	1.805067112
428	1.804902818
429	1.804802658
430	1.804666885
431	1.804573897
432	1.804443227
433	1.804329255
434	1.804191306
435	1.803943028
