iter	Passed	Remaining
0	9	4879
1	17	4263
2	26	4388
3	31	3948
4	39	3895
5	44	3698
6	50	3577
7	58	3626
8	67	3667
9	72	3557
10	78	3473
11	85	3466
12	91	3410
13	96	3347
14	102	3325
15	108	3283
16	121	3446
17	135	3624
18	145	3684
19	156	3746
20	161	3690
21	169	3685
22	175	3632
23	182	3613
24	188	3578
25	194	3549
26	201	3530
27	207	3498
28	214	3483
29	220	3449
30	227	3436
31	232	3403
32	238	3376
33	246	3379
34	252	3356
35	259	3348
36	265	3324
37	278	3380
38	287	3393
39	297	3418
40	311	3488
41	323	3529
42	331	3521
43	342	3553
44	350	3542
45	361	3566
46	377	3636
47	391	3688
48	406	3741
49	418	3764
50	428	3768
51	440	3791
52	452	3815
53	465	3847
54	478	3870
55	491	3899
56	499	3884
57	514	3918
58	528	3952
59	540	3966
60	552	3975
61	562	3974
62	585	4063
63	602	4107
64	618	4136
65	627	4127
66	640	4138
67	652	4148
68	664	4150
69	677	4162
70	685	4141
71	695	4137
72	704	4121
73	718	4137
74	728	4128
75	741	4139
76	752	4134
77	765	4139
78	775	4132
79	783	4114
80	795	4114
81	808	4121
82	818	4111
83	826	4095
84	837	4088
85	848	4083
86	861	4091
87	876	4105
88	886	4091
89	893	4072
90	906	4074
91	920	4081
92	935	4094
93	945	4083
94	954	4069
95	966	4067
96	977	4059
97	989	4059
98	1002	4061
99	1016	4066
100	1029	4066
101	1040	4059
102	1048	4040
103	1054	4016
104	1061	3992
105	1068	3970
106	1081	3971
107	1092	3965
108	1104	3962
109	1116	3958
110	1130	3961
111	1143	3962
112	1151	3942
113	1157	3919
114	1166	3904
115	1173	3883
116	1181	3869
117	1188	3846
118	1196	3830
119	1203	3811
120	1212	3796
121	1218	3775
122	1226	3759
123	1233	3741
124	1240	3722
125	1248	3706
126	1255	3687
127	1263	3672
128	1270	3653
129	1277	3634
130	1288	3629
131	1295	3610
132	1301	3592
133	1309	3575
134	1316	3558
135	1324	3545
136	1333	3533
137	1347	3533
138	1361	3534
139	1375	3537
140	1387	3532
141	1399	3528
142	1414	3530
143	1427	3528
144	1440	3527
145	1453	3524
146	1465	3519
147	1476	3512
148	1488	3507
149	1501	3502
150	1514	3501
151	1532	3507
152	1550	3515
153	1562	3510
154	1571	3498
155	1585	3496
156	1597	3489
157	1606	3477
158	1619	3474
159	1635	3476
160	1648	3470
161	1662	3469
162	1674	3462
163	1683	3449
164	1699	3449
165	1710	3441
166	1723	3436
167	1732	3423
168	1749	3426
169	1758	3414
170	1771	3407
171	1792	3417
172	1807	3416
173	1819	3408
174	1828	3395
175	1836	3381
176	1847	3370
177	1858	3362
178	1868	3351
179	1879	3341
180	1894	3338
181	1902	3324
182	1916	3319
183	1924	3305
184	1938	3301
185	1951	3294
186	1968	3294
187	1985	3294
188	1999	3289
189	2010	3280
190	2021	3270
191	2036	3266
192	2047	3257
193	2055	3242
194	2064	3229
195	2073	3216
196	2081	3201
197	2092	3191
198	2098	3174
199	2107	3160
200	2113	3144
201	2125	3135
202	2132	3120
203	2140	3106
204	2147	3090
205	2155	3076
206	2165	3064
207	2174	3052
208	2181	3037
209	2189	3023
210	2195	3007
211	2205	2995
212	2214	2983
213	2223	2970
214	2230	2956
215	2238	2943
216	2244	2927
217	2253	2915
218	2262	2903
219	2271	2891
220	2279	2877
221	2287	2864
222	2294	2849
223	2301	2835
224	2308	2821
225	2317	2809
226	2326	2798
227	2347	2799
228	2360	2793
229	2371	2784
230	2382	2774
231	2399	2771
232	2416	2769
233	2435	2769
234	2446	2759
235	2460	2751
236	2472	2743
237	2485	2736
238	2505	2736
239	2517	2726
240	2529	2718
241	2544	2712
242	2557	2704
243	2567	2693
244	2580	2686
245	2591	2675
246	2604	2668
247	2613	2655
248	2623	2644
249	2638	2638
250	2646	2625
251	2656	2613
252	2671	2608
253	2683	2599
254	2692	2587
255	2702	2576
256	2712	2565
257	2724	2555
258	2736	2546
259	2747	2535
260	2764	2531
261	2777	2522
262	2787	2512
263	2800	2503
264	2815	2496
265	2831	2491
266	2840	2478
267	2852	2469
268	2866	2461
269	2884	2456
270	2898	2449
271	2910	2439
272	2919	2427
273	2931	2418
274	2940	2406
275	2960	2402
276	2979	2398
277	2997	2393
278	3014	2387
279	3026	2377
280	3041	2370
