iter	RMSE
0	3.125162424
1	3.075598689
2	3.031345585
3	2.984977347
4	2.94171639
5	2.899746611
6	2.859808614
7	2.821062694
8	2.785049026
9	2.74968334
10	2.716360193
11	2.685035906
12	2.654054692
13	2.624052325
14	2.595118038
15	2.567974194
16	2.541585929
17	2.5169744
18	2.492498112
19	2.468412698
20	2.446192429
21	2.425382052
22	2.405000685
23	2.385863269
24	2.366680173
25	2.349373388
26	2.331768283
27	2.315241943
28	2.299514131
29	2.284105704
30	2.269574262
31	2.254942018
32	2.241598864
33	2.22791186
34	2.215000036
35	2.202963415
36	2.191481673
37	2.180520284
38	2.170588403
39	2.160841282
40	2.151200599
41	2.141557833
42	2.132787853
43	2.124364596
44	2.115941268
45	2.108169981
46	2.101024316
47	2.093981664
48	2.087450006
49	2.081101656
50	2.075080844
51	2.069122923
52	2.063367906
53	2.057587527
54	2.052127324
55	2.047325082
56	2.042684487
57	2.037967086
58	2.03353569
59	2.029316299
60	2.024828464
61	2.020725415
62	2.016793707
63	2.012906997
64	2.009528946
65	2.006080991
66	2.002652839
67	1.999180762
68	1.995875055
69	1.993075577
70	1.990275325
71	1.987389554
72	1.984319014
73	1.981554355
74	1.979000959
75	1.976447347
76	1.973922127
77	1.97160466
78	1.969275284
79	1.967109117
80	1.964938427
81	1.963088589
82	1.961335881
83	1.959864995
84	1.957981184
85	1.956023214
86	1.954322006
87	1.952589918
88	1.950992823
89	1.949296803
90	1.947857366
91	1.946373748
92	1.944884662
93	1.94346239
94	1.941930897
95	1.940361131
96	1.939077793
97	1.937942011
98	1.936753801
99	1.9354712
100	1.934505619
101	1.933386613
102	1.93215657
103	1.931043272
104	1.930103362
105	1.929055705
106	1.92802141
107	1.926975279
108	1.925984587
109	1.924993854
110	1.923820273
111	1.922820454
112	1.921930105
113	1.921286822
114	1.920439932
115	1.919607712
116	1.91880654
117	1.918041386
118	1.917337756
119	1.916503008
120	1.915788465
121	1.91485038
122	1.913989246
123	1.913226501
124	1.912515175
125	1.911846767
126	1.911217941
127	1.910424401
128	1.909833551
129	1.909241697
130	1.908664481
