iter	Passed	Remaining
0	42	126079
1	94	142329
2	141	141750
3	214	160739
4	269	161672
5	327	163368
6	375	160377
7	448	167910
8	529	175862
9	567	169830
10	613	166749
11	651	162264
12	692	159090
13	740	157943
14	791	157484
15	847	158106
16	898	157715
17	962	159443
18	1030	161648
19	1081	161092
20	1137	161300
21	1188	160904
22	1252	162063
23	1307	162169
24	1386	164963
25	1442	165019
26	1495	164666
27	1554	165011
28	1634	167482
29	1760	174284
30	1880	180079
31	1994	185001
32	2053	184626
33	2107	183849
34	2154	182485
35	2210	182023
36	2256	180719
37	2317	180622
38	2363	179460
39	2428	179720
40	2475	178692
41	2524	177793
42	2569	176713
43	2618	175899
44	2661	174744
45	2721	174751
46	2770	174063
47	2821	173514
48	2863	172457
49	2901	171208
50	2947	170414
51	2987	169368
52	3040	169086
53	3074	167758
54	3120	167095
55	3176	167012
56	3216	166068
57	3267	165737
58	3310	165037
59	3355	164407
60	3400	163820
61	3450	163529
62	3498	163081
63	3538	162321
64	3576	161480
65	3607	160366
66	3660	160237
67	3697	159445
68	3736	158704
69	3778	158166
70	3826	157849
71	3882	157880
72	3923	157322
73	3968	156897
74	4002	156107
75	4048	155752
76	4090	155270
77	4146	155339
78	4198	155253
79	4279	156214
80	4327	155964
81	4386	156107
82	4454	156544
83	4521	156952
84	4589	157399
85	4656	157781
86	4718	158000
87	4772	157911
88	4843	158418
89	5003	161778
90	5152	164696
91	5296	167412
92	5389	168468
93	5477	169333
94	5528	169059
95	5575	168657
96	5613	167994
97	5652	167388
98	5692	166806
99	5745	166610
100	5799	166463
101	5867	166700
102	5919	166501
103	5969	166228
104	6023	166068
105	6086	166161
106	6158	166504
107	6224	166667
108	6275	166432
109	6357	167035
110	6428	167312
111	6508	167817
112	6568	167825
113	6629	167822
114	6690	167834
115	6755	167952
116	6815	167931
117	6892	168335
118	6970	168745
119	7030	168736
120	7106	169081
121	7176	169291
122	7268	170014
123	7369	170926
124	7428	170860
125	7540	171993
126	7634	172716
127	7732	173495
128	7830	174268
129	7925	174965
130	7997	175143
131	8085	175676
132	8141	175498
133	8200	175395
134	8277	175673
135	8348	175804
136	8405	175666
137	8485	175991
138	8548	175957
139	8627	176251
140	8710	176609
141	8776	176643
142	8845	176727
143	8906	176638
144	8974	176705
145	9050	176920
146	9110	176823
147	9190	177110
148	9267	177327
149	9351	177685
150	9431	177945
151	9507	178140
152	9589	178432
153	9665	178617
154	9739	178770
155	9802	178699
156	9870	178736
157	9952	179015
158	10020	179043
159	10102	179316
160	10182	179556
161	10272	179954
162	10343	180035
163	10402	179883
164	10468	179862
165	10541	179968
166	10616	180094
167	10692	180238
168	10774	180483
169	10856	180725
170	10945	181074
171	11008	181000
172	11073	180960
173	11139	180927
174	11246	181558
175	11335	181883
176	11414	182045
177	11498	182290
178	11589	182642
179	11659	182663
180	11726	182642
181	11812	182896
182	11896	183133
183	11980	183354
184	12076	183752
185	12150	183831
186	12217	183779
187	12294	183898
188	12362	183873
189	12432	183863
190	12493	183739
191	12567	183795
192	12645	183919
193	12705	183774
194	12765	183623
195	12842	183728
