epoch,step,train_loss,train_mean_squared_error,valid_loss,valid_mean_squared_error
0,49,24.611536026000977,,,
0,70,,,19.067808151245117,19.067808151245117
0,70,,31.216461181640625,,
1,99,14.726173400878906,,,
1,141,,,10.99724006652832,10.99724006652832
1,141,,14.29104995727539,,
2,149,9.888479232788086,,,
2,199,7.473310947418213,,,
2,212,,,6.632618427276611,6.632618427276611
2,212,,8.183284759521484,,
3,249,6.233353137969971,,,
3,283,,,5.521611213684082,5.521611213684082
3,283,,5.988846302032471,,
4,299,4.934386253356934,,,
4,349,4.4571685791015625,,,
4,354,,,4.660867691040039,4.660867691040039
4,354,,4.982790946960449,,
5,399,3.7766146659851074,,,
5,425,,,4.470994472503662,4.470994472503662
5,425,,4.415334224700928,,
6,449,3.9146571159362793,,,
6,496,,,4.007548809051514,4.007548809051514
6,496,,4.0929789543151855,,
7,499,3.974818229675293,,,
7,549,4.034389019012451,,,
7,567,,,3.8691298961639404,3.8691298961639404
7,567,,3.942009210586548,,
8,599,3.543330192565918,,,
8,638,,,3.8320884704589844,3.8320884704589844
8,638,,3.813704490661621,,
9,649,3.741615056991577,,,
9,699,3.749192714691162,,,
9,709,,,3.739598512649536,3.739598512649536
9,709,,3.793276309967041,,
10,749,3.6458418369293213,,,
10,780,,,3.7411580085754395,3.7411580085754395
10,780,,3.712681293487549,,
11,799,3.7308778762817383,,,
