iter	RMSE
0	3.124326344
1	3.075766348
2	3.027912901
3	2.983149018
4	2.938175652
5	2.895099636
6	2.854323349
7	2.816448917
8	2.778464403
9	2.742090788
10	2.707191527
11	2.674294206
12	2.642636718
13	2.612426018
14	2.583512408
15	2.555438934
16	2.528621996
17	2.502275506
18	2.477372429
19	2.453375322
20	2.430454756
21	2.408148015
22	2.387248173
23	2.366308647
24	2.347763177
25	2.329412591
26	2.311718712
27	2.295100019
28	2.279183998
29	2.263630068
30	2.24888439
31	2.234516804
32	2.221904943
33	2.208875352
34	2.196241097
35	2.18444178
36	2.173235451
37	2.16282577
38	2.153406981
39	2.143643507
40	2.13429898
41	2.125239811
42	2.116647036
43	2.108012293
44	2.10003874
45	2.092482578
46	2.08528142
47	2.077827878
48	2.07099225
49	2.06470646
50	2.058454552
51	2.052534161
52	2.047055045
53	2.041935829
54	2.036794617
55	2.031754329
56	2.027192317
57	2.022601359
58	2.01789574
59	2.013494163
60	2.009572715
61	2.005572411
62	2.0017756
63	1.998462688
64	1.994692898
65	1.991333838
66	1.987920492
67	1.98473295
68	1.981683167
69	1.978784501
70	1.975904834
71	1.973176114
72	1.97060923
73	1.968389122
74	1.966018852
75	1.963760507
76	1.961493245
77	1.959033226
78	1.956926864
79	1.954883745
80	1.952753485
81	1.95064551
82	1.948621836
83	1.94679038
84	1.945179635
85	1.943526002
86	1.941587326
87	1.93999483
88	1.938217301
89	1.936779921
90	1.935101809
91	1.933739384
92	1.932311359
93	1.931091196
94	1.929764527
95	1.928339077
96	1.927174005
97	1.926137615
98	1.924953856
99	1.923851918
100	1.922619946
101	1.921536172
102	1.92044827
103	1.919351015
104	1.918240922
105	1.917262614
106	1.916311528
107	1.915321252
108	1.914416234
109	1.913413417
110	1.912342355
111	1.911471414
112	1.910670069
113	1.909760321
114	1.908977869
115	1.908160322
116	1.907350495
117	1.906484203
118	1.905663323
119	1.904982355
120	1.904205112
121	1.903440361
122	1.902715781
123	1.902018635
124	1.901429351
125	1.900749984
126	1.900063751
127	1.899408508
128	1.898883408
129	1.898261408
130	1.897567645
131	1.896769783
132	1.896252577
