iter	Passed	Remaining
0	37	119772
1	80	129241
2	118	126531
3	158	126481
4	195	124700
5	238	126711
6	283	129455
7	327	130683
8	379	134439
9	427	136414
10	478	138615
11	520	138225
12	567	139052
13	607	138137
14	664	140961
15	711	141466
16	756	141548
17	802	141732
18	843	141243
19	890	141513
20	935	141516
21	984	142120
22	1038	143353
23	1090	144253
24	1143	145154
25	1186	144741
26	1228	144334
27	1277	144666
28	1324	144830
29	1372	145020
30	1431	146288
31	1505	148981
32	1589	152507
33	1673	155737
34	1762	159303
35	1837	161465
36	1937	165596
37	2017	167789
38	2097	169952
39	2173	171658
40	2253	173591
41	2325	174785
42	2394	175761
43	2470	177157
44	2550	178739
45	2633	180503
46	2715	182111
47	2799	183797
48	2899	186387
49	3044	191753
50	3132	193384
51	3210	194314
52	3303	196093
53	3378	196737
54	3437	196509
55	3518	197499
56	3592	198036
57	3654	197901
58	3723	198145
59	3791	198350
60	3856	198400
61	3924	198587
62	3987	198483
63	4056	198715
64	4119	198629
65	4194	199092
66	4263	199296
67	4314	198640
68	4370	198239
69	4417	197444
70	4474	197124
71	4531	196826
72	4584	196312
73	4637	195821
74	4682	195052
75	4728	194293
76	4775	193641
77	4825	193084
78	4870	192363
79	4920	191830
80	4972	191393
81	5031	191272
82	5089	191079
83	5140	190625
84	5196	190358
85	5239	189645
86	5284	189041
87	5342	188869
88	5391	188391
89	5443	188058
90	5490	187528
91	5542	187184
92	5594	186835
93	5638	186242
94	5685	185755
95	5733	185335
96	5804	185618
97	5883	186172
98	5955	186474
99	6036	187070
100	6113	187506
101	6179	187615
102	6244	187689
103	6317	187998
104	6392	188361
105	6450	188206
106	6524	188526
107	6597	188830
108	6670	189086
109	6719	188703
110	6772	188405
111	6822	188035
112	6883	187995
113	6950	188082
114	7021	188305
115	7086	188344
116	7165	188756
117	7242	189109
118	7316	189375
119	7413	190216
120	7526	191456
121	7658	193167
122	7741	193591
123	7798	193388
124	7847	192990
125	7906	192820
126	7958	192514
127	8050	193141
128	8129	193460
129	8203	193670
130	8281	193953
131	8350	194020
132	8406	193789
133	8475	193862
134	8537	193760
135	8593	193541
136	8652	193387
137	8802	195257
138	8954	197122
