iter	RMSE
0	1.387612245
1	1.357419268
2	1.328263101
3	1.300411868
4	1.273471051
5	1.248396941
6	1.222436837
7	1.197318169
8	1.173446277
9	1.149818628
10	1.127622357
11	1.106830177
12	1.087048578
13	1.066917064
14	1.047934009
15	1.030710352
16	1.012338677
17	0.9950035538
18	0.9778563811
19	0.9630579021
20	0.9480558658
21	0.9333487082
22	0.9163760592
23	0.9045056899
24	0.8917134798
25	0.8756792346
26	0.8635797754
27	0.851591916
28	0.8405849032
29	0.8292371969
30	0.8185809219
31	0.8093391485
32	0.7963819926
33	0.787850806
34	0.7787859647
35	0.7673113141
36	0.759393937
37	0.7515485463
38	0.7409674375
39	0.7341156976
40	0.7238782281
41	0.7138565302
42	0.7043040065
43	0.6951008758
44	0.6855022987
45	0.6765893906
46	0.6681890106
47	0.6606488502
48	0.6534939341
49	0.6464241954
50	0.6393206048
51	0.6325839969
52	0.626386114
53	0.6200164119
54	0.6141177804
55	0.6089416003
56	0.6030335005
57	0.5960608041
58	0.5910793837
59	0.5859656503
60	0.5814184775
61	0.5765791916
62	0.5714245965
63	0.5656953019
64	0.55996403
65	0.556339191
66	0.5526554291
67	0.5488586278
68	0.5438855948
69	0.5407017454
70	0.5376067323
71	0.5319034263
72	0.5288587943
73	0.5260097337
74	0.52324068
75	0.519201454
76	0.5167391699
77	0.5133807925
78	0.5090459107
79	0.50566258
80	0.5035549943
81	0.5014110142
82	0.4993466191
83	0.4955297954
84	0.4917134056
85	0.4898837954
86	0.4885589959
87	0.4868953242
88	0.4852268439
89	0.4817660655
90	0.4785430397
91	0.4771202817
92	0.4754668725
93	0.4720487148
94	0.4708266352
95	0.4689838095
96	0.4661721647
97	0.4649190246
98	0.4626383018
99	0.459637248
100	0.4586130463
101	0.4572625174
102	0.4544321568
103	0.453210701
104	0.4499012051
105	0.4489568489
106	0.4480739773
107	0.4454863367
108	0.4440086337
109	0.4412673417
110	0.4402988954
111	0.4391618866
112	0.4380867386
113	0.4356205711
114	0.4338826934
115	0.4331472728
116	0.4322210344
117	0.4313195768
118	0.4298490008
119	0.4289349773
120	0.4284035399
121	0.4279212515
122	0.427207996
123	0.4264115443
124	0.4245495881
125	0.4235781766
126	0.4230269167
127	0.4212782355
128	0.4184249348
129	0.4178990855
130	0.4164619799
131	0.4159251751
132	0.415457847
133	0.413759751
134	0.4132089359
135	0.4124141062
136	0.4119156188
137	0.411030722
138	0.4103089638
139	0.40778229
140	0.4071768757
141	0.4067060314
142	0.4063996305
143	0.4056118291
144	0.4046026808
145	0.4041722778
146	0.403792508
147	0.4024269914
148	0.3999222504
149	0.3995843267
150	0.3989208648
151	0.3985123713
152	0.3978707141
153	0.3975734097
154	0.3971862566
155	0.3969513065
156	0.3965280071
157	0.3961338865
158	0.3953344988
159	0.3950194336
160	0.3943308116
161	0.3927485683
162	0.3913557187
163	0.3910773094
164	0.3907234552
165	0.3891384875
166	0.3888908307
167	0.3885456547
168	0.3882052772
169	0.3881622909
170	0.3873417164
171	0.3853110358
172	0.3849520384
173	0.3839367531
174	0.3838070377
175	0.3824791374
176	0.3821505586
177	0.3820246936
178	0.3817002726
179	0.3810660809
180	0.3809190397
181	0.3797714352
182	0.3795798726
183	0.3792985346
184	0.3789951356
185	0.3788340831
186	0.3786265392
187	0.3782918298
188	0.378101533
189	0.3778517987
190	0.3776420645
191	0.3774001237
192	0.3771383135
193	0.3757828945
194	0.3756238736
195	0.3755086506
196	0.3752479295
197	0.3745195392
198	0.3742532339
199	0.3737646034
200	0.3735747645
201	0.3735716499
202	0.3734177177
203	0.3727722062
204	0.3726417995
205	0.3713703477
206	0.3712663326
207	0.3711401169
208	0.3706852978
209	0.3705517706
210	0.3702585478
211	0.3701709805
212	0.3699745085
213	0.369468745
214	0.3690777739
215	0.3689232623
216	0.3688135334
217	0.3687382034
218	0.3685296245
219	0.3682784056
220	0.3681105204
221	0.3679550528
222	0.3678079091
223	0.3675859961
224	0.3674353247
225	0.3672124937
226	0.3670807816
227	0.3669112438
228	0.3665066831
229	0.3662823558
230	0.3662427149
231	0.3659867402
232	0.3656799614
233	0.365561981
234	0.3653728846
235	0.3648953186
236	0.3645282392
237	0.3643264225
238	0.3641805359
239	0.3639884204
240	0.3635074185
241	0.3634240549
242	0.363361358
243	0.3631469967
244	0.3623187223
245	0.3618091207
246	0.3616493033
247	0.3615951323
248	0.3611852025
249	0.3610480592
250	0.3608982335
251	0.3607803391
252	0.3606189321
253	0.3604072414
254	0.3603291831
255	0.3601533819
256	0.3599508235
257	0.3596651746
258	0.3595045807
259	0.3593365768
260	0.3591651515
261	0.3590363868
262	0.3584596161
263	0.3583171324
264	0.3582137223
265	0.3580792423
266	0.3579169015
267	0.357824
268	0.3573289894
269	0.3572419991
270	0.3570559237
271	0.356792115
272	0.3561415438
273	0.3561165356
274	0.3560531497
275	0.3557895294
276	0.3554045344
277	0.3552209158
278	0.3551624215
279	0.3551602242
280	0.3550221612
281	0.3543897341
282	0.3542199942
283	0.3540799094
284	0.3539204288
285	0.3538151331
286	0.3538134737
287	0.3538069694
288	0.3536647986
289	0.35351956
290	0.353394806
291	0.3532438048
292	0.3528990422
293	0.3527792599
294	0.3522315847
295	0.3520902691
296	0.3516270642
297	0.3504933086
298	0.3503772903
299	0.3502634417
300	0.3501903084
301	0.3501127131
302	0.3499602563
303	0.3496433662
304	0.3495286263
305	0.3494144697
306	0.3492064778
307	0.3487162954
308	0.3486118302
309	0.3485730421
310	0.3484834056
311	0.3483333785
312	0.3481088078
313	0.3480235373
314	0.3478773841
315	0.3477301926
316	0.3476235397
317	0.3472265914
318	0.3463679735
319	0.3456832377
320	0.3455381619
321	0.3454227237
322	0.3453253432
323	0.345273388
324	0.3452619066
325	0.3451636283
326	0.3447283505
327	0.3446134848
328	0.3446121555
329	0.3446035402
330	0.3445530015
331	0.3440503427
332	0.343963686
333	0.3438652103
334	0.3434390014
335	0.3432723676
336	0.3429867783
337	0.3427626453
338	0.3426199362
339	0.3425039093
340	0.3424210816
341	0.3423022882
342	0.3421085165
343	0.3416188009
344	0.3413825844
345	0.3412683411
346	0.3406093019
347	0.3404292947
348	0.3402654294
349	0.340062978
350	0.3398962491
351	0.3397655753
352	0.3396149686
353	0.3394795322
354	0.3394040511
355	0.3393125947
356	0.3391979118
357	0.3390565397
358	0.3389719027
359	0.3388599282
360	0.3387529142
361	0.3386101428
362	0.3385627008
363	0.3383770983
364	0.3381597851
365	0.3380737666
366	0.3380000302
367	0.3376615607
368	0.3376540357
369	0.3372669961
370	0.3368659246
371	0.3368458364
372	0.3367342535
373	0.3367253915
374	0.3366481318
375	0.3365202356
376	0.3363513371
377	0.336150457
378	0.3356544714
379	0.3356480789
380	0.3356184096
381	0.3354580376
382	0.3353432589
383	0.3353054671
384	0.3349035964
385	0.3348567278
386	0.3346638975
387	0.3345697425
388	0.334352883
389	0.334262672
390	0.3341857351
391	0.3336857262
392	0.333612904
393	0.3334714668
394	0.3333588339
395	0.3332538345
396	0.333161874
397	0.3330214736
398	0.3329653901
399	0.3328871993
400	0.3328018493
401	0.3324457298
402	0.3323243081
403	0.3322616
404	0.3321315932
405	0.3319627064
406	0.3317112528
407	0.3316494942
408	0.3315118805
409	0.3314195207
410	0.3313416526
411	0.3312679796
412	0.3311132751
413	0.3310337965
414	0.3309784327
415	0.3309360704
416	0.3308478067
417	0.330705932
418	0.3302889117
419	0.3300405143
420	0.3298013377
421	0.329750246
422	0.3294174811
423	0.3292784465
424	0.3285227639
425	0.3281353603
426	0.328005923
427	0.3277178253
428	0.3275357467
429	0.3273189005
430	0.3272381697
431	0.3270145499
432	0.3269956625
433	0.3268121635
434	0.326031804
435	0.3258699482
436	0.3257125233
437	0.3246952609
438	0.3243555789
439	0.3242827671
440	0.3242182518
441	0.3237672759
442	0.3237306402
443	0.3236807056
444	0.323354946
445	0.3233134502
446	0.3230240929
447	0.3228946392
448	0.3226881367
449	0.3224873087
450	0.3223770367
451	0.322280628
452	0.3219941889
453	0.3219086023
454	0.3218315901
455	0.3217607239
456	0.3217091428
457	0.3214069645
458	0.3213267234
459	0.3212455565
460	0.3207616519
461	0.3200337887
462	0.3198699747
463	0.3197486014
464	0.3196420376
465	0.3194525568
466	0.3193735061
467	0.3191312344
468	0.3183847506
469	0.3182812416
470	0.3182462765
471	0.318034887
472	0.3178668096
473	0.3177560407
474	0.3174737022
475	0.3173784937
476	0.316841419
477	0.3167349493
478	0.3166697132
479	0.3166037333
480	0.3161059705
481	0.3159794727
482	0.3157390891
483	0.3152012103
484	0.31512428
485	0.3150678166
486	0.3150077498
487	0.3148363092
488	0.3147638686
489	0.3147337514
490	0.3146131853
491	0.3145744584
492	0.3145205857
493	0.3143443014
494	0.3142502454
495	0.3141045561
496	0.3140038954
497	0.3139228994
498	0.3138284228
499	0.3133842463
500	0.3133025226
501	0.3130469774
502	0.3129592194
503	0.3122759248
504	0.3122425604
505	0.3121775088
506	0.3120667285
507	0.3116404995
508	0.3115871277
509	0.3115112032
510	0.3114641749
511	0.3113862408
512	0.3113410364
513	0.3112529065
514	0.3112041948
515	0.3111074115
516	0.3110187089
517	0.3107815598
518	0.3104615784
519	0.310418839
520	0.3102429366
521	0.310071274
522	0.3099619796
523	0.3097492436
524	0.309600553
525	0.3093785717
526	0.308922279
527	0.3087961296
528	0.3087513433
529	0.308709081
530	0.3085616119
531	0.308444033
532	0.3083877237
533	0.3082265526
534	0.3081464627
535	0.3080922437
536	0.3080677791
537	0.3073148415
538	0.3072638524
539	0.3072008038
540	0.3071171853
541	0.3069684314
542	0.3069419008
543	0.306922552
544	0.3067338839
545	0.3065704024
546	0.3062550125
547	0.3062117638
548	0.3060129558
549	0.3059156949
550	0.305872489
551	0.3056833153
552	0.3056137414
553	0.3055585494
554	0.3055081556
555	0.305360726
556	0.3052211974
557	0.3051886841
558	0.3051168571
559	0.3050284435
560	0.3044611113
561	0.3043764688
562	0.3042878191
563	0.3041664191
564	0.3040473095
565	0.3040135745
566	0.3039494526
567	0.3038074891
568	0.3034088549
569	0.3028111644
570	0.3027131515
571	0.3026042251
572	0.3024989848
573	0.3023943763
574	0.3018746523
575	0.3017754069
576	0.301725952
577	0.3016247278
578	0.3015359199
579	0.3015032302
580	0.3014806106
581	0.3008674291
582	0.3008386778
583	0.3007899162
584	0.3006170077
585	0.3005137859
586	0.300322542
587	0.3002510012
588	0.3001944469
589	0.3000566498
590	0.3000159396
591	0.299954015
592	0.2998201281
593	0.2994795305
594	0.2994452916
595	0.2989050211
596	0.2987545014
597	0.2986732995
598	0.2985846169
599	0.2984656926
600	0.2980039086
601	0.2979393635
602	0.2978695251
603	0.297721014
604	0.2977046686
605	0.2975815141
606	0.297466914
607	0.2974519583
608	0.2971294891
609	0.2970145636
610	0.2968266134
611	0.2966465916
612	0.2965917839
613	0.2965462232
614	0.2964004594
615	0.2963556809
616	0.2962123805
617	0.2960988057
618	0.2960429818
619	0.2959474958
620	0.2959143758
621	0.295849775
622	0.2957710297
623	0.2956408446
624	0.2955139155
625	0.2954070818
626	0.2949661079
627	0.2948868601
628	0.2944692935
629	0.2944027787
630	0.2942749072
631	0.2942301448
632	0.2941519962
633	0.2940759242
634	0.2939638503
635	0.2938622285
636	0.2937951421
637	0.2936629129
638	0.2935914741
639	0.2935251341
640	0.29348592
641	0.2932500596
642	0.2931690006
643	0.2928826989
644	0.2927822573
645	0.2927609228
646	0.2926901123
647	0.2925467634
648	0.292494009
649	0.2922790027
650	0.2921435511
651	0.2920451164
652	0.2916620936
653	0.2916157603
654	0.2915451269
655	0.2914683425
656	0.2914256034
657	0.2914080577
658	0.2913502616
659	0.2912200096
660	0.2911468745
661	0.2911317532
662	0.2910566564
663	0.2909118762
664	0.2905805758
665	0.2903972316
666	0.290350214
667	0.2902268536
668	0.290149986
669	0.2898894002
670	0.2897798643
671	0.2897276117
672	0.2896770565
673	0.2895006837
674	0.2894565787
675	0.2893979913
676	0.2892960864
677	0.289229438
678	0.2892057287
679	0.2891829514
680	0.2890915293
681	0.2889812928
682	0.2888920565
683	0.2888826188
684	0.2887967175
685	0.2886796746
686	0.2886186847
687	0.2884924797
688	0.288344072
689	0.2883068631
690	0.288263101
691	0.2882382864
692	0.2881864646
693	0.2881064168
694	0.2880278792
695	0.2879944819
696	0.2878789422
697	0.2877672853
698	0.2877219652
699	0.2876118889
700	0.2875242881
701	0.2874285366
702	0.2873484544
703	0.2872125374
704	0.2871327343
705	0.2869697535
706	0.2868028829
707	0.2867490172
708	0.2866998571
709	0.2866589864
710	0.2865495699
711	0.2864791374
712	0.2863725431
713	0.2862967749
714	0.2862202742
715	0.2859095903
716	0.285780481
717	0.2857664631
718	0.2857445756
719	0.2856218093
720	0.2855391249
721	0.2855085864
722	0.2854730952
723	0.2853939945
724	0.2853280635
725	0.2853169041
726	0.2852766308
727	0.2852458641
728	0.2851793111
729	0.2851046448
730	0.2850336097
731	0.2849843702
732	0.2849513214
733	0.2849412876
734	0.2848457031
735	0.2847508253
736	0.2846342387
737	0.2845307017
738	0.284095859
739	0.2840714915
740	0.283972781
741	0.2839076493
742	0.2838553952
743	0.2838045443
744	0.2837529277
745	0.2836358204
746	0.283303785
747	0.2832721743
748	0.2832175027
749	0.2828909891
750	0.2828791299
751	0.2828051464
752	0.2827527264
753	0.2826895482
754	0.2826661029
755	0.2826277645
756	0.2825729266
757	0.2825252889
758	0.2824602527
759	0.2823880219
760	0.2821652149
761	0.2820732705
762	0.2819737488
763	0.2816759189
764	0.2814348988
765	0.2813530666
766	0.2812818477
767	0.2811735227
768	0.2810916
769	0.2810785847
770	0.281004442
771	0.2809234398
772	0.2808508205
773	0.2808251171
774	0.2805555034
775	0.2805229119
776	0.2804306811
777	0.2803589565
778	0.2803059645
779	0.2802753345
780	0.2802265299
781	0.2801849393
782	0.2800618646
783	0.2799933685
784	0.2799269612
785	0.279908648
786	0.2798653517
787	0.2798256325
788	0.2797496332
789	0.2797392527
790	0.2795946941
791	0.2795188382
792	0.2794366604
793	0.2793466455
794	0.2790401009
795	0.2790228293
796	0.2790099346
797	0.2789730808
798	0.2789153853
799	0.278899945
800	0.2787262213
801	0.2787154114
802	0.2786938483
803	0.2786837561
804	0.2786052223
