iter	Passed	Remaining
0	19	29501
1	33	25031
2	45	22500
3	59	22163
4	75	22665
5	89	22252
6	107	22980
7	125	23461
8	141	23401
9	155	23117
10	169	22897
11	186	23150
12	201	23028
13	214	22803
14	234	23215
15	254	23559
16	274	23958
17	299	24691
18	322	25139
19	345	25599
20	361	25441
21	381	25659
22	403	25917
23	415	25544
24	440	25961
25	467	26493
26	486	26547
27	509	26806
28	530	26889
29	550	26976
30	580	27501
31	606	27805
32	634	28195
33	661	28519
34	685	28686
35	709	28845
36	730	28868
37	757	29132
38	777	29138
39	804	29377
40	835	29746
41	872	30274
42	898	30430
43	914	30274
44	943	30518
45	965	30508
46	983	30389
47	1002	30338
48	1018	30150
49	1031	29910
50	1046	29741
51	1061	29550
52	1081	29522
53	1094	29317
54	1108	29125
55	1122	28952
56	1138	28823
57	1160	28849
58	1175	28715
59	1190	28581
60	1211	28590
61	1233	28614
62	1258	28705
63	1282	28769
64	1302	28750
65	1321	28719
66	1343	28737
67	1364	28729
68	1387	28783
69	1410	28804
70	1438	28959
71	1467	29106
72	1488	29096
73	1513	29160
74	1536	29202
75	1574	29507
76	1598	29547
77	1623	29600
78	1651	29709
79	1693	30061
80	1726	30250
81	1760	30437
82	1785	30478
83	1828	30822
84	1872	31167
85	1921	31598
86	1960	31842
87	2008	32233
88	2050	32501
89	2069	32424
90	2093	32409
91	2130	32607
92	2151	32546
93	2168	32432
94	2198	32509
95	2215	32406
96	2233	32309
97	2252	32220
98	2270	32135
99	2289	32050
100	2309	31996
101	2330	31941
102	2351	31887
103	2371	31827
104	2388	31739
105	2405	31638
106	2423	31550
107	2441	31468
108	2465	31457
109	2485	31410
110	2511	31422
111	2531	31371
112	2561	31442
113	2580	31375
114	2602	31345
115	2623	31296
116	2642	31233
117	2659	31149
118	2683	31136
119	2710	31167
120	2727	31087
121	2746	31023
122	2764	30946
123	2786	30920
124	2815	30971
125	2842	30995
126	2871	31038
127	2901	31095
128	2922	31055
129	2946	31049
130	2964	30982
131	2982	30909
132	3007	30910
133	3032	30914
134	3050	30846
135	3070	30791
136	3087	30712
137	3107	30669
138	3124	30590
139	3145	30552
140	3169	30546
141	3186	30477
142	3208	30450
143	3234	30453
144	3252	30389
145	3268	30311
146	3287	30256
147	3312	30257
148	3332	30217
149	3359	30239
150	3382	30219
151	3397	30133
152	3422	30134
153	3441	30076
154	3460	30030
155	3480	29983
156	3501	29954
157	3530	29983
158	3545	29899
159	3562	29833
160	3581	29788
161	3600	29740
162	3619	29688
163	3637	29632
164	3654	29569
165	3674	29528
166	3690	29459
167	3706	29389
168	3734	29409
169	3742	29282
170	3759	29215
171	3778	29170
172	3797	29127
173	3820	29111
174	3829	28993
175	3851	28972
176	3872	28943
177	3892	28907
178	3908	28844
179	3925	28788
180	3942	28726
181	3963	28699
182	3983	28665
183	4006	28655
184	4025	28611
185	4034	28505
186	4054	28468
187	4074	28432
188	4091	28380
189	4108	28324
190	4124	28267
191	4141	28216
192	4159	28166
193	4178	28127
194	4194	28070
195	4214	28038
196	4242	28058
197	4264	28040
198	4283	28005
199	4304	27982
200	4324	27946
201	4329	27817
202	4348	27784
203	4368	27752
204	4386	27712
205	4407	27683
206	4430	27672
207	4450	27645
208	4469	27606
209	4489	27579
210	4510	27553
211	4524	27486
212	4547	27477
213	4567	27450
214	4587	27417
215	4605	27379
216	4625	27349
217	4633	27251
218	4650	27201
219	4670	27171
220	4688	27133
221	4706	27091
222	4727	27071
223	4756	27094
224	4778	27080
225	4797	27043
226	4815	27005
227	4830	26950
228	4849	26917
229	4870	26893
230	4878	26797
231	4899	26776
232	4932	26822
233	4964	26859
234	4990	26862
235	5009	26830
236	5033	26823
237	5054	26802
238	5074	26772
239	5098	26766
240	5118	26740
241	5138	26712
242	5158	26681
243	5179	26661
244	5208	26679
245	5227	26645
246	5257	26668
247	5275	26633
248	5293	26597
249	5315	26578
250	5335	26550
251	5355	26524
252	5383	26536
253	5410	26541
254	5441	26567
255	5475	26606
256	5508	26640
257	5534	26644
258	5552	26603
259	5584	26631
260	5618	26671
261	5648	26691
262	5679	26714
263	5703	26704
264	5730	26704
265	5754	26695
266	5783	26709
267	5805	26688
268	5830	26683
269	5856	26677
270	5879	26662
271	5906	26666
272	5935	26677
273	5947	26613
274	5977	26627
275	6007	26641
276	6039	26663
277	6057	26628
278	6086	26634
279	6091	26540
280	6116	26534
281	6143	26532
282	6172	26542
283	6189	26503
284	6213	26489
285	6234	26464
286	6241	26377
287	6249	26300
288	6268	26267
289	6294	26264
290	6317	26245
291	6335	26211
292	6355	26182
293	6374	26149
294	6393	26114
295	6414	26092
296	6434	26062
297	6456	26041
298	6475	26009
299	6495	25980
300	6514	25950
301	6539	25940
302	6559	25912
303	6577	25876
304	6592	25830
305	6614	25810
306	6635	25785
307	6656	25760
308	6675	25730
309	6686	25665
310	6703	25629
311	6725	25609
312	6744	25575
313	6760	25535
314	6779	25504
315	6808	25511
316	6826	25474
317	6843	25436
318	6864	25412
319	6882	25378
320	6898	25339
321	6915	25298
322	6930	25256
323	6949	25225
324	6956	25149
325	6974	25115
326	6995	25093
327	7014	25064
328	7019	24983
329	7039	24958
330	7053	24911
331	7074	24888
332	7093	24858
333	7114	24837
334	7132	24802
335	7149	24769
336	7168	24738
337	7192	24725
338	7211	24697
339	7231	24671
340	7248	24637
341	7267	24606
342	7285	24575
343	7309	24563
344	7334	24554
345	7348	24510
346	7367	24480
347	7385	24450
348	7405	24422
349	7427	24405
350	7501	24555
351	7577	24711
352	7628	24786
353	7648	24760
354	7670	24739
355	7692	24720
356	7722	24725
357	7739	24688
358	7755	24648
359	7775	24621
360	7793	24588
361	7813	24563
362	7834	24538
363	7855	24517
364	7877	24495
365	7901	24480
366	7915	24438
367	7934	24406
368	7950	24367
369	7966	24328
370	7984	24297
371	8002	24265
372	8020	24233
373	8035	24193
374	8050	24152
375	8071	24130
376	8091	24103
377	8109	24069
378	8126	24037
379	8146	24011
380	8171	23998
381	8187	23963
382	8207	23936
383	8223	23900
384	8247	23884
385	8269	23865
386	8284	23825
387	8306	23804
388	8320	23763
389	8346	23756
390	8366	23729
391	8387	23707
392	8404	23672
393	8425	23651
394	8444	23623
395	8463	23596
396	8482	23566
397	8498	23531
398	8514	23495
399	8530	23458
400	8547	23426
401	8566	23396
402	8585	23370
403	8603	23339
404	8621	23309
405	8637	23273
406	8655	23243
407	8673	23215
408	8689	23178
409	8717	23175
410	8732	23138
411	8751	23110
412	8767	23076
413	8787	23050
414	8805	23022
415	8828	23004
416	8854	22996
417	8883	22995
418	8910	22988
419	8936	22978
420	8964	22975
421	8992	22972
422	9018	22961
423	9039	22940
424	9062	22923
425	9090	22917
426	9114	22902
427	9140	22894
428	9167	22886
429	9194	22880
430	9221	22871
431	9247	22861
432	9272	22848
433	9297	22835
434	9325	22831
435	9349	22815
436	9379	22816
437	9411	22819
438	9439	22813
439	9472	22820
440	9493	22797
441	9518	22783
442	9542	22768
443	9570	22762
444	9595	22748
445	9616	22726
446	9632	22692
447	9653	22667
448	9671	22639
449	9696	22624
450	9718	22603
451	9733	22568
452	9749	22534
453	9765	22500
454	9784	22472
455	9814	22469
456	9848	22477
457	9874	22464
458	9917	22491
459	9945	22486
460	9978	22489
461	10006	22481
462	10049	22507
463	10081	22509
464	10111	22505
465	10140	22499
466	10168	22493
467	10204	22503
468	10242	22515
469	10272	22512
470	10310	22525
471	10337	22513
472	10372	22520
473	10408	22529
474	10431	22509
475	10457	22495
476	10486	22490
477	10515	22481
478	10533	22451
479	10555	22429
480	10581	22416
481	10606	22400
482	10625	22372
483	10648	22353
484	10664	22319
485	10684	22292
486	10708	22274
487	10726	22244
488	10744	22213
489	10769	22199
490	10800	22195
491	10825	22179
492	10852	22167
493	10879	22155
494	10905	22141
495	10933	22132
496	10966	22131
497	10995	22123
498	11021	22109
499	11050	22101
500	11075	22083
501	11103	22075
502	11127	22056
503	11155	22045
504	11179	22027
505	11202	22006
506	11228	21992
507	11261	21991
508	11289	21980
509	11310	21956
510	11340	21948
511	11368	21937
512	11385	21904
513	11415	21897
514	11447	21893
515	11472	21878
516	11504	21873
517	11529	21856
518	11551	21834
519	11569	21803
520	11587	21773
521	11609	21750
522	11631	21728
523	11651	21701
524	11675	21682
525	11702	21668
526	11725	21648
527	11742	21615
528	11759	21585
529	11783	21565
530	11805	21542
531	11822	21511
532	11840	21480
533	11859	21453
534	11881	21430
535	11900	21402
536	11921	21379
537	11946	21362
538	11966	21335
539	11980	21298
540	11997	21267
541	12016	21240
542	12035	21211
543	12056	21186
544	12077	21164
545	12098	21139
546	12116	21110
547	12139	21088
548	12159	21063
549	12179	21037
550	12200	21013
551	12221	20989
552	12241	20962
553	12261	20937
554	12284	20916
555	12296	20876
556	12313	20847
557	12334	20822
558	12352	20794
559	12372	20767
560	12400	20755
561	12426	20739
562	12449	20719
563	12472	20698
564	12490	20670
565	12511	20645
566	12533	20624
567	12550	20594
568	12570	20568
569	12593	20547
570	12613	20522
571	12633	20497
572	12651	20467
573	12676	20449
574	12698	20427
575	12715	20398
576	12745	20388
577	12763	20360
578	12783	20334
579	12805	20312
580	12821	20280
581	12842	20256
582	12863	20233
583	12886	20212
584	12905	20186
585	12931	20169
586	12948	20139
587	12975	20124
588	12993	20096
589	13011	20069
590	13028	20039
